,fight,winner,odds_w,loser,odds_l
1316,Jordan Mein vs Emil Meek,Emil-Meek,1.86,Jordan-Mein,1.91
1317,Nikita Krylov vs Misha Cirkunov,Misha-Cirkunov,1.88,Nikita-Krylov,1.88
1318,Olivier Aubin-Mercier vs Drew Dober,Olivier-Aubin-Mercier,1.62,Drew-Dober,2.55
1319,Valerie Letourneau vs Viviane Pereira,Viviane-Pereira,2.46,Valerie-Letourneau,1.57
1320,Mitch Gagnon vs Matthew Lopez,Matthew-Lopez,2.06,Mitch-Gagnon,1.75
1321,Lando Vannata vs John Makdessi,Lando-Vannata,1.61,John-Makdessi,2.36
1322,Rustam Khabilov vs Jason Saggo,Rustam-Khabilov,1.45,Jason-Saggo,2.79
1323,Dustin Ortiz vs Zach Makovsky,Dustin-Ortiz,2.5,Zach-Makovsky,1.64
1324,Derrick Lewis vs Shamil Abdurakhimov,Derrick-Lewis,1.47,Shamil-Abdurakhimov,3.1
1325,Francis Ngannou vs Anthony Hamilton,Francis-Ngannou,1.22,Anthony-Hamilton,5.0
1326,Corey Anderson vs Sean O'Connell,Corey-Anderson,1.26,Sean-O'Connell,4.48
1327,Saparbek Safarov vs Gian Villante,Gian-Villante,1.6,Saparbek-Safarov,2.6
1328,Justine Kish vs Ashley Yoder,Justine-Kish,1.48,Ashley-Yoder,2.96
1329,Randy Brown vs Brian Camozzi,Randy-Brown,1.67,Brian-Camozzi,2.4
1330,Gerald Meerschaert vs Joseph Gigliotti,Gerald-Meerschaert,1.52,Joseph-Gigliotti,2.9
1331,Andrew Sanchez vs Trevor Smith,Andrew-Sanchez,1.53,Trevor-Smith,2.8
1332,Tiago Trator vs Shane Burgos,Shane-Burgos,1.64,Tiago-Trator,2.5
1333,Frankie Perez vs Marc Diakiese,Marc-Diakiese,1.37,Frankie-Perez,3.41
1334,Keith Berish vs Ryan Janes,Ryan-Janes,1.43,Keith-Berish,3.12
1335,J.J. Aldrich vs Juliana Lima,Juliana-Lima,1.44,J.J.-Aldrich,3.2
1336,Demetrious Johnson vs Tim Elliott,Demetrious-Johnson,1.08,Tim-Elliott,9.0
1337,Joseph Benavidez vs Henry Cejudo,Joseph-Benavidez,1.55,Henry-Cejudo,2.74
1338,Jorge Masvidal vs Jake Ellenberger,Jorge-Masvidal,1.49,Jake-Ellenberger,2.8
1339,Ion Cutelaba vs Jared Cannonier,Jared-Cannonier,2.9,Ion-Cutelaba,1.49
1340,Sara McMann vs Alexis Davis,Sara-McMann,1.55,Alexis-Davis,2.67
1341,Brandon Moreno vs Ryan Benoit,Brandon-Moreno,1.87,Ryan-Benoit,2.05
1342,Gray Maynard vs Ryan Hall,Ryan-Hall,2.1,Gray-Maynard,1.88
1343,Rob Font vs Matt Schnell,Rob-Font,1.44,Matt-Schnell,3.1
1344,Brendan O'Reilly vs Dong Hyun Ma,Dong-Hyun-Ma,1.87,Brendan-O'Reilly,2.02
1345,Kailin Curran vs Jamie Moyle,Jamie-Moyle,2.36,Kailin-Curran,1.68
1346,Elvis Mutapcic vs Anthony Smith,Anthony-Smith,1.89,Elvis-Mutapcic,2.01
1347,Josh Stansbury vs Devin Clark,Devin-Clark,2.02,Josh-Stansbury,1.87
1348,Robert Whittaker vs Derek Brunson,Robert-Whittaker,2.25,Derek-Brunson,1.75
1349,Jake Matthews vs Andrew Holbrook,Andrew-Holbrook,5.0,Jake-Matthews,1.22
1350,Omari Akhmedov vs Kyle Noke,Omari-Akhmedov,1.72,Kyle-Noke,2.35
1351,Yusuke Kasuya vs Alex Volkanovski,Alex-Volkanovski,1.57,Yusuke-Kasuya,2.65
1352,Khalil Rountree vs Tyson Pedro,Tyson-Pedro,2.15,Khalil-Rountree,1.89
1353,Seo Hee Ham vs Danielle Taylor,Danielle-Taylor,2.15,Seo-Hee-Ham,1.89
1354,Daniel Kelly vs Chris Camozzi,Daniel-Kelly,3.0,Chris-Camozzi,1.48
1355,Damien Brown vs Jon Tuck,Damien-Brown,2.2,Jon-Tuck,1.81
1356,Richard Walsh vs Jonathan Meunier,Jonathan-Meunier,2.05,Richard-Walsh,1.91
1357,Geane Herrera vs Ben Nguyen,Ben-Nguyen,1.91,Geane-Herrera,2.1
1358,Daniel Hooker vs Jason Knight,Jason-Knight,2.45,Daniel-Hooker,1.65
1359,Marlon Vera vs Ning Guangyou,Marlon-Vera,2.05,Ning-Guangyou,2.15
1360,Jenel Lausa vs Zhuikui Yao,Jenel-Lausa,1.87,Zhuikui-Yao,2.17
1361,Ryan Bader vs Rogerio Nogueira,Ryan-Bader,1.3,Rogerio-Nogueira,3.65
1362,Thomas Almeida vs Albert Morales,Thomas-Almeida,1.35,Albert-Morales,3.69
1363,Claudia Gadelha vs Cortney Casey,Claudia-Gadelha,1.28,Cortney-Casey,3.98
1364,Thales Leites vs Krzysztof Jotko,Krzysztof-Jotko,2.26,Thales-Leites,1.65
1365,Warlley Alves vs Kamaru Usman,Kamaru-Usman,1.5,Warlley-Alves,2.85
1366,Sergio Moraes vs Zak Ottow,Sergio-Moraes,1.43,Zak-Ottow,2.85
1367,Jack Hermansson vs Cezar Ferreira,Cezar-Ferreira,1.8,Jack-Hermansson,1.95
1368,Marcos Rogerio de Lima vs Gadzhimurad Antigulov,Gadzhimurad-Antigulov,2.47,Marcos-Rogerio-de-Lima,1.56
1369,Johnny Eduardo vs Manny Gamburyan,Johnny-Eduardo,1.41,Manny-Gamburyan,2.97
1370,Luis Henrique vs Christian Colombo,Luis-Henrique,1.35,Christian-Colombo,3.2
1371,Pedro Munhoz vs Justin Scoggins,Pedro-Munhoz,2.6,Justin-Scoggins,1.62
1372,Francimar Barroso vs Darren Stewart,Darren-Stewart,2.15,Francimar-Barroso,1.69
1373,Gegard Mousasi vs Urijah Hall,Gegard-Mousasi,1.2,Urijah-Hall,5.5
1374,Gegard Mousasi vs Urijah Hall,Urijah-Hall,5.5,Gegard-Mousasi,1.2
1375,Gegard Mousasi vs Urijah Hall,Gegard-Mousasi,1.2,Urijah-Hall,5.49
1376,Gegard Mousasi vs Urijah Hall,Urijah-Hall,5.49,Gegard-Mousasi,1.2
1377,Ross Pearson vs Stevie Ray,Stevie-Ray,1.95,Ross-Pearson,1.96
1378,Timothy Johnson vs Alexander Volkov,Alexander-Volkov,2.35,Timothy-Johnson,1.74
