,fight,winner,odds_w,loser,odds_l
0,Joanna Jedrzejczyk vs Michelle Waterson,Joanna-Jedrzejczyk,1.34,Michelle-Waterson,3.7
1,Cub Swanson vs Kron Gracie,Cub-Swanson,2.71,Kron-Gracie,1.55
2,James Vick vs Niko Price,Niko-Price,1.71,James-Vick,2.4
3,Mackenzie Dern vs Amanda Ribas,Amanda-Ribas,2.45,Mackenzie-Dern,1.67
4,Luis Pena vs Matt Frevola,Matt-Frevola,2.38,Luis-Pena,1.71
5,Eryk Anders vs Gerald Meerschaert,Eryk-Anders,1.77,Gerald-Meerschaert,2.2
6,Ryan Spann vs Devin Clark,Ryan-Spann,1.62,Devin-Clark,2.6
7,Mike Davis vs Thomas Gifford,Mike-Davis,1.37,Thomas-Gifford,3.68
8,Max Griffin vs Alex Morono,Alex-Morono,2.2,Max-Griffin,1.81
9,Deiveson Figueiredo vs Tim Elliott,Deiveson-Figueiredo,1.59,Tim-Elliott,2.65
10,Marlon Vera vs Andre Ewell,Marlon-Vera,1.77,Andre-Ewell,2.3
11,Hector Aldana vs Miguel Baeza,Miguel-Baeza,1.44,Hector-Aldana,3.2
12,Marvin Vettori vs Andrew Sanchez,Marvin-Vettori,1.28,Andrew-Sanchez,4.19
13,J.J. Aldrich vs Lauren Mueller,J.J.-Aldrich,1.69,Lauren-Mueller,2.5
14,Robert Whittaker vs Israel Adesanya,Israel-Adesanya,1.91,Robert-Whittaker,2.13
15,Daniel Hooker vs Al Iaquinta,Daniel-Hooker,1.83,Al-Iaquinta,2.25
16,Tai Tuivasa vs Sergey Spivak,Sergey-Spivak,3.75,Tai-Tuivasa,1.34
17,Luke Jumeau vs Dhiego Lima,Dhiego-Lima,1.74,Luke-Jumeau,2.25
18,Yorgan De Castro vs Justin Tafa,Yorgan-De-Castro,2.0,Justin-Tafa,1.94
19,Jake Matthews vs Rostem Akman,Jake-Matthews,1.28,Rostem-Akman,5.0
20,Callan Potter vs Maki Pitolo,Callan-Potter,4.15,Maki-Pitolo,1.3
21,Brad Riddell vs Jamie Mullarkey,Brad-Riddell,1.62,Jamie-Mullarkey,2.5
22,Megan Anderson vs Zara Fairn Dos Santos,Megan-Anderson,1.24,Zara-Fairn-Dos-Santos,5.2
23,Nadia Kassem vs Ji Yeon Kim,Ji-Yeon-Kim,1.59,Nadia-Kassem,2.6
24,Khalid Taha vs Bruno Silva,Khalid-Taha,1.49,Bruno-Silva,2.95
25,Jack Hermansson vs Jared Cannonier,Jared-Cannonier,3.5,Jack-Hermansson,1.38
26,Mark O. Madsen vs Danilo Belluardo,Mark-O.-Madsen,1.15,Danilo-Belluardo,7.0
27,Gunnar Nelson vs Gilbert Burns,Gilbert-Burns,1.91,Gunnar-Nelson,2.04
28,Ion Cutelaba vs Khalil Rountree,Ion-Cutelaba,2.0,Khalil-Rountree,1.95
29,Ovince St Preux vs Michal Oleksiejczuk,Ovince-St-Preux,3.48,Michal-Oleksiejczuk,1.4
30,Nicolas Dalby vs Alex Oliveira,Nicolas-Dalby,2.38,Alex-Oliveira,1.85
31,Alen Amedovski vs John Phillips,John-Phillips,2.15,Alen-Amedovski,1.83
32,Alessio Di Chirico vs Makhmud Muradov,Makhmud-Muradov,1.66,Alessio-Di-Chirico,2.48
33,Ismail Naurdiev vs Siyar Bahadurzada,Ismail-Naurdiev,1.5,Siyar-Bahadurzada,3.0
34,Brandon Davis vs Giga Chikadze,Giga-Chikadze,2.45,Brandon-Davis,1.66
35,Macy Chiasson vs Lina Lansberg,Lina-Lansberg,4.7,Macy-Chiasson,1.25
36,Lando Vannata vs Marc Diakiese,Marc-Diakiese,1.65,Lando-Vannata,2.55
37,Jack Shore vs Nohelin Hernandez,Jack-Shore,1.5,Nohelin-Hernandez,3.05
38,Carla Esparza vs Alexa Grasso,Carla-Esparza,2.4,Alexa-Grasso,1.71
39,Vanessa Melo vs Irene Aldana,Irene-Aldana,1.2,Vanessa-Melo,5.5
40,Martin Bravo vs Steven Peterson,Steven-Peterson,2.2,Martin-Bravo,1.8
41,Jose Quinonez vs Carlos Huachin,Jose-Quinonez,1.69,Carlos-Huachin,2.51
42,Marco Polo Reyes vs Kyle Nelson,Kyle-Nelson,1.96,Marco-Polo-Reyes,2.0
43,Angela Hill vs Ariane Carnelossi,Angela-Hill,2.02,Ariane-Carnelossi,2.0
44,Sergio Pettis vs Tyson Nam,Sergio-Pettis,1.37,Tyson-Nam,3.75
45,Vinicius Moreira vs Paul Craig,Paul-Craig,2.0,Vinicius-Moreira,2.03
46,Bethe Correia vs Sijara Eubanks,Bethe-Correia,3.79,Sijara-Eubanks,2.0
47,Claudio Puelles vs Marcos Mariano,Claudio-Puelles,1.33,Marcos-Mariano,4.28
48,Donald Cerrone vs Justin Gaethje,Justin-Gaethje,1.59,Donald-Cerrone,2.65
49,Glover Teixeira vs Nikita Krylov,Glover-Teixeira,2.0,Nikita-Krylov,1.93
50,Michel Pereira vs Tristan Connelly,Tristan-Connelly,5.0,Michel-Pereira,1.23
51,Urijah Hall vs Antonio Carlos Junior,Urijah-Hall,3.36,Antonio-Carlos-Junior,1.45
52,Misha Cirkunov vs Jim Crute,Misha-Cirkunov,2.0,Jim-Crute,1.91
53,Marcin Tybura vs Augusto Sakai,Augusto-Sakai,1.87,Marcin-Tybura,2.2
54,Cole Smith vs Miles Johns,Miles-Johns,1.77,Cole-Smith,2.25
55,Brad Katona vs Hunter Azure,Hunter-Azure,2.2,Brad-Katona,1.87
56,Chas Skelly vs Jordan Griffin,Chas-Skelly,2.45,Jordan-Griffin,1.67
57,Louis Smolka vs Ryan MacDonald,Louis-Smolka,1.48,Ryan-MacDonald,3.0
58,Austin Hubbard vs Kyle Prepolec,Austin-Hubbard,1.77,Kyle-Prepolec,2.29
59,Khabib Nurmagomedov vs Dustin Poirier,Khabib-Nurmagomedov,1.27,Dustin-Poirier,4.55
60,Edson Barboza vs Paul Felder,Paul-Felder,2.2,Edson-Barboza,1.87
61,Edson Barboza vs Paul Felder,Edson-Barboza,1.87,Paul-Felder,2.2
62,Edson Barboza vs Paul Felder,Paul-Felder,2.25,Edson-Barboza,1.75
63,Edson Barboza vs Paul Felder,Edson-Barboza,1.75,Paul-Felder,2.25
64,Islam Makhachev vs Davi Ramos,Islam-Makhachev,1.28,Davi-Ramos,4.25
65,Curtis Blaydes vs Shamil Abdurakhimov,Curtis-Blaydes,1.22,Shamil-Abdurakhimov,5.4
66,Mairbek Taisumov vs Carlos Diego Ferreira,Carlos-Diego-Ferreira,3.48,Mairbek-Taisumov,1.37
67,Joanne Calderwood vs Andrea Lee,Joanne-Calderwood,3.1,Andrea-Lee,1.45
68,Sarah Moras vs Liana Jojua,Sarah-Moras,2.45,Liana-Jojua,1.68
69,Teemu Packalen vs Ottman Azaitar,Ottman-Azaitar,1.54,Teemu-Packalen,2.9
70,Belal Muhammad vs Takashi Sato,Belal-Muhammad,1.27,Takashi-Sato,4.35
71,Nordine Taleb vs Muslim Salikhov,Muslim-Salikhov,2.15,Nordine-Taleb,1.83
72,Zak Cummings vs Omari Akhmedov,Omari-Akhmedov,1.9,Zak-Cummings,2.1
73,Fares Ziam vs Don Madge,Don-Madge,1.58,Fares-Ziam,2.69
74,Jessica Andrade vs Weili Zhang,Weili-Zhang,2.85,Jessica-Andrade,1.62
75,Elizeu Zaleski dos Santos vs Li Jingliang,Li-Jingliang,3.45,Elizeu-Zaleski-dos-Santos,1.39
76,Mark Delarosa vs Kai Kara-France,Kai-Kara-France,1.57,Mark-Delarosa,2.87
77,Kenan Song vs Derrick Krantz,Kenan-Song,2.0,Derrick-Krantz,1.95
78,Yanan Wu vs Mizuki Inoue,Mizuki-Inoue,0.0,Yanan-Wu,0.0
79,Anthony Hernandez vs Jun Yong Park,Anthony-Hernandez,1.71,Jun-Yong-Park,2.35
80,Andre Soukhamthath vs Su Mudaerji,Su-Mudaerji,2.45,Andre-Soukhamthath,1.65
81,Khadis Ibragimov vs Da Un Jung,Da-Un-Jung,3.48,Khadis-Ibragimov,1.4
82,Damir Ismagulov vs Thiago Moises,Damir-Ismagulov,1.51,Thiago-Moises,2.86
83,Danaa Batgerel vs Heili Alateng,Heili-Alateng,1.87,Danaa-Batgerel,2.05
84,Karolline Rosa Cavedo vs Lara Fritzen Procopio,Karolline-Rosa-Cavedo,1.91,Lara-Fritzen-Procopio,2.0
85,Daniel Cormier vs Stipe Miocic,Stipe-Miocic,2.39,Daniel-Cormier,1.75
86,Daniel Cormier vs Stipe Miocic,Daniel-Cormier,1.75,Stipe-Miocic,2.39
87,Daniel Cormier vs Stipe Miocic,Stipe-Miocic,1.54,Daniel-Cormier,2.77
88,Daniel Cormier vs Stipe Miocic,Daniel-Cormier,2.77,Stipe-Miocic,1.54
89,Nate Diaz vs Anthony Pettis,Nate-Diaz,2.12,Anthony-Pettis,1.87
90,Yoel Romero vs Paulo Costa,Paulo-Costa,2.45,Yoel-Romero,1.73
91,Gabriel Benitez vs Sodiq Yusuff,Sodiq-Yusuff,1.39,Gabriel-Benitez,3.45
92,Derek Brunson vs Ian Heinisch,Derek-Brunson,2.4,Ian-Heinisch,1.69
93,Devonte Smith vs Khama Worthy,Khama-Worthy,8.75,Devonte-Smith,1.12
94,Cory Sandhagen vs Raphael Assuncao,Cory-Sandhagen,1.44,Raphael-Assuncao,3.25
95,Christos Giagos vs Drakkar Klose,Drakkar-Klose,1.59,Christos-Giagos,2.7
96,Casey Kenney vs Manny Bermudez,Casey-Kenney,2.5,Manny-Bermudez,1.63
97,Hannah Cifers vs Jodie Esquibel,Hannah-Cifers,1.36,Jodie-Esquibel,3.55
98,Brandon Davis vs Kyung Ho Kang,Kyung-Ho-Kang,1.55,Brandon-Davis,2.75
99,Sabina Mazo vs Shana Dobson,Sabina-Mazo,1.87,Shana-Dobson,2.31
100,Valentina Shevchenko vs Liz Carmouche,Valentina-Shevchenko,1.11,Liz-Carmouche,9.75
101,Vicente Luque vs Mike Perry,Vicente-Luque,1.45,Mike-Perry,3.05
102,Humberto Bandenay vs Luiz Garagorri,Luiz-Garagorri,1.8,Humberto-Bandenay,2.27
103,Volkan Oezdemir vs Ilir Latifi,Volkan-Oezdemir,1.67,Ilir-Latifi,2.6
104,Oskar Piechota vs Rodolfo Vieira,Rodolfo-Vieira,1.53,Oskar-Piechota,2.9
105,Enrique Barzola vs Bobby Moffett,Enrique-Barzola,1.71,Bobby-Moffett,2.41
106,Alexey Kunchenko vs Gilbert Burns,Gilbert-Burns,2.25,Alexey-Kunchenko,1.76
107,Raphael Pessoa vs Ciryl Gane,Ciryl-Gane,1.23,Raphael-Pessoa,5.05
108,Tecia Torres vs Marina Alcalde Rodriguez,Marina-Alcalde-Rodriguez,2.49,Tecia-Torres,1.67
109,Raulian Paiva vs Rogerio Bontorin,Rogerio-Bontorin,2.0,Raulian-Paiva,1.93
110,Geraldo De Freitas Jr. vs Chris Gutierrez,Chris-Gutierrez,2.46,Geraldo-De-Freitas-Jr.,1.69
111,Rodrigo Vargas vs Alex da SilvaResult: Alex da Silva won by decision Picking Vargas straight up iakamber 1u lost -1u @3.20 Dog Catcher 1u lost -1u @3.25 BMMA User 0.5u lost -0.5u @3.50 BMMA User 2u lost -2u @3.25 Bet Winner 5u lost -5u @3.79Picking Vargas as part of a parlay Mike Alexander Over 0.5 rounds @4.90 Predictions UFC straight pick @3.25 Picking da Silva straight up KnockOut 5u won 2.2u @1.44 MMAPREDICTIONGURU 5u won 2.0u @1.39 Jake Thomas 2.5u won 1.0u @1.40 QueensDaughter 6u won 2.3u @1.38 MikesMMApicks 1.5u won 0.6u @1.38 KOP KingOfParlays 2u won 0.7u @1.37 MattyNice 1u won 0.4u @1.38 CoolHandJack17 1u won 0.4u @1.36 Lucky Guy 2u won 0.7u @1.35 Txrunning 1u won 0.7u @1.71 The Storm 3u won 1.4u @1.45 GorillaPix 1u won 0.4u @1.38 Bennosuke the MF man 3u won 1.0u @1.34 Ex user 3u won 0.9u @1.30 Alexander Melchiott 1u won 0.3u @1.28 BIGS TIPS 10u won 3.6u @1.36 Grapple Boxing 1u won 0.3u @1.33Picking da Silva as part of a parlay KnockOut straight pick @1.44 DIRTYMITTENMMA straight pick @1.43 P J Jones straight pick @1.42 phillip53 straight pick @1.38 MikesMMApicks straight pick @1.38 MMA Selector straight pick @1.37 bwol MMA straight pick @1.36 JoanCombatPicks wins by TKO/KO @4.15 a wins by TKO/KO @4.15 KOP KingOfParlays straight pick @1.38 Anthony Venutolo wins inside distance @2.62 MagicM wins inside distance @2.56 ARM N HAMMER wins inside distance @2.56 ARM N HAMMER straight pick @1.36 TMM wins inside distance @2.40 Sleaze Nation straight pick @1.36 JoanCombatPicks straight pick @1.35 KOP KingOfParlays straight pick @1.38 KingPIcksMMA straight pick @1.32 MMA Prophit straight pick @1.40 Quinn straight pick @1.33 Pumba MMA straight pick @1.36 Ya Boi Picks straight pick @1.36 P J Jones straight pick @1.35 Danny Sanchez wins inside distance @2.05 WarriorBet MMA straight pick @1.39 P J Jones wins by KO/TKO or Sub @2.40 vegeta straight pick @1.36 GorillaPix Under 2.5 rounds @1.76 DarkHorse MMAus straight pick @1.36 BMMA User straight pick @1.36 Wellstack MMA straight pick @1.36 James Higgins straight pick @1.36 Alexander Melchiott straight pick @1.34 RoganMMA straight pick @1.40 The Enfuego straight pick @1.30 _ wins inside distance @2.20 Marlo Stanfield TBE straight pick @1.44 Marlo Stanfield TBE wins in round 3/Dec @2.10  Parlays with no winner selected Gugabe Picks Fight doesn't go to decision @2.30 gem779 Fight doesn't go to decision @2.30 JoanCombatPicks Fight doesn't go to decision @1.91 MagicM Fight doesn't go to decision @1.61 TMM Fight doesn't go to decision @1.61 Anthony Venutolo Fight doesn't go to decision @1.56 Gugabe Picks Fight ends by (T)KO @2.80 do-jinmono Fight doesn't go to decision @1.73 BenlikesfoodMMA Under 2.5 rounds @1.69 GorillaPix Fight doesn't go to decision @1.61 MattyNice Fight doesn't go to decision @1.61 ncow Fight doesn't go to decision @1.68 Alexander Melchiott Fight doesn't go to decision @1.61 BMMA User Fight doesn't go to decision @2.05 The Enfuego Fight doesn't go to decision @1.61,Alex-da-Silva,2.35,Rodrigo-Vargas,3.84
112,Veronica Macedo vs Polyana Viana,Veronica-Macedo,1.74,Polyana-Viana,2.3
113,Colby Covington vs Robbie Lawler,Colby-Covington,1.44,Robbie-Lawler,3.78
114,Clay Guida vs Jim Miller,Jim-Miller,1.69,Clay-Guida,2.35
115,Joaquim Silva vs Nasrat Haqparast,Nasrat-Haqparast,1.36,Joaquim-Silva,4.3
116,Gerald Meerschaert vs Trevin Giles,Gerald-Meerschaert,2.55,Trevin-Giles,1.61
117,Scott Holtzman vs Dong Hyun Ma,Scott-Holtzman,1.27,Dong-Hyun-Ma,4.5
118,Darko Stosic vs Kennedy Nzechukwu,Kennedy-Nzechukwu,2.1,Darko-Stosic,1.91
119,Mickey Gall vs Salim Touahri,Mickey-Gall,2.1,Salim-Touahri,1.89
120,Antonina Shevchenko vs Lucie Pudilova,Antonina-Shevchenko,1.71,Lucie-Pudilova,2.36
121,Matt Schnell vs Jordan Espinosa,Matt-Schnell,2.45,Jordan-Espinosa,1.77
122,Mara Romero Borella vs Lauren Murphy,Lauren-Murphy,2.85,Mara-Romero-Borella,1.5
123,Claudio Silva vs Cole Williams,Claudio-Silva,1.2,Cole-Williams,5.4
124,Hannah Goldy vs Miranda Granger,Miranda-Granger,2.1,Hannah-Goldy,1.91
125,Rafael dos Anjos vs Leon Edwards,Leon-Edwards,1.93,Rafael-dos-Anjos,2.04
126,Walt Harris vs Aleksei Oleinik,Walt-Harris,1.71,Aleksei-Oleinik,2.4
127,Greg Hardy vs Juan Adams,Greg-Hardy,2.16,Juan-Adams,1.94
128,James Vick vs Daniel Hooker,Daniel-Hooker,1.83,James-Vick,2.23
129,Alexander Hernandez vs Francisco Trinaldo,Alexander-Hernandez,1.5,Francisco-Trinaldo,2.95
130,Andrei Arlovski vs Ben Rothwell,Andrei-Arlovski,2.65,Ben-Rothwell,1.58
131,Alex Caceres vs Steven Peterson,Alex-Caceres,1.97,Steven-Peterson,2.0
132,Irene Aldana vs Raquel Pennington,Raquel-Pennington,2.32,Irene-Aldana,1.76
133,Sam Alvey vs Klidson Farias de Abreu,Klidson-Farias-de-Abreu,1.62,Sam-Alvey,2.71
134,Jennifer Maia vs Roxanne Modafferi,Jennifer-Maia,1.79,Roxanne-Modafferi,2.28
135,Ray Borg vs Gabriel Silva,Ray-Borg,1.62,Gabriel-Silva,2.6
136,Mario Bautista vs Jin Soo Son,Mario-Bautista,2.6,Jin-Soo-Son,2.45
137,Felipe Colares vs Domingo Pilarte,Felipe-Colares,4.05,Domingo-Pilarte,1.3
138,Germaine de Randamie vs Aspen Ladd,Germaine-de-Randamie,2.2,Aspen-Ladd,1.89
139,Urijah Faber vs Ricky Simon,Urijah-Faber,4.2,Ricky-Simon,1.4
140,Josh Emmett vs Mirsad Bektic,Josh-Emmett,2.5,Mirsad-Bektic,1.62
141,Karl Roberson vs Wellington Turman,Karl-Roberson,1.54,Wellington-Turman,2.9
142,Cezar Ferreira vs Marvin Vettori,Marvin-Vettori,1.62,Cezar-Ferreira,2.9
143,John Allan vs Mike Rodriguez,John-Allan,4.6,Mike-Rodriguez,1.26
144,Andre Fili vs Sheymon da Silva Moraes,Andre-Fili,1.72,Sheymon-da-Silva-Moraes,2.45
145,Julianna Pena vs Nicco Montano,Julianna-Pena,1.53,Nicco-Montano,3.07
146,Ryan Hall vs Darren Elkins,Ryan-Hall,2.03,Darren-Elkins,1.95
147,Jonathan Martinez vs Pingyuan Liu,Jonathan-Martinez,2.64,Pingyuan-Liu,1.61
148,Brianna Van Buren vs Livia Renata Souza,Brianna-Van-Buren,2.01,Livia-Renata-Souza,2.0
149,Benito Lopez vs Vincent Morales,Benito-Lopez,2.05,Vincent-Morales,1.99
150,Jon Jones vs Thiago Santos,Jon-Jones,1.19,Thiago-Santos,6.13
151,Amanda Nunes vs Holly Holm,Amanda-Nunes,1.34,Holly-Holm,4.63
152,Ben Askren vs Jorge Masvidal,Jorge-Masvidal,2.9,Ben-Askren,1.51
153,Luke Rockhold vs Jan Blachowicz,Jan-Blachowicz,3.25,Luke-Rockhold,1.43
154,Michael Chiesa vs Diego Sanchez,Michael-Chiesa,1.31,Diego-Sanchez,4.5
155,Arnold Allen vs Gilbert Melendez,Arnold-Allen,1.33,Gilbert-Melendez,3.81
156,Nohelin Hernandez vs Marlon Vera,Marlon-Vera,1.23,Nohelin-Hernandez,4.9
157,Claudia Gadelha vs Randa Markos,Claudia-Gadelha,1.54,Randa-Markos,2.9
158,Alejandro Perez vs Yadong Song,Yadong-Song,1.53,Alejandro-Perez,2.76
159,Jack Marshman vs Edmen Shahbazyan,Edmen-Shahbazyan,1.21,Jack-Marshman,6.5
160,Ismail Naurdiev vs Chance Rencountre,Chance-Rencountre,5.92,Ismail-Naurdiev,1.18
161,Pannie Kianzad vs Julia Avila,Julia-Avila,1.44,Pannie-Kianzad,3.2
162,Junior dos Santos vs Francis Ngannou,Francis-Ngannou,1.5,Junior-dos-Santos,2.9
163,Joseph Benavidez vs Jussier Formiga,Joseph-Benavidez,1.87,Jussier-Formiga,2.2
164,Demian Maia vs Tony Martin,Demian-Maia,1.57,Tony-Martin,2.69
165,Roosevelt Roberts vs Vinc Pichel,Vinc-Pichel,3.3,Roosevelt-Roberts,1.4
166,Drew Dober vs Marco Polo Reyes,Drew-Dober,1.29,Marco-Polo-Reyes,4.65
167,Alonzo Menifield vs Paul Craig,Alonzo-Menifield,1.36,Paul-Craig,3.72
168,Journey Newson vs Ricardo Ramos,Ricardo-Ramos,1.3,Journey-Newson,4.4
169,Eryk Anders vs Vinicius Moreira,Eryk-Anders,1.35,Vinicius-Moreira,3.75
170,Jared Gordon vs Dan Moret,Jared-Gordon,1.31,Dan-Moret,3.95
171,Dequan Townsend vs Dalcha Lungiambula,Dalcha-Lungiambula,1.3,Dequan-Townsend,4.55
172,Emily Whitmire vs Amanda Ribas,Amanda-Ribas,2.7,Emily-Whitmire,1.59
173,Maurice Greene vs Junior Albini,Maurice-Greene,1.91,Junior-Albini,2.02
174,Renato Moicano vs Chan Sung Jung,Chan-Sung-Jung,2.81,Renato-Moicano,1.54
175,Bryan Barberena vs Randy Brown,Randy-Brown,3.25,Bryan-Barberena,1.45
176,Anderson dos Santos vs Andre Ewell,Andre-Ewell,1.91,Anderson-dos-Santos,2.23
177,Andrea Lee vs Montana De La Rosa,Andrea-Lee,1.61,Montana-De-La-Rosa,2.65
178,Alessio Di Chirico vs Kevin Holland,Kevin-Holland,1.51,Alessio-Di-Chirico,3.0
179,Dan Ige vs Kevin Aguilar,Dan-Ige,2.33,Kevin-Aguilar,1.74
180,Ashley Yoder vs Syuri Kondo,Ashley-Yoder,1.8,Syuri-Kondo,2.15
181,Luis Pena vs Matt Wiman,Luis-Pena,1.28,Matt-Wiman,4.28
182,Allen Crowder vs Jairzinho Rozenstruik,Jairzinho-Rozenstruik,1.5,Allen-Crowder,2.99
183,Ariane Lipski vs Molly McCann,Molly-McCann,3.34,Ariane-Lipski,1.43
184,Deron Winn vs Eric Spicely,Deron-Winn,1.36,Eric-Spicely,4.09
185,Marlon Moraes vs Henry Cejudo,Henry-Cejudo,2.5,Marlon-Moraes,1.81
186,Valentina Shevchenko vs Jessica Eye,Valentina-Shevchenko,1.1,Jessica-Eye,9.3
187,Tony Ferguson vs Donald Cerrone,Tony-Ferguson,1.53,Donald-Cerrone,2.93
188,Petr Yan vs Jimmie Rivera,Petr-Yan,1.34,Jimmie-Rivera,4.15
189,Tai Tuivasa vs Blagoy Ivanov,Blagoy-Ivanov,2.45,Tai-Tuivasa,1.71
190,Tatiana Suarez vs Nina Ansaroff,Tatiana-Suarez,1.17,Nina-Ansaroff,6.75
191,Aljamain Sterling vs Pedro Munhoz,Aljamain-Sterling,1.73,Pedro-Munhoz,2.5
192,Karolina Kowalkiewicz vs Alexa Grasso,Alexa-Grasso,2.0,Karolina-Kowalkiewicz,2.08
193,Ricardo Lamas vs Calvin Kattar,Calvin-Kattar,1.67,Ricardo-Lamas,2.62
194,Angela Hill vs Yan Xiaonan,Yan-Xiaonan,1.53,Angela-Hill,3.15
195,Bevon Lewis vs Darren Stewart,Darren-Stewart,2.6,Bevon-Lewis,1.63
196,Eddie Wineland vs Grigory Popov,Eddie-Wineland,1.73,Grigory-Popov,2.41
197,Joanne Calderwood vs Katlyn Chookagian,Katlyn-Chookagian,1.98,Joanne-Calderwood,1.98
198,Alexander Gustafsson vs Anthony Smith,Anthony-Smith,3.85,Alexander-Gustafsson,1.34
199,Jimi Manuwa vs Aleksandar Rakic,Aleksandar-Rakic,1.44,Jimi-Manuwa,3.25
200,Makwan Amirkhani vs Chris Fishgold,Makwan-Amirkhani,1.91,Chris-Fishgold,2.13
201,Christos Giagos vs Damir Hadzovic,Christos-Giagos,2.45,Damir-Hadzovic,1.65
202,Daniel Teymur vs Sung Bin Jo,Daniel-Teymur,2.3,Sung-Bin-Jo,1.77
203,Rostem Akman vs Sergey Khandozhko,Sergey-Khandozhko,1.69,Rostem-Akman,2.45
204,Tonya Evinger vs Lina Lansberg,Lina-Lansberg,4.15,Tonya-Evinger,1.33
205,Leonardo Santos vs Stevie Ray,Leonardo-Santos,1.67,Stevie-Ray,2.5
206,Nick Hein vs Frank Camacho,Frank-Camacho,1.8,Nick-Hein,2.21
207,Duda Santana vs Bea Malecki,Bea-Malecki,1.88,Duda-Santana,2.1
208,Devin Clark vs Darko Stosic,Devin-Clark,2.05,Darko-Stosic,2.04
209,Joel Alvarez vs Danilo Belluardo,Joel-Alvarez,2.0,Danilo-Belluardo,1.93
210,Kevin Lee vs Rafael dos Anjos,Rafael-dos-Anjos,2.35,Kevin-Lee,1.74
211,Ian Heinisch vs Antonio Carlos Junior,Ian-Heinisch,2.5,Antonio-Carlos-Junior,1.62
212,Megan Anderson vs Felicia Spencer,Felicia-Spencer,2.9,Megan-Anderson,1.49
213,Vicente Luque vs Derrick Krantz,Vicente-Luque,1.1,Derrick-Krantz,9.25
214,Charles Oliveira vs Nik Lentz,Charles-Oliveira,1.29,Nik-Lentz,4.28
215,Davi Ramos vs Austin Hubbard,Davi-Ramos,1.21,Austin-Hubbard,5.35
216,Aspen Ladd vs Sijara Eubanks,Aspen-Ladd,1.4,Sijara-Eubanks,3.5
217,Desmond Green vs Charles Jourdain,Desmond-Green,1.17,Charles-Jourdain,7.6
218,Michel Pereira vs Danny Roberts,Michel-Pereira,3.2,Danny-Roberts,1.42
219,Grant Dawson vs Mike Trizano,Grant-Dawson,1.73,Mike-Trizano,2.45
220,Patrick Cummins vs Ed Herman,Ed-Herman,3.15,Patrick-Cummins,1.43
221,Zak Cummings vs Trevin Giles,Zak-Cummings,2.74,Trevin-Giles,1.62
222,Julio Arce vs Julian Erosa,Julio-Arce,1.14,Julian-Erosa,7.0
223,Rose Namajunas vs Jessica Andrade,Jessica-Andrade,1.87,Rose-Namajunas,2.38
224,Anderson Silva vs Jared Cannonier,Jared-Cannonier,1.9,Anderson-Silva,2.05
225,Jose Aldo vs Alex Volkanovski,Alex-Volkanovski,2.35,Jose-Aldo,1.83
226,Laureano Staropoli vs Thiago Alves,Laureano-Staropoli,2.1,Thiago-Alves,1.91
227,Irene Aldana vs Bethe Correia,Irene-Aldana,1.3,Bethe-Correia,4.36
228,Rogerio Nogueira vs Ryan Spann,Ryan-Spann,1.83,Rogerio-Nogueira,2.2
229,Kurt Holobaugh vs Thiago Moises,Thiago-Moises,1.87,Kurt-Holobaugh,2.11
230,Sergio Moraes vs Warlley Alves,Warlley-Alves,1.77,Sergio-Moraes,2.25
231,B.J. Penn vs Clay Guida,Clay-Guida,1.18,B.J.-Penn,6.7
232,Priscila Cachoeira vs Luana Carolina,Luana-Carolina,1.61,Priscila-Cachoeira,2.58
233,Carlos Huachin vs Raoni Barcelos,Raoni-Barcelos,1.11,Carlos-Huachin,9.0
234,Talita Bernardo vs Viviane Araujo,Viviane-Araujo,3.51,Talita-Bernardo,1.37
235,Al Iaquinta vs Donald Cerrone,Donald-Cerrone,2.2,Al-Iaquinta,1.8
236,Elias Theodorou vs Derek Brunson,Derek-Brunson,2.03,Elias-Theodorou,1.95
237,Cub Swanson vs Shane Burgos,Shane-Burgos,1.65,Cub-Swanson,2.64
238,Brad Katona vs Merab Dvalishvili,Merab-Dvalishvili,1.65,Brad-Katona,2.57
239,Walt Harris vs Sergey Spivak,Walt-Harris,1.62,Sergey-Spivak,2.5
240,Andrew Sanchez vs Marc-Andre Barriault,Andrew-Sanchez,1.67,Marc-Andre-Barriault,2.45
241,Sarah Moras vs Macy Chiasson,Macy-Chiasson,1.17,Sarah-Moras,6.4
242,Aiemann Zahabi vs Vincent Morales,Vincent-Morales,2.6,Aiemann-Zahabi,1.62
243,Nordine Taleb vs Kyle Prepolec,Nordine-Taleb,1.25,Kyle-Prepolec,4.9
244,Kyle Nelson vs Matt Sayles,Matt-Sayles,1.55,Kyle-Nelson,2.8
245,Juan Adams vs Arjan Bhullar,Arjan-Bhullar,2.22,Juan-Adams,1.77
246,Mitch Gagnon vs Cole Smith,Cole-Smith,2.15,Mitch-Gagnon,1.85
247,Jack Hermansson vs Ronaldo Souza,Jack-Hermansson,3.0,Ronaldo-Souza,1.5
248,Greg Hardy vs Dmitry Smoliakov,Greg-Hardy,0.0,Dmitry-Smoliakov,0.0
249,Alex Oliveira vs Mike Perry,Mike-Perry,2.5,Alex-Oliveira,1.62
250,Glover Teixeira vs Ion Cutelaba,Glover-Teixeira,1.92,Ion-Cutelaba,2.05
251,John Lineker vs Cory Sandhagen,Cory-Sandhagen,2.4,John-Lineker,1.69
