,Weight class,Method,Round,Time,location,date,fighturl,eventurl,winner,loser
0,Featherweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/c3bb60dc82345a9f,http://ufcstats.com/event-details/8d5daf67983b65ba,Zabit Magomedsharipov,Calvin Kattar
1,Heavyweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/3cd1f2c31b4e325a,http://ufcstats.com/event-details/8d5daf67983b65ba,Alexander Volkov,Greg Hardy
2,Welterweight,KO/TKO  Punch,2,4:54,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/071a1cd551b7b4d5,http://ufcstats.com/event-details/8d5daf67983b65ba,Danny Roberts,Zelim Imadaev
3,Light Heavyweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/408fc024d3e91b0e,http://ufcstats.com/event-details/8d5daf67983b65ba,Ed Herman,Khadis Ibragimov
4,Welterweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/1317d7cd79495a0e,http://ufcstats.com/event-details/8d5daf67983b65ba,Anthony Rocco Martin,Ramazan Emeev
5,Light Heavyweight,S-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/f820c6292e19d854,http://ufcstats.com/event-details/8d5daf67983b65ba,Shamil Gamzatov,Klidson Abreu
6,Light Heavyweight,KO/TKO  Kick,3,0:29,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/343749a2f7c5d78b,http://ufcstats.com/event-details/8d5daf67983b65ba,Magomed Ankalaev,Dalcha Lungiambula
7,Welterweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/c8dfcbee63266273,http://ufcstats.com/event-details/8d5daf67983b65ba,Rustam Khabilov,Sergey Khandozhko
8,Middleweight,SUB  Rear Naked Choke,3,4:01,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/495e64df4c4ce7a7,http://ufcstats.com/event-details/8d5daf67983b65ba,Karl Roberson,Roman Kopylov
9,Welterweight,SUB  Triangle Choke,1,2:50,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/1af574c0814429ac,http://ufcstats.com/event-details/8d5daf67983b65ba,David Zawada,Abubakar Nurmagomedov
10,Lightweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/a7807ab56cb49cad,http://ufcstats.com/event-details/8d5daf67983b65ba,Roosevelt Roberts,Alexander Yakovlev
11,Women's Bantamweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/c814ef3b3a26e2fe,http://ufcstats.com/event-details/8d5daf67983b65ba,Pannie Kianzad,Jessica-Rose Clark
12,Bantamweight,S-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/f0418c2c989a5cde,http://ufcstats.com/event-details/8d5daf67983b65ba,Davey Grant,Grigorii Popov
13,Welterweight,KO/TKO,3,5:00,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/ac0a63ad13897564,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Jorge Masvidal,Nate Diaz
14,Middleweight,S-DEC,3,5:00,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/7c40aa2cb6883a91,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Darren Till,Kelvin Gastelum
15,Welterweight,U-DEC,3,5:00,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/28deed0ab55ca350,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Stephen Thompson,Vicente Luque
16,Heavyweight,S-DEC,3,5:00,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/f870cacadb058733,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Derrick Lewis,Blagoy Ivanov
17,Lightweight,KO/TKO  Kick,1,2:47,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/d5955b81c26230ff,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Kevin Lee,Gregor Gillespie
18,Light Heavyweight,KO/TKO  Punches,1,2:07,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/a2af14e9dba37b03,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Corey Anderson,Johnny Walker
19,Featherweight,KO/TKO  Punch,3,4:32,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/216fddf542707629,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Shane Burgos,Makwan Amirkhani
20,Middleweight,KO/TKO  Kick,1,2:27,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/a3e8ef1ce72a7d02,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Edmen Shahbazyan,Brad Tavares
21,Heavyweight,KO/TKO  Punch,1,0:29,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/83f7c3b91a402306,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Jairzinho Rozenstruik,Andrei Arlovski
22,Women's Flyweight,U-DEC,3,5:00,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/515ecc54219bcc4c,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Katlyn Chookagian,Jennifer Maia
23,Welterweight,KO/TKO  Punch,3,2:03,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/a6c29d2cb319d923,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Lyman Good,Chance Rencountre
24,Featherweight,S-DEC,3,5:00,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/d7cbe2f23d75afd1,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Hakeem Dawodu,Julio Arce
25,Welterweight,SUB  Rear Naked Choke,3,3:54,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/241a0833e1c76804,http://ufcstats.com/event-details/df05aa15b2d66f57,Demian Maia,Ben Askren
26,Lightweight,M-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/3162ae3ccbf785ac,http://ufcstats.com/event-details/df05aa15b2d66f57,Stevie Ray,Michael Johnson
27,Lightweight,SUB  Rear Naked Choke,1,2:02,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/b2d05ae88f820421,http://ufcstats.com/event-details/df05aa15b2d66f57,Beneil Dariush,Frank Camacho
28,Heavyweight,SUB  Heel Hook,3,4:46,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/41b75c9222c33cdf,http://ufcstats.com/event-details/df05aa15b2d66f57,Ciryl Gane,Don'Tale Mayes
29,Welterweight,U-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/89266a872e1f92d9,http://ufcstats.com/event-details/df05aa15b2d66f57,Muslim Salikhov,Laureano Staropoli
30,Women's Strawweight,S-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/1f9a6f2120835615,http://ufcstats.com/event-details/df05aa15b2d66f57,Randa Markos,Ashley Yoder
31,Lightweight,U-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/1c91deb42b991d18,http://ufcstats.com/event-details/df05aa15b2d66f57,Rafael Fiziev,Alex White
32,Featherweight,U-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/a4527094aa107b55,http://ufcstats.com/event-details/df05aa15b2d66f57,Movsar Evloev,Enrique Barzola
33,Heavyweight,KO/TKO  Punches,1,2:11,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/cc477d322638ba30,http://ufcstats.com/event-details/df05aa15b2d66f57,Sergei Pavlovich,Maurice Greene
34,Women's Strawweight,S-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/4ea4d0a73a90bfb0,http://ufcstats.com/event-details/df05aa15b2d66f57,Loma Lookboonmee,Alexandra Albu
35,Heavyweight,U-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/3d9aeef58dd0b51b,http://ufcstats.com/event-details/df05aa15b2d66f57,Raphael Pessoa,Jeff Hughes
36,Light Heavyweight,KO/TKO  Punches,1,1:43,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/0d1d7cfb2a48d5ec,http://ufcstats.com/event-details/3ae10ac4df3df05c,Dominick Reyes,Chris Weidman
37,Featherweight,U-DEC,3,5:00,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/d2dc6fb05ad78d80,http://ufcstats.com/event-details/3ae10ac4df3df05c,Yair Rodriguez,Jeremy Stephens
38,Lightweight,KO/TKO  Punches,1,1:33,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/57d989702ae72dc1,http://ufcstats.com/event-details/3ae10ac4df3df05c,Joe Lauzon,Jonathan Pearce
39,Women's Flyweight,KO/TKO  Punches,1,3:04,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/7510b0c96f5707ea,http://ufcstats.com/event-details/3ae10ac4df3df05c,Maycee Barber,Gillian Robertson
40,Middleweight,S-DEC,3,5:00,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/93f3e9b9f093ad57,http://ufcstats.com/event-details/3ae10ac4df3df05c,Darren Stewart,Deron Winn
41,Featherweight,SUB  Armbar,1,2:46,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/076c98ac0561521f,http://ufcstats.com/event-details/3ae10ac4df3df05c,Charles Rosa,Manny Bermudez
42,Women's Flyweight,U-DEC,3,5:00,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/baf17e5e1fe1c744,http://ufcstats.com/event-details/3ae10ac4df3df05c,Molly McCann,Diana Belbita
43,Featherweight,U-DEC,3,5:00,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/9c3fb95a1558b38d,http://ufcstats.com/event-details/3ae10ac4df3df05c,Sean Woodson,Kyle Bochniak
44,Bantamweight,KO/TKO  Punch,1,2:15,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/38d6c2538ce6ec4c,http://ufcstats.com/event-details/3ae10ac4df3df05c,Randy Costa,Boston Salmon
45,Welterweight,U-DEC,3,5:00,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/26d75187369ecf2c,http://ufcstats.com/event-details/3ae10ac4df3df05c,Sean Brady,Court McGee
46,Middleweight,SUB  Rear Naked Choke,2,3:38,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/74b44635535cb290,http://ufcstats.com/event-details/3ae10ac4df3df05c,Brendan Allen,Kevin Holland
47,Heavyweight,U-DEC,3,5:00,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/1e3d3545b6dd13a7,http://ufcstats.com/event-details/3ae10ac4df3df05c,Tanner Boser,Daniel Spitz
48,Women's Strawweight,U-DEC,5,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/f61f5adf7e0a80c4,http://ufcstats.com/event-details/0941df56f6ac954b,Joanna Jedrzejczyk,Michelle Waterson
49,Featherweight,U-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/707ba52845d399c9,http://ufcstats.com/event-details/0941df56f6ac954b,Cub Swanson,Kron Gracie
50,Welterweight,KO/TKO  Kick,1,1:44,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/f3169b755afcdc5b,http://ufcstats.com/event-details/0941df56f6ac954b,Niko Price,James Vick
51,Women's Strawweight,U-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/2d7f29ec900a8948,http://ufcstats.com/event-details/0941df56f6ac954b,Amanda Ribas,Mackenzie Dern
52,Lightweight,S-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/bed2710e06dabe6a,http://ufcstats.com/event-details/0941df56f6ac954b,Matt Frevola,Luis Pena
53,Middleweight,S-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/834f67e96612cd6f,http://ufcstats.com/event-details/0941df56f6ac954b,Eryk Anders,Gerald Meerschaert
54,Light Heavyweight,SUB  Guillotine Choke,2,2:01,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/25548d526c3a7587,http://ufcstats.com/event-details/0941df56f6ac954b,Ryan Spann,Devin Clark
55,Lightweight,KO/TKO  Punch,3,4:45,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/6a0217099efee13f,http://ufcstats.com/event-details/0941df56f6ac954b,Mike Davis,Thomas Gifford
56,Welterweight,U-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/c5b8a996eff18540,http://ufcstats.com/event-details/0941df56f6ac954b,Alex Morono,Max Griffin
57,Flyweight,SUB  Guillotine Choke,1,3:08,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/18dde81d45ac2232,http://ufcstats.com/event-details/0941df56f6ac954b,Deiveson Figueiredo,Tim Elliott
58,Bantamweight,KO/TKO  Elbows,3,3:17,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/70f01e9ff0b4e519,http://ufcstats.com/event-details/0941df56f6ac954b,Marlon Vera,Andre Ewell
59,Welterweight,KO/TKO  Kick,2,2:32,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/1d26ceb1c995655e,http://ufcstats.com/event-details/0941df56f6ac954b,Miguel Baeza,Hector Aldana
60,Middleweight,U-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/bac178dea57bd545,http://ufcstats.com/event-details/0941df56f6ac954b,Marvin Vettori,Andrew Sanchez
61,Women's Flyweight,U-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/64bee58391921b4b,http://ufcstats.com/event-details/0941df56f6ac954b,JJ Aldrich,Lauren Mueller
62,Middleweight,KO/TKO  Punch,2,3:33,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/2556b7520536ce1d,http://ufcstats.com/event-details/3cf68c1d17f66af7,Israel Adesanya,Robert Whittaker
63,Lightweight,U-DEC,3,5:00,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/0697d5520b74a8df,http://ufcstats.com/event-details/3cf68c1d17f66af7,Dan Hooker,Al Iaquinta
64,Heavyweight,SUB  Arm Triangle,2,3:14,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/8cd7ca0e7b861b3d,http://ufcstats.com/event-details/3cf68c1d17f66af7,Serghei Spivac,Tai Tuivasa
65,Welterweight,S-DEC,3,5:00,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/fd0fd9a2d6ef8c4f,http://ufcstats.com/event-details/3cf68c1d17f66af7,Dhiego Lima,Luke Jumeau
66,Heavyweight,KO/TKO  Punch,1,2:10,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/9dfac33cd3ae4afd,http://ufcstats.com/event-details/3cf68c1d17f66af7,Yorgan De Castro,Justin Tafa
67,Welterweight,U-DEC,3,5:00,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/1cb7138b107b93b5,http://ufcstats.com/event-details/3cf68c1d17f66af7,Jake Matthews,Rostem Akman
68,Welterweight,U-DEC,3,5:00,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/578987d534a0d205,http://ufcstats.com/event-details/3cf68c1d17f66af7,Callan Potter,Maki Pitolo
69,Lightweight,U-DEC,3,5:00,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/83d59f5e52e0ac46,http://ufcstats.com/event-details/3cf68c1d17f66af7,Brad Riddell,Jamie Mullarkey
70,Women's Featherweight,SUB  Triangle Choke,1,3:57,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/b8c21a311f3f7953,http://ufcstats.com/event-details/3cf68c1d17f66af7,Megan Anderson,Zarah Fairn
71,Women's Flyweight,KO/TKO  Punch,2,4:59,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/668d077ac9d7d3c9,http://ufcstats.com/event-details/3cf68c1d17f66af7,Ji Yeon Kim,Nadia Kassem
72,Bantamweight,SUB  Arm Triangle,3,3:00,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/57ff0eb2351979c4,http://ufcstats.com/event-details/3cf68c1d17f66af7,Khalid Taha,Bruno Silva
73,Middleweight,KO/TKO  Punch,2,0:27,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/476c31184332698e,http://ufcstats.com/event-details/1bf49bf829964144,Jared Cannonier,Jack Hermansson
74,Lightweight,KO/TKO  Punches,1,1:12,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/975840814b233bcd,http://ufcstats.com/event-details/1bf49bf829964144,Mark Madsen,Danilo Belluardo
75,Welterweight,U-DEC,3,5:00,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/7410ac7e4e5acb74,http://ufcstats.com/event-details/1bf49bf829964144,Gilbert Burns,Gunnar Nelson
76,Light Heavyweight,KO/TKO  Elbows,1,2:35,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/b44531903be4729a,http://ufcstats.com/event-details/1bf49bf829964144,Ion Cutelaba,Khalil Rountree Jr.
77,Light Heavyweight,SUB  Other - Choke,2,2:46,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/b6dad3a9bf911bfd,http://ufcstats.com/event-details/1bf49bf829964144,Ovince Saint Preux,Michal Oleksiejczuk
78,Welterweight,U-DEC,3,5:00,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/9c7b6a20f35fb708,http://ufcstats.com/event-details/1bf49bf829964144,Nicolas Dalby,Alex Oliveira
79,Middleweight,KO/TKO  Punch,1,0:17,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/9fa3623172adb4cd,http://ufcstats.com/event-details/1bf49bf829964144,John Phillips,Alen Amedovski
80,Middleweight,U-DEC,3,5:00,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/d5e927306f5d859b,http://ufcstats.com/event-details/1bf49bf829964144,Makhmud Muradov,Alessio Di Chirico
81,Welterweight,U-DEC,3,5:00,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/18d84b333b28de36,http://ufcstats.com/event-details/1bf49bf829964144,Ismail Naurdiev,Siyar Bahadurzada
82,Featherweight,S-DEC,3,5:00,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/688908886d8ac900,http://ufcstats.com/event-details/1bf49bf829964144,Giga Chikadze,Brandon Davis
83,Women's Bantamweight,U-DEC,3,5:00,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/0a3df9b1918cfc2f,http://ufcstats.com/event-details/1bf49bf829964144,Lina Lansberg,Macy Chiasson
84,Lightweight,U-DEC,3,5:00,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/951968aa52a84928,http://ufcstats.com/event-details/1bf49bf829964144,Marc Diakiese,Lando Vannata
85,Bantamweight,SUB  Rear Naked Choke,3,2:51,"Copenhagen, Denmark",2019-09-28,http://ufcstats.com/fight-details/fc16ccf0994c6e50,http://ufcstats.com/event-details/1bf49bf829964144,Jack Shore,Nohelin Hernandez
86,Women's Strawweight,M-DEC,3,5:00,"Mexico City, Distrito Federal, Mexico",2019-09-21,http://ufcstats.com/fight-details/b2cdb4c34f37ad37,http://ufcstats.com/event-details/94a5aaf573f780ad,Carla Esparza,Alexa Grasso
87,Women's Bantamweight,U-DEC,3,5:00,"Mexico City, Distrito Federal, Mexico",2019-09-21,http://ufcstats.com/fight-details/c163ed45c21c8548,http://ufcstats.com/event-details/94a5aaf573f780ad,Irene Aldana,Vanessa Melo
88,Featherweight,KO/TKO  Spinning Back Fist,2,1:31,"Mexico City, Distrito Federal, Mexico",2019-09-21,http://ufcstats.com/fight-details/49b2a6a93d529981,http://ufcstats.com/event-details/94a5aaf573f780ad,Steven Peterson,Martin Bravo
89,Bantamweight,U-DEC,3,5:00,"Mexico City, Distrito Federal, Mexico",2019-09-21,http://ufcstats.com/fight-details/953c89aa931082e4,http://ufcstats.com/event-details/94a5aaf573f780ad,Jose Quinonez,Carlos Huachin
90,Featherweight,KO/TKO  Punch,1,1:36,"Mexico City, Distrito Federal, Mexico",2019-09-21,http://ufcstats.com/fight-details/ad878cdd4fa36a3a,http://ufcstats.com/event-details/94a5aaf573f780ad,Kyle Nelson,Polo Reyes
91,Women's Strawweight,KO/TKO  Elbow,3,1:56,"Mexico City, Distrito Federal, Mexico",2019-09-21,http://ufcstats.com/fight-details/52311c2cd0c84d67,http://ufcstats.com/event-details/94a5aaf573f780ad,Angela Hill,Ariane Carnelossi
92,Flyweight,U-DEC,3,5:00,"Mexico City, Distrito Federal, Mexico",2019-09-21,http://ufcstats.com/fight-details/d9c0351cd21e40e0,http://ufcstats.com/event-details/94a5aaf573f780ad,Sergio Pettis,Tyson Nam
93,Light Heavyweight,SUB  Rear Naked Choke,1,3:19,"Mexico City, Distrito Federal, Mexico",2019-09-21,http://ufcstats.com/fight-details/8cf6b22995c9efb8,http://ufcstats.com/event-details/94a5aaf573f780ad,Paul Craig,Vinicius Moreira
94,Women's Bantamweight,U-DEC,3,5:00,"Mexico City, Distrito Federal, Mexico",2019-09-21,http://ufcstats.com/fight-details/c2b842fae4e9f1dc,http://ufcstats.com/event-details/94a5aaf573f780ad,Bethe Correia,Sijara Eubanks
95,Lightweight,U-DEC,3,5:00,"Mexico City, Distrito Federal, Mexico",2019-09-21,http://ufcstats.com/fight-details/4f7ec66199bba232,http://ufcstats.com/event-details/94a5aaf573f780ad,Claudio Puelles,Marcos Mariano
96,Lightweight,KO/TKO  Punch,1,4:18,"Vancouver, British Columbia, Canada",2019-09-14,http://ufcstats.com/fight-details/490724f8b3658f67,http://ufcstats.com/event-details/4834ff149dc9542a,Justin Gaethje,Donald Cerrone
97,Light Heavyweight,S-DEC,3,5:00,"Vancouver, British Columbia, Canada",2019-09-14,http://ufcstats.com/fight-details/36d90f1812f0d432,http://ufcstats.com/event-details/4834ff149dc9542a,Glover Teixeira,Nikita Krylov
98,Welterweight,U-DEC,3,5:00,"Vancouver, British Columbia, Canada",2019-09-14,http://ufcstats.com/fight-details/dadaee9624256e07,http://ufcstats.com/event-details/4834ff149dc9542a,Tristan Connelly,Michel Pereira
99,Middleweight,S-DEC,3,5:00,"Vancouver, British Columbia, Canada",2019-09-14,http://ufcstats.com/fight-details/ece3a7a9e930ef9d,http://ufcstats.com/event-details/4834ff149dc9542a,Uriah Hall,Antonio Carlos Junior
100,Light Heavyweight,SUB  Peruvian Necktie,1,3:38,"Vancouver, British Columbia, Canada",2019-09-14,http://ufcstats.com/fight-details/92b98afec5eb4e05,http://ufcstats.com/event-details/4834ff149dc9542a,Misha Cirkunov,Jimmy Crute
101,Heavyweight,KO/TKO  Punches,1,0:59,"Vancouver, British Columbia, Canada",2019-09-14,http://ufcstats.com/fight-details/9d3a38cc18807e10,http://ufcstats.com/event-details/4834ff149dc9542a,Augusto Sakai,Marcin Tybura
102,Bantamweight,S-DEC,3,5:00,"Vancouver, British Columbia, Canada",2019-09-14,http://ufcstats.com/fight-details/9de23eb1471e592b,http://ufcstats.com/event-details/4834ff149dc9542a,Miles Johns,Cole Smith
103,Bantamweight,U-DEC,3,5:00,"Vancouver, British Columbia, Canada",2019-09-14,http://ufcstats.com/fight-details/14176809bcdafd01,http://ufcstats.com/event-details/4834ff149dc9542a,Hunter Azure,Brad Katona
104,Featherweight,U-DEC,3,5:00,"Vancouver, British Columbia, Canada",2019-09-14,http://ufcstats.com/fight-details/462a95890423d3c6,http://ufcstats.com/event-details/4834ff149dc9542a,Chas Skelly,Jordan Griffin
105,Bantamweight,KO/TKO  Punch,1,4:43,"Vancouver, British Columbia, Canada",2019-09-14,http://ufcstats.com/fight-details/241687ff5fe92331,http://ufcstats.com/event-details/4834ff149dc9542a,Louis Smolka,Ryan MacDonald
106,Lightweight,U-DEC,3,5:00,"Vancouver, British Columbia, Canada",2019-09-14,http://ufcstats.com/fight-details/acf658afda38d8af,http://ufcstats.com/event-details/4834ff149dc9542a,Austin Hubbard,Kyle Prepolec
107,Lightweight,SUB  Rear Naked Choke,3,2:06,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07,http://ufcstats.com/fight-details/01a4827b3596d111,http://ufcstats.com/event-details/a79bfbc01b2264d6,Khabib Nurmagomedov,Dustin Poirier
108,Lightweight,S-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07,http://ufcstats.com/fight-details/357a34207d70da69,http://ufcstats.com/event-details/a79bfbc01b2264d6,Paul Felder,Edson Barboza
109,Lightweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07,http://ufcstats.com/fight-details/849eb47d349f3fe4,http://ufcstats.com/event-details/a79bfbc01b2264d6,Islam Makhachev,Davi Ramos
110,Heavyweight,KO/TKO  Elbow,2,2:22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07,http://ufcstats.com/fight-details/066756ea40b134a7,http://ufcstats.com/event-details/a79bfbc01b2264d6,Curtis Blaydes,Shamil Abdurakhimov
111,Lightweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07,http://ufcstats.com/fight-details/8accd04438b91262,http://ufcstats.com/event-details/a79bfbc01b2264d6,Diego Ferreira,Mairbek Taisumov
112,Women's Flyweight,S-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07,http://ufcstats.com/fight-details/77f123712368bcbc,http://ufcstats.com/event-details/a79bfbc01b2264d6,Joanne Calderwood,Andrea Lee
113,Women's Bantamweight,KO/TKO  Elbows,3,2:26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07,http://ufcstats.com/fight-details/8e1ae2ae6694b131,http://ufcstats.com/event-details/a79bfbc01b2264d6,Sarah Moras,Liana Jojua
114,Lightweight,KO/TKO  Punch,1,3:33,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07,http://ufcstats.com/fight-details/2c7b788effdc1b4c,http://ufcstats.com/event-details/a79bfbc01b2264d6,Ottman Azaitar,Teemu Packalen
115,Welterweight,SUB  Rear Naked Choke,3,1:55,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07,http://ufcstats.com/fight-details/18aff757c54687f1,http://ufcstats.com/event-details/a79bfbc01b2264d6,Belal Muhammad,Takashi Sato
116,Welterweight,KO/TKO  Punch,1,4:26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07,http://ufcstats.com/fight-details/43496ff308e681a0,http://ufcstats.com/event-details/a79bfbc01b2264d6,Muslim Salikhov,Nordine Taleb
117,Middleweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07,http://ufcstats.com/fight-details/9a46f95c1c1e57f0,http://ufcstats.com/event-details/a79bfbc01b2264d6,Omari Akhmedov,Zak Cummings
118,Lightweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07,http://ufcstats.com/fight-details/84d4b658851b7e0e,http://ufcstats.com/event-details/a79bfbc01b2264d6,Don Madge,Fares Ziam
