,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
0,Gabriel Gonzaga Fabiano Scherner,1  0,16 of 30  8 of 25,53%  32%,34 of 50  24 of 41,3 of 4  0 of 1,75%  0%,0  0,1  1,0  1,16 of 30  8 of 25,11 of 25  6 of 20,3 of 3  2 of 5,2 of 2  0 of 0,8 of 19  5 of 14,4 of 4  3 of 10,4 of 7  0 of 1
0,Melvin Guillard Rick Davis,1  0,10 of 28  5 of 10,35%  50%,10 of 28  5 of 10,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,10 of 28  5 of 10,7 of 24  2 of 3,2 of 2  2 of 5,1 of 2  1 of 2,6 of 20  5 of 10,4 of 8  0 of 0,0 of 0  0 of 0
0,Tim Sylvia  Andrei Arlovski,1  1,13 of 30  11 of 24,43%  45%,13 of 30  12 of 26,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,13 of 30  11 of 24,13 of 30  7 of 18,0 of 0  3 of 5,0 of 0  1 of 1,7 of 24  9 of 20,0 of 0  2 of 4,6 of 6  0 of 0
0,Sean Sherk Nick Diaz,0  0,39 of 155  57 of 136,25%  41%,80 of 198  131 of 210,2 of 19  1 of 1,10%  100%,0  3,0  0,1  1,39 of 155  57 of 136,30 of 146  47 of 125,5 of 5  9 of 10,4 of 4  1 of 1,17 of 90  45 of 116,22 of 65  11 of 18,0 of 0  1 of 2
0,Tito Ortiz  Forrest Griffin,0  0,61 of 125  58 of 170,48%  34%,94 of 163  81 of 200,3 of 12  0 of 0,25%  0%,0  0,2  0,0  0,61 of 125  58 of 170,57 of 121  52 of 158,2 of 2  2 of 3,2 of 2  4 of 9,35 of 77  58 of 170,0 of 0  0 of 0,26 of 48  0 of 0
0,Evan Tanner  Justin Levens,0  0,10 of 17  2 of 4,58%  50%,16 of 24  6 of 8,1 of 2  0 of 0,50%  0%,2  1,1  0,0  0,10 of 17  2 of 4,6 of 11  0 of 1,2 of 3  1 of 2,2 of 3  1 of 1,1 of 1  1 of 2,3 of 7  1 of 2,6 of 9  0 of 0
0,Jeff Monson  Marcio Cruz,0  0,32 of 110  40 of 106,29%  37%,154 of 240  51 of 118,2 of 2  0 of 5,100%  0%,0  0,1  0,0  0,32 of 110  40 of 106,16 of 93  14 of 79,11 of 12  5 of 5,5 of 5  21 of 22,16 of 89  34 of 98,10 of 11  6 of 8,6 of 10  0 of 0
0,Karo Parisyan  Nick Thompson,0  0,18 of 30  2 of 7,60%  28%,23 of 41  4 of 9,2 of 3  1 of 1,66%  100%,0  0,7  0,0  0,18 of 30  2 of 7,16 of 28  1 of 6,2 of 2  0 of 0,0 of 0  1 of 1,1 of 2  1 of 2,0 of 0  1 of 3,17 of 28  0 of 2
0,David Terrell  Scott Smith,0  0,10 of 14  3 of 6,71%  50%,21 of 25  4 of 7,1 of 4  0 of 0,25%  0%,2  0,1  0,0  0,10 of 14  3 of 6,6 of 9  1 of 3,1 of 1  1 of 1,3 of 4  1 of 2,1 of 3  2 of 3,4 of 4  0 of 0,5 of 7  1 of 3
0,Jason Lambert  Terry Martin,0  0,31 of 39  15 of 26,79%  57%,66 of 75  29 of 41,0 of 2  1 of 4,0%  25%,0  0,1  1,0  0,31 of 39  15 of 26,16 of 24  6 of 17,9 of 9  1 of 1,6 of 6  8 of 8,0 of 6  2 of 7,17 of 18  9 of 14,14 of 15  4 of 5
0,Thiago Alves Derrick Noble,1  0,11 of 27  18 of 45,40%  40%,19 of 36  26 of 53,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,11 of 27  18 of 45,5 of 17  10 of 34,4 of 5  4 of 6,2 of 5  4 of 5,5 of 19  7 of 27,4 of 6  11 of 18,2 of 2  0 of 0
0,Stephan Bonnar Keith Jardine,1  0,33 of 93  64 of 118,35%  54%,52 of 113  90 of 146,1 of 6  0 of 1,16%  0%,1  0,1  0,0  0,33 of 93  64 of 118,20 of 77  34 of 81,10 of 10  15 of 17,3 of 6  15 of 20,24 of 84  46 of 99,9 of 9  18 of 19,0 of 0  0 of 0
0,Rashad Evans Sam Hoger,0  0,23 of 72  18 of 72,31%  25%,46 of 95  59 of 113,9 of 11  0 of 1,81%  0%,0  2,0  0,0  0,23 of 72  18 of 72,19 of 67  8 of 54,4 of 5  9 of 17,0 of 0  1 of 1,17 of 58  14 of 65,5 of 10  4 of 7,1 of 4  0 of 0
0,Josh Neer Joe Stevenson,1  0,46 of 126  31 of 56,36%  55%,68 of 150  80 of 117,0 of 0  2 of 2,0%  100%,0  3,1  2,0  0,46 of 126  31 of 56,46 of 126  17 of 37,0 of 0  5 of 10,0 of 0  9 of 9,12 of 57  19 of 34,1 of 3  4 of 6,33 of 66  8 of 16
