,fight,winner,loser,date,cumultime_w,cumulStr_Att_fighter_w,cumulStr_Att_oponent_w,cumulTD_Att_fighter_w,cumulTD_Att_oponent_w,KDPM_w,KDPM_ratio_w,SLPM_w,SLPM_ratio_w,SAPM_w,SAPM_ratio_w,Str_Acc_w,Str_Def_w,TD_Acc_w,TD_Def_w,SubPM_w,PassPM_w,RevPM_w,Head_SLPM_w,Body_SLPM_w,Leg_SLPM_w,Dist_SLPM_w,Clinch_SLPM_w,Ground_SLPM_w,wins_w,losses_w,cumultime_l,cumulStr_Att_fighter_l,cumulStr_Att_oponent_l,cumulTD_Att_fighter_l,cumulTD_Att_oponent_l,KDPM_l,KDPM_ratio_l,SLPM_l,SLPM_ratio_l,SAPM_l,SAPM_ratio_l,Str_Acc_l,Str_Def_l,TD_Acc_l,TD_Def_l,SubPM_l,PassPM_l,RevPM_l,Head_SLPM_l,Body_SLPM_l,Leg_SLPM_l,Dist_SLPM_l,Clinch_SLPM_l,Ground_SLPM_l,wins_l,losses_l,implied_prob_w,implied_prob_l,prev_w,prev_l,bday_w,height_w,weight_w,reach_w,stance_w,bday_l,height_l,weight_l,reach_l,stance_l,age_w,age_l
1285,Mirsad Bektic vs Lucas Martins,Mirsad-Bektic,Lucas-Martins,2015-05-30,14.0,146.0,92.0,7.0,6.0,0.0,0.0,0.6224489795918366,1.3157894736842106,0.21428571428571427,0.054466230936819175,0.0062133072407045,0.01620387285348922,0.16666666666666666,0.3333333333333333,0.0,0.16326530612244897,0.01020408163265306,0.5918367346938777,0.030612244897959183,0.0,0.23469387755102042,0.02040816326530612,0.3673469387755102,2,0,17.15,384.0,476.0,1.0,21.0,0.09039102977041966,0.05830903790087464,2.7556409281981367,0.32225275293323186,3.127475906909512,0.37901720920588844,0.0050366998042917594,0.006242426454096028,0.0,0.0782312925170068,0.05830903790087464,0.04997917534360683,0.0,1.8768250329027425,0.3745170186596458,0.5042988766357487,2.4472026642885742,0.16352835441373112,0.1449099094958312,3,2,0.7692307692307692,0.27027027027027023,2,5,1991-02-16,68.0,145.0,70.0,Orthodox,1988-11-11,72.0,145.0,72.0,Southpaw,24.0,26.0
1286,Rashad Coulter vs Chris de la Rocha,Chris-de-la-Rocha,Rashad-Coulter,2018-06-09,5.816666666666666,128.0,118.0,0.0,7.0,0.0,0.0,2.2025435749031406,0.26713687458673135,4.560014850212759,2.6943977867799624,0.004557291666666667,0.007220684884123141,,0.14285714285714285,0.0,0.0,0.0,1.9969252444097518,0.17134860874449068,0.034269721748898134,1.825576635665261,0.3084274957400832,0.06853944349779627,0,2,9.183333333333334,119.0,250.0,2.0,2.0,0.023758455700379478,0.0,1.3748915016176124,0.2776240903564569,2.6758391139358553,0.36105153165044274,0.008780218914875187,0.0041111870585554796,0.0,0.5,0.0,0.0,0.0,1.1376512700587504,0.14229249011857706,0.09494774144028464,1.019117235640553,0.3082573545763004,0.047516911400758956,0,2,0.45454545454545453,0.5235602094240838,2,2,1979-05-15,75.0,250.0,80.0,Orthodox,1981-11-27,71.0,205.0,76.0,Orthodox,39.0,36.0
1287,Joseph Benavidez vs Sergio Pettis,Sergio-Pettis,Joseph-Benavidez,2018-06-09,67.21666666666667,1317.0,1307.0,36.0,43.0,0.00579633607156543,0.0,1.0734023481488475,0.16253860597810743,1.113994778890964,0.1670400175038342,0.0027845831505926085,0.004866700801078518,0.07129629629629632,0.09189737910668143,0.006375969678721971,0.0148772625836846,0.006375969678721971,0.8009372664128819,0.15761062598339273,0.1148544557525726,0.8938356982779966,0.06883516299257487,0.11073148687827589,7,3,81.4,1790.0,1264.0,51.0,62.0,0.018535419906211496,0.0,1.4374420563503916,0.33346904512179887,0.8516806351467522,0.1269927379988505,0.002981369834835918,0.006668566888403503,0.06524413687043444,0.16410313417953487,0.013353880914080822,0.07949837231981711,0.0029721803915352296,0.7741888447323293,0.3799890754313513,0.2832641361867108,1.1128267459702246,0.19326057354226364,0.1313547368379032,12,2,0.3448275862068966,0.6289308176100629,10,14,1993-08-18,66.0,125.0,69.0,Orthodox,1984-07-31,64.0,125.0,65.0,Southpaw,24.0,33.0
1288,Sergio Pettis vs Chris Kelades,Sergio-Pettis,Chris-Kelades,2016-04-23,37.21666666666667,752.0,792.0,19.0,21.0,0.010468707289128248,0.0,1.254977610128811,0.16421709329972178,1.4208423391255078,0.19258715540643337,0.0030174825213459206,0.004657074223246908,0.11403508771929827,0.10449735449735449,0.01151557801804107,0.01919263003006845,0.007677052012027381,0.906185995869452,0.22494864364428555,0.12384297061507328,0.9925069156219131,0.08380475677244244,0.17866593773445544,4,2,18.933333333333334,166.0,226.0,16.0,15.0,0.0,0.0,0.6162651585186797,0.09477232938504487,0.9353077927021589,0.4020991332611051,0.008251968117116783,0.005828602096332307,0.03819444444444445,0.08444444444444445,0.0,0.048432486812768495,0.010706128663875141,0.3684947522975692,0.16477241829354505,0.0829979879275654,0.43324133993148073,0.07739001577029746,0.1056338028169014,2,1,0.6802721088435374,0.3389830508474576,6,3,1993-08-18,66.0,125.0,69.0,Orthodox,1981-02-21,67.0,125.0,68.0,Orthodox,22.0,35.0
1289,Sergio Pettis vs Matt Hobar,Sergio-Pettis,Matt-Hobar,2014-12-06,20.65,383.0,446.0,16.0,5.0,0.0,0.0,0.93793806550274,0.10784491223676812,1.3198856705929474,0.20886471489816746,0.002871230586321865,0.003748888013410993,0.07291666666666667,0.1,0.0,0.013836042891732965,0.0069180214458664825,0.608057674452475,0.20353547306522968,0.12634491798503522,0.8680296382602997,0.02840029856724135,0.041508128675198895,2,1,9.783333333333333,81.0,143.0,1.0,11.0,0.0,0.0,0.8119463190921637,0.09146588788837513,1.8013036958451072,0.5199113627339216,0.011888431641518062,0.005677345909904049,0.0,0.0303030303030303,0.0,0.0,0.0,0.40929579147861495,0.21194894222263672,0.19070158539091203,0.38804843464689026,0.3216832336786636,0.10221465076660988,1,1,0.7518796992481203,0.27027027027027023,3,2,1993-08-18,66.0,125.0,69.0,Orthodox,1987-01-07,70.0,135.0,70.0,Southpaw,21.0,27.0
1290,Sergio Pettis vs Yaotzin Meza,Sergio-Pettis,Yaotzin-Meza,2014-06-07,13.65,269.0,285.0,10.0,5.0,0.0,0.0,0.9689057809358561,0.10481327043171906,1.4316009804731609,0.2239738028687755,0.0026858302308741034,0.003534764142769745,0.1,0.1,0.0,0.020931449502878074,0.010465724751439037,0.6373075546007876,0.24511829023107218,0.08647993610399625,0.8840783276873502,0.042964554242749725,0.04186289900575615,1,1,5.7333333333333325,27.0,20.0,0.0,2.0,0.0,0.0,0.36479881314547363,0.20930232558139536,1.0928069021242401,1.0465116279069768,0.017283950617283952,0.03296703296703297,,0.25,0.1370975931755865,0.0456991977251955,0.0,0.0,0.13670020884754133,0.22809860429793233,0.31909961542027815,0.0,0.0456991977251955,1,1,0.8474576271186441,0.15625,2,2,1993-08-18,66.0,125.0,69.0,Orthodox,1981-02-04,69.0,145.0,74.0,Orthodox,20.0,33.0
1291,Sam Sicilia vs Yaotzin Meza,Sam-Sicilia,Yaotzin-Meza,2015-07-15,33.81666666666666,582.0,538.0,19.0,10.0,0.0,0.0,1.577271571753063,0.2617451399612354,1.7197526520270308,0.3336215509699985,0.005688155860503463,0.008378403002308746,0.1118421052631579,0.08571428571428572,0.008448919242413575,0.0337956769696543,0.004224459621206787,1.0322964557785417,0.2865112382863749,0.2584638776881463,1.2528657864557446,0.1963886165230265,0.12801716877429178,4,4,19.733333333333334,211.0,159.0,2.0,10.0,0.0,0.0,0.5982668366378258,0.1661829408067438,0.7518676424125447,0.4059416559416559,0.006686095002600258,0.010076400483550435,0.25,0.13333333333333336,0.047071791067424255,0.027756234088111818,0.007239382239382239,0.2606177606177606,0.13382892168253854,0.20382015433752665,0.5343136913528028,0.014478764478764478,0.04947438080625854,2,2,0.6211180124223602,0.35714285714285715,8,4,1986-02-01,68.0,145.0,67.0,Orthodox,1981-02-04,69.0,145.0,74.0,Orthodox,29.0,34.0
1292,Ben Saunders vs Kenny Robertson,Ben-Saunders,Kenny-Robertson,2015-07-25,37.71666666666667,367.0,217.0,18.0,23.0,0.02224269343502966,0.0,1.7412016116409468,0.425151412752463,0.5908077813074857,0.1648809792432071,0.016165156932050603,0.022322087690828003,0.15476190476190477,0.12681159420289853,0.053501993789031,0.0493849941485823,0.0,1.1062127732182163,0.47070467755378576,0.16428416086894473,0.5605262612964761,0.8579014607958338,0.32277388954863684,6,3,29.883333333333333,362.0,295.0,27.0,22.0,0.012393877424552271,0.0,1.3303232028499665,0.5679794540348743,1.217958139327484,0.16026248626206313,0.008874214291828851,0.011943685650391618,0.09135802469135802,0.11688311688311687,0.03224808881458564,0.06271361995600323,0.00478049557804159,0.7499693807297501,0.35689791393934217,0.22345590818087435,0.5546230981059054,0.4307001715149506,0.3449999332291107,4,3,0.47619047619047616,0.5235602094240838,9,7,1983-04-13,74.0,170.0,77.0,Orthodox,1984-02-14,70.0,170.0,74.0,Orthodox,32.0,31.0
1293,Roan Carneiro vs Kenny Robertson,Roan-Carneiro,Kenny-Robertson,2016-09-17,29.8,155.0,201.0,29.0,1.0,0.0,0.0,0.5154876976251074,0.2555685244626009,0.8739173552452196,0.2425683004542065,0.017894736842105262,0.01861196436292558,0.10488505747126438,1.0,0.05457339257476656,0.10004806579673506,0.004793863854266538,0.3788140674287253,0.07847332552535306,0.05820030467102903,0.13631067866289734,0.11394064900379966,0.26523636995841043,3,4,36.88333333333333,566.0,481.0,27.0,25.0,0.010041672942712255,0.0,1.4574195674243065,0.4893820812019495,1.33926748477821,0.1550225592327903,0.006524483622799981,0.008386985353508463,0.09135802469135802,0.11619047619047619,0.02612780083350748,0.050811351369685405,0.003873216706474727,0.8439006970201467,0.40535960995756787,0.20815926044659183,0.7321073206589127,0.41093007892867767,0.31438216783671613,4,4,0.47619047619047616,0.5128205128205129,7,8,1978-06-02,71.0,170.0,74.0,Orthodox,1984-02-14,70.0,170.0,74.0,Orthodox,38.0,32.0
1294,Ben Saunders vs Joe Riggs,Ben-Saunders,Joe-Riggs,2014-12-13,36.766666666666666,364.0,210.0,17.0,23.0,0.022817413981628343,0.0,1.728931757783218,0.4225374646685511,0.4915532321629519,0.11474417770960005,0.014466884415922815,0.021025340953991657,0.10504201680672268,0.12681159420289853,0.05488441157959073,0.05066103434190469,0.0,1.077535682828259,0.48286703776256445,0.16852903719239437,0.5177493834271266,0.8800684523032513,0.33111392205284007,5,3,13.083333333333332,130.0,130.0,11.0,8.0,0.0,0.0,0.758791524447442,0.15608447871270537,0.8419426424283687,0.5919820157362309,0.011074270557029179,0.020191098209966132,0.125,0.25,0.03790072116649998,0.07580144233299996,0.0,0.5838515855887021,0.14194722474977253,0.03299271410896761,0.47466141270426165,0.2622920771662925,0.02183803457688808,2,2,0.6993006993006994,0.30959752321981426,8,4,1983-04-13,74.0,170.0,77.0,Orthodox,1982-09-23,72.0,185.0,70.0,Southpaw,31.0,32.0
1295,Joe Riggs vs Chris Camozzi,Chris-Camozzi,Joe-Riggs,2016-02-21,77.73333333333333,1312.0,1428.0,38.0,41.0,0.0018377848566527811,0.0,1.3257674284728023,0.21353807559289167,1.223005626335356,0.20087656605060744,0.004978846279886501,0.005328598458286899,0.09137426900584796,0.1774390243902439,0.021849677293485525,0.04014109029004758,0.0018377848566527811,0.6908924143829447,0.24808916897949373,0.38678584511036374,1.0266978759402972,0.25118162751178263,0.0478879250207227,7,7,24.5,233.0,217.0,15.0,15.0,0.011773940345368916,0.0,1.111600106399892,0.26532402434658076,0.9405614824248768,0.40533927856857027,0.013668902298908341,0.01776041213807495,0.225,0.16666666666666666,0.020239500758981278,0.09318140115913771,0.0,0.8931340605493518,0.159806895574887,0.058659150275652994,0.61145655438205,0.2355102261600264,0.2646333258578157,3,4,0.6993006993006994,0.3076923076923077,14,7,1986-11-20,74.0,185.0,76.0,Orthodox,1982-09-23,72.0,185.0,70.0,Southpaw,29.0,33.0
1296,Patrick Cote vs Joe Riggs,Patrick-Cote,Joe-Riggs,2015-04-25,66.28333333333333,884.0,823.0,32.0,35.0,0.014035301014378075,0.0,1.2553055265185429,0.3017593935153672,1.2622714248488747,0.18063812540506788,0.006699180094703498,0.00722569186440882,0.078125,0.1290909090909091,0.01305777478552464,0.032707574868445756,0.0034158676541054464,0.753793090503116,0.2264092122400569,0.27510322377537,0.7409434500757865,0.2645812817261976,0.2497807947165587,7,6,14.033333333333331,137.0,133.0,11.0,9.0,0.0,0.0,1.0074619069342168,0.2880360045005626,0.934965277648401,0.5875366773787901,0.014679443385710691,0.022241925568638576,0.125,0.2222222222222222,0.03533499538682005,0.0706699907736401,0.0,0.7693553193558876,0.20734734698980234,0.03075924058852681,0.6675568802652871,0.3195453388508096,0.020359687818120125,2,3,0.6711409395973155,0.33003300330033003,13,5,1980-02-29,71.0,170.0,71.0,Orthodox,1982-09-23,72.0,185.0,70.0,Southpaw,35.0,32.0
1297,Sam Alvey vs Kevin Casey,Sam-Alvey,Kevin-Casey,2016-08-27,25.68333333333333,282.0,396.0,7.0,9.0,0.0,0.0,1.0631294582114728,0.26488654169304626,1.7751786689792477,0.6338274425594982,0.011951023393378663,0.00788572174417505,0.09523809523809523,0.3333333333333333,0.0,0.03435507882581976,0.0,0.6268492265127927,0.23436678752901832,0.20191344416966153,0.7315088820502212,0.3204960744462241,0.011124501715027348,4,3,15.9,157.0,215.0,6.0,7.0,0.0,0.0,0.815708612354283,0.17202422548334495,1.4739530305447257,0.40466877040738064,0.009169671558312394,0.006956441304683538,0.05555555555555555,0.061224489795918366,0.038310506656450534,0.01796945193171608,0.00898472596585804,0.51797596829068,0.1966878030825883,0.10104484098101477,0.35898912501566327,0.11124081124027126,0.34547867609834854,1,2,0.6896551724137931,0.3076923076923077,7,3,1986-05-06,74.0,205.0,75.0,Southpaw,1981-06-15,71.0,185.0,77.0,Southpaw,30.0,35.0
1298,Rafael Natal vs Kevin Casey,Rafael-Natal,Kevin-Casey,2016-01-30,77.75,1016.0,942.0,72.0,37.0,0.005867123230467281,0.006430868167202572,0.9355778430991628,0.2980108599963953,0.752454242248734,0.1530682748498963,0.005362100655273108,0.007519748349377976,0.042304724596391265,0.18943488943488943,0.017713029316552314,0.05665318883548997,0.004029732325552262,0.5116316648540891,0.1586528947076969,0.26529328353737697,0.6321704997085955,0.07654585034705265,0.22686149304351452,8,4,10.283333333333333,108.0,128.0,4.0,0.0,0.0,0.0,0.9842238814916501,0.23716909778498108,1.344078754834911,0.2974943386849937,0.010306553911205074,0.008721285434995113,0.08333333333333333,,0.059235370097656094,0.02778420930771012,0.01389210465385506,0.6277538864396839,0.21754894851341555,0.13892104653855059,0.3473026163463765,0.1027451598003392,0.5341761053449344,1,1,0.6211180124223602,0.3921568627450981,12,2,1982-12-25,72.0,185.0,76.0,Orthodox,1981-06-15,71.0,185.0,77.0,Southpaw,33.0,34.0
1299,Brian Kelleher vs John Lineker,John-Lineker,Brian-Kelleher,2018-05-12,75.61666666666667,1889.0,1559.0,30.0,29.0,0.02067412258460026,0.0,1.8614201348615522,0.2585490155164336,1.644834052539797,0.19905676351668747,0.0031374747799044244,0.005108908146216585,0.10555555555555556,0.16264367816091954,0.0018892282502597686,0.015113826002078149,0.0,1.131825729041714,0.5733607632447104,0.15623364257512812,1.4023007545885424,0.18440922842882773,0.2747101518441823,11,3,16.75,383.0,381.0,13.0,8.0,0.0,0.0,1.9715001642149284,0.3225878418304384,1.9767973376307235,0.27348581870120126,0.004320118180568915,0.005860535905918164,0.08461538461538462,0.17708333333333331,0.0519143413367943,0.0,0.0,1.2572320427580488,0.4993945970326094,0.2148735244242701,1.6895368883791526,0.2819632758357756,0.0,3,1,0.7042253521126761,0.3125,14,4,1990-06-12,63.0,135.0,67.0,Orthodox,1986-08-19,66.0,135.0,66.0,Switch,27.0,31.0
