,0
0,http://www.espn.com/mma/fighter/_/id/2335639/jon-jones
1,http://www.espn.com/mma/fighter/_/id/2509290/daniel-cormier
2,http://www.espn.com/mma/fighter/_/id/2479918/donald-cerrone
3,http://www.espn.com/mma/fighter/_/id/2960676/myles-jury
4,http://www.espn.com/mma/fighter/_/id/2335475/nate-marquardt
5,http://www.espn.com/mma/fighter/_/id/2504643/brad-tavares
6,http://www.espn.com/mma/fighter/_/id/2611950/louis-gaudinot
7,http://www.espn.com/mma/fighter/_/id/2613374/kyoji-horiguchi
8,http://www.espn.com/mma/fighter/_/id/2354104/joshua-burkman
9,http://www.espn.com/mma/fighter/_/id/2501238/hector-lombard
10,http://www.espn.com/mma/fighter/_/id/2486967/danny-castillo
11,http://www.espn.com/mma/fighter/_/id/3099985/paul-felder
12,http://www.espn.com/mma/fighter/_/id/2611951/marcus-brimage
13,http://www.espn.com/mma/fighter/_/id/3163637/cody-garbrandt
14,http://www.espn.com/mma/fighter/_/id/2559762/shawn-jordan
15,http://www.espn.com/mma/fighter/_/id/3154860/jared-cannonier
16,http://www.espn.com/mma/fighter/_/id/2497950/rodrigo-damm
17,http://www.espn.com/mma/fighter/_/id/2335772/evan-dunham
18,http://www.espn.com/mma/fighter/_/id/3017339/mats-nilsson
19,http://www.espn.com/mma/fighter/_/id/3070416/omari-akhmedov
20,http://www.espn.com/mma/fighter/_/id/3096066/alexis-dufresne
21,http://www.espn.com/mma/fighter/_/id/3117374/marion-reneau
22,http://www.espn.com/mma/fighter/_/id/2335797/dennis-siver
23,http://www.espn.com/mma/fighter/_/id/3022677/conor-mcgregor
24,http://www.espn.com/mma/fighter/_/id/2487019/benson-henderson
25,http://www.espn.com/mma/fighter/_/id/2479918/donald-cerrone
26,http://www.espn.com/mma/fighter/_/id/2553996/uriah-hall
27,http://www.espn.com/mma/fighter/_/id/2483872/ron-stallings
28,http://www.espn.com/mma/fighter/_/id/2354336/gleison-tibau
29,http://www.espn.com/mma/fighter/_/id/3009719/norman-parke
30,http://www.espn.com/mma/fighter/_/id/3020411/sean-spencer
31,http://www.espn.com/mma/fighter/_/id/3025283/cathal-pendred
32,http://www.espn.com/mma/fighter/_/id/2335808/john-howard
33,http://www.espn.com/mma/fighter/_/id/2556793/lorenz-larkin
34,http://www.espn.com/mma/fighter/_/id/3027534/chris-wade
35,http://www.espn.com/mma/fighter/_/id/3090555/lipeng-zhang
36,http://www.espn.com/mma/fighter/_/id/2517731/shane-howell
37,http://www.espn.com/mma/fighter/_/id/3112187/patrick-holohan
38,http://www.espn.com/mma/fighter/_/id/2989346/johnny-case
39,http://www.espn.com/mma/fighter/_/id/3092342/frankie-perez
40,http://www.espn.com/mma/fighter/_/id/3083637/sean-soriano
41,http://www.espn.com/mma/fighter/_/id/3153125/charles-rosa
42,http://www.espn.com/mma/fighter/_/id/2983499/matt-van-buren
43,http://www.espn.com/mma/fighter/_/id/2984771/sean-oconnell
44,http://www.espn.com/mma/fighter/_/id/3074140/tateki-matsuda
45,http://www.espn.com/mma/fighter/_/id/3128221/joby-sanchez
46,http://www.espn.com/mma/fighter/_/id/2500771/alexander-gustafsson
47,http://www.espn.com/mma/fighter/_/id/2335663/anthony-johnson
48,http://www.espn.com/mma/fighter/_/id/2335497/dan-henderson
49,http://www.espn.com/mma/fighter/_/id/2431313/gegard-mousasi
50,http://www.espn.com/mma/fighter/_/id/2335530/ryan-bader
51,http://www.espn.com/mma/fighter/_/id/2499976/phil-davis
52,http://www.espn.com/mma/fighter/_/id/2615078/akira-corassani
53,http://www.espn.com/mma/fighter/_/id/2960675/sam-sicilia
54,http://www.espn.com/mma/fighter/_/id/2512083/nico-musoke
55,http://www.espn.com/mma/fighter/_/id/3077132/albert-tumenov
56,http://www.espn.com/mma/fighter/_/id/2515913/kenny-robertson
57,http://www.espn.com/mma/fighter/_/id/3021961/sultan-aliev
58,http://www.espn.com/mma/fighter/_/id/2964410/andy-ogle
59,http://www.espn.com/mma/fighter/_/id/3162105/makwan-amirkhani
60,http://www.espn.com/mma/fighter/_/id/2503059/stanislav-nedkov
61,http://www.espn.com/mma/fighter/_/id/3026263/nikita-krylov
62,http://www.espn.com/mma/fighter/_/id/3039004/anthony-christodoulou
63,http://www.espn.com/mma/fighter/_/id/3082807/mairbek-taisumov
64,http://www.espn.com/mma/fighter/_/id/3095666/mirsad-bektic
65,http://www.espn.com/mma/fighter/_/id/3104555/paul-redmond
66,http://www.espn.com/mma/fighter/_/id/3082399/konstantin-erokhin
67,http://www.espn.com/mma/fighter/_/id/3097808/viktor-pesta
68,http://www.espn.com/mma/fighter/_/id/2989848/neil-seery
69,http://www.espn.com/mma/fighter/_/id/3001208/chris-beal
70,http://www.espn.com/mma/fighter/_/id/2335709/nick-diaz
71,http://www.espn.com/mma/fighter/_/id/2335447/anderson-silva
72,http://www.espn.com/mma/fighter/_/id/2501926/tyron-woodley
73,http://www.espn.com/mma/fighter/_/id/3026011/kelvin-gastelum
74,http://www.espn.com/mma/fighter/_/id/2335676/joe-lauzon
75,http://www.espn.com/mma/fighter/_/id/2960680/al-iaquinta
76,http://www.espn.com/mma/fighter/_/id/2335531/tim-boetsch
77,http://www.espn.com/mma/fighter/_/id/2335449/thales-leites
78,http://www.espn.com/mma/fighter/_/id/2335660/thiago-alves
79,http://www.espn.com/mma/fighter/_/id/2502477/jordan-mein
80,http://www.espn.com/mma/fighter/_/id/2569886/sara-mcmann
81,http://www.espn.com/mma/fighter/_/id/2553021/miesha-tate
82,http://www.espn.com/mma/fighter/_/id/2560056/derek-brunson
83,http://www.espn.com/mma/fighter/_/id/2335754/ed-herman
84,http://www.espn.com/mma/fighter/_/id/2500572/ian-mccall
85,http://www.espn.com/mma/fighter/_/id/2617539/john-lineker
86,http://www.espn.com/mma/fighter/_/id/2504667/rafael-natal
87,http://www.espn.com/mma/fighter/_/id/2557945/tom-watson
88,http://www.espn.com/mma/fighter/_/id/2557025/ildemar-alcantara
89,http://www.espn.com/mma/fighter/_/id/3108777/richardson-morreira
90,http://www.espn.com/mma/fighter/_/id/3001948/andy-enz
91,http://www.espn.com/mma/fighter/_/id/3045798/thiago-santos
92,http://www.espn.com/mma/fighter/_/id/2487019/benson-henderson
93,http://www.espn.com/mma/fighter/_/id/2951482/brandon-thatch
94,http://www.espn.com/mma/fighter/_/id/2335690/cole-miller
95,http://www.espn.com/mma/fighter/_/id/2614933/max-holloway
96,http://www.espn.com/mma/fighter/_/id/3001914/neil-magny
97,http://www.espn.com/mma/fighter/_/id/3079252/kiichi-kunimoto
98,http://www.espn.com/mma/fighter/_/id/3112019/patrick-walsh
99,http://www.espn.com/mma/fighter/_/id/3147329/daniel-kelly
100,http://www.espn.com/mma/fighter/_/id/3028712/michel-prazeres
101,http://www.espn.com/mma/fighter/_/id/3084459/kevin-lee
102,http://www.espn.com/mma/fighter/_/id/3098604/ray-borg
103,http://www.espn.com/mma/fighter/_/id/3153248/chris-kelades
104,http://www.espn.com/mma/fighter/_/id/2335688/efrain-escudero
105,http://www.espn.com/mma/fighter/_/id/3110330/rodrigo-de-lima
106,http://www.espn.com/mma/fighter/_/id/2514827/chas-skelly
107,http://www.espn.com/mma/fighter/_/id/3028070/jim-alers
108,http://www.espn.com/mma/fighter/_/id/2527791/zach-makovsky
109,http://www.espn.com/mma/fighter/_/id/2614020/tim-elliott
110,http://www.espn.com/mma/fighter/_/id/2517112/cody-pfister
111,http://www.espn.com/mma/fighter/_/id/3106310/james-moontasri
112,http://www.espn.com/mma/fighter/_/id/2493018/antonio-silva
113,http://www.espn.com/mma/fighter/_/id/2335301/frank-mir
114,http://www.espn.com/mma/fighter/_/id/2488476/michael-johnson
115,http://www.espn.com/mma/fighter/_/id/2526299/edson-barboza
116,http://www.espn.com/mma/fighter/_/id/2559758/sam-alvey
117,http://www.espn.com/mma/fighter/_/id/2965138/cezar-ferreira
118,http://www.espn.com/mma/fighter/_/id/2501489/adriano-martins
119,http://www.espn.com/mma/fighter/_/id/2998786/rustam-khabilov
120,http://www.espn.com/mma/fighter/_/id/2532872/iuri-alcantara
121,http://www.espn.com/mma/fighter/_/id/3027601/frankie-saenz
122,http://www.espn.com/mma/fighter/_/id/3043484/santiago-ponzinibbio
123,http://www.espn.com/mma/fighter/_/id/3093653/sean-strickland
124,http://www.espn.com/mma/fighter/_/id/3024395/jessica-andrade
125,http://www.espn.com/mma/fighter/_/id/3117374/marion-reneau
126,http://www.espn.com/mma/fighter/_/id/3037761/william-macario
127,http://www.espn.com/mma/fighter/_/id/3087451/matt-dwyer
128,http://www.espn.com/mma/fighter/_/id/3074429/tiago-trator
129,http://www.espn.com/mma/fighter/_/id/3099050/mike-de-la-torre
130,http://www.espn.com/mma/fighter/_/id/2591306/cody-gibson
131,http://www.espn.com/mma/fighter/_/id/3090893/douglas-silva-de-andrade
132,http://www.espn.com/mma/fighter/_/id/3056121/ivan-jorge
133,http://www.espn.com/mma/fighter/_/id/2555491/josh-shockley
134,http://www.espn.com/mma/fighter/_/id/2563796/ronda-rousey
135,http://www.espn.com/mma/fighter/_/id/2987934/cat-zingano
136,http://www.espn.com/mma/fighter/_/id/2995167/raquel-pennington
137,http://www.espn.com/mma/fighter/_/id/3028404/holly-holm
138,http://www.espn.com/mma/fighter/_/id/2486942/jake-ellenberger
139,http://www.espn.com/mma/fighter/_/id/2335664/josh-koscheck
140,http://www.espn.com/mma/fighter/_/id/3016425/richard-walsh
141,http://www.espn.com/mma/fighter/_/id/3045738/alan-jouban
142,http://www.espn.com/mma/fighter/_/id/2560085/tony-ferguson
143,http://www.espn.com/mma/fighter/_/id/2354336/gleison-tibau
144,http://www.espn.com/mma/fighter/_/id/2335784/roan-carneiro
145,http://www.espn.com/mma/fighter/_/id/2335647/mark-munoz
146,http://www.espn.com/mma/fighter/_/id/2501541/norifumi-yamamoto
147,http://www.espn.com/mma/fighter/_/id/3031286/roman-salazar
148,http://www.espn.com/mma/fighter/_/id/2591297/dhiego-lima
149,http://www.espn.com/mma/fighter/_/id/2500946/tim-means
150,http://www.espn.com/mma/fighter/_/id/2560713/derrick-lewis
151,http://www.espn.com/mma/fighter/_/id/3092778/ruan-potts
152,http://www.espn.com/mma/fighter/_/id/2486970/james-krause
153,http://www.espn.com/mma/fighter/_/id/3111141/valmir-lazaro
154,http://www.espn.com/mma/fighter/_/id/3157919/masio-fullen
155,http://www.espn.com/mma/fighter/_/id/3157943/alex-torres
156,http://www.espn.com/mma/fighter/_/id/2335687/rafael-dos-anjos
157,http://www.espn.com/mma/fighter/_/id/2504171/anthony-pettis
158,http://www.espn.com/mma/fighter/_/id/2354130/johny-hendricks
159,http://www.espn.com/mma/fighter/_/id/2335666/matt-brown
160,http://www.espn.com/mma/fighter/_/id/2335516/alistair-overeem
161,http://www.espn.com/mma/fighter/_/id/2487721/roy-nelson
162,http://www.espn.com/mma/fighter/_/id/2504552/chris-cariaso
163,http://www.espn.com/mma/fighter/_/id/3023388/henry-cejudo
164,http://www.espn.com/mma/fighter/_/id/2502444/ross-pearson
165,http://www.espn.com/mma/fighter/_/id/2354128/sam-stout
166,http://www.espn.com/mma/fighter/_/id/3083828/roger-narvaez
167,http://www.espn.com/mma/fighter/_/id/3096578/elias-theodorou
168,http://www.espn.com/mma/fighter/_/id/2512969/daron-cruickshank
169,http://www.espn.com/mma/fighter/_/id/3085551/beneil-dariush
170,http://www.espn.com/mma/fighter/_/id/3040876/jared-rosholt
171,http://www.espn.com/mma/fighter/_/id/3114203/josh-copeland
172,http://www.espn.com/mma/fighter/_/id/2992191/ryan-benoit
173,http://www.espn.com/mma/fighter/_/id/3002028/sergio-pettis
174,http://www.espn.com/mma/fighter/_/id/3011927/joe-duffy
175,http://www.espn.com/mma/fighter/_/id/3103727/jake-lindsey
176,http://www.espn.com/mma/fighter/_/id/2552777/germaine-de-randamie
177,http://www.espn.com/mma/fighter/_/id/3133988/larissa-pacheco
178,http://www.espn.com/mma/fighter/_/id/2560999/ryan-laflare
179,http://www.espn.com/mma/fighter/_/id/2335778/demian-maia
180,http://www.espn.com/mma/fighter/_/id/2335664/josh-koscheck
181,http://www.espn.com/mma/fighter/_/id/2559966/erick-silva
182,http://www.espn.com/mma/fighter/_/id/2500425/leonardo-santos
183,http://www.espn.com/mma/fighter/_/id/3026394/anthony-rocco-martin
184,http://www.espn.com/mma/fighter/_/id/2354567/shayna-baszler
185,http://www.espn.com/mma/fighter/_/id/2516131/amanda-nunes
186,http://www.espn.com/mma/fighter/_/id/3090197/gilbert-burns
187,http://www.espn.com/mma/fighter/_/id/3417396/alex-oliveira
188,http://www.espn.com/mma/fighter/_/id/2965058/godofredo-pepey
