,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,W_L_FIGHTERS
4672,Drew Fickett Keita Nakamura,0  0,79 of 174  32 of 88,45%  36%,132 of 241  49 of 118,2 of 5  2 of 2,40%  100%,0  0,1  0,0  1,79 of 174  32 of 88,36 of 125  29 of 85,37 of 43  2 of 2,6 of 6  1 of 1,16 of 58  18 of 63,34 of 46  8 of 12,29 of 70  6 of 13,Drew Fickett  Keita Nakamura
4673,Kurt Pellegrino  Nate Mohr,0  0,4 of 7  6 of 11,57%  54%,9 of 12  16 of 21,1 of 2  0 of 0,50%  0%,1  0,4  0,0  0,4 of 7  6 of 11,3 of 6  4 of 8,1 of 1  2 of 2,0 of 0  0 of 1,0 of 2  1 of 3,0 of 0  3 of 3,4 of 5  2 of 5,Kurt Pellegrino  Nate Mohr
4674,Kuniyoshi Hironaka  Forrest Petz,0  0,26 of 45  7 of 35,57%  20%,115 of 138  26 of 54,5 of 12  0 of 0,41%  0%,1  0,10  0,0  1,26 of 45  7 of 35,20 of 38  4 of 28,4 of 4  1 of 3,2 of 3  2 of 4,4 of 14  4 of 27,3 of 4  3 of 8,19 of 27  0 of 0,Kuniyoshi Hironaka  Forrest Petz
4675,Roan Carneiro Rich Clementi,0  0,22 of 36  9 of 27,61%  33%,59 of 77  59 of 77,7 of 8  0 of 0,87%  0%,4  0,8  0,0  0,22 of 36  9 of 27,16 of 30  5 of 23,4 of 4  2 of 2,2 of 2  2 of 2,7 of 12  6 of 21,9 of 10  3 of 6,6 of 14  0 of 0,Roan Carneiro  Rich Clementi
4676,Thiago Tavares Naoyuki Kotani,0  0,21 of 28  12 of 30,75%  40%,159 of 175  72 of 94,4 of 6  1 of 2,66%  50%,2  1,7  2,1  3,21 of 28  12 of 30,13 of 18  3 of 17,7 of 7  1 of 2,1 of 3  8 of 11,5 of 11  8 of 22,0 of 0  3 of 5,16 of 17  1 of 3,Thiago Tavares  Naoyuki Kotani
4677,Randy Couture  Tim Sylvia,1  0,73 of 138  25 of 106,52%  23%,138 of 205  39 of 123,7 of 10  0 of 0,70%  0%,0  0,7  0,0  0,73 of 138  25 of 106,57 of 119  22 of 102,13 of 16  3 of 4,3 of 3  0 of 0,40 of 90  15 of 92,2 of 2  5 of 9,31 of 46  5 of 5,Randy Couture  Tim Sylvia
4678,Martin Kampmann Drew McFedries,0  1,15 of 32  16 of 33,46%  48%,30 of 48  17 of 34,1 of 1  0 of 0,100%  0%,1  0,1  0,0  0,15 of 32  16 of 33,9 of 23  16 of 32,6 of 9  0 of 1,0 of 0  0 of 0,9 of 21  11 of 24,2 of 6  1 of 4,4 of 5  4 of 5,Martin Kampmann  Drew McFedries
4679,Rich Franklin Jason MacDonald,0  0,49 of 89  16 of 27,55%  59%,63 of 103  27 of 38,1 of 1  1 of 11,100%  9%,0  0,4  0,1  0,49 of 89  16 of 27,44 of 83  0 of 11,3 of 4  3 of 3,2 of 2  13 of 13,10 of 24  4 of 14,9 of 11  11 of 12,30 of 54  1 of 1,Rich Franklin  Jason MacDonald
4680,Matt Hughes Chris Lytle,0  0,13 of 21  5 of 16,61%  31%,60 of 68  44 of 55,2 of 3  0 of 0,66%  0%,3  3,8  1,1  1,13 of 21  5 of 16,11 of 19  1 of 11,2 of 2  4 of 5,0 of 0  0 of 0,0 of 0  1 of 9,0 of 0  0 of 0,13 of 21  4 of 7,Matt Hughes  Chris Lytle
4681,Jason Lambert  Renato Sobral,2  0,19 of 30  5 of 22,63%  22%,64 of 85  23 of 41,2 of 2  1 of 1,100%  100%,0  1,2  2,0  0,19 of 30  5 of 22,15 of 26  4 of 15,3 of 3  1 of 6,1 of 1  0 of 1,3 of 3  2 of 11,8 of 11  2 of 8,8 of 16  1 of 3,Jason Lambert  Renato Sobral
4682,Matt Hamill Rex Holman,0  0,29 of 49  11 of 32,59%  34%,45 of 68  15 of 36,0 of 1  0 of 4,0%  0%,0  0,2  0,0  0,29 of 49  11 of 32,28 of 47  3 of 20,1 of 2  1 of 2,0 of 0  7 of 10,10 of 25  10 of 29,4 of 5  1 of 3,15 of 19  0 of 0,Matt Hamill  Rex Holman
4683,Jon Fitch Luigi Fioravanti,0  0,19 of 42  14 of 25,45%  56%,69 of 93  21 of 32,2 of 7  0 of 0,28%  0%,2  0,4  0,0  0,19 of 42  14 of 25,7 of 25  3 of 13,7 of 10  3 of 4,5 of 7  8 of 8,6 of 17  4 of 13,6 of 10  10 of 12,7 of 15  0 of 0,Jon Fitch  Luigi Fioravanti
4684,Gleison Tibau Jason Dent,0  0,36 of 83  12 of 42,43%  28%,112 of 174  116 of 151,5 of 6  0 of 0,83%  0%,1  0,8  0,0  0,36 of 83  12 of 42,33 of 79  4 of 27,1 of 1  4 of 9,2 of 3  4 of 6,6 of 25  10 of 39,0 of 0  1 of 2,30 of 58  1 of 1,Gleison Tibau  Jason Dent
4685,Jamie Varner Jason Gilliam,0  0,7 of 13  0 of 2,53%  0%,10 of 16  1 of 3,1 of 1  0 of 0,100%  0%,2  0,1  0,0  0,7 of 13  0 of 2,6 of 12  0 of 2,0 of 0  0 of 0,1 of 1  0 of 0,1 of 1  0 of 1,0 of 0  0 of 1,6 of 12  0 of 0,Jamie Varner  Jason Gilliam
4686,Anderson Silva Travis Lutter,0  0,9 of 11  8 of 16,81%  50%,28 of 33  14 of 22,0 of 0  3 of 5,0%  60%,2  0,0  2,1  0,9 of 11  8 of 16,8 of 9  7 of 15,0 of 1  1 of 1,1 of 1  0 of 0,2 of 3  0 of 2,0 of 0  0 of 0,7 of 8  8 of 14,Anderson Silva  Travis Lutter
4687,Mirko Cro Cop Eddie Sanchez,1  0,20 of 39  5 of 40,51%  12%,32 of 51  5 of 40,0 of 0  0 of 0,0%  0%,0  0,2  0,0  0,20 of 39  5 of 40,16 of 34  4 of 38,3 of 3  1 of 1,1 of 2  0 of 1,12 of 26  3 of 37,1 of 3  2 of 3,7 of 10  0 of 0,Mirko Cro Cop  Eddie Sanchez
4688,Roger Huerta  John Halverson,0  0,13 of 18  1 of 2,72%  50%,13 of 18  1 of 2,1 of 1  0 of 0,100%  0%,0  0,1  0,0  0,13 of 18  1 of 2,13 of 18  0 of 1,0 of 0  1 of 1,0 of 0  0 of 0,0 of 1  1 of 2,0 of 0  0 of 0,13 of 17  0 of 0,Roger Huerta  John Halverson
