,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,W_L_FIGHTERS
0,Conor McGregor Donald Cerrone,1  0,19 of 26  0 of 1,73%  0%,20 of 27  0 of 1,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,19 of 26  0 of 1,19 of 25  0 of 0,0 of 1  0 of 1,0 of 0  0 of 0,3 of 7  0 of 1,3 of 3  0 of 0,13 of 16  0 of 0,Conor McGregor  Donald Cerrone
1,Holly Holm Raquel Pennington,0  0,30 of 62  38 of 78,48%  48%,81 of 129  55 of 95,0 of 3  1 of 2,0%  50%,0  0,0  0,0  0,30 of 62  38 of 78,12 of 33  9 of 43,9 of 18  27 of 30,9 of 11  2 of 5,20 of 50  10 of 46,10 of 12  28 of 32,0 of 0  0 of 0,Holly Holm  Raquel Pennington
2,Aleksei Oleinik Maurice Greene,0  0,7 of 22  13 of 29,31%  44%,25 of 46  38 of 54,3 of 3  0 of 0,100%  0%,3  0,4  0,0  0,7 of 22  13 of 29,4 of 19  10 of 25,2 of 2  1 of 2,1 of 1  2 of 2,4 of 16  10 of 26,0 of 0  3 of 3,3 of 6  0 of 0,Aleksei Oleinik  Maurice Greene
3,Brian Kelleher Ode Osbourne,0  0,7 of 12  9 of 14,58%  64%,28 of 34  19 of 25,1 of 2  0 of 0,50%  0%,1  0,1  0,0  0,7 of 12  9 of 14,5 of 9  9 of 14,0 of 1  0 of 0,2 of 2  0 of 0,3 of 5  3 of 8,0 of 0  1 of 1,4 of 7  5 of 5,Brian Kelleher  Ode Osbourne
4,Anthony Pettis Diego Ferreira,0  0,22 of 45  25 of 53,48%  47%,28 of 51  43 of 74,0 of 0  3 of 7,0%  42%,0  1,0  4,0  0,22 of 45  25 of 53,12 of 33  18 of 43,9 of 11  4 of 6,1 of 1  3 of 4,18 of 41  16 of 39,3 of 3  3 of 4,1 of 1  6 of 10,Diego Ferreira  Anthony Pettis
5,Roxanne Modafferi Maycee Barber,1  0,19 of 43  16 of 31,44%  51%,112 of 155  25 of 45,1 of 1  0 of 0,100%  0%,0  1,10  1,1  3,19 of 43  16 of 31,17 of 41  15 of 29,2 of 2  1 of 2,0 of 0  0 of 0,11 of 31  9 of 19,1 of 1  0 of 0,7 of 11  7 of 12,Roxanne Modafferi  Maycee Barber
6,Andre Fili Sodiq Yusuff,0  0,49 of 145  73 of 155,33%  47%,56 of 152  90 of 177,3 of 7  0 of 0,42%  0%,0  1,0  5,0  1,49 of 145  73 of 155,36 of 129  54 of 131,10 of 12  10 of 15,3 of 4  9 of 9,46 of 140  50 of 120,3 of 4  3 of 5,0 of 1  20 of 30,Sodiq Yusuff  Andre Fili
7,Tim Elliott Askar Askarov,0  0,47 of 111  73 of 150,42%  48%,86 of 157  96 of 173,3 of 11  0 of 7,27%  0%,0  0,1  2,0  0,47 of 111  73 of 150,15 of 67  57 of 131,18 of 24  4 of 5,14 of 20  12 of 14,35 of 90  57 of 127,12 of 21  8 of 9,0 of 0  8 of 14,Askar Askarov  Tim Elliott
8,Drew Dober Nasrat Haqparast,1  0,13 of 26  7 of 11,50%  63%,13 of 26  7 of 11,0 of 0  0 of 0,0%  0%,0  0,1  0,0  0,13 of 26  7 of 11,12 of 24  3 of 7,1 of 2  2 of 2,0 of 0  2 of 2,2 of 15  7 of 11,0 of 0  0 of 0,11 of 11  0 of 0,Drew Dober  Nasrat Haqparast
9,Aleksa Camur Justin Ledet,0  0,80 of 165  44 of 131,48%  33%,88 of 174  60 of 148,1 of 2  0 of 0,50%  0%,0  0,0  0,0  0,80 of 165  44 of 131,40 of 104  34 of 117,24 of 34  10 of 14,16 of 27  0 of 0,62 of 141  38 of 123,17 of 23  6 of 8,1 of 1  0 of 0,Aleksa Camur  Justin Ledet
10,Sabina Mazo JJ Aldrich,0  0,118 of 323  58 of 144,36%  40%,121 of 327  69 of 156,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,118 of 323  58 of 144,66 of 258  45 of 125,29 of 34  10 of 13,23 of 31  3 of 6,92 of 292  49 of 132,26 of 31  9 of 12,0 of 0  0 of 0,Sabina Mazo  JJ Aldrich
11,Frankie Edgar Chan Sung Jung,0  1,9 of 14  46 of 60,64%  76%,9 of 14  79 of 97,0 of 2  0 of 0,0%  0%,0  0,0  1,0  0,9 of 14  46 of 60,6 of 11  46 of 60,1 of 1  0 of 0,2 of 2  0 of 0,9 of 14  8 of 18,0 of 0  0 of 0,0 of 0  38 of 42,Chan Sung Jung  Frankie Edgar
12,Volkan Oezdemir Aleksandar Rakic,0  0,63 of 144  75 of 147,43%  51%,118 of 199  87 of 162,0 of 0  1 of 9,0%  11%,0  1,0  0,0  0,63 of 144  75 of 147,28 of 105  49 of 116,14 of 18  16 of 18,21 of 21  10 of 13,47 of 122  57 of 126,16 of 22  18 of 21,0 of 0  0 of 0,Volkan Oezdemir  Aleksandar Rakic
13,Dooho Choi Charles Jourdain,1  2,42 of 94  64 of 129,44%  49%,44 of 96  75 of 140,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,42 of 94  64 of 129,30 of 80  38 of 84,9 of 11  23 of 37,3 of 3  3 of 8,36 of 80  52 of 115,3 of 8  4 of 4,3 of 6  8 of 10,Charles Jourdain  Dooho Choi
14,Da-Un Jung Mike Rodriguez,1  0,5 of 10  4 of 8,50%  50%,5 of 10  4 of 8,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,5 of 10  4 of 8,5 of 10  0 of 1,0 of 0  2 of 2,0 of 0  2 of 5,1 of 6  4 of 8,0 of 0  0 of 0,4 of 4  0 of 0,Da-Un Jung  Mike Rodriguez
15,Junyong Park Marc-Andre Barriault,0  0,77 of 187  51 of 160,41%  31%,83 of 193  57 of 166,5 of 10  0 of 2,50%  0%,0  0,0  0,0  0,77 of 187  51 of 160,59 of 166  22 of 119,12 of 15  8 of 11,6 of 6  21 of 30,69 of 174  49 of 155,8 of 13  2 of 5,0 of 0  0 of 0,Junyong Park  Marc-Andre Barriault
16,Kyung Ho Kang Liu Pingyuan,0  0,20 of 40  25 of 53,50%  47%,108 of 153  114 of 149,3 of 7  0 of 0,42%  0%,0  0,2  0,0  0,20 of 40  25 of 53,17 of 37  16 of 42,2 of 2  2 of 2,1 of 1  7 of 9,8 of 26  8 of 33,0 of 0  0 of 0,12 of 14  17 of 20,Kyung Ho Kang  Liu Pingyuan
17,Ciryl Gane Tanner Boser,0  0,65 of 160  32 of 104,40%  30%,65 of 160  32 of 104,0 of 1  0 of 0,0%  0%,0  0,0  0,0  0,65 of 160  32 of 104,36 of 125  13 of 83,22 of 27  5 of 6,7 of 8  14 of 15,57 of 151  32 of 104,8 of 9  0 of 0,0 of 0  0 of 0,Ciryl Gane  Tanner Boser
18,SeungWoo Choi Suman Mokhtarian,1  0,95 of 187  33 of 79,50%  41%,158 of 254  67 of 115,0 of 0  0 of 1,0%  0%,0  0,2  0,0  0,95 of 187  33 of 79,66 of 151  14 of 47,26 of 33  8 of 19,3 of 3  11 of 13,48 of 112  29 of 74,25 of 39  2 of 3,22 of 36  2 of 2,SeungWoo Choi  Suman Mokhtarian
19,Dong Hyun Ma Omar Morales,0  1,15 of 56  32 of 89,26%  35%,21 of 63  60 of 123,0 of 0  1 of 1,0%  100%,0  0,0  3,0  0,15 of 56  32 of 89,6 of 43  22 of 78,2 of 5  9 of 10,7 of 8  1 of 1,15 of 56  20 of 69,0 of 0  0 of 0,0 of 0  12 of 20,Omar Morales  Dong Hyun Ma
20,Alexandre Pantoja Matt Schnell,1  0,34 of 62  20 of 52,54%  38%,36 of 64  35 of 68,1 of 1  0 of 1,100%  0%,0  0,1  0,0  0,34 of 62  20 of 52,32 of 60  16 of 43,0 of 0  2 of 6,2 of 2  2 of 3,27 of 54  18 of 50,0 of 0  0 of 0,7 of 8  2 of 2,Alexandre Pantoja  Matt Schnell
21,Raoni Barcelos Said Nurmagomedov,0  0,42 of 100  55 of 172,42%  31%,52 of 112  77 of 200,2 of 5  0 of 2,40%  0%,0  0,4  0,0  0,42 of 100  55 of 172,16 of 61  24 of 131,8 of 16  10 of 18,18 of 23  21 of 23,32 of 85  49 of 162,5 of 9  2 of 5,5 of 6  4 of 5,Raoni Barcelos  Said Nurmagomedov
22,Miranda Granger Amanda Lemos,0  0,4 of 8  8 of 12,50%  66%,5 of 9  14 of 18,0 of 0  1 of 1,0%  100%,0  1,0  1,0  0,4 of 8  8 of 12,1 of 3  6 of 9,0 of 0  0 of 1,3 of 5  2 of 2,4 of 8  3 of 5,0 of 0  0 of 0,0 of 0  5 of 7,Amanda Lemos  Miranda Granger
23,Heili Alateng Ryan Benoit,0  0,47 of 131  68 of 128,35%  53%,72 of 160  84 of 145,4 of 13  0 of 1,30%  0%,0  0,0  0,0  0,47 of 131  68 of 128,27 of 108  45 of 101,11 of 13  17 of 21,9 of 10  6 of 6,47 of 131  53 of 112,0 of 0  15 of 16,0 of 0  0 of 0,Heili Alateng  Ryan Benoit
24,Kamaru Usman Colby Covington,2  0,175 of 360  143 of 395,48%  36%,175 of 360  143 of 395,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,175 of 360  143 of 395,116 of 279  103 of 341,53 of 74  28 of 39,6 of 7  12 of 15,156 of 340  143 of 395,5 of 5  0 of 0,14 of 15  0 of 0,Kamaru Usman  Colby Covington
25,Max Holloway Alexander Volkanovski,0  0,134 of 303  157 of 303,44%  51%,135 of 304  157 of 303,0 of 0  0 of 4,0%  0%,0  0,0  0,0  0,134 of 303  157 of 303,85 of 233  67 of 178,32 of 44  15 of 32,17 of 26  75 of 93,132 of 301  156 of 302,2 of 2  1 of 1,0 of 0  0 of 0,Alexander Volkanovski  Max Holloway
26,Amanda Nunes Germaine de Randamie,0  0,79 of 184  40 of 73,42%  54%,199 of 337  126 of 175,8 of 11  0 of 0,72%  0%,2  1,5  0,0  0,79 of 184  40 of 73,63 of 162  19 of 48,4 of 6  11 of 15,12 of 16  10 of 10,15 of 46  19 of 42,2 of 3  12 of 13,62 of 135  9 of 18,Amanda Nunes  Germaine de Randamie
27,Marlon Moraes Jose Aldo,0  0,59 of 137  58 of 147,43%  39%,59 of 137  63 of 152,1 of 2  0 of 0,50%  0%,0  0,1  0,0  0,59 of 137  58 of 147,48 of 124  39 of 109,7 of 9  16 of 34,4 of 4  3 of 4,58 of 136  57 of 146,1 of 1  1 of 1,0 of 0  0 of 0,Marlon Moraes  Jose Aldo
28,Petr Yan Urijah Faber,3  0,54 of 108  18 of 76,50%  23%,62 of 116  28 of 86,2 of 2  0 of 3,100%  0%,0  0,1  0,0  0,54 of 108  18 of 76,40 of 90  14 of 64,11 of 14  2 of 9,3 of 4  2 of 3,26 of 73  15 of 71,14 of 17  3 of 5,14 of 18  0 of 0,Petr Yan  Urijah Faber
29,Geoff Neal Mike Perry,1  0,15 of 23  5 of 10,65%  50%,15 of 23  5 of 10,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,15 of 23  5 of 10,12 of 18  1 of 3,1 of 3  2 of 4,2 of 2  2 of 3,12 of 20  5 of 10,0 of 0  0 of 0,3 of 3  0 of 0,Geoff Neal  Mike Perry
30,Ketlen Vieira Irene Aldana,0  1,20 of 76  26 of 71,26%  36%,20 of 76  26 of 71,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,20 of 76  26 of 71,19 of 75  13 of 52,1 of 1  7 of 13,0 of 0  6 of 6,20 of 76  24 of 69,0 of 0  0 of 0,0 of 0  2 of 2,Irene Aldana  Ketlen Vieira
31,Ian Heinisch Omari Akhmedov,0  0,53 of 103  55 of 166,51%  33%,70 of 121  69 of 180,3 of 10  2 of 4,30%  50%,0  0,0  1,0  0,53 of 103  55 of 166,26 of 62  41 of 139,13 of 27  10 of 23,14 of 14  4 of 4,46 of 94  48 of 159,4 of 6  7 of 7,3 of 3  0 of 0,Omari Akhmedov  Ian Heinisch
32,Matt Brown Ben Saunders,0  0,30 of 47  12 of 23,63%  52%,40 of 59  38 of 49,2 of 3  0 of 0,66%  0%,0  4,3  0,0  0,30 of 47  12 of 23,27 of 43  10 of 17,2 of 3  2 of 6,1 of 1  0 of 0,10 of 20  5 of 15,2 of 2  0 of 0,18 of 25  7 of 8,Matt Brown  Ben Saunders
33,Chase Hooper Daniel Teymur,0  0,20 of 36  2 of 6,55%  33%,37 of 70  2 of 6,1 of 3  0 of 0,33%  0%,2  1,2  0,0  0,20 of 36  2 of 6,17 of 32  2 of 6,2 of 3  0 of 0,1 of 1  0 of 0,3 of 4  2 of 4,1 of 1  0 of 0,16 of 31  0 of 2,Chase Hooper  Daniel Teymur
34,Brandon Moreno Kai Kara-France,0  0,91 of 276  82 of 231,32%  35%,91 of 276  82 of 231,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,91 of 276  82 of 231,78 of 261  57 of 194,12 of 14  10 of 17,1 of 1  15 of 20,91 of 276  82 of 231,0 of 0  0 of 0,0 of 0  0 of 0,Brandon Moreno  Kai Kara-France
35,Jessica Eye Viviane Araujo,0  0,98 of 196  56 of 122,50%  45%,100 of 198  69 of 135,0 of 1  2 of 7,0%  28%,0  0,0  2,0  0,98 of 196  56 of 122,40 of 121  39 of 103,29 of 40  7 of 7,29 of 35  10 of 12,91 of 188  51 of 114,7 of 8  2 of 4,0 of 0  3 of 4,Jessica Eye  Viviane Araujo
36,Punahele Soriano Oskar Piechota,2  0,26 of 44  8 of 17,59%  47%,26 of 46  11 of 20,1 of 1  0 of 0,100%  0%,0  0,2  0,0  1,26 of 44  8 of 17,20 of 37  4 of 11,6 of 7  3 of 4,0 of 0  1 of 2,10 of 19  3 of 12,2 of 3  4 of 4,14 of 22  1 of 1,Punahele Soriano  Oskar Piechota
37,Jan Blachowicz Jacare Souza,0  0,71 of 170  20 of 48,41%  41%,105 of 205  56 of 88,0 of 0  0 of 5,0%  0%,0  0,0  0,0  0,71 of 170  20 of 48,38 of 121  8 of 28,13 of 20  3 of 10,20 of 29  9 of 10,59 of 154  18 of 45,12 of 16  2 of 3,0 of 0  0 of 0,Jan Blachowicz  Jacare Souza
38,Charles Oliveira Jared Gordon,1  0,10 of 16  7 of 18,62%  38%,10 of 16  7 of 18,0 of 1  0 of 0,0%  0%,0  0,0  0,0  0,10 of 16  7 of 18,5 of 9  7 of 16,1 of 3  0 of 2,4 of 4  0 of 0,8 of 14  7 of 18,0 of 0  0 of 0,2 of 2  0 of 0,Charles Oliveira  Jared Gordon
39,Antonio Arroyo Andre Muniz,0  0,29 of 47  22 of 42,61%  52%,47 of 67  85 of 128,1 of 1  3 of 7,100%  42%,0  2,0  2,1  0,29 of 47  22 of 42,20 of 35  12 of 30,5 of 7  8 of 10,4 of 5  2 of 2,21 of 36  20 of 40,0 of 0  1 of 1,8 of 11  1 of 1,Andre Muniz  Antonio Arroyo
40,Markus Perez Wellington Turman,0  0,49 of 96  48 of 120,51%  40%,56 of 103  59 of 132,0 of 1  2 of 9,0%  22%,0  0,0  1,0  0,49 of 96  48 of 120,33 of 72  35 of 103,13 of 21  8 of 12,3 of 3  5 of 5,26 of 67  23 of 91,21 of 26  19 of 21,2 of 3  6 of 8,Wellington Turman  Markus Perez
41,Sergio Moraes James Krause,0  3,41 of 99  102 of 174,41%  58%,42 of 100  125 of 200,1 of 4  0 of 0,25%  0%,0  0,1  1,0  1,41 of 99  102 of 174,36 of 91  79 of 148,3 of 6  7 of 10,2 of 2  16 of 16,41 of 99  97 of 166,0 of 0  0 of 0,0 of 0  5 of 8,James Krause  Sergio Moraes
42,Ricardo Ramos Eduardo Garagorri,0  0,10 of 34  6 of 16,29%  37%,12 of 36  6 of 16,2 of 3  0 of 0,66%  0%,1  0,1  0,0  0,10 of 34  6 of 16,3 of 23  3 of 11,3 of 4  3 of 4,4 of 7  0 of 1,9 of 33  6 of 16,0 of 0  0 of 0,1 of 1  0 of 0,Ricardo Ramos  Eduardo Garagorri
43,Francisco Trinaldo Bobby Green,0  0,31 of 122  50 of 115,25%  43%,36 of 127  67 of 135,1 of 2  2 of 2,50%  100%,1  0,0  4,0  0,31 of 122  50 of 115,20 of 100  27 of 77,5 of 14  13 of 24,6 of 8  10 of 14,26 of 109  43 of 106,5 of 13  1 of 2,0 of 0  6 of 7,Francisco Trinaldo  Bobby Green
44,Warlley Alves Randy Brown,0  0,3 of 11  16 of 30,27%  53%,8 of 18  24 of 38,3 of 3  1 of 1,100%  100%,2  1,3  1,0  1,3 of 11  16 of 30,1 of 8  11 of 23,0 of 0  3 of 4,2 of 3  2 of 3,1 of 9  9 of 18,0 of 0  3 of 5,2 of 2  4 of 7,Randy Brown  Warlley Alves
45,Douglas Silva de Andrade Renan Barao,0  0,74 of 163  58 of 158,45%  36%,100 of 190  140 of 241,0 of 0  2 of 9,0%  22%,0  0,0  1,0  0,74 of 163  58 of 158,51 of 127  31 of 115,15 of 27  14 of 25,8 of 9  13 of 18,68 of 156  49 of 147,4 of 4  7 of 8,2 of 3  2 of 3,Douglas Silva de Andrade  Renan Barao
46,Ariane Lipski Isabela de Padua,1  0,31 of 63  15 of 42,49%  35%,175 of 224  90 of 128,0 of 0  2 of 3,0%  66%,1  1,2  0,1  0,31 of 63  15 of 42,27 of 58  15 of 42,4 of 4  0 of 0,0 of 1  0 of 0,18 of 45  6 of 26,0 of 0  0 of 0,13 of 18  9 of 16,Ariane Lipski  Isabela de Padua
47,Vanessa Melo Tracy Cortez,0  0,40 of 125  79 of 140,32%  56%,76 of 161  155 of 224,0 of 0  2 of 9,0%  22%,0  0,0  1,0  0,40 of 125  79 of 140,32 of 116  53 of 109,7 of 7  16 of 18,1 of 2  10 of 13,32 of 117  46 of 103,6 of 6  12 of 12,2 of 2  21 of 25,Tracy Cortez  Vanessa Melo
48,Zabit Magomedsharipov Calvin Kattar,0  0,96 of 250  80 of 213,38%  37%,100 of 255  127 of 260,1 of 4  0 of 0,25%  0%,0  0,0  0,0  0,96 of 250  80 of 213,46 of 181  61 of 184,14 of 33  11 of 21,36 of 36  8 of 8,95 of 249  71 of 204,0 of 0  0 of 0,1 of 1  9 of 9,Zabit Magomedsharipov  Calvin Kattar
49,Alexander Volkov Greg Hardy,0  0,86 of 152  46 of 135,56%  34%,86 of 152  51 of 140,0 of 0  0 of 2,0%  0%,0  0,0  0,0  0,86 of 152  46 of 135,44 of 101  23 of 92,26 of 32  13 of 29,16 of 19  10 of 14,86 of 152  46 of 135,0 of 0  0 of 0,0 of 0  0 of 0,Alexander Volkov  Greg Hardy
50,Zelim Imadaev Danny Roberts,0  1,28 of 71  37 of 61,39%  60%,38 of 84  42 of 68,1 of 1  1 of 8,100%  12%,0  0,1  0,0  0,28 of 71  37 of 61,15 of 54  10 of 34,10 of 12  17 of 17,3 of 5  10 of 10,19 of 58  18 of 40,9 of 11  19 of 21,0 of 2  0 of 0,Danny Roberts  Zelim Imadaev
51,Khadis Ibragimov Ed Herman,0  0,53 of 102  81 of 140,51%  57%,70 of 124  121 of 183,2 of 4  0 of 4,50%  0%,0  0,1  0,0  0,53 of 102  81 of 140,48 of 95  49 of 103,4 of 6  17 of 19,1 of 1  15 of 18,43 of 91  36 of 79,10 of 11  43 of 59,0 of 0  2 of 2,Ed Herman  Khadis Ibragimov
52,Ramazan Emeev Anthony Rocco Martin,0  0,30 of 92  41 of 140,32%  29%,43 of 105  48 of 148,0 of 9  0 of 0,0%  0%,0  2,0  0,0  0,30 of 92  41 of 140,26 of 84  22 of 119,2 of 4  0 of 0,2 of 4  19 of 21,24 of 86  41 of 140,6 of 6  0 of 0,0 of 0  0 of 0,Anthony Rocco Martin  Ramazan Emeev
53,Shamil Gamzatov Klidson Abreu,0  0,64 of 138  32 of 78,46%  41%,82 of 158  47 of 95,0 of 1  1 of 2,0%  50%,0  0,0  0,0  0,64 of 138  32 of 78,10 of 59  11 of 48,23 of 34  7 of 15,31 of 45  14 of 15,64 of 138  31 of 76,0 of 0  1 of 1,0 of 0  0 of 1,Shamil Gamzatov  Klidson Abreu
54,Magomed Ankalaev Dalcha Lungiambula,1  0,44 of 67  6 of 26,65%  23%,91 of 123  13 of 33,1 of 3  0 of 2,33%  0%,0  0,1  0,0  0,44 of 67  6 of 26,28 of 45  4 of 23,12 of 16  2 of 3,4 of 6  0 of 0,23 of 44  5 of 25,4 of 5  1 of 1,17 of 18  0 of 0,Magomed Ankalaev  Dalcha Lungiambula
55,Rustam Khabilov Sergey Khandozhko,0  0,12 of 28  25 of 51,42%  49%,56 of 79  188 of 219,4 of 12  0 of 0,33%  0%,0  0,1  0,0  0,12 of 28  25 of 51,6 of 21  12 of 33,3 of 4  0 of 3,3 of 3  13 of 15,8 of 23  23 of 49,0 of 0  2 of 2,4 of 5  0 of 0,Rustam Khabilov  Sergey Khandozhko
56,Roman Kopylov Karl Roberson,0  0,37 of 95  43 of 117,38%  36%,38 of 96  43 of 117,0 of 1  1 of 3,0%  33%,0  1,0  1,0  0,37 of 95  43 of 117,19 of 72  14 of 77,15 of 20  3 of 10,3 of 3  26 of 30,37 of 95  41 of 115,0 of 0  2 of 2,0 of 0  0 of 0,Karl Roberson  Roman Kopylov
57,Abubakar Nurmagomedov David Zawada,0  0,4 of 9  2 of 11,44%  18%,22 of 34  25 of 34,1 of 1  0 of 0,100%  0%,0  2,1  0,0  0,4 of 9  2 of 11,3 of 8  0 of 7,0 of 0  1 of 3,1 of 1  1 of 1,4 of 9  2 of 11,0 of 0  0 of 0,0 of 0  0 of 0,David Zawada  Abubakar Nurmagomedov
58,Alexander Yakovlev Roosevelt Roberts,0  0,20 of 49  28 of 98,40%  28%,38 of 71  56 of 128,3 of 8  0 of 0,37%  0%,0  0,1  3,0  0,20 of 49  28 of 98,8 of 34  22 of 90,6 of 9  2 of 4,6 of 6  4 of 4,12 of 38  27 of 96,1 of 1  1 of 2,7 of 10  0 of 0,Roosevelt Roberts  Alexander Yakovlev
59,Jessica-Rose Clark Pannie Kianzad,0  0,65 of 157  98 of 238,41%  41%,71 of 163  103 of 243,0 of 2  0 of 1,0%  0%,0  0,0  0,0  0,65 of 157  98 of 238,37 of 117  71 of 194,6 of 16  14 of 30,22 of 24  13 of 14,65 of 157  93 of 229,0 of 0  5 of 9,0 of 0  0 of 0,Pannie Kianzad  Jessica-Rose Clark
60,Grigorii Popov Davey Grant,0  0,35 of 88  30 of 63,39%  47%,57 of 111  34 of 70,0 of 0  6 of 9,0%  66%,0  0,1  2,2  1,35 of 88  30 of 63,16 of 57  8 of 32,14 of 22  12 of 19,5 of 9  10 of 12,25 of 65  27 of 52,4 of 5  0 of 2,6 of 18  3 of 9,Davey Grant  Grigorii Popov
61,Jorge Masvidal Nate Diaz,2  0,112 of 179  43 of 104,62%  41%,114 of 184  125 of 194,1 of 1  0 of 2,100%  0%,0  0,0  0,0  0,112 of 179  43 of 104,78 of 136  23 of 74,27 of 35  12 of 21,7 of 8  8 of 9,52 of 92  33 of 91,20 of 25  10 of 13,40 of 62  0 of 0,Jorge Masvidal  Nate Diaz
62,Kelvin Gastelum Darren Till,0  0,40 of 81  36 of 67,49%  53%,50 of 96  37 of 69,1 of 4  1 of 2,25%  50%,0  0,0  0,0  0,40 of 81  36 of 67,8 of 41  19 of 48,11 of 14  2 of 2,21 of 26  15 of 17,26 of 63  34 of 61,14 of 18  2 of 6,0 of 0  0 of 0,Darren Till  Kelvin Gastelum
63,Stephen Thompson Vicente Luque,1  0,138 of 242  77 of 175,57%  44%,138 of 242  77 of 175,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,138 of 242  77 of 175,111 of 212  26 of 107,21 of 23  9 of 18,6 of 7  42 of 50,126 of 227  76 of 172,3 of 3  1 of 3,9 of 12  0 of 0,Stephen Thompson  Vicente Luque
64,Derrick Lewis Blagoy Ivanov,0  0,31 of 68  20 of 38,45%  52%,32 of 69  61 of 83,1 of 3  3 of 6,33%  50%,0  1,1  3,0  0,31 of 68  20 of 38,21 of 54  12 of 27,8 of 11  7 of 10,2 of 3  1 of 1,9 of 27  12 of 24,22 of 41  8 of 14,0 of 0  0 of 0,Derrick Lewis  Blagoy Ivanov
65,Kevin Lee Gregor Gillespie,1  0,21 of 59  9 of 46,35%  19%,21 of 59  9 of 46,0 of 0  0 of 1,0%  0%,0  0,0  0,0  0,21 of 59  9 of 46,19 of 55  8 of 45,2 of 4  0 of 0,0 of 0  1 of 1,20 of 56  9 of 46,0 of 2  0 of 0,1 of 1  0 of 0,Kevin Lee  Gregor Gillespie
66,Corey Anderson Johnny Walker,1  0,22 of 39  1 of 3,56%  33%,26 of 43  1 of 3,1 of 2  0 of 0,50%  0%,0  0,0  0,0  0,22 of 39  1 of 3,21 of 38  0 of 2,1 of 1  0 of 0,0 of 0  1 of 1,5 of 15  1 of 3,10 of 13  0 of 0,7 of 11  0 of 0,Corey Anderson  Johnny Walker
67,Shane Burgos Makwan Amirkhani,1  0,105 of 155  22 of 48,67%  45%,161 of 217  23 of 49,0 of 0  3 of 19,0%  15%,0  1,1  0,0  0,105 of 155  22 of 48,61 of 108  21 of 46,41 of 43  1 of 2,3 of 4  0 of 0,39 of 78  21 of 47,15 of 17  0 of 0,51 of 60  1 of 1,Shane Burgos  Makwan Amirkhani
68,Brad Tavares Edmen Shahbazyan,0  2,3 of 23  14 of 38,13%  36%,3 of 23  14 of 38,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,3 of 23  14 of 38,1 of 19  12 of 36,1 of 1  2 of 2,1 of 3  0 of 0,3 of 22  10 of 32,0 of 1  2 of 4,0 of 0  2 of 2,Edmen Shahbazyan  Brad Tavares
69,Andrei Arlovski Jairzinho Rozenstruik,0  1,4 of 9  5 of 9,44%  55%,4 of 9  5 of 9,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,4 of 9  5 of 9,1 of 6  4 of 8,0 of 0  0 of 0,3 of 3  1 of 1,4 of 9  5 of 9,0 of 0  0 of 0,0 of 0  0 of 0,Jairzinho Rozenstruik  Andrei Arlovski
70,Katlyn Chookagian Jennifer Maia,0  0,73 of 180  58 of 231,40%  25%,109 of 217  74 of 248,0 of 1  1 of 2,0%  50%,0  0,0  1,0  0,73 of 180  58 of 231,45 of 142  31 of 193,15 of 21  5 of 13,13 of 17  22 of 25,73 of 180  57 of 228,0 of 0  1 of 2,0 of 0  0 of 1,Katlyn Chookagian  Jennifer Maia
71,Lyman Good Chance Rencountre,1  0,68 of 134  23 of 83,50%  27%,73 of 142  23 of 85,0 of 0  0 of 1,0%  0%,0  0,0  0,0  0,68 of 134  23 of 83,52 of 113  6 of 54,6 of 10  14 of 26,10 of 11  3 of 3,59 of 124  20 of 80,8 of 9  3 of 3,1 of 1  0 of 0,Lyman Good  Chance Rencountre
72,Julio Arce Hakeem Dawodu,0  0,32 of 124  55 of 139,25%  39%,64 of 162  83 of 170,1 of 3  0 of 0,33%  0%,0  0,2  0,0  1,32 of 124  55 of 139,21 of 101  15 of 79,11 of 22  25 of 42,0 of 1  15 of 18,28 of 116  40 of 121,4 of 8  11 of 14,0 of 0  4 of 4,Hakeem Dawodu  Julio Arce
73,Demian Maia Ben Askren,0  0,69 of 122  63 of 127,56%  49%,84 of 137  102 of 168,0 of 0  4 of 7,0%  57%,1  0,4  1,2  1,69 of 122  63 of 127,44 of 88  54 of 116,25 of 34  4 of 6,0 of 0  5 of 5,49 of 99  46 of 108,17 of 20  11 of 13,3 of 3  6 of 6,Demian Maia  Ben Askren
74,Michael Johnson Stevie Ray,0  0,78 of 173  85 of 188,45%  45%,81 of 176  104 of 207,0 of 0  1 of 4,0%  25%,0  0,0  1,0  0,78 of 173  85 of 188,46 of 134  59 of 156,19 of 26  4 of 4,13 of 13  22 of 28,77 of 172  57 of 142,1 of 1  0 of 0,0 of 0  28 of 46,Stevie Ray  Michael Johnson
