,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
0,Joanna Jedrzejczyk Michelle Waterson,0  0,180 of 300  58 of 160,60%  36%,226 of 347  71 of 174,3 of 5  1 of 9,60%  11%,1  1,0  1,0  0,180 of 300  58 of 160,48 of 136  25 of 84,54 of 74  12 of 40,78 of 90  21 of 36,132 of 246  44 of 141,48 of 54  14 of 19,0 of 0  0 of 0
0,Cub Swanson Kron Gracie,0  0,135 of 288  86 of 200,46%  43%,143 of 296  109 of 225,0 of 0  0 of 2,0%  0%,0  0,0  0,0  0,135 of 288  86 of 200,84 of 215  73 of 177,40 of 58  4 of 8,11 of 15  9 of 15,110 of 252  74 of 182,24 of 34  11 of 16,1 of 2  1 of 2
0,Niko Price James Vick,1  0,11 of 22  9 of 18,50%  50%,15 of 28  10 of 19,0 of 1  0 of 0,0%  0%,0  0,1  0,0  0,11 of 22  9 of 18,10 of 21  6 of 15,0 of 0  1 of 1,1 of 1  2 of 2,2 of 9  5 of 11,0 of 0  0 of 0,9 of 13  4 of 7
0,Mackenzie Dern Amanda Ribas,0  0,20 of 145  74 of 206,13%  35%,50 of 175  84 of 216,0 of 6  2 of 2,0%  100%,0  0,0  0,0  0,20 of 145  74 of 206,16 of 135  40 of 163,3 of 8  21 of 28,1 of 2  13 of 15,19 of 144  72 of 203,0 of 0  0 of 0,1 of 1  2 of 3
0,Matt Frevola Luis Pena,0  0,48 of 110  51 of 120,43%  42%,51 of 115  60 of 129,4 of 7  1 of 2,57%  50%,0  2,1  1,0  3,48 of 110  51 of 120,27 of 82  43 of 104,10 of 17  7 of 15,11 of 11  1 of 1,46 of 105  37 of 101,2 of 5  8 of 10,0 of 0  6 of 9
0,Eryk Anders Gerald Meerschaert,0  0,64 of 178  72 of 202,35%  35%,64 of 178  72 of 202,0 of 0  0 of 1,0%  0%,0  0,0  0,0  0,64 of 178  72 of 202,31 of 132  56 of 185,14 of 22  13 of 14,19 of 24  3 of 3,61 of 173  71 of 201,2 of 2  1 of 1,1 of 3  0 of 0
0,Ryan Spann Devin Clark,0  0,17 of 48  17 of 37,35%  45%,17 of 48  22 of 42,0 of 1  2 of 3,0%  66%,1  0,0  0,0  0,17 of 48  17 of 37,14 of 44  8 of 27,3 of 4  7 of 8,0 of 0  2 of 2,8 of 36  11 of 29,9 of 12  6 of 8,0 of 0  0 of 0
0,Mike Davis Thomas Gifford,2  0,139 of 222  88 of 242,62%  36%,141 of 224  89 of 243,2 of 2  0 of 2,100%  0%,0  0,1  0,0  0,139 of 222  88 of 242,96 of 166  45 of 189,32 of 40  18 of 23,11 of 16  25 of 30,98 of 173  80 of 229,17 of 18  8 of 11,24 of 31  0 of 2
0,Max Griffin Alex Morono,0  1,75 of 166  81 of 255,45%  31%,94 of 189  87 of 261,4 of 5  0 of 1,80%  0%,0  0,1  0,0  0,75 of 166  81 of 255,37 of 115  60 of 229,33 of 45  11 of 15,5 of 6  10 of 11,69 of 156  68 of 237,5 of 9  12 of 16,1 of 1  1 of 2
0,Deiveson Figueiredo Tim Elliott,0  0,8 of 13  26 of 38,61%  68%,8 of 13  33 of 45,0 of 1  1 of 3,0%  33%,1  0,0  0,0  0,8 of 13  26 of 38,8 of 13  10 of 16,0 of 0  1 of 5,0 of 0  15 of 17,6 of 10  20 of 28,2 of 3  6 of 10,0 of 0  0 of 0
0,Marlon Vera Andre Ewell,0  0,80 of 133  50 of 131,60%  38%,87 of 140  67 of 148,0 of 1  0 of 1,0%  0%,2  0,0  0,0  0,80 of 133  50 of 131,41 of 83  38 of 112,19 of 26  11 of 18,20 of 24  1 of 1,51 of 95  49 of 124,15 of 21  1 of 6,14 of 17  0 of 1
0,Miguel Baeza Hector Aldana,1  0,35 of 61  8 of 42,57%  19%,35 of 61  8 of 42,1 of 1  0 of 0,100%  0%,0  0,0  0,0  0,35 of 61  8 of 42,16 of 38  2 of 30,3 of 7  0 of 4,16 of 16  6 of 8,29 of 51  8 of 42,0 of 0  0 of 0,6 of 10  0 of 0
0,Marvin Vettori Andrew Sanchez,0  0,85 of 205  39 of 185,41%  21%,86 of 206  39 of 185,0 of 0  0 of 2,0%  0%,0  0,0  0,0  0,85 of 205  39 of 185,72 of 187  21 of 146,10 of 14  6 of 17,3 of 4  12 of 22,74 of 188  38 of 183,11 of 17  1 of 2,0 of 0  0 of 0
0,JJ Aldrich Lauren Mueller,0  0,74 of 160  54 of 147,46%  36%,78 of 164  60 of 153,1 of 2  1 of 1,50%  100%,0  0,1  0,0  0,74 of 160  54 of 147,59 of 142  34 of 117,10 of 11  10 of 20,5 of 7  10 of 10,70 of 151  52 of 145,4 of 9  2 of 2,0 of 0  0 of 0
0,Robert Whittaker Israel Adesanya,0  2,32 of 116  40 of 95,27%  42%,32 of 116  40 of 95,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,32 of 116  40 of 95,20 of 97  27 of 80,3 of 5  6 of 8,9 of 14  7 of 7,32 of 116  37 of 91,0 of 0  0 of 0,0 of 0  3 of 4
0,Al Iaquinta Dan Hooker,0  1,37 of 116  98 of 207,31%  47%,38 of 117  104 of 213,0 of 3  0 of 1,0%  0%,0  0,0  2,0  0,37 of 116  98 of 207,21 of 93  68 of 168,7 of 11  7 of 13,9 of 12  23 of 26,37 of 116  76 of 182,0 of 0  0 of 0,0 of 0  22 of 25
0,Tai Tuivasa Serghei Spivac,0  0,21 of 50  23 of 42,42%  54%,22 of 51  40 of 60,0 of 0  6 of 8,0%  75%,0  1,0  6,0  0,21 of 50  23 of 42,8 of 32  22 of 41,4 of 8  1 of 1,9 of 10  0 of 0,17 of 39  8 of 27,4 of 9  1 of 1,0 of 2  14 of 14
0,Luke Jumeau Dhiego Lima,0  0,24 of 95  32 of 105,25%  30%,24 of 95  49 of 124,0 of 0  2 of 6,0%  33%,0  0,0  0,0  0,24 of 95  32 of 105,17 of 85  15 of 72,1 of 4  2 of 12,6 of 6  15 of 21,24 of 95  30 of 99,0 of 0  0 of 0,0 of 0  2 of 6
0,Justin Tafa Yorgan De Castro,0  1,6 of 9  4 of 12,66%  33%,17 of 20  6 of 14,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,6 of 9  4 of 12,5 of 8  2 of 10,1 of 1  2 of 2,0 of 0  0 of 0,2 of 3  4 of 8,4 of 6  0 of 4,0 of 0  0 of 0
0,Jake Matthews Rostem Akman,0  0,59 of 133  15 of 110,44%  13%,61 of 136  15 of 110,0 of 2  0 of 0,0%  0%,0  0,0  0,0  0,59 of 133  15 of 110,19 of 76  8 of 94,20 of 35  6 of 15,20 of 22  1 of 1,53 of 127  11 of 104,6 of 6  4 of 6,0 of 0  0 of 0
0,Callan Potter Maki Pitolo,0  0,48 of 96  60 of 155,50%  38%,127 of 198  103 of 198,3 of 4  0 of 2,75%  0%,0  1,4  1,1  1,48 of 96  60 of 155,44 of 91  49 of 142,2 of 3  9 of 11,2 of 2  2 of 2,41 of 89  60 of 155,4 of 4  0 of 0,3 of 3  0 of 0
0,Brad Riddell Jamie Mullarkey,0  0,91 of 153  36 of 95,59%  37%,104 of 167  41 of 100,1 of 1  3 of 15,100%  20%,0  1,5  2,1  1,91 of 153  36 of 95,70 of 129  25 of 83,14 of 16  4 of 4,7 of 8  7 of 8,63 of 121  35 of 93,3 of 3  0 of 0,25 of 29  1 of 2
0,Megan Anderson Zarah Fairn,0  0,10 of 18  2 of 5,55%  40%,22 of 33  32 of 45,1 of 2  0 of 0,50%  0%,1  0,2  0,0  1,10 of 18  2 of 5,10 of 17  2 of 5,0 of 1  0 of 0,0 of 0  0 of 0,0 of 4  2 of 5,0 of 1  0 of 0,10 of 13  0 of 0
0,Nadia Kassem Ji Yeon Kim,0  1,45 of 131  80 of 179,34%  44%,53 of 139  83 of 185,1 of 2  0 of 0,50%  0%,0  0,0  0,0  0,45 of 131  80 of 179,9 of 67  64 of 151,31 of 56  12 of 19,5 of 8  4 of 9,40 of 119  74 of 167,4 of 8  5 of 8,1 of 4  1 of 4
0,Khalid Taha Bruno Silva,1  0,38 of 88  20 of 50,43%  40%,74 of 127  51 of 88,0 of 1  2 of 11,0%  18%,1  0,1  1,0  0,38 of 88  20 of 50,29 of 69  9 of 33,4 of 11  8 of 11,5 of 8  3 of 6,19 of 62  10 of 31,6 of 7  1 of 1,13 of 19  9 of 18
0,Jack Hermansson Jared Cannonier,0  1,20 of 42  28 of 53,47%  52%,22 of 45  29 of 54,1 of 6  0 of 0,16%  0%,0  0,1  1,0  0,20 of 42  28 of 53,5 of 21  21 of 43,2 of 5  2 of 3,13 of 16  5 of 7,19 of 41  10 of 34,1 of 1  1 of 2,0 of 0  17 of 17
0,Mark Madsen Danilo Belluardo,0  0,22 of 29  0 of 1,75%  0%,24 of 31  0 of 1,1 of 2  0 of 0,50%  0%,0  0,1  0,0  0,22 of 29  0 of 1,22 of 29  0 of 1,0 of 0  0 of 0,0 of 0  0 of 0,0 of 2  0 of 1,1 of 1  0 of 0,21 of 26  0 of 0
0,Gunnar Nelson Gilbert Burns,0  0,20 of 36  30 of 76,55%  39%,26 of 45  46 of 99,0 of 2  1 of 3,0%  33%,0  1,0  1,0  0,20 of 36  30 of 76,9 of 23  8 of 47,4 of 5  8 of 11,7 of 8  14 of 18,18 of 32  19 of 55,2 of 3  10 of 18,0 of 1  1 of 3
0,Ion Cutelaba Khalil Rountree Jr.,0  0,15 of 26  5 of 12,57%  41%,16 of 27  5 of 12,4 of 5  0 of 0,80%  0%,0  0,1  0,0  0,15 of 26  5 of 12,14 of 25  4 of 11,1 of 1  1 of 1,0 of 0  0 of 0,1 of 5  3 of 7,1 of 2  2 of 5,13 of 19  0 of 0
0,Michal Oleksiejczuk Ovince Saint Preux,0  0,37 of 78  14 of 48,47%  29%,39 of 80  20 of 54,0 of 0  1 of 2,0%  50%,0  1,0  2,0  0,37 of 78  14 of 48,23 of 59  5 of 36,13 of 18  9 of 12,1 of 1  0 of 0,32 of 71  11 of 45,2 of 2  3 of 3,3 of 5  0 of 0
0,Nicolas Dalby Alex Oliveira,0  0,31 of 84  18 of 47,36%  38%,64 of 122  31 of 65,1 of 4  3 of 4,25%  75%,0  0,4  1,1  0,31 of 84  18 of 47,19 of 64  14 of 40,5 of 12  0 of 2,7 of 8  4 of 5,9 of 45  13 of 36,11 of 18  1 of 3,11 of 21  4 of 8
0,Alen Amedovski John Phillips,0  1,2 of 11  5 of 8,18%  62%,2 of 11  5 of 8,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,2 of 11  5 of 8,2 of 11  4 of 7,0 of 0  1 of 1,0 of 0  0 of 0,2 of 11  3 of 6,0 of 0  0 of 0,0 of 0  2 of 2
0,Alessio Di Chirico Makhmud Muradov,0  0,36 of 113  54 of 169,31%  31%,37 of 114  56 of 171,0 of 2  0 of 3,0%  0%,0  0,0  0,0  0,36 of 113  54 of 169,31 of 100  32 of 133,0 of 4  19 of 32,5 of 9  3 of 4,30 of 104  49 of 160,6 of 9  5 of 9,0 of 0  0 of 0
0,Siyar Bahadurzada Ismail Naurdiev,0  0,12 of 96  69 of 126,12%  54%,14 of 98  149 of 218,0 of 0  3 of 3,0%  100%,0  0,0  3,0  0,12 of 96  69 of 126,10 of 89  30 of 71,2 of 5  15 of 24,0 of 2  24 of 31,12 of 95  63 of 113,0 of 1  0 of 0,0 of 0  6 of 13
0,Brandon Davis Giga Chikadze,0  0,34 of 99  59 of 119,34%  49%,36 of 103  71 of 133,3 of 7  1 of 2,42%  50%,0  0,4  1,0  1,34 of 99  59 of 119,20 of 77  44 of 91,5 of 9  8 of 16,9 of 13  7 of 12,26 of 91  43 of 99,3 of 3  0 of 0,5 of 5  16 of 20
0,Macy Chiasson Lina Lansberg,0  0,26 of 47  21 of 39,55%  53%,58 of 94  49 of 91,0 of 4  2 of 4,0%  50%,0  0,0  3,0  0,26 of 47  21 of 39,4 of 22  18 of 36,21 of 23  2 of 2,1 of 2  1 of 1,4 of 18  2 of 8,22 of 29  8 of 15,0 of 0  11 of 16
0,Marc Diakiese Lando Vannata,0  0,40 of 99  25 of 70,40%  35%,45 of 111  51 of 108,4 of 7  0 of 1,57%  0%,0  0,1  0,0  0,40 of 99  25 of 70,16 of 52  4 of 36,10 of 25  8 of 12,14 of 22  13 of 22,31 of 84  24 of 66,2 of 3  1 of 4,7 of 12  0 of 0
0,Jack Shore Nohelin Hernandez,0  0,46 of 92  6 of 36,50%  16%,81 of 139  9 of 39,4 of 7  0 of 0,57%  0%,1  0,11  0,0  1,46 of 92  6 of 36,33 of 76  5 of 34,2 of 2  0 of 0,11 of 14  1 of 2,26 of 58  4 of 32,3 of 4  2 of 4,17 of 30  0 of 0
0,Carla Esparza Alexa Grasso,0  0,44 of 80  45 of 103,55%  43%,115 of 157  103 of 169,4 of 11  0 of 1,36%  0%,0  1,1  0,1  1,44 of 80  45 of 103,27 of 60  41 of 97,11 of 14  4 of 6,6 of 6  0 of 0,28 of 59  34 of 88,6 of 9  3 of 6,10 of 12  8 of 9
0,Irene Aldana Vanessa Melo,0  0,125 of 333  68 of 250,37%  27%,127 of 335  68 of 250,0 of 0  0 of 1,0%  0%,0  0,0  0,0  0,125 of 333  68 of 250,79 of 271  48 of 207,21 of 34  9 of 28,25 of 28  11 of 15,124 of 332  68 of 250,1 of 1  0 of 0,0 of 0  0 of 0
0,Martin Bravo Steven Peterson,0  1,86 of 199  49 of 105,43%  46%,93 of 206  53 of 109,2 of 5  0 of 0,40%  0%,0  0,0  0,0  0,86 of 199  49 of 105,60 of 157  33 of 84,20 of 33  12 of 17,6 of 9  4 of 4,85 of 198  46 of 98,1 of 1  1 of 2,0 of 0  2 of 5
0,Jose Quinonez Carlos Huachin,1  0,60 of 117  32 of 115,51%  27%,71 of 130  37 of 121,2 of 5  0 of 0,40%  0%,0  0,2  0,0  0,60 of 117  32 of 115,36 of 80  22 of 84,8 of 13  6 of 25,16 of 24  4 of 6,40 of 92  30 of 109,0 of 1  0 of 2,20 of 24  2 of 4
0,Polo Reyes Kyle Nelson,0  0,6 of 10  12 of 16,60%  75%,7 of 11  12 of 16,0 of 0  0 of 2,0%  0%,0  0,0  0,0  0,6 of 10  12 of 16,0 of 3  8 of 12,5 of 6  4 of 4,1 of 1  0 of 0,3 of 7  2 of 3,3 of 3  10 of 13,0 of 0  0 of 0
0,Ariane Carnelossi Angela Hill,0  0,72 of 186  92 of 184,38%  50%,83 of 197  93 of 185,0 of 1  0 of 0,0%  0%,0  0,0  0,0  0,72 of 186  92 of 184,36 of 137  60 of 137,15 of 26  32 of 46,21 of 23  0 of 1,57 of 156  57 of 139,15 of 30  35 of 45,0 of 0  0 of 0
0,Sergio Pettis Tyson Nam,0  0,96 of 253  40 of 170,37%  23%,96 of 253  43 of 173,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,96 of 253  40 of 170,76 of 224  28 of 149,5 of 13  7 of 15,15 of 16  5 of 6,90 of 245  38 of 164,5 of 7  2 of 6,1 of 1  0 of 0
0,Vinicius Moreira Paul Craig,0  1,1 of 3  18 of 27,33%  66%,1 of 3  33 of 43,0 of 0  1 of 1,0%  100%,0  1,0  1,0  0,1 of 3  18 of 27,0 of 2  16 of 25,0 of 0  2 of 2,1 of 1  0 of 0,1 of 3  1 of 3,0 of 0  6 of 6,0 of 0  11 of 18
0,Sijara Eubanks Bethe Correia,0  0,77 of 169  59 of 127,45%  46%,94 of 186  77 of 146,1 of 5  0 of 1,20%  0%,0  0,1  0,0  0,77 of 169  59 of 127,58 of 138  42 of 101,12 of 23  12 of 19,7 of 8  5 of 7,55 of 140  54 of 118,8 of 10  5 of 9,14 of 19  0 of 0
0,Claudio Puelles Marcos Mariano,0  0,22 of 34  2 of 9,64%  22%,101 of 116  5 of 12,4 of 6  0 of 0,66%  0%,2  0,7  0,0  0,22 of 34  2 of 9,21 of 32  0 of 6,1 of 2  2 of 3,0 of 0  0 of 0,1 of 5  2 of 8,0 of 0  0 of 0,21 of 29  0 of 1
0,Donald Cerrone Justin Gaethje,0  1,17 of 52  40 of 61,32%  65%,17 of 52  40 of 61,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,17 of 52  40 of 61,12 of 45  27 of 44,4 of 6  0 of 2,1 of 1  13 of 15,17 of 52  36 of 55,0 of 0  2 of 3,0 of 0  2 of 3
0,Glover Teixeira Nikita Krylov,0  0,43 of 71  47 of 95,60%  49%,85 of 119  74 of 123,1 of 6  2 of 4,16%  50%,2  1,4  5,2  1,43 of 71  47 of 95,39 of 67  20 of 66,4 of 4  17 of 19,0 of 0  10 of 10,22 of 45  37 of 85,10 of 10  3 of 3,11 of 16  7 of 7
0,Michel Pereira Tristan Connelly,0  0,32 of 75  64 of 125,42%  51%,56 of 107  151 of 222,2 of 5  0 of 6,40%  0%,0  1,0  3,0  0,32 of 75  64 of 125,13 of 44  51 of 106,17 of 29  7 of 13,2 of 2  6 of 6,23 of 66  23 of 71,9 of 9  14 of 20,0 of 0  27 of 34
0,Uriah Hall Antonio Carlos Junior,1  0,34 of 79  22 of 69,43%  31%,41 of 86  81 of 148,0 of 0  3 of 8,0%  37%,0  0,1  2,0  0,34 of 79  22 of 69,31 of 75  16 of 63,3 of 4  5 of 5,0 of 0  1 of 1,22 of 61  18 of 65,1 of 1  2 of 2,11 of 17  2 of 2
0,Misha Cirkunov Jimmy Crute,0  0,6 of 10  21 of 35,60%  60%,22 of 29  28 of 45,1 of 2  0 of 0,50%  0%,1  0,4  0,2  1,6 of 10  21 of 35,4 of 8  19 of 33,2 of 2  2 of 2,0 of 0  0 of 0,1 of 3  2 of 3,2 of 3  4 of 5,3 of 4  15 of 27
0,Marcin Tybura Augusto Sakai,0  1,6 of 7  15 of 27,85%  55%,6 of 7  15 of 27,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,6 of 7  15 of 27,1 of 2  13 of 25,1 of 1  2 of 2,4 of 4  0 of 0,6 of 7  6 of 18,0 of 0  7 of 7,0 of 0  2 of 2
0,Cole Smith Miles Johns,0  0,11 of 57  31 of 65,19%  47%,26 of 75  63 of 104,1 of 6  1 of 2,16%  50%,0  0,2  2,0  1,11 of 57  31 of 65,4 of 42  29 of 62,7 of 15  2 of 3,0 of 0  0 of 0,9 of 53  20 of 53,2 of 4  7 of 7,0 of 0  4 of 5
0,Brad Katona Hunter Azure,0  0,21 of 60  41 of 118,35%  34%,40 of 83  55 of 133,3 of 12  0 of 1,25%  0%,0  0,1  1,0  1,21 of 60  41 of 118,18 of 51  25 of 91,2 of 7  11 of 20,1 of 2  5 of 7,17 of 54  33 of 105,4 of 6  6 of 8,0 of 0  2 of 5
0,Chas Skelly Jordan Griffin,0  0,21 of 59  37 of 87,35%  42%,80 of 125  66 of 122,1 of 3  1 of 1,33%  100%,3  2,3  3,1  2,21 of 59  37 of 87,20 of 52  36 of 84,1 of 7  1 of 3,0 of 0  0 of 0,20 of 58  32 of 81,0 of 0  0 of 0,1 of 1  5 of 6
0,Louis Smolka Ryan MacDonald,1  0,59 of 115  30 of 80,51%  37%,60 of 116  31 of 81,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,59 of 115  30 of 80,27 of 61  20 of 65,31 of 52  6 of 11,1 of 2  4 of 4,57 of 112  30 of 79,2 of 3  0 of 1,0 of 0  0 of 0
0,Kyle Prepolec Austin Hubbard,0  0,44 of 122  51 of 112,36%  45%,46 of 124  136 of 239,0 of 1  3 of 5,0%  60%,0  0,0  4,0  0,44 of 122  51 of 112,23 of 88  20 of 68,9 of 19  14 of 26,12 of 15  17 of 18,42 of 120  41 of 100,2 of 2  0 of 0,0 of 0  10 of 12
0,Khabib Nurmagomedov Dustin Poirier,0  0,22 of 41  12 of 39,53%  30%,54 of 77  30 of 57,7 of 8  0 of 0,87%  0%,2  1,5  0,0  0,22 of 41  12 of 39,16 of 35  5 of 26,3 of 3  2 of 7,3 of 3  5 of 6,10 of 27  12 of 38,1 of 1  0 of 1,11 of 13  0 of 0
0,Edson Barboza Paul Felder,0  0,60 of 114  56 of 154,52%  36%,77 of 133  75 of 174,1 of 3  0 of 2,33%  0%,0  0,0  0,0  0,60 of 114  56 of 154,27 of 74  41 of 137,19 of 24  9 of 10,14 of 16  6 of 7,55 of 109  51 of 147,0 of 0  1 of 1,5 of 5  4 of 6
0,Islam Makhachev Davi Ramos,1  0,43 of 95  7 of 58,45%  12%,88 of 148  27 of 80,0 of 1  0 of 1,0%  0%,0  0,0  0,0  0,43 of 95  7 of 58,32 of 81  5 of 43,7 of 10  1 of 14,4 of 4  1 of 1,29 of 74  5 of 56,3 of 3  2 of 2,11 of 18  0 of 0
0,Curtis Blaydes Shamil Abdurakhimov,0  0,25 of 43  3 of 8,58%  37%,46 of 74  3 of 8,5 of 5  0 of 0,100%  0%,0  0,3  0,0  0,25 of 43  3 of 8,23 of 41  3 of 7,1 of 1  0 of 1,1 of 1  0 of 0,2 of 10  3 of 8,0 of 0  0 of 0,23 of 33  0 of 0
0,Mairbek Taisumov Diego Ferreira,0  0,51 of 160  109 of 326,31%  33%,51 of 160  112 of 329,0 of 2  0 of 2,0%  0%,0  0,0  0,0  0,51 of 160  109 of 326,40 of 139  77 of 271,5 of 13  25 of 46,6 of 8  7 of 9,51 of 160  107 of 323,0 of 0  2 of 3,0 of 0  0 of 0
0,Joanne Calderwood Andrea Lee,0  0,101 of 230  61 of 137,43%  44%,158 of 293  104 of 185,2 of 4  3 of 5,50%  60%,0  0,1  2,0  0,101 of 230  61 of 137,40 of 138  13 of 73,16 of 38  26 of 39,45 of 54  22 of 25,94 of 222  57 of 132,7 of 8  2 of 3,0 of 0  2 of 2
0,Liana Jojua Sarah Moras,0  0,19 of 45  44 of 88,42%  50%,45 of 77  130 of 191,2 of 3  0 of 0,66%  0%,0  1,0  1,0  1,19 of 45  44 of 88,12 of 38  35 of 78,6 of 6  6 of 7,1 of 1  3 of 3,16 of 41  16 of 51,1 of 1  1 of 2,2 of 3  27 of 35
0,Ottman Azaitar Teemu Packalen,1  0,27 of 53  8 of 19,50%  42%,27 of 53  8 of 19,0 of 0  0 of 1,0%  0%,0  0,0  0,0  0,27 of 53  8 of 19,22 of 44  3 of 12,2 of 6  5 of 6,3 of 3  0 of 1,18 of 40  3 of 13,8 of 11  5 of 6,1 of 2  0 of 0
0,Belal Muhammad Takashi Sato,0  0,49 of 106  29 of 89,46%  32%,78 of 148  34 of 95,2 of 9  1 of 2,22%  50%,1  0,2  1,0  0,49 of 106  29 of 89,40 of 85  23 of 79,7 of 19  4 of 8,2 of 2  2 of 2,42 of 98  29 of 89,3 of 4  0 of 0,4 of 4  0 of 0
0,Nordine Taleb Muslim Salikhov,0  1,6 of 26  10 of 23,23%  43%,6 of 26  10 of 23,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,6 of 26  10 of 23,3 of 16  1 of 10,0 of 5  2 of 6,3 of 5  7 of 7,6 of 25  10 of 23,0 of 0  0 of 0,0 of 1  0 of 0
0,Omari Akhmedov Zak Cummings,0  0,26 of 77  17 of 69,33%  24%,47 of 106  24 of 76,2 of 3  0 of 0,66%  0%,0  0,3  0,0  0,26 of 77  17 of 69,14 of 60  6 of 51,5 of 10  2 of 7,7 of 7  9 of 11,21 of 67  17 of 69,0 of 2  0 of 0,5 of 8  0 of 0
0,Don Madge Fares Ziam,0  0,21 of 49  10 of 31,42%  32%,72 of 111  70 of 96,3 of 12  0 of 4,25%  0%,0  0,2  0,0  0,21 of 49  10 of 31,11 of 36  6 of 26,6 of 7  1 of 2,4 of 6  3 of 3,8 of 27  8 of 25,3 of 8  2 of 4,10 of 14  0 of 2
0,Jessica Andrade Weili Zhang,0  1,4 of 12  29 of 38,33%  76%,4 of 12  29 of 38,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,4 of 12  29 of 38,2 of 9  16 of 25,1 of 2  7 of 7,1 of 1  6 of 6,3 of 11  15 of 23,1 of 1  13 of 13,0 of 0  1 of 2
0,Jingliang Li Elizeu Zaleski dos Santos,3  0,59 of 128  54 of 160,46%  33%,59 of 128  55 of 162,2 of 3  0 of 1,66%  0%,0  0,0  0,0  0,59 of 128  54 of 160,45 of 108  23 of 114,4 of 6  21 of 33,10 of 14  10 of 13,47 of 113  51 of 156,8 of 11  3 of 4,4 of 4  0 of 0
0,Kai Kara-France Mark De La Rosa,1  0,91 of 193  60 of 195,47%  30%,93 of 195  63 of 198,1 of 1  1 of 7,100%  14%,0  0,0  0,0  0,91 of 193  60 of 195,58 of 146  51 of 174,9 of 19  4 of 10,24 of 28  5 of 11,85 of 183  58 of 192,2 of 3  2 of 3,4 of 7  0 of 0
0,Kenan Song Derrick Krantz,0  0,58 of 128  33 of 85,45%  38%,61 of 131  52 of 105,0 of 0  3 of 6,0%  50%,0  1,0  3,1  1,58 of 128  33 of 85,44 of 98  23 of 74,6 of 19  6 of 7,8 of 11  4 of 4,54 of 122  30 of 78,4 of 6  1 of 4,0 of 0  2 of 3
0,Yanan Wu Mizuki Inoue,0  0,123 of 270  93 of 204,45%  45%,136 of 283  102 of 214,0 of 4  0 of 4,0%  0%,0  0,0  0,0  0,123 of 270  93 of 204,65 of 198  86 of 195,41 of 51  7 of 9,17 of 21  0 of 0,95 of 235  74 of 182,28 of 35  19 of 22,0 of 0  0 of 0
0,Jun Yong Park Anthony Hernandez,0  0,81 of 148  59 of 110,54%  53%,84 of 152  74 of 129,0 of 0  6 of 9,0%  66%,0  1,0  1,0  0,81 of 148  59 of 110,76 of 142  51 of 102,5 of 6  7 of 7,0 of 0  1 of 1,73 of 136  49 of 97,8 of 12  3 of 6,0 of 0  7 of 7
0,Su Mudaerji Andre Soukhamthath,0  0,93 of 157  23 of 72,59%  31%,103 of 168  27 of 76,1 of 1  0 of 3,100%  0%,0  0,3  0,0  0,93 of 157  23 of 72,72 of 127  13 of 55,10 of 17  4 of 9,11 of 13  6 of 8,64 of 111  20 of 64,3 of 3  2 of 4,26 of 43  1 of 4
0,Da Un Jung Khadis Ibragimov,0  0,81 of 190  88 of 167,42%  52%,86 of 195  95 of 175,0 of 1  1 of 6,0%  16%,1  0,0  1,0  0,81 of 190  88 of 167,69 of 176  83 of 161,12 of 14  4 of 5,0 of 0  1 of 1,69 of 177  70 of 137,12 of 13  18 of 30,0 of 0  0 of 0
0,Damir Ismagulov Thiago Moises,1  0,71 of 188  36 of 114,37%  31%,73 of 191  37 of 115,0 of 5  0 of 3,0%  0%,0  0,0  0,0  0,71 of 188  36 of 114,28 of 132  16 of 88,21 of 34  7 of 10,22 of 22  13 of 16,58 of 168  32 of 110,2 of 3  4 of 4,11 of 17  0 of 0
0,Heili Alateng Danaa Batgerel,0  0,36 of 89  85 of 230,40%  36%,63 of 133  119 of 269,3 of 7  0 of 1,42%  0%,0  0,2  0,0  0,36 of 89  85 of 230,35 of 88  74 of 202,1 of 1  6 of 17,0 of 0  5 of 11,33 of 86  68 of 202,0 of 0  5 of 11,3 of 3  12 of 17
0,Karol Rosa Lara Procopio,1  0,171 of 351  165 of 290,48%  56%,177 of 358  169 of 294,0 of 0  0 of 5,0%  0%,0  0,0  0,0  0,171 of 351  165 of 290,108 of 266  122 of 244,11 of 16  13 of 15,52 of 69  30 of 31,159 of 333  158 of 281,7 of 11  7 of 9,5 of 7  0 of 0
0,Daniel Cormier Stipe Miocic,0  1,181 of 263  123 of 229,68%  53%,230 of 317  135 of 244,1 of 3  1 of 3,33%  33%,0  0,2  0,0  0,181 of 263  123 of 229,162 of 243  86 of 188,9 of 9  27 of 30,10 of 11  10 of 11,139 of 209  102 of 195,21 of 27  19 of 28,21 of 27  2 of 6
