,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
0,Tae Hyun Bang Leo Kuntz,1  0,54 of 109  31 of 91,49%  34%,68 of 124  74 of 137,1 of 1  3 of 12,100%  25%,2  1,0  2,1  0,54 of 109  31 of 91,50 of 104  25 of 78,3 of 4  4 of 9,1 of 1  2 of 4,41 of 87  27 of 85,4 of 11  2 of 4,9 of 11  2 of 2
0,Seohee Ham Cortney Casey,0  0,71 of 174  78 of 227,40%  34%,83 of 188  80 of 229,0 of 2  0 of 0,0%  0%,0  0,0  0,0  0,71 of 174  78 of 227,43 of 124  51 of 182,14 of 34  8 of 24,14 of 16  19 of 21,61 of 147  60 of 200,10 of 27  18 of 27,0 of 0  0 of 0
0,Yao Zhikui Fredy Serrano,0  0,1 of 6  3 of 5,16%  60%,1 of 6  7 of 11,0 of 0  1 of 2,0%  50%,0  0,0  1,0  0,1 of 6  3 of 5,1 of 5  1 of 2,0 of 1  0 of 1,0 of 0  2 of 2,0 of 4  2 of 3,1 of 2  1 of 2,0 of 0  0 of 0
0,Ning Guangyou Marco Beltran,0  0,23 of 61  30 of 90,37%  33%,67 of 111  44 of 108,0 of 2  1 of 1,0%  100%,0  0,0  0,0  0,23 of 61  30 of 90,11 of 43  13 of 65,5 of 8  12 of 19,7 of 10  5 of 6,14 of 50  18 of 72,6 of 7  11 of 16,3 of 4  1 of 2
0,Dominique Steele Dong Hyun Ma,1  0,36 of 61  19 of 42,59%  45%,84 of 114  52 of 79,4 of 4  0 of 3,100%  0%,0  0,1  0,0  0,36 of 61  19 of 42,35 of 58  8 of 26,1 of 3  10 of 15,0 of 0  1 of 1,6 of 17  10 of 24,9 of 14  9 of 18,21 of 30  0 of 0
0,Neil Magny Kelvin Gastelum,0  2,54 of 145  54 of 134,37%  40%,81 of 174  86 of 167,6 of 14  2 of 3,42%  66%,0  0,5  3,0  1,54 of 145  54 of 134,41 of 121  34 of 111,10 of 15  6 of 7,3 of 9  14 of 16,39 of 122  43 of 109,11 of 18  4 of 11,4 of 5  7 of 14
0,Ricardo Lamas Diego Sanchez,0  0,57 of 109  30 of 86,52%  34%,69 of 122  36 of 92,3 of 6  1 of 2,50%  50%,0  0,0  0,0  0,57 of 109  30 of 86,25 of 70  22 of 75,5 of 8  8 of 11,27 of 31  0 of 0,43 of 93  17 of 70,13 of 15  11 of 14,1 of 1  2 of 2
0,Jussier Formiga Henry Cejudo,0  0,25 of 87  43 of 110,28%  39%,39 of 102  71 of 140,0 of 3  2 of 3,0%  66%,0  0,0  0,0  0,25 of 87  43 of 110,12 of 66  11 of 63,11 of 17  30 of 39,2 of 4  2 of 8,13 of 71  14 of 69,12 of 16  29 of 41,0 of 0  0 of 0
0,Erick Montano Enrique Marin,0  0,49 of 116  27 of 94,42%  28%,59 of 126  33 of 102,2 of 3  1 of 3,66%  33%,0  0,1  0,1  2,49 of 116  27 of 94,28 of 71  16 of 80,6 of 12  3 of 4,15 of 33  8 of 10,46 of 110  24 of 89,2 of 5  3 of 4,1 of 1  0 of 1
0,Horacio Gutierrez Enrique Barzola,0  0,10 of 38  38 of 71,26%  53%,16 of 45  173 of 221,0 of 0  5 of 9,0%  55%,0  0,0  1,0  0,10 of 38  38 of 71,6 of 30  31 of 63,0 of 0  6 of 7,4 of 8  1 of 1,6 of 32  6 of 12,4 of 6  2 of 2,0 of 0  30 of 57
