,0
0,http://www.espn.com/mma/fighter/_/id/2335694/frankie-edgar
1,http://www.espn.com/mma/fighter/_/id/2335689/gray-maynard
2,http://www.espn.com/mma/fighter/_/id/2335513/chris-leben
3,http://www.espn.com/mma/fighter/_/id/2335748/brian-stann
4,http://www.espn.com/mma/fighter/_/id/2335526/thiago-silva
5,http://www.espn.com/mma/fighter/_/id/2335652/brandon-vera
6,http://www.espn.com/mma/fighter/_/id/2335679/nate-diaz
7,http://www.espn.com/mma/fighter/_/id/2335818/dong-hyun-kim
8,http://www.espn.com/mma/fighter/_/id/2354524/takanori-gomi
9,http://www.espn.com/mma/fighter/_/id/2335674/clay-guida
10,http://www.espn.com/mma/fighter/_/id/2335673/jeremy-stephens
11,http://www.espn.com/mma/fighter/_/id/2335804/marcus-davis
12,http://www.espn.com/mma/fighter/_/id/2354170/josh-grispi
13,http://www.espn.com/mma/fighter/_/id/2506549/dustin-poirier
14,http://www.espn.com/mma/fighter/_/id/2488849/phil-baroni
15,http://www.espn.com/mma/fighter/_/id/2504643/brad-tavares
16,http://www.espn.com/mma/fighter/_/id/2500733/mike-brown
17,http://www.espn.com/mma/fighter/_/id/2504555/diego-nunes
18,http://www.espn.com/mma/fighter/_/id/2504245/daniel-roberts
19,http://www.espn.com/mma/fighter/_/id/2500661/greg-soto
20,http://www.espn.com/mma/fighter/_/id/2501639/antonio-mckee
21,http://www.espn.com/mma/fighter/_/id/2495165/jacob-volkmann
22,http://www.espn.com/mma/fighter/_/id/2335800/melvin-guillard
23,http://www.espn.com/mma/fighter/_/id/2335772/evan-dunham
24,http://www.espn.com/mma/fighter/_/id/2431287/tim-hague
25,http://www.espn.com/mma/fighter/_/id/2501702/matt-mitrione
26,http://www.espn.com/mma/fighter/_/id/2501722/mark-hominick
27,http://www.espn.com/mma/fighter/_/id/2335801/george-roop
28,http://www.espn.com/mma/fighter/_/id/2335658/pat-barry
29,http://www.espn.com/mma/fighter/_/id/2504046/joey-beltran
30,http://www.espn.com/mma/fighter/_/id/2335690/cole-miller
31,http://www.espn.com/mma/fighter/_/id/2354218/matt-wiman
32,http://www.espn.com/mma/fighter/_/id/2335706/yves-edwards
33,http://www.espn.com/mma/fighter/_/id/2536133/cody-mckenzie
34,http://www.espn.com/mma/fighter/_/id/2488472/mike-guymon
35,http://www.espn.com/mma/fighter/_/id/2502589/damarques-johnson
36,http://www.espn.com/mma/fighter/_/id/2500733/mike-brown
37,http://www.espn.com/mma/fighter/_/id/2503659/rani-yahya
38,http://www.espn.com/mma/fighter/_/id/2532869/willamy-freire
39,http://www.espn.com/mma/fighter/_/id/2502387/waylon-lowe
40,http://www.espn.com/mma/fighter/_/id/2504231/amilcar-alves
41,http://www.espn.com/mma/fighter/_/id/2503056/charlie-brenneman
42,http://www.espn.com/mma/fighter/_/id/2504562/will-campuzano
43,http://www.espn.com/mma/fighter/_/id/2504552/chris-cariaso
44,http://www.espn.com/mma/fighter/_/id/2354057/vitor-belfort
45,http://www.espn.com/mma/fighter/_/id/2335447/anderson-silva
46,http://www.espn.com/mma/fighter/_/id/2335522/forrest-griffin
47,http://www.espn.com/mma/fighter/_/id/2335498/rich-franklin
48,http://www.espn.com/mma/fighter/_/id/2335639/jon-jones
49,http://www.espn.com/mma/fighter/_/id/2335530/ryan-bader
50,http://www.espn.com/mma/fighter/_/id/2486942/jake-ellenberger
51,http://www.espn.com/mma/fighter/_/id/2526108/carlos-eduardo-rocha
52,http://www.espn.com/mma/fighter/_/id/2505274/antonio-banuelos
53,http://www.espn.com/mma/fighter/_/id/2354016/miguel-torres
54,http://www.espn.com/mma/fighter/_/id/2335813/paul-kelly
55,http://www.espn.com/mma/fighter/_/id/2479918/donald-cerrone
56,http://www.espn.com/mma/fighter/_/id/2504172/chad-mendes
57,http://www.espn.com/mma/fighter/_/id/2502446/michihiro-omigawa
58,http://www.espn.com/mma/fighter/_/id/2512089/demetrious-johnson
59,http://www.espn.com/mma/fighter/_/id/2501541/norifumi-yamamoto
60,http://www.espn.com/mma/fighter/_/id/2354539/gabe-ruediger
61,http://www.espn.com/mma/fighter/_/id/2335736/paul-taylor
62,http://www.espn.com/mma/fighter/_/id/2335640/kyle-kingsbury
63,http://www.espn.com/mma/fighter/_/id/2504247/ricardo-romero
64,http://www.espn.com/mma/fighter/_/id/2497723/mike-pierce
65,http://www.espn.com/mma/fighter/_/id/2515913/kenny-robertson
66,http://www.espn.com/mma/fighter/_/id/2335665/jon-fitch
67,http://www.espn.com/mma/fighter/_/id/2335629/bj-penn
68,http://www.espn.com/mma/fighter/_/id/2335602/michael-bisping
69,http://www.espn.com/mma/fighter/_/id/2335766/jorge-rivera
70,http://www.espn.com/mma/fighter/_/id/2335797/dennis-siver
71,http://www.espn.com/mma/fighter/_/id/2335787/george-sotiropoulos
72,http://www.espn.com/mma/fighter/_/id/2500138/brian-ebersole
73,http://www.espn.com/mma/fighter/_/id/2335670/chris-lytle
74,http://www.espn.com/mma/fighter/_/id/2502414/chris-camozzi
75,http://www.espn.com/mma/fighter/_/id/2497959/kyle-noke
76,http://www.espn.com/mma/fighter/_/id/2335716/spencer-fisher
77,http://www.espn.com/mma/fighter/_/id/2502444/ross-pearson
78,http://www.espn.com/mma/fighter/_/id/2500771/alexander-gustafsson
79,http://www.espn.com/mma/fighter/_/id/2504632/james-te-huna
80,http://www.espn.com/mma/fighter/_/id/2537490/riki-fukuda
81,http://www.espn.com/mma/fighter/_/id/2537491/nick-ring
82,http://www.espn.com/mma/fighter/_/id/2509287/tom-blackledge
83,http://www.espn.com/mma/fighter/_/id/2500118/anthony-perosh
84,http://www.espn.com/mma/fighter/_/id/2354359/jason-reinhardt
85,http://www.espn.com/mma/fighter/_/id/2512531/tiequan-zhang
86,http://www.espn.com/mma/fighter/_/id/2354347/mark-hunt
87,http://www.espn.com/mma/fighter/_/id/2431276/chris-tuchscherer
88,http://www.espn.com/mma/fighter/_/id/2504176/maciej-jewtuszko
89,http://www.espn.com/mma/fighter/_/id/2509286/curt-warburton
90,http://www.espn.com/mma/fighter/_/id/2335491/martin-kampmann
91,http://www.espn.com/mma/fighter/_/id/2335671/diego-sanchez
92,http://www.espn.com/mma/fighter/_/id/2335744/cb-dollaway
93,http://www.espn.com/mma/fighter/_/id/2335647/mark-munoz
94,http://www.espn.com/mma/fighter/_/id/2335785/alessio-sakara
95,http://www.espn.com/mma/fighter/_/id/2553993/chris-weidman
