,Date,Event,Favourite  Wins,Underdog  Wins,Avg Winner  Odds,Favourites  (ROI),Underdogs  (ROI),url
172,2018-07-07,TUF 27 Finale,6,6,-105,$-22.10 (-18%),$30.50 (25%),https://www.betmma.tips/mma_event_betting_history.php?Event=361
171,2018-06-23,UFC Fight Night 132,9,4,-153,$2.22 (2%),$-30.50 (-23%),https://www.betmma.tips/mma_event_betting_history.php?Event=360
170,2018-06-09,UFC 225,11,2,-149,$45.63 (35%),$-79.00 (-61%),https://www.betmma.tips/mma_event_betting_history.php?Event=329
169,2018-06-01,UFC Fight Night 131,10,2,-183,$27.08 (23%),$-74.20 (-62%),https://www.betmma.tips/mma_event_betting_history.php?Event=337
168,2018-05-27,UFC Fight Night 130,5,6,-117,$-40.99 (-37%),$61.00 (55%),https://www.betmma.tips/mma_event_betting_history.php?Event=343
167,2018-05-12,UFC 224,9,3,-164,$13.31 (10%),$-55.00 (-42%),https://www.betmma.tips/mma_event_betting_history.php?Event=332
166,2018-04-21,UFC Fight Night 128,9,2,-142,$35.16 (32%),$-59.00 (-54%),https://www.betmma.tips/mma_event_betting_history.php?Event=328
165,2018-04-14,UFC on Fox 29,9,5,-134,$-0.15 (-0%),$-10.90 (-8%),https://www.betmma.tips/mma_event_betting_history.php?Event=326
164,2018-04-07,UFC 223,4,5,-146,$-36.12 (-40%),$18.30 (20%),https://www.betmma.tips/mma_event_betting_history.php?Event=323
163,2018-03-17,UFC Fight Night 127,4,6,+116,$-40.97 (-41%),$113.90 (114%),https://www.betmma.tips/mma_event_betting_history.php?Event=322
162,2018-03-03,UFC 222,8,4,-125,$8.54 (7%),$1.70 (1%),https://www.betmma.tips/mma_event_betting_history.php?Event=321
161,2018-02-24,UFC on Fox 28,6,6,+-100,$-23.97 (-20%),$61.00 (51%),https://www.betmma.tips/mma_event_betting_history.php?Event=319
160,2018-02-18,UFC Fight Night 126,7,4,+-100,$0.80 (1%),$-8.00 (-7%),https://www.betmma.tips/mma_event_betting_history.php?Event=320
159,2018-02-10,UFC 221,9,3,+-100,$25.73 (21%),$-43.30 (-36%),https://www.betmma.tips/mma_event_betting_history.php?Event=311
158,2018-02-04,UFC Fight Night 125,5,4,-118,$-18.60 (-17%),$25.00 (23%),https://www.betmma.tips/mma_event_betting_history.php?Event=312
157,2018-01-27,UFC on Fox 27,9,3,+-100,$29.82 (25%),$-38.70 (-32%),https://www.betmma.tips/mma_event_betting_history.php?Event=306
156,2018-01-20,UFC 220,6,5,-124,$-18.56 (-17%),$8.90 (8%),https://www.betmma.tips/mma_event_betting_history.php?Event=305
155,2018-01-14,UFC Fight Night 124,6,5,-112,$-13.40 (-12%),$19.30 (18%),https://www.betmma.tips/mma_event_betting_history.php?Event=304
154,2017-12-31,UFC 219,5,4,-110,$-16.94 (-17%),$38.90 (39%),https://www.betmma.tips/mma_event_betting_history.php?Event=294
153,2017-12-16,UFC on Fox 26 Lawler vs. dos Anjos,7,4,-101,$10.98 (10%),$3.90 (4%),https://www.betmma.tips/mma_event_betting_history.php?Event=299
152,2017-12-09,UFC Fight Night 123,8,5,-111,$-3.00 (-2%),$26.00 (20%),https://www.betmma.tips/mma_event_betting_history.php?Event=302
151,2017-12-02,TUF 26 Finale,7,3,+-100,$1.99 (2%),$11.50 (10%),https://www.betmma.tips/mma_event_betting_history.php?Event=303
