,Date,Event,Favourite  Wins,Underdog  Wins,Avg Winner  Odds,Favourites  (ROI),Underdogs  (ROI),url
46,2015-03-21,UFC Fight Night - Maia vs. LaFlare,8,4,-154,$-5.38 (-4%),$-14.76 (-12%),https://www.betmma.tips/mma_event_betting_history.php?Event=19
45,2015-03-14,UFC 185 - Pettis vs. Dos Anjos,7,5,-139,$-27.70 (-23%),$55.00 (46%),https://www.betmma.tips/mma_event_betting_history.php?Event=18
44,2015-02-28,UFC 184 - Rousey vs. Zingano,8,2,-186,$12.00 (12%),$-39.20 (-39%),https://www.betmma.tips/mma_event_betting_history.php?Event=17
43,2015-02-22,UFC Fight Night - Mir vs. Bigfoot,1,10,+221,$-95.50 (-87%),$293.00 (266%),https://www.betmma.tips/mma_event_betting_history.php?Event=16
42,2015-02-14,UFC Fight Night - Henderson vs Thatch,7,3,-166,$1.80 (2%),$-28.60 (-29%),https://www.betmma.tips/mma_event_betting_history.php?Event=15
41,2015-01-31,UFC 183 - Silva vs. Diaz,7,4,-146,$-9.10 (-8%),$-5.70 (-5%),https://www.betmma.tips/mma_event_betting_history.php?Event=14
40,2015-01-24,UFC on Fox 14 - Gustafsson vs. Johnson,5,7,-106,$-49.60 (-41%),$90.10 (75%),https://www.betmma.tips/mma_event_betting_history.php?Event=13
39,2015-01-18,UFC Fight Night - McGregor vs. Siver,9,2,-149,$22.00 (18%),$-64.00 (-53%),https://www.betmma.tips/mma_event_betting_history.php?Event=12
38,2015-01-03,UFC 182 - Jones vs. Cormier,7,4,-152,$-11.81 (-11%),$-4.31 (-4%),https://www.betmma.tips/mma_event_betting_history.php?Event=11
37,2014-12-20,UFC Fight Night - Machida vs. Dollaway,9,3,-166,$8.83 (7%),$-23.95 (-20%),https://www.betmma.tips/mma_event_betting_history.php?Event=10
36,2014-12-13,UFC on Fox 13 - Dos Santos vs. Miocic,8,4,-131,$-4.70 (-4%),$17.40 (15%),https://www.betmma.tips/mma_event_betting_history.php?Event=9
35,2014-12-12,UFC - The Ultimate Fighter 20 Finale,6,4,-159,$-17.80 (-18%),$-4.10 (-4%),https://www.betmma.tips/mma_event_betting_history.php?Event=7
34,2014-12-06,UFC 181 - Hendricks vs. Lawler 2,7,4,-163,$-16.30 (-15%),$-6.95 (-6%),https://www.betmma.tips/mma_event_betting_history.php?Event=6
33,2014-11-22,UFC Fight Night - Edgar vs. Swanson,8,4,-123,$2.10 (2%),$4.10 (3%),https://www.betmma.tips/mma_event_betting_history.php?Event=5
32,2014-11-15,UFC 180 - Werdum vs. Hunt,6,4,-123,$-11.70 (-12%),$18.40 (18%),https://www.betmma.tips/mma_event_betting_history.php?Event=3
31,2014-11-08,UFC Fight Night - Shogun vs. St. Preux,7,3,-153,$2.30 (2%),$-22.90 (-23%),https://www.betmma.tips/mma_event_betting_history.php?Event=2
30,2014-11-07,UFC Fight Night - Rockhold vs. Bisping,4,5,-130,$-35.80 (-36%),$47.00 (47%),https://www.betmma.tips/mma_event_betting_history.php?Event=1
29,2014-09-27,UFC 178 - Johnson vs. Cariaso,8,3,+-100,$0.10 (0%),$-30.20 (-27%),https://www.betmma.tips/mma_event_betting_history.php?Event=71
28,2014-09-20,UFC Fight Night 52 - Hunt vs. Nelson,9,3,+-100,$15.10 (13%),$-36.00 (-30%),https://www.betmma.tips/mma_event_betting_history.php?Event=72
27,2014-09-13,UFC Fight Night 51 - Bigfoot vs. Arlovski 2,8,3,+-100,$19.30 (18%),$-16.00 (-15%),https://www.betmma.tips/mma_event_betting_history.php?Event=73
26,2014-08-30,UFC 177 - Dillashaw vs. Soto,8,0,+-100,$45.00 (56%),$-80.00 (-100%),https://www.betmma.tips/mma_event_betting_history.php?Event=75
25,2014-08-23,UFC Fight Night 48 - Bisping vs. Le,7,3,+-100,$5.40 (5%),$-16.90 (-17%),https://www.betmma.tips/mma_event_betting_history.php?Event=77
24,2014-07-26,UFC on Fox 12 - Lawler vs. Brown,10,2,+-100,$26.70 (22%),$-44.80 (-37%),https://www.betmma.tips/mma_event_betting_history.php?Event=79
23,2014-07-19,UFC Fight Night 46 - McGregor vs. Brandao,8,2,+-100,$19.30 (19%),$-43.00 (-43%),https://www.betmma.tips/mma_event_betting_history.php?Event=81
22,2014-06-28,UFC Fight Night 44 - Swanson vs. Stephens,8,3,+-100,$6.90 (6%),$-28.30 (-26%),https://www.betmma.tips/mma_event_betting_history.php?Event=85
21,2014-06-14,UFC 174 - Johnson vs. Bagautinov,5,6,+-100,$-29.50 (-27%),$65.00 (59%),https://www.betmma.tips/mma_event_betting_history.php?Event=87
20,2014-06-07,UFC Fight Night 42 - Henderson vs. Khabilov,8,3,+-100,$2.80 (3%),$-44.50 (-40%),https://www.betmma.tips/mma_event_betting_history.php?Event=88
19,2014-05-10,UFC Fight Night 40 - Brown vs. Silva,6,7,+-100,$-48.20 (-37%),$166.10 (128%),https://www.betmma.tips/mma_event_betting_history.php?Event=92
18,2014-04-26,UFC 172 - Jones vs. Teixeira,7,3,+-100,$1.40 (1%),$-23.00 (-23%),https://www.betmma.tips/mma_event_betting_history.php?Event=93
17,2014-04-19,UFC on Fox 11 - Werdum vs. Browne,9,4,+-100,$-1.20 (-1%),$-25.70 (-20%),https://www.betmma.tips/mma_event_betting_history.php?Event=94
16,2014-04-16,UFC - The Ultimate Fighter Nations Finale,9,4,+-100,$-7.00 (-5%),$-28.10 (-22%),https://www.betmma.tips/mma_event_betting_history.php?Event=95
15,2014-03-23,UFC Fight Night 38 - Shogun vs. Henderson 2,1,9,+-100,$-84.40 (-77%),$235.70 (214%),https://www.betmma.tips/mma_event_betting_history.php?Event=97
14,2014-02-15,UFC Fight Night 36 - Machida vs. Mousasi,9,3,+-100,$14.50 (12%),$-40.90 (-34%),https://www.betmma.tips/mma_event_betting_history.php?Event=105
13,2014-02-01,UFC 169 - Barao vs. Faber 2,8,4,+-100,$-0.40 (-0%),$-22.50 (-19%),https://www.betmma.tips/mma_event_betting_history.php?Event=106
12,2014-01-25,UFC on Fox 10 - Henderson vs. Thomson,8,3,+-100,$7.50 (7%),$0.00 (0%),https://www.betmma.tips/mma_event_betting_history.php?Event=107
11,2014-01-04,UFC Fight Night 34 - Saffiedine vs. Lim,7,3,+-100,$4.90 (5%),$-26.50 (-27%),https://www.betmma.tips/mma_event_betting_history.php?Event=109
10,2013-12-28,UFC 168 - Weidman vs. Silva 2,7,4,+-100,$-10.60 (-10%),$-12.50 (-11%),https://www.betmma.tips/mma_event_betting_history.php?Event=110
9,2013-12-07,UFC Fight Night 33 - Hunt vs. Bigfoot,4,6,+-100,$-50.00 (-45%),$59.00 (54%),https://www.betmma.tips/mma_event_betting_history.php?Event=112
8,2013-11-30,UFC - The Ultimate Fighter 18 Finale,7,3,+-100,$3.20 (3%),$-30.90 (-31%),https://www.betmma.tips/mma_event_betting_history.php?Event=113
7,2013-11-16,UFC 167 - St. Pierre vs. Hendricks,10,2,+-100,$30.90 (26%),$-48.50 (-40%),https://www.betmma.tips/mma_event_betting_history.php?Event=114
6,2013-08-17,UFC Fight Night 26 - Shogun vs. Sonnen,7,6,+-100,$-23.00 (-18%),$67.00 (52%),https://www.betmma.tips/mma_event_betting_history.php?Event=142
5,2013-08-03,UFC 163 - Aldo vs. Korean Zombie,10,2,+-100,$18.80 (16%),$-42.50 (-35%),https://www.betmma.tips/mma_event_betting_history.php?Event=143
4,2013-07-27,UFC on Fox 8 - Johnson vs. Moraga,11,1,+-100,$43.00 (36%),$-87.00 (-73%),https://www.betmma.tips/mma_event_betting_history.php?Event=144
3,2013-05-25,UFC 160 - Velasquez vs. Bigfoot 2,8,4,+-100,$-8.60 (-7%),$-4.40 (-4%),https://www.betmma.tips/mma_event_betting_history.php?Event=150
2,2013-05-18,UFC on FX 8 - Belfort vs. Rockhold,12,1,+-100,$48.50 (37%),$-109.00 (-84%),https://www.betmma.tips/mma_event_betting_history.php?Event=151
1,2013-04-27,UFC 159 - Jones vs. Sonnen,8,3,+-100,$8.50 (8%),$-25.20 (-23%),https://www.betmma.tips/mma_event_betting_history.php?Event=173
