,Date,Event,Favourite  Wins,Underdog  Wins,Avg Winner  Odds,Favourites  (ROI),Underdogs  (ROI),url
233,2019-12-15,UFC 245,8,5,+inf,$-4.54 (-3%),$1.60 (1%),https://www.betmma.tips/mma_event_betting_history.php?Event=540
232,2019-12-07,UFC on ESPN 7,9,1,+inf,$37.24 (31%),$-78.50 (-65%),https://www.betmma.tips/mma_event_betting_history.php?Event=539
