,TEAM,COUNTRY,WT CLASS
drew-mcfedries,,,
dokonjonosuke-mishima,,,
gleison-tibau,,,
antoni-hardonk,,,
sherman-pendergarst,,,
hector-ramirez,,,
josh-shockman,,,
jeff-joslin,,,
shonie-carter,,,
victor-valimaki,,,
brock-larson,,,
keita-nakamura,,,
steve-byrnes,,,
logan-clark,,,
wanderlei-silva,,,
soa-palelei,,,
lyoto-machida,,,
rameau-thierry-sokoudjou,,,
luiz-cane,,,
manvel-gamburyan,,,
nate-mohr,,,
jordan-radev,,,
roan-carneiro,,,
mark-bocek,,,
doug-evans,,,
sean-salmon,,,
heath-herring,,,
chad-reiner,,,
mirko-filipovic,,,
john-halverson,,,
quinton-jackson,,,
marvin-eastman,,,
frankie-edgar,,,
diego-saraiva,,,
rex-holman,,,
jason-gilliam,,,
justin-mccully,,,
thiago-tavares,,,
naoyuki-kotani,,,
leonard-garcia,,,
fabricio-werdum,,,
matt-grice,,,
terry-etim,,,
jess-liaudin,,,
dennis-siver,,,
edilberto-de-oliveira,,,Welterweight
paul-taylor,Team Supreme,England,Welterweight
ivan-salaverry,AMC Pankration,Canada,Middleweight
houston-alexander,Grudge Training Center,,
thiago-silva,Blackzilians,Brazil,Heavyweight
jeremy-stephens,Alliance MMA,USA,Featherweight
jason-black,,USA,Welterweight
tamdan-mccrory,,USA,Middleweight
jeff-cox,,,Welterweight
anthony-johnson,Blackzilians,USA,Welterweight
luke-caudillo,,,
jason-tan,,,
colin-robinson,,,Heavyweight
stevie-lynch,,,Welterweight
nate-diaz,Cesar Gracie Jiu-Jitsu,USA,Lightweight
floyd-sword,,,Middleweight
brandon-melendez,,,Welterweight
cole-miller,American Top Team,USA,Featherweight
andy-wang,,,Lightweight
rob-emerson,,,
gray-maynard,AKA (American Kickboxing Academy),USA,Featherweight
allen-berube,,,Lightweight
brian-geraghty,,,
antonio-rodrigo-nogueira,Team Nogueira,Brazil,Heavyweight
alvin-robinson,,USA,
alberto-crane,,,Featherweight
ryan-jensen,Jackson-Wink MMA,USA,Middleweight
marcus-aurelio,,Brazil,Lightweight
dan-henderson,Team Quest -Portland,USA,Open Weight
tomasz-drwal,Alliance MMA,Poland,
nate-quarry,Team Quest -Portland,USA,Middleweight
joe-veres,,,Lightweight
mauricio-rua,Universidade da luta,Brazil,Light Heavyweight
kazuhiro-nakamura,Yoshida Dojo,Japan,Middleweight
scott-junk,,,
michihiro-omigawa,Yoshida Dojo,Japan,Lightweight
demian-maia,Demian Maia Jiu-Jitsu,Brazil,Welterweight
ryo-chonan,,,Middleweight
jason-reinhardt,,USA,Featherweight
akihiro-gono,,Japan,Welterweight
mac-danzig,PKG,USA,Lightweight
tommy-speer,,USA,Welterweight
war-machine,,USA,
jared-rollins,,USA,Welterweight
billy-miles,,,Welterweight
george-sotiropoulos,American Top Team,Australia,Welterweight
ben-saunders,American Top Team,USA,Welterweight
dan-barrera,,,Welterweight
richie-hightower,,,Light Heavyweight
troy-mandaloniz,,,Welterweight
matt-arroyo,,USA,Welterweight
john-kolosci,,USA,Welterweight
roman-mitichyan,,,Welterweight
dorian-price,,,Welterweight
paul-georgieff,,USA,
cb-dollaway,Power MMA Team,USA,Middleweight
mike-massenzio,Team BombSquad,USA,Middleweight
mostapha-al-turk,,England,Heavyweight
mike-wessel,,USA,Heavyweight
reese-andy,,USA,Light Heavyweight
brad-blackburn,,USA,
pat-barry,Team DeathClutch,USA,Heavyweight
dan-evensen,,,
paul-kelly,,England,Welterweight
james-lee,,USA,Middleweight
per-eklund,,Sweden,
corey-hill,,USA,Lightweight
justin-buchholz,Team Alpha Male,USA,
brock-lesnar,Team DeathClutch,USA,Heavyweight
ricardo-almeida,Ricardo Almeida Jiu-Jitsu,USA,Open Weight
rob-yundt,,,Middleweight
kyle-bradley,,USA,Lightweight
tim-boetsch,Team Irish,USA,Middleweight
chris-wilson,,USA,
david-bielkheden,,Sweden,Welterweight
ryan-roberts,,,
samy-schiavo,,,
jason-day,,,Light Heavyweight
brad-morris,,,
cain-velasquez,AKA (American Kickboxing Academy),USA,Heavyweight
goran-reljic,,,
antonio-mendes,,,
rousimar-palhares,Brazilian Top Team,Brazil,Welterweight
yoshiyuki-yoshida,,,
dong-hyun-kim,Busan Team M.A.D.,Korea,Welterweight
shane-carwin,Grudge Training Center,USA,Heavyweight
kevin-burns,,,
amir-sadollah,Xtreme Couture,USA,Middleweight
matthew-riddle,Throwdown,USA,Middleweight
dante-rivera,Renzo Gracie Jiu-Jitsu,USA,
matt-brown,Elevation Fight Team,USA,Welterweight
rob-kimmons,,,
jesse-taylor,,,
tim-credeur,Gladiators Training Academy,USA,Middleweight
cale-yarbrough,,,Middleweight
brodie-farber,,,Welterweight
rory-markham,,,
nate-loughran,Nor-Cal Fighting Alliance,USA,Middleweight
johnny-rees,,,Middleweight
james-giboo,,,
shannon-gugerty,,USA,Lightweight
dale-hartt,,USA,Lightweight
andre-gusmao,,,Light Heavyweight
jon-jones,Jackson-Wink MMA,USA,Light Heavyweight
steve-bruno,American Top Team,USA,Lightweight
ryan-thomas,,USA,Welterweight
michael-patt,,USA,Light Heavyweight
joe-vedepo,,USA,
jason-brilz,,USA,Light Heavyweight
dan-miller,Miller Brothers MMA,USA,Middleweight
dan-hardy,Team Rough House,England,Welterweight
jim-miller,Miller Brothers MMA,USA,Lightweight
david-baron,,,Welterweight
neil-wain,,England,
junior-dos-santos,American Top Team,Brazil,Heavyweight
matt-horwich,,USA,Welterweight
josh-hendricks,,,
rafael-dos-anjos,Evolve MMA,Brazil,Welterweight
razak-al-hassan,,Ghana,
steve-cantwell,One Kick's MMA,USA,Light Heavyweight
brandon-wolff,,USA,Middleweight
efrain-escudero,MMA LAB,Mexico,Lightweight
phillipe-nover,,USA,Featherweight
ryan-bader,Power MMA Team,USA,Light Heavyweight
vinny-magalhaes,Syndicate MMA,Brazil,Light Heavyweight
david-kaplan,,USA,Lightweight
junie-browning,,USA,Lightweight
shane-primm,,,Light Heavyweight
krzysztof-soszynski,Reign MMA,Poland,Light Heavyweight
jules-bruchez,,,Light Heavyweight
eliot-marshall,,USA,Light Heavyweight
kyle-kingsbury,AKA (American Kickboxing Academy),USA,Light Heavyweight
tom-lawlor,Jungle MMA,USA,Light Heavyweight
george-roop,APEX MMA,USA,Featherweight
shane-nelson,,,Lightweight
rolando-delgado,,USA,Lightweight
john-polakowski,,,Lightweight
mike-pierce,Sports Lab,USA,Welterweight
stefan-struve,Team Schrijber,Netherlands,Heavyweight
johny-hendricks,Team Takedown,USA,Welterweight
ricardo-funch,Team Link,Brazil,Welterweight
lucio-linhares,,Brazil,Middleweight
edgar-garcia,,USA,Welterweight
damarques-johnson,Elite Performance,USA,Welterweight
tj-grant,Fit Plus,Canada,Lightweight
mark-coleman,,USA,Open Weight
denis-kang,,,
john-hathaway,London Shootfighters,England,Welterweight
tom-egan,,,Welterweight
alexandre-barros,,Brazil,Welterweight
ivan-serati,,,Light Heavyweight
john-howard,FAF Kickboxing,USA,Welterweight
dan-cramer,American Top Team,USA,Welterweight
denis-stojnic,,Bosnia & Herzegovina,
jake-rosholt,Team Takedown,USA,Middleweight
matt-veach,,USA,
nick-catone,Ricardo Almeida Jiu-Jitsu,USA,Middleweight
derek-downey,,USA,Welterweight
paulo-thiago,X-Gym,Brazil,Welterweight
brian-cobb,,USA,
evan-dunham,Xtreme Couture,USA,Lightweight
neil-grove,,England,Heavyweight
mike-ciesnolevicz,,USA,Light Heavyweight
mark-munoz,Reign MMA,USA,Middleweight
ryan-madigan,,,Welterweight
carlos-condit,Jackson-Wink MMA,USA,Welterweight
jesse-sanders,,,Welterweight
nissen-osterneck,,USA,Middleweight
tim-mckenzie,,,
aaron-simpson,Power MMA Team,USA,Welterweight
brian-stann,Jackson-Wink MMA,USA,Light Heavyweight
xavier-foupa-pokam,,,Middleweight
mike-pyle,,,
tim-hague,Complete Martial Arts and Fitness,Canada,
caol-uno,,,
peter-sobotta,Planet Eater,Germany,Welterweight
rick-story,,,
james-wilks,Lightning MMA,England,Welterweight
ross-pearson,Alliance MMA,England,Lightweight
andre-winner,Team Rough House,England,Lightweight
frank-lester,,USA,Welterweight
nick-osipczak,,England,Welterweight
cameron-dollar,Colorado Fight Factory,USA,
yoshihiro-akiyama,Jackson-Wink MMA,Japan,Welterweight
jesse-lennox,,,
danillo-villefort,Blackzilians,Brazil,
chris-tuchscherer,,,Heavyweight
mike-russow,Team DeathClutch,,Heavyweight
todd-duffee,Xtreme Couture,USA,Heavyweight
jake-ellenberger,Reign MMA,USA,Welterweight
jay-silva,,USA,
steve-steinbeiss,,,Light Heavyweight
vitor-belfort,Blackzilians,Brazil,Middleweight
paul-daley,Team Rough House,England,Welterweight
frank-trigg,Xtreme Couture,USA,Welterweight
steve-lopez,,USA,
nik-lentz,American Top Team,USA,Lightweight
rafaello-oliveira,Knoxville Martial Arts Academy,Brazil,
brian-foster,Fiore MMA,USA,Welterweight
igor-pokrajac,American Top Team,Croatia,Light Heavyweight
