,TEAM,COUNTRY,WT CLASS
tom-deblass,Ricardo Almeida Jiu-Jitsu,USA,Middleweight
magnus-cedenblad,Pancrase Gym Sweden,Sweden,Middleweight
reza-madadi,Hilti NHB,Iran,Lightweight
yoislandy-izquierdo,Young Tigers,USA,Lightweight
simeon-thoresen,Frontline Academy,Norway,Welterweight
besam-yousef,Gladius MMA,Sweden,Welterweight
chad-griggs,APEX MMA,USA,Light Heavyweight
chris-clements,Team Tompkins,Canada,Welterweight
maximo-blanco,Yoshida Dojo,Venezuela,Featherweight
tim-elliott,805 Fight Club,USA,Flyweight
john-lineker,Emporium,Brazil,Bantamweight
marcus-levesseur,Minnesota Fight Factory,USA,Lightweight
antonio-silva,Team Nogueira,Brazil,Heavyweight
shane-del-rosario,Team Oyama,USA,Heavyweight
glover-teixeira,Teixeira MMA & Fitness,Brazil,Light Heavyweight
john-cofer,Hardcore Gym,USA,
justin-lawrence,Black House,USA,Lightweight
daron-cruickshank,Michigan Top Team,USA,Lightweight
chris-tickle,Fiore MMA,USA,
chris-saunders,,USA,
myles-jury,Alliance MMA,USA,Featherweight
cristiano-marcello,CM System,Brazil,Lightweight
sam-sicilia,Sikjitsu,USA,Featherweight
jeremy-larsen,Arizona Combat Sports,USA,
joe-proctor,Team Aggression,USA,Welterweight
erik-perez,Jackson-Wink MMA,Mexico,Bantamweight
caio-magalhaes,Teixeira MMA & Fitness,Brazil,Middleweight
buddy-roberts,Jackson-Wink MMA,USA,Middleweight
cj-keith,Pro Buhawe,USA,Lightweight
brock-jardine,The Pit Elevated Fight Team,USA,Welterweight
joey-gambino,,,
sergio-moraes,Alliance Jiu-Jitsu,Brazil,Welterweight
cezar-ferreira,MMA Masters,Brazil,Middleweight
rony-jason,,,
godofredo-pepey,Marcio Cupim Team,Brazil,Featherweight
hacran-dias,,Brazil,Lightweight
rodrigo-damm,Alliance Jiu-Jitsu,Brazil,Lightweight
anistavio-medeiros,,Brazil,Featherweight
delson-heleno,,Brazil,
francisco-trinaldo,Constrictor Team,Brazil,Lightweight
john-teixeira,,,
hugo-viana,Champion Team,Brazil,Bantamweight
thiago-perpetuo,,Brazil,
leonardo-mafra,,Brazil,Lightweight
wagner-campos,,,Catchweight
marcos-vinicius,,Brazil,
milton-vieira,,,
marcelo-guimaraes,Caveira Team,Brazil,Middleweight
hector-lombard,UFD Gym,Cuba,Middleweight
ryan-jimmo,Blackzilians,Canada,Light Heavyweight
mitch-gagnon,Troop MMA,Canada,Bantamweight
wagner-prado,Team Nogueira,Brazil,Light Heavyweight
ulysses-gomez,Xtreme Couture,USA,Flyweight
john-moraga,MMA LAB,USA,Flyweight
chico-camus,Roufusport,USA,Flyweight
roger-hollett,,Canada,Light Heavyweight
jimi-manuwa,Allstars Training Center,England,Light Heavyweight
akira-corassani,Renzo Gracie Jiu-Jitsu,Sweden,Featherweight
andy-ogle,,England,Featherweight
tom-watson,,,
gunnar-nelson,SBG Ireland,Iceland,Welterweight
jay-hieron,Xtreme Couture,,Welterweight
jussier-formiga,Nova Uniao,Brazil,Flyweight
phil-harris,,,
renee-forte,Team Nogueira,Brazil,Welterweight
jon-tuck,The Arena,Guam,Lightweight
motonobu-tezuka,,,
ray-wood,,USA,
john-raio,,USA,
azamat-gashimov,K Dojo,Ukraine,Flyweight
abel-trujillo,Blackzilians,USA,Lightweight
colin-fletcher,United Gym,England,Lightweight
norman-parke,,Northern Ireland,Lightweight
yaotzin-meza,MMA LAB,USA,Featherweight
manuel-rodriguez,TP Fight Team,Australia,Welterweight
ben-alloway,Fiore MMA,Australia,Welterweight
mike-wilkinson,Atherton Submission Wrestling,England,Featherweight
brendan-loughnane,Mosside Ground and Pound,England,Lightweight
cody-donovan,Grudge Training Center,USA,Light Heavyweight
mike-ricci,TriStar Gym,Canada,Lightweight
colton-smith,Vanguard,USA,Lightweight
vinc-pichel,,USA,Lightweight
rustam-khabilov,Jackson-Wink MMA,Russia,Lightweight
mike-rio,Zen Jiu-Jitsu,USA,
derek-brunson,Hard Knocks 365,USA,Middleweight
daniel-sarafian,,Brazil,Middleweight
lucas-martins,Chute Boxe,Brazil,Featherweight
pedro-nobre,Brazilian Top Team,Brazil,
ildemar-alcantara,,,
sean-spencer,,USA,Welterweight
tyron-woodley,Roufusport,USA,Welterweight
bobby-green,Pinnacle Fighting Systems,USA,Lightweight
isaac-vallie-flagg,Jackson-Wink MMA,USA,Lightweight
dustin-kimura,,USA,Bantamweight
liz-carmouche,Team Hurricane Awesome,USA,Women's Flyweight
ronda-rousey,Glendale Fighting Club,USA,Women's Bantamweight
robbie-lawler,Combat Club,USA,Welterweight
michael-chiesa,Sikjitsu,USA,Welterweight
caros-fodor,AMC Pankration,USA,
neil-magny,Elevation Fight Team,USA,Welterweight
jon-manley,Team Link,USA,Welterweight
nah-shon-burrell,Fight Firm,USA,Welterweight
yuri-villefort,Blackzilians,Brazil,Welterweight
kazuki-tokudome,,,
bobby-voelker,Finney's HIT Squad,USA,
jordan-mein,Canadian Martial Arts Centre,Canada,Welterweight
quinn-mulhern,Santa Fe Brazilian Jiu-Jitsu,USA,
gegard-mousasi,Red Devil Sport Club,Netherlands,Middleweight
ilir-latifi,Allstars Training Center,Sweden,Light Heavyweight
ryan-couture,Xtreme Couture,USA,Lightweight
tor-troeng,,Sweden,Middleweight
adam-cella,Finney's HIT Squad,USA,Middleweight
adlan-amagov,Jackson-Wink MMA,Russia,Welterweight
chris-spang,J-Sect,USA,
conor-mcgregor,SBG Ireland,Ireland,Lightweight
ryan-laflare,Bellmore Kickboxing Academy,USA,
uriah-hall,Fortis MMA,Jamaica,Middleweight
kelvin-gastelum,Kings MMA,USA,Middleweight
miesha-tate,Xtreme Couture,USA,Women's Bantamweight
cat-zingano,Zingano BJJ,USA,Women's Featherweight
bubba-mcdaniel,,,
gilbert-smith,,USA,Middleweight
kevin-casey,Gracie Jiu-Jitsu,USA,Middleweight
josh-samman,,USA,
collin-hart,Nor-Cal Fighting Alliance,USA,Middleweight
luke-barnatt,Tsunami Gym,England,Middleweight
dylan-andrews,,New Zealand,Middleweight
jimmy-quinlan,,USA,Middleweight
bristol-marunde,Throwdown,USA,Welterweight
clint-hester,Blackzilians,USA,Light Heavyweight
gilbert-melendez,El Nino Training Center,USA,Lightweight
daniel-cormier,AKA (American Kickboxing Academy),USA,Heavyweight
josh-thomson,AKA (American Kickboxing Academy),USA,Lightweight
lorenz-larkin,Millennia MMA,USA,Welterweight
jorge-masvidal,American Top Team,USA,Welterweight
roger-bowling,Team Vision,USA,Lightweight
yoel-romero,American Top Team,Cuba,Middleweight
yancy-medeiros,Team Hakuilua,USA,Lightweight
gian-villante,Bellmore Kickboxing Academy,USA,Light Heavyweight
ovince-saint-preux,Knoxville MMA,USA,Light Heavyweight
sara-mcmann,Revolution MMA,USA,Women's Bantamweight
sheila-gaff,,Germany,Women's Bantamweight
kurt-holobaugh,Gracie United,USA,Featherweight
jonathan-lemke,,USA,
george-reagan,,,
luke-rockhold,AKA (American Kickboxing Academy),USA,Middleweight
jacare-souza,X-Gym,Brazil,Middleweight
joao-zeferino,Renzo Gracie Jiu-Jitsu,Brazil,
michel-prazeres,Coalizao Fight Team,Brazil,Welterweight
iliarde-santos,,Brazil,Flyweight
kj-noons,The Arena,USA,Lightweight
robert-whittaker,PMA Super Martial Arts Centre,Australia,Middleweight
estevan-payan,Arizona Combat Sports,USA,Featherweight
leonardo-santos,Nova Uniao,Brazil,Lightweight
william-macario,,Brazil,Welterweight
rafael-cavalcante,,,
eddie-mendez,,USA,
leandro-silva,,Brazil,Lightweight
mizuto-hirota,Cave,Japan,Lightweight
antonio-braga-neto,Gracie Fusion,Brazil,Middleweight
anthony-smith,FactoryX Muay Thai,USA,Light Heavyweight
alexis-davis,Cesar Gracie Jiu-Jitsu,Canada,Women's Flyweight
rosi-sexton,,England,Women's Bantamweight
james-krause,Glory MMA & Fitness,USA,Welterweight
roger-gracie,Black House MMA,Brazil,Light Heavyweight
tim-kennedy,Jackson-Wink MMA,USA,Middleweight
brian-melancon,Paradigm/Main Street Boxing Gym,USA,
jessica-andrade,Parana Vale Tudo,Brazil,Women's Strawweight
trevor-smith,Ring Demon Jiu-Jitsu,USA,Middleweight
julie-kedzie,Jackson-Wink MMA,USA,Women's Bantamweight
germaine-de-randamie,AKA (American Kickboxing Academy),Netherlands,Women's Bantamweight
thiago-santos,American Top Team,Brazil,Light Heavyweight
jose-maria,,Brazil,Flyweight
amanda-nunes,American Top Team,Brazil,Women's Bantamweight
francimar-barroso,Nova Uniao,Brazil,Light Heavyweight
viscardi-andrade,Gracie Fusion,Brazil,Welterweight
james-vick,Team Lloyd Irvin,USA,Lightweight
brandon-thatch,Elevation Fight Team,USA,Welterweight
zak-cummings,Glory MMA & Fitness,USA,Middleweight
josh-barnett,UWF-USA,USA,Heavyweight
hyun-gyu-lim,Korean Top Team,Korea,Welterweight
kyung-ho-kang,Busan Team M.A.D.,Korea,Bantamweight
nikita-krylov,YK Promotion,Ukraine,Light Heavyweight
al-iaquinta,Serra-Longo Fight Team,USA,Lightweight
piotr-hallmann,,Poland,Lightweight
ali-bagautinov,Fight Nights Team,Russia,Flyweight
kevin-souza,,Brazil,Featherweight
ramiro-hernandez,Miletich Martial Arts,USA,Bantamweight
elias-silverio,,Brazil,Lightweight
ivan-jorge,,Brazil,Lightweight
wilson-reis,Brazilian Jiu-Jitsu United,Brazil,Flyweight
jesse-ronson,Adrenaline Training Center,Canada,Lightweight
nandor-guelmino,,,
daniel-omielanczuk,,,
igor-araujo,Jackson-Wink MMA,Brazil,Welterweight
yan-cabral,Nova Uniao,Brazil,Lightweight
alan-patrick,X-Gym,Brazil,Lightweight
garett-whiteley,,USA,
darrell-montague,Millennia MMA,USA,Flyweight
sarah-kaufman,Zugec Ultimate Martial Arts,Canada,Women's Bantamweight
jessica-eye,Xtreme Couture,USA,Women's Flyweight
andre-fili,Team Alpha Male,USA,Featherweight
kyoji-horiguchi,American Top Team,Japan,Flyweight
nico-musoke,Allstars Training Center,Sweden,Welterweight
robert-whiteford,American Top Team,Scotland,Featherweight
bradley-scott,Combat Sports Academy,England,Welterweight
brian-houston,Disorderly Conduct,USA,Middleweight
santiago-ponzinibbio,American Top Team,Argentina,Welterweight
omari-akhmedov,American Top Team,Russia,Middleweight
adriano-martins,Top Life Amazonas,Brazil,Lightweight
dustin-ortiz,Combat Sports Academy,USA,Flyweight
anthony-lapsley,,,
sergio-pettis,Roufusport,USA,Bantamweight
davey-grant,North East Top Team,England,Bantamweight
chris-holdsworth,Marc Laimon's Cobra Kai,USA,Bantamweight
jessamyn-duke,,USA,Women's Bantamweight
peggy-morgan,,USA,
roxanne-modafferi,Syndicate MMA,USA,Women's Flyweight
raquel-pennington,Altitude MMA,USA,Women's Bantamweight
tom-niinimaki,,,
walt-harris,Spartan Fitness,USA,Heavyweight
jared-rosholt,Team Takedown,USA,Heavyweight
drew-dober,Elevation Fight Team,USA,Lightweight
josh-sampo,St. Charles MMA,USA,Flyweight
ryan-benoit,Janjira Muay Thai,USA,Flyweight
bethe-correia,CM System,Brazil,Women's Bantamweight
richie-vaculik,TP Fight Team,Australia,Flyweight
justin-scoggins,American Top Team,USA,Flyweight
bruno-santos,,Brazil,Middleweight
krzysztof-jotko,American Top Team,Poland,Middleweight
ben-wall,,Australia,Lightweight
alex-garcia,TriStar Gym,Dominican Republic,Welterweight
zach-makovsky,TriStar Gym,USA,Flyweight
alptekin-ozkilic,St. Charles MMA,USA,Flyweight
katsunori-kikuno,,,
will-chope,,USA,Featherweight
mairbek-taisumov,Team Taisumov,Russia,Lightweight
tae-hyun-bang,,,
tarec-saffiedine,Team Quest -Portland,Belgium,Welterweight
tatsuya-kawajiri,,Japan,Featherweight
sean-soriano,Blackzilians,USA,Featherweight
kiichi-kunimoto,,,
luiz-dutra,,,
shunichi-shimizu,,Japan,Bantamweight
royston-wee,,Singapore,Bantamweight
dave-galera,,Philippines,Bantamweight
jon-delos-reyes,,Guam,Flyweight
leandro-issa,Evolve MMA,Brazil,Bantamweight
russell-doane,Hawaii Elite MMA,USA,Bantamweight
beneil-dariush,Wand Fight Team,Iran,Lightweight
louis-smolka,Team Oyama,USA,Bantamweight
george-sullivan,Pellegrino MMA,USA,Welterweight
mike-rhodes,Roufusport,USA,Welterweight
danny-martinez,Alliance MMA,USA,Flyweight
kevin-lee,Xtreme Couture,USA,Lightweight
andy-enz,Gracie Barra Alaska,USA,Middleweight
rashid-magomedov,Gorets,Russia,Lightweight
anthony-rocco-martin,American Top Team,USA,Welterweight
gasan-umalatov,,,
takenori-sato,,,
albert-tumenov,,,
zubaira-tukhugov,Tiger Muay Thai,Russia,Featherweight
douglas-silva-de-andrade,Corinthians MMA,Brazil,Bantamweight
patrick-cummins,Reign MMA,USA,Light Heavyweight
pedro-munhoz,American Top Team,Brazil,Bantamweight
cody-gibson,,USA,Bantamweight
aljamain-sterling,Serra-Longo Fight Team,USA,Bantamweight
yosdenis-cedeno,MMA Masters,Cuba,Lightweight
ernest-chavez,Total MMA Studios,USA,Lightweight
sai-wang,China Top Team,China,Welterweight
lipeng-zhang,Fight Emperor,China,Lightweight
yui-chul-nam,Team Posse,Korea,Featherweight
anying-wang,,China,Welterweight
albert-cheng,,Canada,
jumabieke-tuerxun,,,
mark-eddiva,Lakay MMA,Philippines,Featherweight
neil-seery,Team Ryano MMA,Ireland,Flyweight
mats-nilsson,Rumble Sports,Sweden,Welterweight
claudio-silva,Nova Uniao,Brazil,Welterweight
danny-mitchell,AVT Fight Team,England,
francisco-trevino,Macaco Gold Team,USA,Lightweight
sean-strickland,CQuence Jiu-Jitsu,USA,Welterweight
hans-stringer,,,
noad-lahat,AKA (American Kickboxing Academy),Israel,Featherweight
jim-alers,Alliance Jiu-Jitsu,USA,Featherweight
alan-omer,,,Featherweight
sheldon-westcott,Complete Martial Arts and Fitness,Canada,Welterweight
elias-theodorou,TriStar Gym,Canada,Middleweight
chad-laprise,,,
olivier-aubin-mercier,TriStar Gym,Canada,Lightweight
leslie-smith,El Nino Training Center,USA,Women's Bantamweight
sean-oconnell,,,
mike-de-la-torre,,USA,Featherweight
nordine-taleb,TriStar Gym,Canada,Welterweight
vik-grujic,,Australia,Welterweight
richard-walsh,,Australia,Welterweight
chris-indich,The Arena,Australia,Welterweight
tim-gorman,Des Moines MMA Academy,USA,Bantamweight
alex-white,Team Destruction,USA,Lightweight
luke-zachrich,,,
hernani-perpetuo,Nova Uniao,Brazil,
ray-borg,Fit NHB,USA,Bantamweight
chas-skelly,Team Takedown,USA,Featherweight
mirsad-bektic,TriStar Gym,Bosnia & Herzegovina,Featherweight
derrick-lewis,Silverback Fight Club,USA,Heavyweight
jack-may,CSW,USA,
chris-beal,KnuckleHeadz Boxing,USA,Flyweight
patrick-williams,American Top Team,USA,Bantamweight
ruan-potts,Mark Robinson MMA,South Africa,Heavyweight
aaron-phillips,Gladiators Training Academy,USA,Featherweight
li-jingliang,China Top Team,China,Welterweight
david-michaud,MMA LAB,USA,Lightweight
niklas-backstrom,,Sweden,Featherweight
nick-hein,Clube do Leao,Germany,Lightweight
pawel-pawlak,,Poland,Welterweight
ruslan-magomedov,Fight Club Berkut,Russia,Heavyweight
viktor-pesta,,Czech Republic,Heavyweight
vitor-miranda,Team Nogueira,Brazil,Middleweight
antonio-carlos-junior,American Top Team,Brazil,Heavyweight
marcio-alexandre-jr,,Brazil,
warlley-alves,X-Gym,Brazil,Welterweight
alexander-yakovlev,K Dojo,Russia,Lightweight
ricardo-abreu,,Brazil,
wagner-silva,,Brazil,
marcos-rogerio-de-lima,011 MMA Team,Brazil,Light Heavyweight
richardson-morreira,,Brazil,Middleweight
matt-hobar,,USA,Bantamweight
jake-lindsey,,USA,Lightweight
roger-narvaez,Full Contact Fight Academy,USA,Middleweight
valerie-letourneau,American Top Team,Canada,Women's Strawweight
elizabeth-phillips,Sikjitsu,USA,Women's Bantamweight
kajan-johnson,TriStar Gym,Canada,Lightweight
michinori-tanaka,Reversal Gym Yokohama Ground Slam,Japan,Bantamweight
josh-shockley,Duneland Vale Tudo,USA,Lightweight
jason-saggo,Wulfrun MMA,Canada,Lightweight
joe-ellenberger,,USA,Lightweight
james-moontasri,Black House,USA,Welterweight
diego-ferreira,Fortis MMA,Brazil,Lightweight
shane-howell,,,
aleksei-oleinik,K Dojo,Russia,Heavyweight
anthony-hamilton,,USA,Heavyweight
jake-matthews,Nexus,Australia,Welterweight
dashon-johnson,Team Xplode MMA,USA,Featherweight
roldan-sangchaan,Lakay MMA,Philippines,Flyweight
rodrigo-de-lima,Coalizao Fight Team,Brazil,Welterweight
dan-hooker,City Kickboxing,New Zealand,Lightweight
ian-entwistle,APEX MMA,England,Bantamweight
rob-font,Team Sityodtong,USA,Bantamweight
guilherme-vasconcelos,,Brazil,Middleweight
bubba-bush,Brazos Valley MMA,USA,Middleweight
matt-van-buren,Alliance MMA,USA,Light Heavyweight
corey-anderson,Ricardo Almeida Jiu-Jitsu,USA,Light Heavyweight
dhiego-lima,American Top Team Atlanta,Brazil,Welterweight
eddie-gordon,Serra-Longo Fight Team,USA,Middleweight
guto-inocente,Blackzilians,Brazil,Light Heavyweight
juan-puig,,Mexico,Featherweight
dan-spohn,Cambridge Martial Arts,USA,Light Heavyweight
patrick-walsh,Wai Kru MMA,USA,Middleweight
sarah-moras,Toshida MMA,Canada,Women's Bantamweight
alexis-dufresne,Team Quest -Portland,USA,Women's Bantamweight
robert-drysdale,,USA,Light Heavyweight
keith-berish,Black & Blue MMA,USA,Middleweight
jerrod-sanders,American Top Team OKC,USA,Bantamweight
claudia-gadelha,Jackson-Wink MMA,Brazil,Women's Strawweight
tina-lahdemaki,RNC Sport Club,Finland,
chris-dempsey,Cold Steel MMA,USA,Middleweight
cathal-pendred,,Ireland,Welterweight
mike-king,,Guam,Middleweight
patrick-holohan,SBG Ireland,Ireland,Flyweight
brian-ortega,Black House,USA,Featherweight
akbarh-arreola,Entram Gym,Mexico,Lightweight
tiago-trator,Team Nogueira,Brazil,Featherweight
andreas-stahl,,Sweden,Welterweight
gilbert-burns,Hard Knocks 365,Brazil,Lightweight
juliana-lima,Gracie Barra BH,Brazil,Women's Strawweight
joanna-jedrzejczyk,American Top Team,Poland,Women's Flyweight
alan-jouban,Black House,USA,Welterweight
lauren-murphy,MMA LAB,USA,
sam-alvey,Team Quest -Portland,USA,Light Heavyweight
frankie-saenz,Triton Fight Center,USA,Bantamweight
nolan-ticman,,USA,Flyweight
brendan-oreilly,,Australia,Welterweight
guangyou-ning,,China,Bantamweight
jianping-yang,Fight Emperor,China,
alberto-mina,Epic MMA,Brazil,Welterweight
shinsho-anzai,Team Climb,Japan,Welterweight
ulka-sasaki,Wajutsu Keishukai Tokyo,Japan,Flyweight
colby-covington,American Top Team,USA,Welterweight
yao-zhikui,,China,Flyweight
milana-dudieva,,Russia,Women's Bantamweight
clay-collard,The Pit Elevated Fight Team,USA,Featherweight
valmir-lazaro,Nova Uniao,Brazil,Lightweight
chris-heatherly,Fit or Fight,USA,
joby-sanchez,Jackson-Wink MMA,USA,Bantamweight
joe-soto,Central Valley Combat Academy,USA,Bantamweight
shayna-baszler,,,
damon-jackson,Fortis MMA,USA,Featherweight
chris-wade,Long Island MMA,USA,Lightweight
cain-carrizosa,,USA,Lightweight
tateki-matsuda,,Japan,Flyweight
wendell-oliveira,,Brazil,Welterweight
larissa-pacheco,Tata Fight Team,Brazil,Women's Bantamweight
rin-nakai,Pancrase Venus,Japan,Women's Bantamweight
masanori-kanehara,,Japan,Bantamweight
johnny-case,,,
eddie-alvarez,Ricardo Almeida Jiu-Jitsu,USA,Lightweight
jan-blachowicz,Berkut WCA Fight Team,Poland,Light Heavyweight
scott-askham,Ludus Magnus,England,Middleweight
charles-rosa,American Top Team,USA,Featherweight
marcin-bandel,Drysdale Jiu-Jitsu,Poland,Lightweight
roman-salazar,Fight Ready,USA,Bantamweight
paul-felder,Roufusport,USA,Lightweight
chris-kelades,Fit Plus,Canada,Flyweight
matt-dwyer,Toshida MMA,Canada,Welterweight
christos-giagos,Black House,USA,Lightweight
daniel-kelly,Resilience Training Centre,Australia,Middleweight
leon-edwards,UTC Birmingham,England,Welterweight
jorge-de-oliveira,,Brazil,Welterweight
nina-ansaroff,American Top Team,USA,Women's Strawweight
diego-rivas,Elemental Dojo,Chile,Bantamweight
rodolfo-rubio,,Mexico,Featherweight
thomas-almeida,Chute Boxe,Brazil,Bantamweight
augusto-montano,Jackson-Wink MMA,Mexico,Welterweight
hector-urbina,,,
yair-rodriguez,Valle Flow Striking,Mexico,Featherweight
leonardo-morales,,Nicaragua,Bantamweight
alejandro-perez,AKA (American Kickboxing Academy),Mexico,Bantamweight
jose-quinonez,Alliance MMA,Mexico,Bantamweight
gabriel-benitez,AKA (American Kickboxing Academy),Mexico,Featherweight
humberto-brown,,Panama,Featherweight
henry-briones,Entram Gym,Mexico,Bantamweight
guido-cannetti,Our Town MMA,Argentina,Bantamweight
marlon-vera,Team Oyama,Ecuador,Bantamweight
marco-beltran,Invictus MMA,Mexico,Flyweight
josh-copeland,Grudge Training Center,USA,Heavyweight
paige-vanzant,American Top Team Portland,USA,Women's Flyweight
kailin-curran,Reign MMA,USA,Women's Strawweight
dooho-choi,Busan Team M.A.D.,Korea,Featherweight
justin-jones,Victory MMA,USA,
ashlee-evans-smith,Reign MMA,USA,Women's Flyweight
carla-esparza,Team Oyama,USA,Women's Strawweight
rose-namajunas,Genesis Training Center,USA,Women's Strawweight
jessica-penne,Alliance MMA,USA,Women's Strawweight
randa-markos,Michigan Top Team,Canada,Women's Strawweight
felice-herrig,Team Curran,USA,Women's Strawweight
lisa-ellis,United Training Center,USA,Women's Strawweight
bec-rawlings,,Australia,
heather-clark,Syndicate MMA,USA,Women's Strawweight
seo-hee-ham,Busan Team M.A.D.,Korea,Women's Strawweight
joanne-calderwood,Syndicate MMA,Scotland,Women's Flyweight
angela-magana,,USA,Women's Strawweight
tecia-torres,American Top Team,USA,Women's Strawweight
aisling-daly,,Ireland,Women's Strawweight
alex-chambers,American Top Team,Australia,Women's Strawweight
emily-kagan,,USA,Women's Strawweight
angela-hill,Alliance MMA,USA,Women's Strawweight
willie-gates,,USA,Flyweight
bryan-barberena,MMA LAB,USA,Welterweight
henry-cejudo,Fight Ready,USA,Flyweight
anthony-birchak,APEX MMA,USA,Bantamweight
antonio-dos-santos,Champion Team,Brazil,Middleweight
renato-moicano,Constrictor Team,Brazil,Featherweight
jake-collier,No Excuses MMA,USA,Light Heavyweight
cody-garbrandt,Team Alpha Male,USA,Bantamweight
jared-cannonier,MMA LAB,USA,Light Heavyweight
marion-reneau,,USA,Women's Bantamweight
ron-stallings,,USA,Middleweight
frankie-perez,Ricardo Almeida Jiu-Jitsu,USA,Lightweight
sultan-aliev,American Top Team,Russia,Welterweight
makwan-amirkhani,SBG Ireland,Finland,Featherweight
anthony-christodoulou,Renzo Gracie Jiu-Jitsu,Greece,Lightweight
paul-redmond,,Ireland,Featherweight
konstantin-erokhin,,Russia,Heavyweight
cody-pfister,,USA,Lightweight
holly-holm,Jackson-Wink MMA,USA,Women's Featherweight
masio-fullen,,Mexico,Featherweight
alex-torres,,,
joe-duffy,The MMA Clinic,Ireland,Lightweight
alex-oliveira,Tata Fight Team,Brazil,Welterweight
fredy-serrano,,Colombia,Flyweight
bentley-syler,American Top Team,Bolivia,Flyweight
julianna-pena,Sikjitsu,USA,Women's Bantamweight
shamil-abdurakhimov,Peresvet FT,Russia,Heavyweight
timothy-johnson,Academy of Combat Arts,USA,Heavyweight
maryna-moroz,YK Promotion,Sweden,Women's Flyweight
bartosz-fabinski,,Poland,Middleweight
garreth-mclellan,,South Africa,Middleweight
mickael-lebout,Crossfight,France,Lightweight
damian-stasiak,United Gym,Poland,Bantamweight
alexandra-albu,Red Fury Fight Team,Russia,Women's Strawweight
izabela-badurek,,Poland,Women's Strawweight
stevie-ray,Higher Level Martial Arts,Scotland,Lightweight
rocky-lee,,Taiwan,Featherweight
taylor-lapilus,,France,Bantamweight
shane-campbell,,Canada,Lightweight
jessica-rakoczy,,Canada,Women's Strawweight
jonavin-webb,Renzo Gracie Philly,USA,Welterweight
ben-nguyen,Integrated MMA,USA,Flyweight
levan-makashvili,,USA,Featherweight
leo-kuntz,,USA,
islam-makhachev,FightSpirit Team,Russia,Lightweight
darren-till,Team Kaobon,England,Welterweight
nicolas-dalby,,,
elizeu-zaleski-dos-santos,CM System,Brazil,Welterweight
ericka-almeida,Academy Octavio Almeida,Brazil,Women's Strawweight
tom-breese,TriStar Gym,England,Middleweight
steve-kennedy,,Australia,Welterweight
lukasz-sajewski,,Poland,Lightweight
arnold-allen,BKK Fighters,England,Featherweight
magomed-mustafaev,American Top Team,Russia,Lightweight
steve-bosse,TriStar Gym,Canada,Light Heavyweight
joe-merritt,Millennia MMA,USA,
lewis-gonzalez,MMAGold Fight Team,USA,
steve-montgomery,,USA,Middleweight
tony-sims,Elevation Fight Team,USA,Lightweight
sirwan-kakai,American Top Team,Sweden,Bantamweight
hayder-hassan,American Top Team,USA,Welterweight
kamaru-usman,Hard Knocks 365,Nigeria,Welterweight
vicente-luque,Hard Knocks 365,Brazil,Welterweight
michael-graves,American Top Team,USA,Welterweight
michelle-waterson,Jackson-Wink MMA,USA,Women's Strawweight
dominic-waters,Nor-Cal Fighting Alliance,USA,Welterweight
lyman-good,Team Tiger Schulman,USA,Welterweight
cortney-casey,Sanchez BJJ and Finess,USA,Women's Strawweight
teemu-packalen,Finnfighters Gym,Finland,Lightweight
jimmie-rivera,Team Tiger Schulman,Puerto Rico,Bantamweight
chris-de-la-rocha,Forge Combat Academy,USA,Heavyweight
andrew-holbrook,Indy Boxing & Grappling,USA,Lightweight
dominique-steele,Team Vision,USA,Welterweight
fernando-bruno,,Brazil,Featherweight
glaico-franca,Astra Fight Team,Brazil,Lightweight
reginaldo-vieira,,Brazil,Bantamweight
dileno-lopes,Nova Uniao,Brazil,Bantamweight
jessica-aguilar,American Top Team,USA,Women's Strawweight
geane-herrera,,USA,Flyweight
oluwale-bamgbose,,USA,Middleweight
jonathan-wilson,Millennia MMA,USA,Middleweight
scott-holtzman,Shield Systems MMA,USA,Lightweight
misha-cirkunov,Xtreme Couture,Latvia,Light Heavyweight
daniel-jolly,,USA,Light Heavyweight
nazareno-malegarie,Team Tavares,Argentina,Lightweight
joaquim-silva,Evolucao Thai,Brazil,Lightweight
sage-northcutt,Team Alpha Male,USA,Welterweight
matheus-nicolau,,,
bruno-korea,,Brazil,Bantamweight
anton-zafir,,Australia,Welterweight
erick-montano,,Mexico,Welterweight
enrique-marin,,Spain,Welterweight
enrique-barzola,Pitbull Brothers,Peru,Featherweight
horacio-gutierrez,Chicago Fight Team,Mexico,Featherweight
vernon-ramos,,Panama,Welterweight
alvaro-herrera,Jackson-Wink MMA,Mexico,Welterweight
cesar-arzamendia,,Paraguay,Lightweight
polo-reyes,Entram Gym,Mexico,Lightweight
alex-morono,Fortis MMA,USA,Welterweight
justine-kish,Black House,USA,Women's Flyweight
mehdi-baghdad,Black House,France,Lightweight
luke-sanders,Nashville MMA,USA,Bantamweight
kyle-bochniak,Broadway Jiu-Jitsu,USA,Featherweight
joey-gomez,Team Triumph,USA,Bantamweight
elvis-mutapcic,,,
randy-brown,Budokan Martial Arts Academy,Jamaica,Welterweight
felipe-olivieri,Nova Uniao,Brazil,Lightweight
alex-nicholson,American Top Team,USA,Middleweight
damian-grabowski,Lutadores Opole,Poland,Heavyweight
mike-jackson,4oz Fight Club,USA,Welterweight
mickey-gall,Miller Brothers MMA,USA,Welterweight
artem-lobov,SBG Ireland,Ireland,Featherweight
augusto-mendes,MMA LAB,Brazil,Bantamweight
