,fight,loser,odds_l,odds_w,winner,FIGHTERS
620,Arjan Bhullar vs Marcelo Golm,Marcelo-Golm,2.5,1.67,Arjan-Bhullar,Arjan-Bhullar vs. Marcelo-Golm
621,Stevie Ray vs Jessin Ayari,Jessin-Ayari,2.5,1.64,Stevie-Ray,Jessin-Ayari vs. Stevie-Ray
622,Khabib Nurmagomedov vs Conor McGregor,Conor-McGregor,2.7,1.61,Khabib-Nurmagomedov,Conor-McGregor vs. Khabib-Nurmagomedov
623,Sergio Pettis vs Jussier Formiga,Sergio-Pettis,1.54,2.7,Jussier-Formiga,Jussier-Formiga vs. Sergio-Pettis
624,Alexander Volkov vs Derrick Lewis,Alexander-Volkov,1.65,2.47,Derrick-Lewis,Alexander-Volkov vs. Derrick-Lewis
625,Ovince St Preux vs Dominick Reyes,Ovince-St-Preux,3.0,1.57,Dominick-Reyes,Dominick-Reyes vs. Ovince-St-Preux
626,Tony Ferguson vs Anthony Pettis,Anthony-Pettis,4.4,1.31,Tony-Ferguson,Anthony-Pettis vs. Tony-Ferguson
627,Vicente Luque vs Jalin Turner,Jalin-Turner,7.0,1.16,Vicente-Luque,Jalin-Turner vs. Vicente-Luque
628,Felice Herrig vs Michelle Waterson,Felice-Herrig,1.8,2.2,Michelle-Waterson,Felice-Herrig vs. Michelle-Waterson
629,Yana Kunitskaya vs Lina Lansberg,Lina-Lansberg,3.35,1.44,Yana-Kunitskaya,Lina-Lansberg vs. Yana-Kunitskaya
630,Scott Holtzman vs Alan Patrick,Alan-Patrick,1.36,3.75,Scott-Holtzman,Alan-Patrick vs. Scott-Holtzman
631,Gray Maynard vs Nik Lentz,Gray-Maynard,3.15,1.45,Nik-Lentz,Gray-Maynard vs. Nik-Lentz
632,Ryan LaFlare vs Tony Martin,Ryan-LaFlare,1.83,2.15,Tony-Martin,Ryan-LaFlare vs. Tony-Martin
633,Aspen Ladd vs Tonya Evinger,Tonya-Evinger,2.64,1.57,Aspen-Ladd,Aspen-Ladd vs. Tonya-Evinger
634,Thiago Santos vs Eryk Anders,Eryk-Anders,2.75,1.54,Thiago-Santos,Eryk-Anders vs. Thiago-Santos
635,Carlo Pedersoli Jr. vs Alex Oliveira,Carlo-Pedersoli-Jr.,5.0,1.22,Alex-Oliveira,Alex-Oliveira vs. Carlo-Pedersoli-Jr.
636,Sam Alvey vs Rogerio Nogueira,Sam-Alvey,1.3,4.08,Rogerio-Nogueira,Rogerio-Nogueira vs. Sam-Alvey
637,Renan Barao vs Andre Ewell,Renan-Barao,1.62,2.7,Andre-Ewell,Andre-Ewell vs. Renan-Barao
638,Charles Oliveira vs Christos Giagos,Christos-Giagos,4.75,1.25,Charles-Oliveira,Charles-Oliveira vs. Christos-Giagos
639,Francisco Trinaldo vs Evan Dunham,Evan-Dunham,2.55,1.62,Francisco-Trinaldo,Evan-Dunham vs. Francisco-Trinaldo
640,Ryan Spann vs Luis Henrique,Luis-Henrique,2.2,1.83,Ryan-Spann,Luis-Henrique vs. Ryan-Spann
641,Augusto Sakai vs Chase Sherman,Chase-Sherman,3.1,1.53,Augusto-Sakai,Augusto-Sakai vs. Chase-Sherman
642,Sergio Moraes vs Ben Saunders,Ben-Saunders,3.4,1.39,Sergio-Moraes,Ben-Saunders vs. Sergio-Moraes
643,Gillian Robertson vs Mayra Bueno Silva,Gillian-Robertson,1.74,2.25,Mayra-Bueno-Silva,Gillian-Robertson vs. Mayra-Bueno-Silva
644,Thales Leites vs Hector Lombard,Hector-Lombard,2.45,1.71,Thales-Leites,Hector-Lombard vs. Thales-Leites
645,Elizeu Zaleski dos Santos vs Luigi Vendramini,Luigi-Vendramini,0.0,0.0,Elizeu-Zaleski-dos-Santos,Elizeu-Zaleski-dos-Santos vs. Luigi-Vendramini
646,Livia Renata Souza vs Alex Chambers,Alex-Chambers,11.75,1.09,Livia-Renata-Souza,Alex-Chambers vs. Livia-Renata-Souza
647,Aleksei Oleinik vs Mark Hunt,Mark-Hunt,1.99,2.1,Aleksei-Oleinik,Aleksei-Oleinik vs. Mark-Hunt
648,Jan Blachowicz vs Nikita Krylov,Nikita-Krylov,1.71,2.4,Jan-Blachowicz,Jan-Blachowicz vs. Nikita-Krylov
649,Andrei Arlovski vs Shamil Abdurakhimov,Andrei-Arlovski,2.15,1.83,Shamil-Abdurakhimov,Andrei-Arlovski vs. Shamil-Abdurakhimov
650,Thiago Alves vs Alexey Kunchenko,Thiago-Alves,5.0,1.24,Alexey-Kunchenko,Alexey-Kunchenko vs. Thiago-Alves
651,Khalid Murtazaliev vs C.B. Dollaway,C.B.-Dollaway,2.5,1.62,Khalid-Murtazaliev,C.B.-Dollaway vs. Khalid-Murtazaliev
652,Petr Yan vs Jin Soo Son,Jin-Soo-Son,9.39,1.11,Petr-Yan,Jin-Soo-Son vs. Petr-Yan
653,Rustam Khabilov vs Kajan Johnson,Kajan-Johnson,7.05,1.14,Rustam-Khabilov,Kajan-Johnson vs. Rustam-Khabilov
654,Mairbek Taisumov vs Desmond Green,Desmond-Green,5.72,1.2,Mairbek-Taisumov,Desmond-Green vs. Mairbek-Taisumov
655,Marcin Prachnio vs Magomed Ankalaev,Marcin-Prachnio,5.49,1.22,Magomed-Ankalaev,Magomed-Ankalaev vs. Marcin-Prachnio
656,Jordan Johnson vs Adam Yandiev,Adam-Yandiev,3.46,1.4,Jordan-Johnson,Adam-Yandiev vs. Jordan-Johnson
657,Ramazan Emeev vs Stefan Sekulic,Stefan-Sekulic,6.5,1.17,Ramazan-Emeev,Ramazan-Emeev vs. Stefan-Sekulic
658,Merab Dvalishvili vs Terrion Ware,Terrion-Ware,5.44,1.2,Merab-Dvalishvili,Merab-Dvalishvili vs. Terrion-Ware
659,Tyron Woodley vs Darren Till,Darren-Till,1.95,2.1,Tyron-Woodley,Darren-Till vs. Tyron-Woodley
660,Jessica Andrade vs Karolina Kowalkiewicz,Karolina-Kowalkiewicz,5.0,1.24,Jessica-Andrade,Jessica-Andrade vs. Karolina-Kowalkiewicz
661,Brandon Davis vs Zabit Magomedsharipov,Brandon-Davis,10.75,1.09,Zabit-Magomedsharipov,Brandon-Davis vs. Zabit-Magomedsharipov
662,John Dodson vs Jimmie Rivera,John-Dodson,2.33,1.7,Jimmie-Rivera,Jimmie-Rivera vs. John-Dodson
663,Abdul Razak Alhassan vs Niko Price,Niko-Price,2.0,1.94,Abdul-Razak-Alhassan,Abdul-Razak-Alhassan vs. Niko-Price
664,Tatiana Suarez vs Carla Esparza,Carla-Esparza,4.5,1.25,Tatiana-Suarez,Carla-Esparza vs. Tatiana-Suarez
665,Cody Stamann vs Aljamain Sterling,Cody-Stamann,2.55,1.62,Aljamain-Sterling,Aljamain-Sterling vs. Cody-Stamann
666,Geoff Neal vs Frank Camacho,Frank-Camacho,2.9,1.54,Geoff-Neal,Frank-Camacho vs. Geoff-Neal
667,Charles Byrd vs Darren Stewart,Charles-Byrd,1.61,2.58,Darren-Stewart,Charles-Byrd vs. Darren-Stewart
668,Diego Sanchez vs Craig White,Craig-White,1.49,2.9,Diego-Sanchez,Craig-White vs. Diego-Sanchez
669,Jim Miller vs Alex White,Alex-White,1.62,2.5,Jim-Miller,Alex-White vs. Jim-Miller
670,Irene Aldana vs Lucie Pudilova,Lucie-Pudilova,2.0,1.91,Irene-Aldana,Irene-Aldana vs. Lucie-Pudilova
671,Jarred Brooks vs Roberto Sanchez,Roberto-Sanchez,3.5,1.53,Jarred-Brooks,Jarred-Brooks vs. Roberto-Sanchez
672,Justin Gaethje vs James Vick,James-Vick,1.79,2.2,Justin-Gaethje,James-Vick vs. Justin-Gaethje
673,Michael Johnson vs Andre Fili,Andre-Fili,1.87,2.15,Michael-Johnson,Andre-Fili vs. Michael-Johnson
674,Angela Hill vs Cortney Casey,Angela-Hill,1.87,2.15,Cortney-Casey,Angela-Hill vs. Cortney-Casey
675,Bryan Barberena vs Jake Ellenberger,Jake-Ellenberger,4.7,1.27,Bryan-Barberena,Bryan-Barberena vs. Jake-Ellenberger
676,Deiveson Figueiredo vs John Moraga,John-Moraga,2.5,1.65,Deiveson-Figueiredo,Deiveson-Figueiredo vs. John-Moraga
677,Eryk Anders vs Tim Williams,Tim-Williams,9.5,1.11,Eryk-Anders,Eryk-Anders vs. Tim-Williams
678,James Krause vs Warlley Alves,Warlley-Alves,1.31,4.0,James-Krause,James-Krause vs. Warlley-Alves
679,Cory Sandhagen vs Yuri Alcantara,Yuri-Alcantara,2.9,1.49,Cory-Sandhagen,Cory-Sandhagen vs. Yuri-Alcantara
680,Andrew Sanchez vs Markus Perez,Markus-Perez,2.23,1.8,Andrew-Sanchez,Andrew-Sanchez vs. Markus-Perez
681,George Sullivan vs Mickey Gall,George-Sullivan,3.95,1.31,Mickey-Gall,George-Sullivan vs. Mickey-Gall
682,Joanne Calderwood vs Kalindra Faria,Kalindra-Faria,2.7,1.6,Joanne-Calderwood,Joanne-Calderwood vs. Kalindra-Faria
683,Drew Dober vs Jon Tuck,Jon-Tuck,3.1,1.5,Drew-Dober,Drew-Dober vs. Jon-Tuck
684,Rani Yahya vs Luke Sanders,Luke-Sanders,2.0,2.0,Rani-Yahya,Luke-Sanders vs. Rani-Yahya
685,Cody Garbrandt vs T.J. Dillashaw,Cody-Garbrandt,2.15,1.83,T.J.-Dillashaw,Cody-Garbrandt vs. T.J.-Dillashaw
686,Cody Garbrandt vs T.J. Dillashaw,Cody-Garbrandt,1.53,2.75,T.J.-Dillashaw,Cody-Garbrandt vs. T.J.-Dillashaw
687,Demetrious Johnson vs Henry Cejudo,Demetrious-Johnson,1.22,5.0,Henry-Cejudo,Demetrious-Johnson vs. Henry-Cejudo
688,Demetrious Johnson vs Henry Cejudo,Henry-Cejudo,5.0,1.22,Demetrious-Johnson,Demetrious-Johnson vs. Henry-Cejudo
689,Demetrious Johnson vs Henry Cejudo,Demetrious-Johnson,1.26,4.55,Henry-Cejudo,Demetrious-Johnson vs. Henry-Cejudo
690,Demetrious Johnson vs Henry Cejudo,Henry-Cejudo,4.55,1.26,Demetrious-Johnson,Demetrious-Johnson vs. Henry-Cejudo
691,Cub Swanson vs Renato Moicano,Cub-Swanson,3.75,1.37,Renato-Moicano,Cub-Swanson vs. Renato-Moicano
692,J.J. Aldrich vs Polyana Viana,Polyana-Viana,1.67,2.5,J.J.-Aldrich,J.J.-Aldrich vs. Polyana-Viana
693,Thiago Santos vs Kevin Holland,Kevin-Holland,3.89,1.31,Thiago-Santos,Kevin-Holland vs. Thiago-Santos
694,Pedro Munhoz vs Brett Johns,Brett-Johns,3.0,1.51,Pedro-Munhoz,Brett-Johns vs. Pedro-Munhoz
695,Montel Jackson vs Ricky Simon,Montel-Jackson,1.91,2.1,Ricky-Simon,Montel-Jackson vs. Ricky-Simon
696,Ricardo Ramos vs Kyung Ho Kang,Kyung-Ho-Kang,3.5,1.4,Ricardo-Ramos,Kyung-Ho-Kang vs. Ricardo-Ramos
697,Sheymon da Silva Moraes vs Matt Sayles,Matt-Sayles,1.75,2.25,Sheymon-da-Silva-Moraes,Matt-Sayles vs. Sheymon-da-Silva-Moraes
698,Alex Perez vs Jose Torres,Jose-Torres,2.35,1.87,Alex-Perez,Alex-Perez vs. Jose-Torres
699,Danielle Taylor vs Weili Zhang,Danielle-Taylor,3.75,1.4,Weili-Zhang,Danielle-Taylor vs. Weili-Zhang
700,Marlon Vera vs Wuliji Buren,Wuliji-Buren,5.25,1.22,Marlon-Vera,Marlon-Vera vs. Wuliji-Buren
701,Dustin Poirier vs Eddie Alvarez,Eddie-Alvarez,2.67,1.62,Dustin-Poirier,Dustin-Poirier vs. Eddie-Alvarez
702,Jose Aldo vs Jeremy Stephens,Jeremy-Stephens,1.91,2.1,Jose-Aldo,Jeremy-Stephens vs. Jose-Aldo
703,Joanna Jedrzejczyk vs Tecia Torres,Tecia-Torres,3.75,1.36,Joanna-Jedrzejczyk,Joanna-Jedrzejczyk vs. Tecia-Torres
704,Olivier Aubin-Mercier vs Alexander Hernandez,Olivier-Aubin-Mercier,1.91,2.1,Alexander-Hernandez,Alexander-Hernandez vs. Olivier-Aubin-Mercier
705,Jordan Mein vs Alex Morono,Alex-Morono,2.33,1.73,Jordan-Mein,Alex-Morono vs. Jordan-Mein
706,Hakeem Dawodu vs Austin Arnett,Austin-Arnett,4.8,1.29,Hakeem-Dawodu,Austin-Arnett vs. Hakeem-Dawodu
707,Kajan Johnson vs Islam Makhachev,Kajan-Johnson,5.72,1.2,Islam-Makhachev,Islam-Makhachev vs. Kajan-Johnson
708,Gadzhimurad Antigulov vs Ion Cutelaba,Gadzhimurad-Antigulov,2.15,1.91,Ion-Cutelaba,Gadzhimurad-Antigulov vs. Ion-Cutelaba
709,John Makdessi vs Ross Pearson,Ross-Pearson,3.01,1.49,John-Makdessi,John-Makdessi vs. Ross-Pearson
710,Alexis Davis vs Katlyn Chookagian,Alexis-Davis,2.4,1.68,Katlyn-Chookagian,Alexis-Davis vs. Katlyn-Chookagian
711,Dustin Ortiz vs Matheus Nicolau,Matheus-Nicolau,1.53,2.75,Dustin-Ortiz,Dustin-Ortiz vs. Matheus-Nicolau
712,Randa Markos vs Nina Ansaroff,Randa-Markos,2.25,1.74,Nina-Ansaroff,Nina-Ansaroff vs. Randa-Markos
713,Alvaro Herrera vs Devin Powell,Alvaro-Herrera,2.0,2.0,Devin-Powell,Alvaro-Herrera vs. Devin-Powell
714,Mauricio Rua vs Anthony Smith,Mauricio-Rua,2.6,1.71,Anthony-Smith,Anthony-Smith vs. Mauricio-Rua
715,Corey Anderson vs Glover Teixeira,Glover-Teixeira,1.85,2.38,Corey-Anderson,Corey-Anderson vs. Glover-Teixeira
716,Vitor Miranda vs Abu Azaitar,Vitor-Miranda,2.85,1.53,Abu-Azaitar,Abu-Azaitar vs. Vitor-Miranda
717,Marcin Tybura vs Stefan Struve,Stefan-Struve,2.9,1.5,Marcin-Tybura,Marcin-Tybura vs. Stefan-Struve
718,David Zawada vs Danny Roberts,David-Zawada,3.5,1.5,Danny-Roberts,Danny-Roberts vs. David-Zawada
719,Nasrat Haqparast vs Marc Diakiese,Marc-Diakiese,1.64,2.5,Nasrat-Haqparast,Marc-Diakiese vs. Nasrat-Haqparast
720,Nick Hein vs Damir Hadzovic,Nick-Hein,1.62,2.48,Damir-Hadzovic,Damir-Hadzovic vs. Nick-Hein
721,Emil Meek vs Bartosz Fabinski,Emil-Meek,1.7,2.4,Bartosz-Fabinski,Bartosz-Fabinski vs. Emil-Meek
722,Nad Narimani vs Khalid Taha,Khalid-Taha,3.31,1.4,Nad-Narimani,Khalid-Taha vs. Nad-Narimani
723,Justin Ledet vs Aleksandar Rakic,Justin-Ledet,1.87,2.05,Aleksandar-Rakic,Aleksandar-Rakic vs. Justin-Ledet
724,Manny Bermudez vs Davey Grant,Davey-Grant,3.52,1.4,Manny-Bermudez,Davey-Grant vs. Manny-Bermudez
725,Jeremy Kimball vs Darko Stosic,Jeremy-Kimball,3.3,1.4,Darko-Stosic,Darko-Stosic vs. Jeremy-Kimball
726,Damian Stasiak vs Pingyuan Liu,Damian-Stasiak,1.95,2.03,Pingyuan-Liu,Damian-Stasiak vs. Pingyuan-Liu
727,Junior dos Santos vs Blagoy Ivanov,Blagoy-Ivanov,2.9,1.57,Junior-dos-Santos,Blagoy-Ivanov vs. Junior-dos-Santos
728,Sage Northcutt vs Zak Ottow,Zak-Ottow,2.35,1.83,Sage-Northcutt,Sage-Northcutt vs. Zak-Ottow
729,Chad Mendes vs Myles Jury,Myles-Jury,2.85,1.87,Chad-Mendes,Chad-Mendes vs. Myles-Jury
730,Darren Elkins vs Alex Volkanovski,Darren-Elkins,3.1,1.48,Alex-Volkanovski,Alex-Volkanovski vs. Darren-Elkins
731,Marion Reneau vs Cat Zingano,Marion-Reneau,1.95,2.0,Cat-Zingano,Cat-Zingano vs. Marion-Reneau
732,Eddie Wineland vs Alejandro Perez,Eddie-Wineland,2.65,1.58,Alejandro-Perez,Alejandro-Perez vs. Eddie-Wineland
733,Dennis Bermudez vs Rick Glenn,Dennis-Bermudez,1.58,2.65,Rick-Glenn,Dennis-Bermudez vs. Rick-Glenn
734,Justin Scoggins vs Said Nurmagomedov,Justin-Scoggins,2.07,1.89,Said-Nurmagomedov,Justin-Scoggins vs. Said-Nurmagomedov
735,Randy Brown vs Niko Price,Randy-Brown,1.8,2.15,Niko-Price,Niko-Price vs. Randy-Brown
736,Kurt Holobaugh vs Raoni Barcelos,Kurt-Holobaugh,1.63,2.5,Raoni-Barcelos,Kurt-Holobaugh vs. Raoni-Barcelos
737,Liz Carmouche vs Jennifer Maia,Jennifer-Maia,2.1,1.89,Liz-Carmouche,Jennifer-Maia vs. Liz-Carmouche
738,Mark Delarosa vs Elias Garcia,Elias-Garcia,1.77,2.2,Mark-Delarosa,Elias-Garcia vs. Mark-Delarosa
739,Jessica Aguilar vs Jodie Esquibel,Jodie-Esquibel,1.67,2.53,Jessica-Aguilar,Jessica-Aguilar vs. Jodie-Esquibel
740,Brad Tavares vs Israel Adesanya,Brad-Tavares,2.05,1.91,Israel-Adesanya,Brad-Tavares vs. Israel-Adesanya
741,Mike Trizano vs Joe Giannetti,Joe-Giannetti,1.65,2.55,Mike-Trizano,Joe-Giannetti vs. Mike-Trizano
742,Alessio Di Chirico vs Julian Marquez,Julian-Marquez,1.75,2.4,Alessio-Di-Chirico,Alessio-Di-Chirico vs. Julian-Marquez
743,Alex Caceres vs Martin Bravo,Martin-Bravo,2.23,1.8,Alex-Caceres,Alex-Caceres vs. Martin-Bravo
744,Luis Pena vs Richie Smullen,Richie-Smullen,4.4,1.29,Luis-Pena,Luis-Pena vs. Richie-Smullen
745,Barb Honchak vs Roxanne Modafferi,Barb-Honchak,1.65,2.5,Roxanne-Modafferi,Barb-Honchak vs. Roxanne-Modafferi
746,Montana De La Rosa vs Rachael Ostovich,Rachael-Ostovich,2.45,1.65,Montana-De-La-Rosa,Montana-De-La-Rosa vs. Rachael-Ostovich
747,Jay Cucciniello vs Brad Katona,Jay-Cucciniello,3.3,1.44,Brad-Katona,Brad-Katona vs. Jay-Cucciniello
748,John Gunther vs Allan Zuniga,Allan-Zuniga,2.37,1.7,John-Gunther,Allan-Zuniga vs. John-Gunther
749,Tyler Diamond vs Bryce Mitchell,Tyler-Diamond,1.91,2.29,Bryce-Mitchell,Bryce-Mitchell vs. Tyler-Diamond
750,Matt Bessette vs Steven Peterson,Matt-Bessette,1.79,2.3,Steven-Peterson,Matt-Bessette vs. Steven-Peterson
751,Oskar Piechota vs Gerald Meerschaert,Oskar-Piechota,1.49,3.01,Gerald-Meerschaert,Gerald-Meerschaert vs. Oskar-Piechota
752,Francis Ngannou vs Derrick Lewis,Francis-Ngannou,1.4,3.8,Derrick-Lewis,Derrick-Lewis vs. Francis-Ngannou
753,Mike Perry vs Paul Felder,Paul-Felder,1.7,2.5,Mike-Perry,Mike-Perry vs. Paul-Felder
754,Michael Chiesa vs Anthony Pettis,Michael-Chiesa,1.62,2.6,Anthony-Pettis,Anthony-Pettis vs. Michael-Chiesa
755,Gokhan Saki vs Khalil Rountree,Gokhan-Saki,1.74,2.3,Khalil-Rountree,Gokhan-Saki vs. Khalil-Rountree
756,Paulo Costa vs Urijah Hall,Urijah-Hall,0.0,0.0,Paulo-Costa,Paulo-Costa vs. Urijah-Hall
757,Raphael Assuncao vs Rob Font,Rob-Font,2.38,1.78,Raphael-Assuncao,Raphael-Assuncao vs. Rob-Font
758,Lando Vannata vs Drakkar Klose,Lando-Vannata,1.54,2.74,Drakkar-Klose,Drakkar-Klose vs. Lando-Vannata
759,Max Griffin vs Curtis Millender,Max-Griffin,2.55,1.61,Curtis-Millender,Curtis-Millender vs. Max-Griffin
760,Daniel Hooker vs Gilbert Burns,Gilbert-Burns,2.05,1.89,Daniel-Hooker,Daniel-Hooker vs. Gilbert-Burns
761,Jamie Moyle vs Emily Whitmire,Jamie-Moyle,1.57,2.75,Emily-Whitmire,Emily-Whitmire vs. Jamie-Moyle
762,Donald Cerrone vs Leon Edwards,Donald-Cerrone,3.25,1.49,Leon-Edwards,Donald-Cerrone vs. Leon-Edwards
763,Tyson Pedro vs Ovince St Preux,Tyson-Pedro,1.74,2.26,Ovince-St-Preux,Ovince-St-Preux vs. Tyson-Pedro
764,Shinsho Anzai vs Jake Matthews,Shinsho-Anzai,5.72,1.18,Jake-Matthews,Jake-Matthews vs. Shinsho-Anzai
765,Naoki Inoue vs Matt Schnell,Naoki-Inoue,1.54,2.69,Matt-Schnell,Matt-Schnell vs. Naoki-Inoue
766,Jessica-Rose Clark vs Jessica Eye,Jessica-Rose-Clark,1.62,2.5,Jessica-Eye,Jessica-Eye vs. Jessica-Rose-Clark
767,Viviane Pereira vs Yan Xiaonan,Viviane-Pereira,1.62,2.5,Yan-Xiaonan,Viviane-Pereira vs. Yan-Xiaonan
768,Teruto Ishihara vs Petr Yan,Teruto-Ishihara,6.15,1.17,Petr-Yan,Petr-Yan vs. Teruto-Ishihara
769,Li Jingliang vs Daichi Abe,Daichi-Abe,3.15,1.45,Li-Jingliang,Daichi-Abe vs. Li-Jingliang
770,Jenel Lausa vs Yuta Sasaki,Jenel-Lausa,3.3,1.43,Yuta-Sasaki,Jenel-Lausa vs. Yuta-Sasaki
771,Felipe Arantes vs Yadong Song,Felipe-Arantes,2.0,1.91,Yadong-Song,Felipe-Arantes vs. Yadong-Song
772,Kenan Song vs Hector Aldana,Hector-Aldana,3.6,1.36,Kenan-Song,Hector-Aldana vs. Kenan-Song
773,Rolando Dy vs Shane Young,Rolando-Dy,2.5,1.62,Shane-Young,Rolando-Dy vs. Shane-Young
774,Ji Yeon Kim vs Melinda Fabian,Melinda-Fabian,2.75,1.6,Ji-Yeon-Kim,Ji-Yeon-Kim vs. Melinda-Fabian
775,Yoel Romero vs Robert Whittaker,Yoel-Romero,3.7,1.4,Robert-Whittaker,Robert-Whittaker vs. Yoel-Romero
776,Yoel Romero vs Robert Whittaker,Yoel-Romero,2.1,1.91,Robert-Whittaker,Robert-Whittaker vs. Yoel-Romero
777,Colby Covington vs Rafael dos Anjos,Rafael-dos-Anjos,2.33,1.87,Colby-Covington,Colby-Covington vs. Rafael-dos-Anjos
778,Holly Holm vs Megan Anderson,Megan-Anderson,2.65,1.7,Holly-Holm,Holly-Holm vs. Megan-Anderson
779,Andrei Arlovski vs Tai Tuivasa,Andrei-Arlovski,3.1,1.45,Tai-Tuivasa,Andrei-Arlovski vs. Tai-Tuivasa
780,Phil Brooks vs Mike Jackson,Phil-Brooks,2.75,1.56,Mike-Jackson,Mike-Jackson vs. Phil-Brooks
781,Alistair Overeem vs Curtis Blaydes,Alistair-Overeem,2.75,1.57,Curtis-Blaydes,Alistair-Overeem vs. Curtis-Blaydes
782,Claudia Gadelha vs Carla Esparza,Carla-Esparza,5.25,1.38,Claudia-Gadelha,Carla-Esparza vs. Claudia-Gadelha
783,Ricardo Lamas vs Mirsad Bektic,Ricardo-Lamas,3.15,1.45,Mirsad-Bektic,Mirsad-Bektic vs. Ricardo-Lamas
784,Rashad Coulter vs Chris de la Rocha,Rashad-Coulter,1.91,2.2,Chris-de-la-Rocha,Chris-de-la-Rocha vs. Rashad-Coulter
785,Rashad Evans vs Anthony Smith,Rashad-Evans,3.12,1.5,Anthony-Smith,Anthony-Smith vs. Rashad-Evans
786,Joseph Benavidez vs Sergio Pettis,Joseph-Benavidez,1.59,2.9,Sergio-Pettis,Joseph-Benavidez vs. Sergio-Pettis
787,Clay Guida vs Charles Oliveira,Clay-Guida,2.35,1.74,Charles-Oliveira,Charles-Oliveira vs. Clay-Guida
