,fight,date,fighter_1,cumultime_1,cumulStr_Att_fighter_1,cumulStr_Att_oponent_1,cumulTD_Att_fighter_1,cumulTD_Att_oponent_1,KDPM_1,KDPM_ratio_1,SLPM_1,SLPM_ratio_1,SAPM_1,SAPM_ratio_1,Str_Acc_1,Str_Def_1,TD_Acc_1,TD_Def_1,SubPM_1,PassPM_1,RevPM_1,Head_SLPM_1,Body_SLPM_1,Leg_SLPM_1,Dist_SLPM_1,Clinch_SLPM_1,Ground_SLPM_1,wins_1,losses_1,implied_prob_1,prev_1,height_1,weight_1,reach_1,age_1,stance_Orthodox_1,stance_Southpaw_1,stance_Switch_1,winner
1218,Erick Silva vs Neil Magny,2015-08-23,Neil-Magny,56.05,980.0,528.0,44.0,54.0,0.005049399962971067,0.0,1.7601722735638516,0.6333458656227192,0.7041477705729946,0.10133419882182963,0.004794404262081383,0.01233434549470294,0.12054473304473305,0.10441564608231274,0.005299370258167654,0.1036279236436451,0.009982583577588038,1.2662044183896697,0.2881535355326386,0.2058143196415436,0.8611614472868825,0.4279052220246875,0.4711056042522821,8,3,0.38167938931297707,11,75.0,170.0,80.0,28.0,1,0,0,1
512,Marc Diakiese vs Teemu Packalen,2017-03-18,Marc-Diakiese,12.666666666666668,150.0,105.0,14.0,9.0,0.0,0.0,0.770234409553295,0.21597744360902252,0.5181335692171605,0.2099780701754386,0.004523326572008114,0.011609088079676316,0.1043956043956044,0.14814814814814814,0.0,0.03383458646616541,0.0,0.557938965059708,0.10349402919062364,0.10880141530296326,0.5187969924812029,0.1923927465723131,0.05904467049977885,2,0,0.6666666666666666,2,70.0,155.0,73.0,24.0,1,0,0,1
397,Tecia Torres vs Weili Zhang,2019-03-02,Weili-Zhang,10.683333333333334,252.0,135.0,5.0,2.0,0.0,0.0,2.1732163404183225,0.6800036707350647,0.6833617882530426,0.060052272220758963,0.004653846370874455,0.007211683227943391,0.16666666666666666,1.0,0.05082556243426207,0.06419752588422864,0.0,1.329390990765681,0.3784689202694158,0.4653564293832258,1.0256477485990196,0.12972619745125938,1.0178423943680437,2,0,0.5555555555555556,2,64.0,115.0,63.0,29.0,0,0,1,1
780,Urijah Faber vs Ricky Simon,2019-07-13,Urijah-Faber,98.06666666666666,1607.0,1919.0,89.0,48.0,0.011926972447601372,0.0,1.1799817812331936,0.35217989438377445,0.991396225471584,0.17351797654183074,0.0045908345734182975,0.005524628361557513,0.05152431837825097,0.091231684981685,0.022278724560844933,0.03127651715093889,0.006395051334084672,0.8817644648323595,0.21745742360849202,0.08075989279234225,0.7061657319559678,0.14994697472169666,0.3238690745555292,10,6,0.2380952380952381,16,66.0,135.0,67.0,40.0,1,0,0,1
23,Anthony Pettis vs Jim Miller,2017-07-08,Anthony-Pettis,59.15,867.0,945.0,15.0,65.0,0.01906741360835653,0.0,1.2419348159742198,0.21722416646111808,1.1721248961266366,0.1858965498297864,0.005827061467087183,0.006997070190704871,0.04444444444444444,0.0647902097902098,0.016318001984830934,0.024383209601454518,0.02801123376789224,0.8783346919086845,0.2271919853356824,0.13640813872985294,1.0582636999183237,0.04845070588575638,0.13522041017013994,6,5,0.6756756756756757,11,70.0,170.0,72.0,30.0,1,0,0,1
386,Yair Rodriguez vs Alex Caceres,2016-08-06,Yair-Rodriguez,24.25,340.0,261.0,18.0,20.0,0.012688342585249802,0.0,1.1537328650730712,0.3082791688326144,0.6756542426645519,0.10195469781885792,0.0057098137277188645,0.009397129278924804,0.1419753086419753,0.14047619047619048,0.041237113402061855,0.0734111249575167,0.0117820324005891,0.6108530644613119,0.2832219327064687,0.2596578679052906,0.8274611985952192,0.08836524300441825,0.2379064234734337,4,0,0.7246376811594204,4,71.0,145.0,71.0,23.0,1,0,0,1
668,Donald Cerrone vs Mike Perry,2018-11-10,Donald-Cerrone,134.14999999999998,2471.0,2588.0,65.0,57.0,0.0379862642670488,0.022363026462914645,1.8206669751249984,0.2446039606586023,2.0526317833682173,0.3109095566113015,0.0056341942828081705,0.005881493357500661,0.12577533577533578,0.2458646616541353,0.019974572590715552,0.041051083191811936,0.002612520310134534,0.8957838636771164,0.4351113470734757,0.4897717643744068,1.5207677590102873,0.1454592606430034,0.15443995547170827,20,8,0.3636363636363637,28,73.0,155.0,73.0,35.0,1,0,0,1
335,Michael Johnson vs Khabib Nurmagomedov,2016-11-12,Khabib-Nurmagomedov,38.68333333333333,581.0,411.0,75.0,12.0,0.01974169619058381,0.0,1.443705442801733,0.8324863417495905,0.5221341480634599,0.0907617984215403,0.006002671216289893,0.012059415695824513,0.03643097643097643,0.3194444444444445,0.013640235318877729,0.14433145389696395,0.0,1.2475994740871277,0.11108750598125312,0.08501846273335244,0.469735223016145,0.0908159162732694,0.8831543035123188,7,0,0.7352941176470588,7,70.0,155.0,70.0,28.0,1,0,0,1
1082,Nate Marquardt vs Cezar Ferreira,2017-11-11,Cezar-Ferreira,54.55,463.0,511.0,29.0,13.0,0.00523765876653136,0.0,0.6857172305334345,0.19002259419066786,0.9247170827707192,0.2905685820442924,0.009524221038311187,0.012646511443781405,0.16149425287356325,0.36538461538461536,0.034398646307050175,0.04452261148167293,0.0,0.4465209629301705,0.1572642099197444,0.08193205768351977,0.5846224199137816,0.01991109973841693,0.08118371088123609,7,4,0.7299270072992701,11,73.0,185.0,78.0,32.0,0,1,0,1
1313,Joe Soto vs Brett Johns,2017-12-01,Brett-Johns,14.0,184.0,243.0,20.0,0.0,0.0,0.0,1.0714285714285714,0.20889487870619947,0.8265306122448979,0.1129737609329446,0.006255225752508362,0.005524523617820721,0.06666666666666668,,0.010204081632653059,0.0510204081632653,0.0,0.9897959183673468,0.0510204081632653,0.030612244897959183,0.4693877551020408,0.0,0.6020408163265306,2,0,0.6172839506172839,2,67.0,135.0,71.0,25.0,1,0,0,1
927,Pedro Munhoz vs Brett Johns,2018-08-04,Pedro-Munhoz,39.88333333333333,801.0,1012.0,28.0,14.0,0.0,0.0,1.5798388729211164,0.2234529119973508,1.9704583927085437,0.2735987553934827,0.004259074514180719,0.004770038600361114,0.1,0.19047619047619047,0.04271248924222542,0.009772771995922854,0.0061908962870099535,0.8929854589800891,0.3011895950866526,0.3856638188543746,1.4361348774138325,0.07532663167486292,0.06837736383242111,5,3,0.6622516556291391,8,66.0,135.0,65.0,31.0,1,0,0,1
1457,Rony Jason vs Steven Siler,2014-03-23,Rony-Jason,14.333333333333332,185.0,186.0,3.0,6.0,0.0,0.0,1.4216535598637454,0.3061270125223614,1.3488582362588841,0.37033559632144064,0.010961356092935042,0.006495741028630653,0.3333333333333333,0.16666666666666666,0.06308086967492325,0.0,0.0,1.0202069052525338,0.3184322301190126,0.08301442449219902,0.9303797468354432,0.046427520080743516,0.4448462929475588,3,1,0.641025641025641,4,67.0,145.0,70.0,30.0,1,0,0,1
452,Joseph Benavidez vs John Moraga,2015-05-23,Joseph-Benavidez,53.4,1200.0,683.0,41.0,31.0,0.028254366673513408,0.0,1.4643868834718738,0.37926434204524095,0.8827027623683417,0.16126802339401586,0.00289989526024052,0.008335375938278678,0.052702056432329024,0.19444444444444445,0.024517380685925117,0.10186182537616258,0.004530627038782167,0.7636868300209059,0.37502525908895307,0.32567479436201496,1.1812015096262134,0.1611315835085419,0.12205379033711886,8,2,0.8474576271186441,10,64.0,125.0,65.0,30.0,0,1,0,1
860,Demetrious Johnson vs Henry Cejudo,2016-04-23,Demetrious-Johnson,88.31666666666666,1517.0,1206.0,112.0,70.0,0.0069251610816056935,0.0,1.1484465338260776,0.29401568928868416,0.5818343161958857,0.07322482498649037,0.004219870076989082,0.00650731709317802,0.05232788045288045,0.1318967874231032,0.012163602552425231,0.053479331944542026,0.0016175558730757824,0.4849514117597578,0.3992303296394181,0.26426479242690154,0.5812070176809918,0.43147593075233176,0.13576358539275393,11,1,0.7936507936507936,12,63.0,125.0,66.0,29.0,1,0,0,1
