,0
0,http://www.espn.com/mma/fighter/_/id/2500402/katsunori-kikuno
1,http://www.espn.com/mma/fighter/_/id/2499933/quinn-mulhern
2,http://www.espn.com/mma/fighter/_/id/3082808/will-chope
3,http://www.espn.com/mma/fighter/_/id/2614933/max-holloway
4,http://www.espn.com/mma/fighter/_/id/3082807/mairbek-taisumov
5,http://www.espn.com/mma/fighter/_/id/3082804/tae-hyun-bang
6,http://www.espn.com/mma/fighter/_/id/2504957/tarec-saffiedine
7,http://www.espn.com/mma/fighter/_/id/2500684/hyun-gyu-lim
8,http://www.espn.com/mma/fighter/_/id/2488371/tatsuya-kawajiri
9,http://www.espn.com/mma/fighter/_/id/3083637/sean-soriano
10,http://www.espn.com/mma/fighter/_/id/3079252/kiichi-kunimoto
11,http://www.espn.com/mma/fighter/_/id/3083005/luiz-dutra
12,http://www.espn.com/mma/fighter/_/id/2504566/kyung-ho-kang
13,http://www.espn.com/mma/fighter/_/id/3019078/shunichi-shimizu
14,http://www.espn.com/mma/fighter/_/id/3082805/royston-wee
15,http://www.espn.com/mma/fighter/_/id/3082806/dave-galera
16,http://www.espn.com/mma/fighter/_/id/3020302/dustin-kimura
17,http://www.espn.com/mma/fighter/_/id/3082809/jon-delos-reyes
18,http://www.espn.com/mma/fighter/_/id/2960755/leandro-issa
19,http://www.espn.com/mma/fighter/_/id/3027511/russell-doane
20,http://www.espn.com/mma/fighter/_/id/2560712/isaac-vallie-flagg
21,http://www.espn.com/mma/fighter/_/id/3053487/elias-silverio
22,http://www.espn.com/mma/fighter/_/id/2611719/tj-dillashaw
23,http://www.espn.com/mma/fighter/_/id/2570864/mike-easton
24,http://www.espn.com/mma/fighter/_/id/2553304/constantinos-philippou
25,http://www.espn.com/mma/fighter/_/id/2519811/luke-rockhold
26,http://www.espn.com/mma/fighter/_/id/2556793/lorenz-larkin
27,http://www.espn.com/mma/fighter/_/id/2504643/brad-tavares
28,http://www.espn.com/mma/fighter/_/id/2560060/trevor-smith
29,http://www.espn.com/mma/fighter/_/id/3052685/brian-houston
30,http://www.espn.com/mma/fighter/_/id/2503056/charlie-brenneman
31,http://www.espn.com/mma/fighter/_/id/3085551/beneil-dariush
32,http://www.espn.com/mma/fighter/_/id/2560056/derek-brunson
