,Fighter,Weight class,Method,Round,Time,location,date,fighturl,eventurl
0,Joanna Jedrzejczyk  Michelle Waterson,Women's Strawweight,U-DEC,5,5:00,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/f61f5adf7e0a80c4,http://ufcstats.com/event-details/0941df56f6ac954b
1,Cub Swanson  Kron Gracie,Featherweight,U-DEC,3,5:00,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/707ba52845d399c9,http://ufcstats.com/event-details/0941df56f6ac954b
2,Niko Price  James Vick,Welterweight,KO/TKO  Kick,1,1:44,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/f3169b755afcdc5b,http://ufcstats.com/event-details/0941df56f6ac954b
3,Amanda Ribas  Mackenzie Dern,Women's Strawweight,U-DEC,3,5:00,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/2d7f29ec900a8948,http://ufcstats.com/event-details/0941df56f6ac954b
4,Matt Frevola  Luis Pena,Lightweight,S-DEC,3,5:00,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/bed2710e06dabe6a,http://ufcstats.com/event-details/0941df56f6ac954b
5,Eryk Anders  Gerald Meerschaert,Middleweight,S-DEC,3,5:00,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/834f67e96612cd6f,http://ufcstats.com/event-details/0941df56f6ac954b
6,Ryan Spann  Devin Clark,Light Heavyweight,SUB  Guillotine Choke,2,2:01,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/25548d526c3a7587,http://ufcstats.com/event-details/0941df56f6ac954b
7,Mike Davis  Thomas Gifford,Lightweight,KO/TKO  Punch,3,4:45,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/6a0217099efee13f,http://ufcstats.com/event-details/0941df56f6ac954b
8,Alex Morono  Max Griffin,Welterweight,U-DEC,3,5:00,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/c5b8a996eff18540,http://ufcstats.com/event-details/0941df56f6ac954b
9,Deiveson Figueiredo  Tim Elliott,Flyweight,SUB  Guillotine Choke,1,3:08,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/18dde81d45ac2232,http://ufcstats.com/event-details/0941df56f6ac954b
10,Marlon Vera  Andre Ewell,Bantamweight,KO/TKO  Elbows,3,3:17,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/70f01e9ff0b4e519,http://ufcstats.com/event-details/0941df56f6ac954b
11,Miguel Baeza  Hector Aldana,Welterweight,KO/TKO  Kick,2,2:32,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/1d26ceb1c995655e,http://ufcstats.com/event-details/0941df56f6ac954b
12,Marvin Vettori  Andrew Sanchez,Middleweight,U-DEC,3,5:00,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/bac178dea57bd545,http://ufcstats.com/event-details/0941df56f6ac954b
13,JJ Aldrich  Lauren Mueller,Women's Flyweight,U-DEC,3,5:00,"Tampa, Florida, USA","October 12, 2019",http://ufcstats.com/fight-details/64bee58391921b4b,http://ufcstats.com/event-details/0941df56f6ac954b
0,Israel Adesanya  Robert Whittaker,Middleweight,KO/TKO  Punch,2,3:33,"Melbourne, Victoria, Australia","October 05, 2019",http://ufcstats.com/fight-details/2556b7520536ce1d,http://ufcstats.com/event-details/3cf68c1d17f66af7
1,Dan Hooker  Al Iaquinta,Lightweight,U-DEC,3,5:00,"Melbourne, Victoria, Australia","October 05, 2019",http://ufcstats.com/fight-details/0697d5520b74a8df,http://ufcstats.com/event-details/3cf68c1d17f66af7
2,Serghei Spivac  Tai Tuivasa,Heavyweight,SUB  Arm Triangle,2,3:14,"Melbourne, Victoria, Australia","October 05, 2019",http://ufcstats.com/fight-details/8cd7ca0e7b861b3d,http://ufcstats.com/event-details/3cf68c1d17f66af7
3,Dhiego Lima  Luke Jumeau,Welterweight,S-DEC,3,5:00,"Melbourne, Victoria, Australia","October 05, 2019",http://ufcstats.com/fight-details/fd0fd9a2d6ef8c4f,http://ufcstats.com/event-details/3cf68c1d17f66af7
4,Yorgan De Castro  Justin Tafa,Heavyweight,KO/TKO  Punch,1,2:10,"Melbourne, Victoria, Australia","October 05, 2019",http://ufcstats.com/fight-details/9dfac33cd3ae4afd,http://ufcstats.com/event-details/3cf68c1d17f66af7
5,Jake Matthews  Rostem Akman,Welterweight,U-DEC,3,5:00,"Melbourne, Victoria, Australia","October 05, 2019",http://ufcstats.com/fight-details/1cb7138b107b93b5,http://ufcstats.com/event-details/3cf68c1d17f66af7
6,Callan Potter  Maki Pitolo,Welterweight,U-DEC,3,5:00,"Melbourne, Victoria, Australia","October 05, 2019",http://ufcstats.com/fight-details/578987d534a0d205,http://ufcstats.com/event-details/3cf68c1d17f66af7
7,Brad Riddell  Jamie Mullarkey,Lightweight,U-DEC,3,5:00,"Melbourne, Victoria, Australia","October 05, 2019",http://ufcstats.com/fight-details/83d59f5e52e0ac46,http://ufcstats.com/event-details/3cf68c1d17f66af7
8,Megan Anderson  Zarah Fairn,Women's Featherweight,SUB  Triangle Choke,1,3:57,"Melbourne, Victoria, Australia","October 05, 2019",http://ufcstats.com/fight-details/b8c21a311f3f7953,http://ufcstats.com/event-details/3cf68c1d17f66af7
9,Ji Yeon Kim  Nadia Kassem,Women's Flyweight,KO/TKO  Punch,2,4:59,"Melbourne, Victoria, Australia","October 05, 2019",http://ufcstats.com/fight-details/668d077ac9d7d3c9,http://ufcstats.com/event-details/3cf68c1d17f66af7
10,Khalid Taha  Bruno Silva,Bantamweight,SUB  Arm Triangle,3,3:00,"Melbourne, Victoria, Australia","October 05, 2019",http://ufcstats.com/fight-details/57ff0eb2351979c4,http://ufcstats.com/event-details/3cf68c1d17f66af7
0,Jared Cannonier  Jack Hermansson,Middleweight,KO/TKO  Punch,2,0:27,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/476c31184332698e,http://ufcstats.com/event-details/1bf49bf829964144
1,Mark Madsen  Danilo Belluardo,Lightweight,KO/TKO  Punches,1,1:12,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/975840814b233bcd,http://ufcstats.com/event-details/1bf49bf829964144
2,Gilbert Burns  Gunnar Nelson,Welterweight,U-DEC,3,5:00,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/7410ac7e4e5acb74,http://ufcstats.com/event-details/1bf49bf829964144
3,Ion Cutelaba  Khalil Rountree Jr.,Light Heavyweight,KO/TKO  Elbows,1,2:35,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/b44531903be4729a,http://ufcstats.com/event-details/1bf49bf829964144
4,Ovince Saint Preux  Michal Oleksiejczuk,Light Heavyweight,SUB  Other - Choke,2,2:46,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/b6dad3a9bf911bfd,http://ufcstats.com/event-details/1bf49bf829964144
5,Nicolas Dalby  Alex Oliveira,Welterweight,U-DEC,3,5:00,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/9c7b6a20f35fb708,http://ufcstats.com/event-details/1bf49bf829964144
6,John Phillips  Alen Amedovski,Middleweight,KO/TKO  Punch,1,0:17,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/9fa3623172adb4cd,http://ufcstats.com/event-details/1bf49bf829964144
7,Makhmud Muradov  Alessio Di Chirico,Middleweight,U-DEC,3,5:00,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/d5e927306f5d859b,http://ufcstats.com/event-details/1bf49bf829964144
8,Ismail Naurdiev  Siyar Bahadurzada,Welterweight,U-DEC,3,5:00,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/18d84b333b28de36,http://ufcstats.com/event-details/1bf49bf829964144
9,Giga Chikadze  Brandon Davis,Featherweight,S-DEC,3,5:00,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/688908886d8ac900,http://ufcstats.com/event-details/1bf49bf829964144
10,Lina Lansberg  Macy Chiasson,Women's Bantamweight,U-DEC,3,5:00,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/0a3df9b1918cfc2f,http://ufcstats.com/event-details/1bf49bf829964144
11,Marc Diakiese  Lando Vannata,Lightweight,U-DEC,3,5:00,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/951968aa52a84928,http://ufcstats.com/event-details/1bf49bf829964144
12,Jack Shore  Nohelin Hernandez,Bantamweight,SUB  Rear Naked Choke,3,2:51,"Copenhagen, Denmark","September 28, 2019",http://ufcstats.com/fight-details/fc16ccf0994c6e50,http://ufcstats.com/event-details/1bf49bf829964144
1,Carla Esparza  Alexa Grasso,Women's Strawweight,M-DEC,3,5:00,"Mexico City, Distrito Federal, Mexico","September 21, 2019",http://ufcstats.com/fight-details/b2cdb4c34f37ad37,http://ufcstats.com/event-details/94a5aaf573f780ad
3,Irene Aldana  Vanessa Melo,Women's Bantamweight,U-DEC,3,5:00,"Mexico City, Distrito Federal, Mexico","September 21, 2019",http://ufcstats.com/fight-details/c163ed45c21c8548,http://ufcstats.com/event-details/94a5aaf573f780ad
4,Steven Peterson  Martin Bravo,Featherweight,KO/TKO  Spinning Back Fist,2,1:31,"Mexico City, Distrito Federal, Mexico","September 21, 2019",http://ufcstats.com/fight-details/49b2a6a93d529981,http://ufcstats.com/event-details/94a5aaf573f780ad
5,Jose Quinonez  Carlos Huachin,Bantamweight,U-DEC,3,5:00,"Mexico City, Distrito Federal, Mexico","September 21, 2019",http://ufcstats.com/fight-details/953c89aa931082e4,http://ufcstats.com/event-details/94a5aaf573f780ad
6,Kyle Nelson  Polo Reyes,Featherweight,KO/TKO  Punch,1,1:36,"Mexico City, Distrito Federal, Mexico","September 21, 2019",http://ufcstats.com/fight-details/ad878cdd4fa36a3a,http://ufcstats.com/event-details/94a5aaf573f780ad
7,Angela Hill  Ariane Carnelossi,Women's Strawweight,KO/TKO  Elbow,3,1:56,"Mexico City, Distrito Federal, Mexico","September 21, 2019",http://ufcstats.com/fight-details/52311c2cd0c84d67,http://ufcstats.com/event-details/94a5aaf573f780ad
8,Sergio Pettis  Tyson Nam,Flyweight,U-DEC,3,5:00,"Mexico City, Distrito Federal, Mexico","September 21, 2019",http://ufcstats.com/fight-details/d9c0351cd21e40e0,http://ufcstats.com/event-details/94a5aaf573f780ad
9,Paul Craig  Vinicius Moreira,Light Heavyweight,SUB  Rear Naked Choke,1,3:19,"Mexico City, Distrito Federal, Mexico","September 21, 2019",http://ufcstats.com/fight-details/8cf6b22995c9efb8,http://ufcstats.com/event-details/94a5aaf573f780ad
10,Bethe Correia  Sijara Eubanks,Women's Bantamweight,U-DEC,3,5:00,"Mexico City, Distrito Federal, Mexico","September 21, 2019",http://ufcstats.com/fight-details/c2b842fae4e9f1dc,http://ufcstats.com/event-details/94a5aaf573f780ad
11,Claudio Puelles  Marcos Mariano,Lightweight,U-DEC,3,5:00,"Mexico City, Distrito Federal, Mexico","September 21, 2019",http://ufcstats.com/fight-details/4f7ec66199bba232,http://ufcstats.com/event-details/94a5aaf573f780ad
0,Justin Gaethje  Donald Cerrone,Lightweight,KO/TKO  Punch,1,4:18,"Vancouver, British Columbia, Canada","September 14, 2019",http://ufcstats.com/fight-details/490724f8b3658f67,http://ufcstats.com/event-details/4834ff149dc9542a
1,Glover Teixeira  Nikita Krylov,Light Heavyweight,S-DEC,3,5:00,"Vancouver, British Columbia, Canada","September 14, 2019",http://ufcstats.com/fight-details/36d90f1812f0d432,http://ufcstats.com/event-details/4834ff149dc9542a
3,Tristan Connelly  Michel Pereira,Welterweight,U-DEC,3,5:00,"Vancouver, British Columbia, Canada","September 14, 2019",http://ufcstats.com/fight-details/dadaee9624256e07,http://ufcstats.com/event-details/4834ff149dc9542a
4,Uriah Hall  Antonio Carlos Junior,Middleweight,S-DEC,3,5:00,"Vancouver, British Columbia, Canada","September 14, 2019",http://ufcstats.com/fight-details/ece3a7a9e930ef9d,http://ufcstats.com/event-details/4834ff149dc9542a
5,Misha Cirkunov  Jimmy Crute,Light Heavyweight,SUB  Peruvian Necktie,1,3:38,"Vancouver, British Columbia, Canada","September 14, 2019",http://ufcstats.com/fight-details/92b98afec5eb4e05,http://ufcstats.com/event-details/4834ff149dc9542a
6,Augusto Sakai  Marcin Tybura,Heavyweight,KO/TKO  Punches,1,0:59,"Vancouver, British Columbia, Canada","September 14, 2019",http://ufcstats.com/fight-details/9d3a38cc18807e10,http://ufcstats.com/event-details/4834ff149dc9542a
7,Miles Johns  Cole Smith,Bantamweight,S-DEC,3,5:00,"Vancouver, British Columbia, Canada","September 14, 2019",http://ufcstats.com/fight-details/9de23eb1471e592b,http://ufcstats.com/event-details/4834ff149dc9542a
8,Hunter Azure  Brad Katona,Bantamweight,U-DEC,3,5:00,"Vancouver, British Columbia, Canada","September 14, 2019",http://ufcstats.com/fight-details/14176809bcdafd01,http://ufcstats.com/event-details/4834ff149dc9542a
9,Chas Skelly  Jordan Griffin,Featherweight,U-DEC,3,5:00,"Vancouver, British Columbia, Canada","September 14, 2019",http://ufcstats.com/fight-details/462a95890423d3c6,http://ufcstats.com/event-details/4834ff149dc9542a
10,Louis Smolka  Ryan MacDonald,Bantamweight,KO/TKO  Punch,1,4:43,"Vancouver, British Columbia, Canada","September 14, 2019",http://ufcstats.com/fight-details/241687ff5fe92331,http://ufcstats.com/event-details/4834ff149dc9542a
11,Austin Hubbard  Kyle Prepolec,Lightweight,U-DEC,3,5:00,"Vancouver, British Columbia, Canada","September 14, 2019",http://ufcstats.com/fight-details/acf658afda38d8af,http://ufcstats.com/event-details/4834ff149dc9542a
0,Khabib Nurmagomedov  Dustin Poirier,Lightweight,SUB  Rear Naked Choke,3,2:06,"Abu Dhabi, Abu Dhabi, United Arab Emirates","September 07, 2019",http://ufcstats.com/fight-details/01a4827b3596d111,http://ufcstats.com/event-details/a79bfbc01b2264d6
1,Paul Felder  Edson Barboza,Lightweight,S-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates","September 07, 2019",http://ufcstats.com/fight-details/357a34207d70da69,http://ufcstats.com/event-details/a79bfbc01b2264d6
2,Islam Makhachev  Davi Ramos,Lightweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates","September 07, 2019",http://ufcstats.com/fight-details/849eb47d349f3fe4,http://ufcstats.com/event-details/a79bfbc01b2264d6
3,Curtis Blaydes  Shamil Abdurakhimov,Heavyweight,KO/TKO  Elbow,2,2:22,"Abu Dhabi, Abu Dhabi, United Arab Emirates","September 07, 2019",http://ufcstats.com/fight-details/066756ea40b134a7,http://ufcstats.com/event-details/a79bfbc01b2264d6
4,Diego Ferreira  Mairbek Taisumov,Lightweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates","September 07, 2019",http://ufcstats.com/fight-details/8accd04438b91262,http://ufcstats.com/event-details/a79bfbc01b2264d6
5,Joanne Calderwood  Andrea Lee,Women's Flyweight,S-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates","September 07, 2019",http://ufcstats.com/fight-details/77f123712368bcbc,http://ufcstats.com/event-details/a79bfbc01b2264d6
7,Sarah Moras  Liana Jojua,Women's Bantamweight,KO/TKO  Elbows,3,2:26,"Abu Dhabi, Abu Dhabi, United Arab Emirates","September 07, 2019",http://ufcstats.com/fight-details/8e1ae2ae6694b131,http://ufcstats.com/event-details/a79bfbc01b2264d6
8,Ottman Azaitar  Teemu Packalen,Lightweight,KO/TKO  Punch,1,3:33,"Abu Dhabi, Abu Dhabi, United Arab Emirates","September 07, 2019",http://ufcstats.com/fight-details/2c7b788effdc1b4c,http://ufcstats.com/event-details/a79bfbc01b2264d6
9,Belal Muhammad  Takashi Sato,Welterweight,SUB  Rear Naked Choke,3,1:55,"Abu Dhabi, Abu Dhabi, United Arab Emirates","September 07, 2019",http://ufcstats.com/fight-details/18aff757c54687f1,http://ufcstats.com/event-details/a79bfbc01b2264d6
10,Muslim Salikhov  Nordine Taleb,Welterweight,KO/TKO  Punch,1,4:26,"Abu Dhabi, Abu Dhabi, United Arab Emirates","September 07, 2019",http://ufcstats.com/fight-details/43496ff308e681a0,http://ufcstats.com/event-details/a79bfbc01b2264d6
11,Omari Akhmedov  Zak Cummings,Middleweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates","September 07, 2019",http://ufcstats.com/fight-details/9a46f95c1c1e57f0,http://ufcstats.com/event-details/a79bfbc01b2264d6
12,Don Madge  Fares Ziam,Lightweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates","September 07, 2019",http://ufcstats.com/fight-details/84d4b658851b7e0e,http://ufcstats.com/event-details/a79bfbc01b2264d6
0,Weili Zhang  Jessica Andrade,Women's Strawweight,KO/TKO  Punch,1,0:42,"Shenzhen, Guangdong, China","August 31, 2019",http://ufcstats.com/fight-details/357cf8a9b6737625,http://ufcstats.com/event-details/2c104b7e59a72629
1,Jingliang Li  Elizeu Zaleski dos Santos,Welterweight,KO/TKO  Punches,3,4:51,"Shenzhen, Guangdong, China","August 31, 2019",http://ufcstats.com/fight-details/55480808b1fa1f9c,http://ufcstats.com/event-details/2c104b7e59a72629
2,Kai Kara-France  Mark De La Rosa,Flyweight,U-DEC,3,5:00,"Shenzhen, Guangdong, China","August 31, 2019",http://ufcstats.com/fight-details/b07188063c49b755,http://ufcstats.com/event-details/2c104b7e59a72629
3,Kenan Song  Derrick Krantz,Welterweight,U-DEC,3,5:00,"Shenzhen, Guangdong, China","August 31, 2019",http://ufcstats.com/fight-details/676561d9690ce31d,http://ufcstats.com/event-details/2c104b7e59a72629
4,Mizuki Inoue  Yanan Wu,Women's Flyweight,S-DEC,3,5:00,"Shenzhen, Guangdong, China","August 31, 2019",http://ufcstats.com/fight-details/5f900e4437e079b3,http://ufcstats.com/event-details/2c104b7e59a72629
5,Anthony Hernandez  Jun Yong Park,Middleweight,SUB  Anaconda Choke,2,4:39,"Shenzhen, Guangdong, China","August 31, 2019",http://ufcstats.com/fight-details/8182dbc752c71137,http://ufcstats.com/event-details/2c104b7e59a72629
6,Su Mudaerji  Andre Soukhamthath,Bantamweight,U-DEC,3,5:00,"Shenzhen, Guangdong, China","August 31, 2019",http://ufcstats.com/fight-details/09b91014bd88f815,http://ufcstats.com/event-details/2c104b7e59a72629
7,Da Un Jung  Khadis Ibragimov,Light Heavyweight,SUB  Guillotine Choke,3,1:59,"Shenzhen, Guangdong, China","August 31, 2019",http://ufcstats.com/fight-details/5ff390f7bbf2bec8,http://ufcstats.com/event-details/2c104b7e59a72629
8,Damir Ismagulov  Thiago Moises,Lightweight,U-DEC,3,5:00,"Shenzhen, Guangdong, China","August 31, 2019",http://ufcstats.com/fight-details/060dfbc982c6c4ef,http://ufcstats.com/event-details/2c104b7e59a72629
9,Heili Alateng  Danaa Batgerel,Bantamweight,U-DEC,3,5:00,"Shenzhen, Guangdong, China","August 31, 2019",http://ufcstats.com/fight-details/2e001d8c2f6106fc,http://ufcstats.com/event-details/2c104b7e59a72629
10,Karol Rosa  Lara Procopio,Women's Bantamweight,S-DEC,3,5:00,"Shenzhen, Guangdong, China","August 31, 2019",http://ufcstats.com/fight-details/a072be4f806d360f,http://ufcstats.com/event-details/2c104b7e59a72629
0,Stipe Miocic  Daniel Cormier,Heavyweight,KO/TKO  Punches,4,4:09,"Anaheim, California, USA","August 17, 2019",http://ufcstats.com/fight-details/6921344f8e706d0f,http://ufcstats.com/event-details/70167689d6a01793
1,Nate Diaz  Anthony Pettis,Welterweight,U-DEC,3,5:00,"Anaheim, California, USA","August 17, 2019",http://ufcstats.com/fight-details/f2ce79565c0820dd,http://ufcstats.com/event-details/70167689d6a01793
2,Paulo Costa  Yoel Romero,Middleweight,U-DEC,3,5:00,"Anaheim, California, USA","August 17, 2019",http://ufcstats.com/fight-details/3e16a71836e85212,http://ufcstats.com/event-details/70167689d6a01793
3,Sodiq Yusuff  Gabriel Benitez,Featherweight,KO/TKO  Punch,1,4:14,"Anaheim, California, USA","August 17, 2019",http://ufcstats.com/fight-details/ea43a5fe4ff9a3c4,http://ufcstats.com/event-details/70167689d6a01793
4,Derek Brunson  Ian Heinisch,Middleweight,U-DEC,3,5:00,"Anaheim, California, USA","August 17, 2019",http://ufcstats.com/fight-details/2eb56023c4a54504,http://ufcstats.com/event-details/70167689d6a01793
5,Khama Worthy  Devonte Smith,Lightweight,KO/TKO  Punch,1,4:15,"Anaheim, California, USA","August 17, 2019",http://ufcstats.com/fight-details/2671de30a1736f51,http://ufcstats.com/event-details/70167689d6a01793
6,Cory Sandhagen  Raphael Assuncao,Bantamweight,U-DEC,3,5:00,"Anaheim, California, USA","August 17, 2019",http://ufcstats.com/fight-details/fba7d6a42f137938,http://ufcstats.com/event-details/70167689d6a01793
7,Drakkar Klose  Christos Giagos,Lightweight,U-DEC,3,5:00,"Anaheim, California, USA","August 17, 2019",http://ufcstats.com/fight-details/25e1d17d072227c6,http://ufcstats.com/event-details/70167689d6a01793
8,Casey Kenney  Manny Bermudez,Catch Weight,U-DEC,3,5:00,"Anaheim, California, USA","August 17, 2019",http://ufcstats.com/fight-details/29de6ddc42a2e674,http://ufcstats.com/event-details/70167689d6a01793
9,Hannah Cifers  Jodie Esquibel,Women's Strawweight,U-DEC,3,5:00,"Anaheim, California, USA","August 17, 2019",http://ufcstats.com/fight-details/8ebd6e9d41a51e31,http://ufcstats.com/event-details/70167689d6a01793
10,Kyung Ho Kang  Brandon Davis,Bantamweight,S-DEC,3,5:00,"Anaheim, California, USA","August 17, 2019",http://ufcstats.com/fight-details/445d0d44091b902a,http://ufcstats.com/event-details/70167689d6a01793
11,Sabina Mazo  Shana Dobson,Women's Flyweight,U-DEC,3,5:00,"Anaheim, California, USA","August 17, 2019",http://ufcstats.com/fight-details/51f955029dbf6978,http://ufcstats.com/event-details/70167689d6a01793
0,Valentina Shevchenko  Liz Carmouche,Women's Flyweight,U-DEC,5,5:00,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/9d80bd1f92d23dfa,http://ufcstats.com/event-details/e5d03e4d966126bd
1,Vicente Luque  Mike Perry,Welterweight,S-DEC,3,5:00,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/7feadf01c5920285,http://ufcstats.com/event-details/e5d03e4d966126bd
2,Eduardo Garagorri  Humberto Bandenay,Featherweight,U-DEC,3,5:00,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/aef94727eb3897df,http://ufcstats.com/event-details/e5d03e4d966126bd
3,Volkan Oezdemir  Ilir Latifi,Light Heavyweight,KO/TKO  Punch,2,4:31,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/f7cce33f6563dd72,http://ufcstats.com/event-details/e5d03e4d966126bd
4,Rodolfo Vieira  Oskar Piechota,Middleweight,SUB  Arm Triangle,2,4:26,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/8da94b2c1c0443d4,http://ufcstats.com/event-details/e5d03e4d966126bd
5,Enrique Barzola  Bobby Moffett,Featherweight,S-DEC,3,5:00,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/4dd3035430a5ed43,http://ufcstats.com/event-details/e5d03e4d966126bd
6,Gilbert Burns  Aleksei Kunchenko,Welterweight,U-DEC,3,5:00,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/1019f2a9c012e949,http://ufcstats.com/event-details/e5d03e4d966126bd
7,Ciryl Gane  Raphael Pessoa,Heavyweight,SUB  Arm Triangle,1,4:12,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/1d8a86d37c7ef3d3,http://ufcstats.com/event-details/e5d03e4d966126bd
8,Marina Rodriguez  Tecia Torres,Women's Strawweight,U-DEC,3,5:00,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/d93b589bcec80ffe,http://ufcstats.com/event-details/e5d03e4d966126bd
9,Rogerio Bontorin  Raulian Paiva,Flyweight,KO/TKO,1,2:56,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/cb4dd24535ef2d94,http://ufcstats.com/event-details/e5d03e4d966126bd
10,Chris Gutierrez  Geraldo de Freitas,Bantamweight,S-DEC,3,5:00,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/4c489b3c9d14cbc9,http://ufcstats.com/event-details/e5d03e4d966126bd
11,Alex Da Silva  Kazula Vargas,Lightweight,U-DEC,3,5:00,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/975159720cfd0103,http://ufcstats.com/event-details/e5d03e4d966126bd
12,Veronica Macedo  Polyana Viana,Women's Flyweight,SUB  Armbar,1,1:09,"Montevideo, Uruguay","August 10, 2019",http://ufcstats.com/fight-details/494042bf96730bc0,http://ufcstats.com/event-details/e5d03e4d966126bd
0,Colby Covington  Robbie Lawler,Welterweight,U-DEC,5,5:00,"Newark, New Jersey, USA","August 03, 2019",http://ufcstats.com/fight-details/e139628170777bef,http://ufcstats.com/event-details/03da33a102d9a45f
1,Jim Miller  Clay Guida,Lightweight,SUB  Guillotine Choke,1,0:58,"Newark, New Jersey, USA","August 03, 2019",http://ufcstats.com/fight-details/e96d929f8207a3e0,http://ufcstats.com/event-details/03da33a102d9a45f
2,Nasrat Haqparast  Joaquim Silva,Lightweight,KO/TKO  Punch,2,0:36,"Newark, New Jersey, USA","August 03, 2019",http://ufcstats.com/fight-details/dbbd17b6995f014b,http://ufcstats.com/event-details/03da33a102d9a45f
3,Gerald Meerschaert  Trevin Giles,Middleweight,SUB  Guillotine Choke,3,1:49,"Newark, New Jersey, USA","August 03, 2019",http://ufcstats.com/fight-details/dc49373c52eedaa3,http://ufcstats.com/event-details/03da33a102d9a45f
4,Scott Holtzman  Dong Hyun Ma,Lightweight,KO/TKO,2,5:00,"Newark, New Jersey, USA","August 03, 2019",http://ufcstats.com/fight-details/1d9f862a47540785,http://ufcstats.com/event-details/03da33a102d9a45f
5,Kennedy Nzechukwu  Darko Stosic,Light Heavyweight,U-DEC,3,5:00,"Newark, New Jersey, USA","August 03, 2019",http://ufcstats.com/fight-details/cd6b799ec79c489a,http://ufcstats.com/event-details/03da33a102d9a45f
6,Mickey Gall  Salim Touahri,Welterweight,U-DEC,3,5:00,"Newark, New Jersey, USA","August 03, 2019",http://ufcstats.com/fight-details/f4bd11655adeb078,http://ufcstats.com/event-details/03da33a102d9a45f
7,Antonina Shevchenko  Lucie Pudilova,Women's Flyweight,SUB  Rear Naked Choke,2,1:20,"Newark, New Jersey, USA","August 03, 2019",http://ufcstats.com/fight-details/326de7f7ec9e7035,http://ufcstats.com/event-details/03da33a102d9a45f
8,Matt Schnell  Jordan Espinosa,Flyweight,SUB  Triangle Choke,1,1:23,"Newark, New Jersey, USA","August 03, 2019",http://ufcstats.com/fight-details/60162c95d921d1ae,http://ufcstats.com/event-details/03da33a102d9a45f
9,Lauren Murphy  Mara Romero Borella,Women's Flyweight,KO/TKO  Knee,3,1:46,"Newark, New Jersey, USA","August 03, 2019",http://ufcstats.com/fight-details/e3acb789f7dcd34c,http://ufcstats.com/event-details/03da33a102d9a45f
10,Claudio Silva  Cole Williams,Welterweight,SUB  Neck Crank,1,2:35,"Newark, New Jersey, USA","August 03, 2019",http://ufcstats.com/fight-details/f6ab2eec90980ac0,http://ufcstats.com/event-details/03da33a102d9a45f
11,Miranda Granger  Hannah Goldy,Women's Flyweight,U-DEC,3,5:00,"Newark, New Jersey, USA","August 03, 2019",http://ufcstats.com/fight-details/94560d1dc6248347,http://ufcstats.com/event-details/03da33a102d9a45f
