,Weight class,Method,Round,Time,location,date,fighturl,eventurl,winner,loser
28,Bantamweight,KO/TKO  Kick,3,0:43,"Las Vegas, Nevada, USA",2019-12-14,http://ufcstats.com/fight-details/a0c82ba11a373008,http://ufcstats.com/event-details/4565d435005319c0,Petr Yan,Urijah Faber
29,Welterweight,KO/TKO  Punches,1,1:30,"Las Vegas, Nevada, USA",2019-12-14,http://ufcstats.com/fight-details/ad5ef8d8678ff97f,http://ufcstats.com/event-details/4565d435005319c0,Geoff Neal,Mike Perry
30,Women's Bantamweight,KO/TKO  Punch,1,4:51,"Las Vegas, Nevada, USA",2019-12-14,http://ufcstats.com/fight-details/c4eaeec8ac778b27,http://ufcstats.com/event-details/4565d435005319c0,Irene Aldana,Ketlen Vieira
31,Middleweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2019-12-14,http://ufcstats.com/fight-details/dd88960598219eba,http://ufcstats.com/event-details/4565d435005319c0,Omari Akhmedov,Ian Heinisch
32,Welterweight,KO/TKO  Punches,2,4:55,"Las Vegas, Nevada, USA",2019-12-14,http://ufcstats.com/fight-details/98dd88d83f57c17a,http://ufcstats.com/event-details/4565d435005319c0,Matt Brown,Ben Saunders
33,Featherweight,KO/TKO  Elbows,1,4:34,"Las Vegas, Nevada, USA",2019-12-14,http://ufcstats.com/fight-details/d42410f6f1039ab5,http://ufcstats.com/event-details/4565d435005319c0,Chase Hooper,Daniel Teymur
34,Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2019-12-14,http://ufcstats.com/fight-details/1881b1e85cceee13,http://ufcstats.com/event-details/4565d435005319c0,Brandon Moreno,Kai Kara-France
35,Women's Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2019-12-14,http://ufcstats.com/fight-details/35d0ef51fede263c,http://ufcstats.com/event-details/4565d435005319c0,Jessica Eye,Viviane Araujo
36,Middleweight,KO/TKO  Punch,1,3:17,"Las Vegas, Nevada, USA",2019-12-14,http://ufcstats.com/fight-details/30523303e8d85c25,http://ufcstats.com/event-details/4565d435005319c0,Punahele Soriano,Oskar Piechota
37,Light Heavyweight,S-DEC,5,5:00,"Sao Paulo, Sao Paulo, Brazil",2019-11-16,http://ufcstats.com/fight-details/c04274c8caa505dd,http://ufcstats.com/event-details/81ca2c245b19b3c5,Jan Blachowicz,Jacare Souza
38,Lightweight,KO/TKO  Punch,1,1:26,"Sao Paulo, Sao Paulo, Brazil",2019-11-16,http://ufcstats.com/fight-details/7afe2a15ae7359e9,http://ufcstats.com/event-details/81ca2c245b19b3c5,Charles Oliveira,Jared Gordon
39,Middleweight,U-DEC,3,5:00,"Sao Paulo, Sao Paulo, Brazil",2019-11-16,http://ufcstats.com/fight-details/57b111b54a2d2323,http://ufcstats.com/event-details/81ca2c245b19b3c5,Andre Muniz,Antonio Arroyo
40,Middleweight,U-DEC,3,5:00,"Sao Paulo, Sao Paulo, Brazil",2019-11-16,http://ufcstats.com/fight-details/9e1ecdb9a8856a8c,http://ufcstats.com/event-details/81ca2c245b19b3c5,Wellington Turman,Markus Perez
41,Welterweight,KO/TKO  Punch,3,4:19,"Sao Paulo, Sao Paulo, Brazil",2019-11-16,http://ufcstats.com/fight-details/aa232e53d285cc6d,http://ufcstats.com/event-details/81ca2c245b19b3c5,James Krause,Sergio Moraes
42,Featherweight,SUB  Rear Naked Choke,1,3:57,"Sao Paulo, Sao Paulo, Brazil",2019-11-16,http://ufcstats.com/fight-details/094790e50afae55e,http://ufcstats.com/event-details/81ca2c245b19b3c5,Ricardo Ramos,Eduardo Garagorri
43,Lightweight,U-DEC,3,5:00,"Sao Paulo, Sao Paulo, Brazil",2019-11-16,http://ufcstats.com/fight-details/22307b580e0c8d0d,http://ufcstats.com/event-details/81ca2c245b19b3c5,Francisco Trinaldo,Bobby Green
44,Welterweight,SUB  Triangle Choke,2,1:22,"Sao Paulo, Sao Paulo, Brazil",2019-11-16,http://ufcstats.com/fight-details/e6a0f19af995c432,http://ufcstats.com/event-details/81ca2c245b19b3c5,Randy Brown,Warlley Alves
45,Featherweight,U-DEC,3,5:00,"Sao Paulo, Sao Paulo, Brazil",2019-11-16,http://ufcstats.com/fight-details/80ce8f7d988d5e57,http://ufcstats.com/event-details/81ca2c245b19b3c5,Douglas Silva de Andrade,Renan Barao
46,Women's Flyweight,U-DEC,3,5:00,"Sao Paulo, Sao Paulo, Brazil",2019-11-16,http://ufcstats.com/fight-details/1800ffbb34ac7ed8,http://ufcstats.com/event-details/81ca2c245b19b3c5,Ariane Lipski,Isabela de Padua
