,Weight class,Method,Round,Time,location,date,fighturl,eventurl,winner,loser
221,Featherweight,KO/TKO  Kick,3,4:09,"Edmonton, Alberta, Canada",2019-07-27,http://ufcstats.com/fight-details/10b31e991c2d0d4e,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Hakeem Dawodu,Yoshinori Horie
222,Featherweight,SUB  Rear Naked Choke,3,3:17,"Edmonton, Alberta, Canada",2019-07-27,http://ufcstats.com/fight-details/25c4013fc187762a,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Gavin Tucker,SeungWoo Choi
223,Flyweight,U-DEC,3,5:00,"Edmonton, Alberta, Canada",2019-07-27,http://ufcstats.com/fight-details/bc1787883f9328be,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Deiveson Figueiredo,Alexandre Pantoja
224,Women's Flyweight,KO/TKO  Elbows,2,4:13,"Edmonton, Alberta, Canada",2019-07-27,http://ufcstats.com/fight-details/68c77a11b2d308dd,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Gillian Robertson,Sarah Frota
225,Welterweight,U-DEC,3,5:00,"Edmonton, Alberta, Canada",2019-07-27,http://ufcstats.com/fight-details/d47fd8fc3886f86c,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Erik Koch,Kyle Stewart
226,Welterweight,U-DEC,5,5:00,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/816662e622987a14,http://ufcstats.com/event-details/9e0f28d1f639ad73,Leon Edwards,Rafael Dos Anjos
227,Heavyweight,KO/TKO  Punch,1,0:12,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/15ce105716441c54,http://ufcstats.com/event-details/9e0f28d1f639ad73,Walt Harris,Aleksei Oleinik
228,Heavyweight,KO/TKO  Punches,1,0:45,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/88b1d4f951070f83,http://ufcstats.com/event-details/9e0f28d1f639ad73,Greg Hardy,Juan Adams
229,Lightweight,KO/TKO  Punch,1,2:33,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/9d6b46a3cf5ec494,http://ufcstats.com/event-details/9e0f28d1f639ad73,Dan Hooker,James Vick
230,Lightweight,U-DEC,3,5:00,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/c92308bbd6107b11,http://ufcstats.com/event-details/9e0f28d1f639ad73,Alexander Hernandez,Francisco Trinaldo
231,Heavyweight,U-DEC,3,5:00,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/f065dc596a08a258,http://ufcstats.com/event-details/9e0f28d1f639ad73,Andrei Arlovski,Ben Rothwell
232,Featherweight,U-DEC,3,5:00,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/96d33e46267d4eaf,http://ufcstats.com/event-details/9e0f28d1f639ad73,Alex Caceres,Steven Peterson
233,Women's Bantamweight,S-DEC,3,5:00,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/017e0b7e864b0aa3,http://ufcstats.com/event-details/9e0f28d1f639ad73,Raquel Pennington,Irene Aldana
234,Light Heavyweight,U-DEC,3,5:00,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/f711b3ec6bc3c407,http://ufcstats.com/event-details/9e0f28d1f639ad73,Klidson Abreu,Sam Alvey
235,Women's Flyweight,U-DEC,3,5:00,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/dd51d1aed9536da6,http://ufcstats.com/event-details/9e0f28d1f639ad73,Jennifer Maia,Roxanne Modafferi
236,Bantamweight,U-DEC,3,5:00,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/bc01ce748a5723df,http://ufcstats.com/event-details/9e0f28d1f639ad73,Ray Borg,Gabriel Silva
237,Bantamweight,U-DEC,3,5:00,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/24bcade0007c2246,http://ufcstats.com/event-details/9e0f28d1f639ad73,Mario Bautista,Jinsoo Son
238,Bantamweight,S-DEC,3,5:00,"San Antonio, Texas, USA",2019-07-20,http://ufcstats.com/fight-details/c5259566abc552b1,http://ufcstats.com/event-details/9e0f28d1f639ad73,Felipe Colares,Domingo Pilarte
239,Women's Bantamweight,KO/TKO  Punch,1,0:16,"Sacramento, California, USA",2019-07-13,http://ufcstats.com/fight-details/edc87836fd998929,http://ufcstats.com/event-details/2f8f3c69522db931,Germaine de Randamie,Aspen Ladd
240,Bantamweight,KO/TKO  Punch,1,0:46,"Sacramento, California, USA",2019-07-13,http://ufcstats.com/fight-details/75b1533cc3cafae9,http://ufcstats.com/event-details/2f8f3c69522db931,Urijah Faber,Ricky Simon
241,Featherweight,KO/TKO  Punches,1,4:25,"Sacramento, California, USA",2019-07-13,http://ufcstats.com/fight-details/138cb102906573f2,http://ufcstats.com/event-details/2f8f3c69522db931,Josh Emmett,Mirsad Bektic
242,Middleweight,S-DEC,3,5:00,"Sacramento, California, USA",2019-07-13,http://ufcstats.com/fight-details/a7cf716f5d73b558,http://ufcstats.com/event-details/2f8f3c69522db931,Karl Roberson,Wellington Turman
243,Middleweight,U-DEC,3,5:00,"Sacramento, California, USA",2019-07-13,http://ufcstats.com/fight-details/9b0de83b4e504bf6,http://ufcstats.com/event-details/2f8f3c69522db931,Marvin Vettori,Cezar Ferreira
244,Featherweight,KO/TKO  Punch,1,3:07,"Sacramento, California, USA",2019-07-13,http://ufcstats.com/fight-details/b436dda934059631,http://ufcstats.com/event-details/2f8f3c69522db931,Andre Fili,Sheymon Moraes
245,Women's Bantamweight,U-DEC,3,5:00,"Sacramento, California, USA",2019-07-13,http://ufcstats.com/fight-details/60be02c5566c8348,http://ufcstats.com/event-details/2f8f3c69522db931,Julianna Pena,Nicco Montano
246,Featherweight,U-DEC,3,5:00,"Sacramento, California, USA",2019-07-13,http://ufcstats.com/fight-details/37a8c442fb38db75,http://ufcstats.com/event-details/2f8f3c69522db931,Ryan Hall,Darren Elkins
247,Bantamweight,KO/TKO  Knee,3,3:54,"Sacramento, California, USA",2019-07-13,http://ufcstats.com/fight-details/ad63c30e22e63344,http://ufcstats.com/event-details/2f8f3c69522db931,Jonathan Martinez,Liu Pingyuan
248,Women's Strawweight,U-DEC,3,5:00,"Sacramento, California, USA",2019-07-13,http://ufcstats.com/fight-details/2d42ef44ad2470e1,http://ufcstats.com/event-details/2f8f3c69522db931,Brianna Van Buren,Livinha Souza
249,Bantamweight,U-DEC,3,5:00,"Sacramento, California, USA",2019-07-13,http://ufcstats.com/fight-details/358468724d7d4322,http://ufcstats.com/event-details/2f8f3c69522db931,Benito Lopez,Vince Morales
250,Light Heavyweight,S-DEC,5,5:00,"Las Vegas, Nevada, USA",2019-07-06,http://ufcstats.com/fight-details/8fcdfee81cc604e3,http://ufcstats.com/event-details/6c9383ffab2725a5,Jon Jones,Thiago Santos
251,Women's Bantamweight,KO/TKO  Kick,1,4:10,"Las Vegas, Nevada, USA",2019-07-06,http://ufcstats.com/fight-details/69c06be4f87ccdab,http://ufcstats.com/event-details/6c9383ffab2725a5,Amanda Nunes,Holly Holm
252,Welterweight,KO/TKO  Flying Knee,1,0:05,"Las Vegas, Nevada, USA",2019-07-06,http://ufcstats.com/fight-details/70af72a72b31fe4d,http://ufcstats.com/event-details/6c9383ffab2725a5,Jorge Masvidal,Ben Askren
253,Light Heavyweight,KO/TKO  Punch,2,1:39,"Las Vegas, Nevada, USA",2019-07-06,http://ufcstats.com/fight-details/531d9676d767da66,http://ufcstats.com/event-details/6c9383ffab2725a5,Jan Blachowicz,Luke Rockhold
254,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2019-07-06,http://ufcstats.com/fight-details/feaffeb1af7e82ef,http://ufcstats.com/event-details/6c9383ffab2725a5,Michael Chiesa,Diego Sanchez
255,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2019-07-06,http://ufcstats.com/fight-details/c48af5eafb532d0a,http://ufcstats.com/event-details/6c9383ffab2725a5,Arnold Allen,Gilbert Melendez
256,Bantamweight,SUB  Rear Naked Choke,2,3:25,"Las Vegas, Nevada, USA",2019-07-06,http://ufcstats.com/fight-details/7dc551f8153bd053,http://ufcstats.com/event-details/6c9383ffab2725a5,Marlon Vera,Nohelin Hernandez
257,Women's Strawweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2019-07-06,http://ufcstats.com/fight-details/7fe0cec2b0f1c146,http://ufcstats.com/event-details/6c9383ffab2725a5,Claudia Gadelha,Randa Markos
258,Bantamweight,KO/TKO  Punch,1,2:04,"Las Vegas, Nevada, USA",2019-07-06,http://ufcstats.com/fight-details/00f4b6184f6315d0,http://ufcstats.com/event-details/6c9383ffab2725a5,Song Yadong,Alejandro Perez
259,Middleweight,SUB  Rear Naked Choke,1,1:12,"Las Vegas, Nevada, USA",2019-07-06,http://ufcstats.com/fight-details/e9f00c16810e0e61,http://ufcstats.com/event-details/6c9383ffab2725a5,Edmen Shahbazyan,Jack Marshman
260,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2019-07-06,http://ufcstats.com/fight-details/f6a03399c7a721cd,http://ufcstats.com/event-details/6c9383ffab2725a5,Chance Rencountre,Ismail Naurdiev
261,Women's Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2019-07-06,http://ufcstats.com/fight-details/934b44ddcb3d95e6,http://ufcstats.com/event-details/6c9383ffab2725a5,Julia Avila,Pannie Kianzad
262,Heavyweight,KO/TKO  Punch,1,1:11,"Minneapolis, Minnesota, USA",2019-06-29,http://ufcstats.com/fight-details/4e71dbef18157288,http://ufcstats.com/event-details/c0c1bc0766df4c00,Francis Ngannou,Junior Dos Santos
263,Flyweight,KO/TKO  Punches,2,4:47,"Minneapolis, Minnesota, USA",2019-06-29,http://ufcstats.com/fight-details/2418af6da44fd361,http://ufcstats.com/event-details/c0c1bc0766df4c00,Joseph Benavidez,Jussier Formiga
264,Welterweight,M-DEC,3,5:00,"Minneapolis, Minnesota, USA",2019-06-29,http://ufcstats.com/fight-details/5fcf65d4de66c970,http://ufcstats.com/event-details/c0c1bc0766df4c00,Demian Maia,Anthony Rocco Martin
265,Lightweight,U-DEC,3,5:00,"Minneapolis, Minnesota, USA",2019-06-29,http://ufcstats.com/fight-details/2b01da1699f0305f,http://ufcstats.com/event-details/c0c1bc0766df4c00,Vinc Pichel,Roosevelt Roberts
266,Lightweight,KO/TKO  Punches,1,1:07,"Minneapolis, Minnesota, USA",2019-06-29,http://ufcstats.com/fight-details/966bf043577f8b6a,http://ufcstats.com/event-details/c0c1bc0766df4c00,Drew Dober,Polo Reyes
267,Light Heavyweight,KO/TKO  Punch,1,3:19,"Minneapolis, Minnesota, USA",2019-06-29,http://ufcstats.com/fight-details/c770192a9f3261cd,http://ufcstats.com/event-details/c0c1bc0766df4c00,Alonzo Menifield,Paul Craig
268,Bantamweight,U-DEC,3,5:00,"Minneapolis, Minnesota, USA",2019-06-29,http://ufcstats.com/fight-details/8f5d5dd10a167cc0,http://ufcstats.com/event-details/c0c1bc0766df4c00,Ricardo Ramos,Journey Newson
269,Light Heavyweight,KO/TKO  Punch,1,1:18,"Minneapolis, Minnesota, USA",2019-06-29,http://ufcstats.com/fight-details/c0982b3919cc74f0,http://ufcstats.com/event-details/c0c1bc0766df4c00,Eryk Anders,Vinicius Moreira
270,Lightweight,U-DEC,3,5:00,"Minneapolis, Minnesota, USA",2019-06-29,http://ufcstats.com/fight-details/3f8c6e31ebbe54bc,http://ufcstats.com/event-details/c0c1bc0766df4c00,Jared Gordon,Dan Moret
271,Light Heavyweight,KO/TKO  Punch,3,0:42,"Minneapolis, Minnesota, USA",2019-06-29,http://ufcstats.com/fight-details/7ce7075951c9aa31,http://ufcstats.com/event-details/c0c1bc0766df4c00,Dalcha Lungiambula,Dequan Townsend
272,Women's Strawweight,SUB  Rear Naked Choke,2,2:10,"Minneapolis, Minnesota, USA",2019-06-29,http://ufcstats.com/fight-details/e460bf4db340ca9e,http://ufcstats.com/event-details/c0c1bc0766df4c00,Amanda Ribas,Emily Whitmire
273,Heavyweight,KO/TKO  Punch,1,3:38,"Minneapolis, Minnesota, USA",2019-06-29,http://ufcstats.com/fight-details/9ba051e0f5674108,http://ufcstats.com/event-details/c0c1bc0766df4c00,Maurice Greene,Junior Albini
274,Featherweight,KO/TKO  Punch,1,0:58,"Greenville, South Carolina, USA",2019-06-22,http://ufcstats.com/fight-details/aec1339028f3416c,http://ufcstats.com/event-details/b16a7e6a627e9789,Chan Sung Jung,Renato Moicano
275,Welterweight,KO/TKO  Kick,3,2:54,"Greenville, South Carolina, USA",2019-06-22,http://ufcstats.com/fight-details/4096b302747d47b3,http://ufcstats.com/event-details/b16a7e6a627e9789,Randy Brown,Bryan Barberena
276,Bantamweight,U-DEC,3,5:00,"Greenville, South Carolina, USA",2019-06-22,http://ufcstats.com/fight-details/8f1b727757a60c07,http://ufcstats.com/event-details/b16a7e6a627e9789,Andre Ewell,Anderson Dos Santos
277,Women's Flyweight,U-DEC,3,5:00,"Greenville, South Carolina, USA",2019-06-22,http://ufcstats.com/fight-details/13129c1f044fdd47,http://ufcstats.com/event-details/b16a7e6a627e9789,Andrea Lee,Montana De La Rosa
278,Middleweight,U-DEC,3,5:00,"Greenville, South Carolina, USA",2019-06-22,http://ufcstats.com/fight-details/b1da312483a974b3,http://ufcstats.com/event-details/b16a7e6a627e9789,Kevin Holland,Alessio Di Chirico
279,Featherweight,U-DEC,3,5:00,"Greenville, South Carolina, USA",2019-06-22,http://ufcstats.com/fight-details/f047e3605f8852d8,http://ufcstats.com/event-details/b16a7e6a627e9789,Dan Ige,Kevin Aguilar
280,Women's Strawweight,U-DEC,3,5:00,"Greenville, South Carolina, USA",2019-06-22,http://ufcstats.com/fight-details/6e9cf53cd87e1b7e,http://ufcstats.com/event-details/b16a7e6a627e9789,Ashley Yoder,Syuri Kondo
281,Lightweight,KO/TKO  Punches,3,1:14,"Greenville, South Carolina, USA",2019-06-22,http://ufcstats.com/fight-details/ab4862ea4cbd0750,http://ufcstats.com/event-details/b16a7e6a627e9789,Luis Pena,Matt Wiman
282,Heavyweight,KO/TKO  Punches,1,0:09,"Greenville, South Carolina, USA",2019-06-22,http://ufcstats.com/fight-details/e4559c3cce6edec1,http://ufcstats.com/event-details/b16a7e6a627e9789,Jairzinho Rozenstruik,Allen Crowder
283,Women's Flyweight,U-DEC,3,5:00,"Greenville, South Carolina, USA",2019-06-22,http://ufcstats.com/fight-details/fa98e2b8dceca9bb,http://ufcstats.com/event-details/b16a7e6a627e9789,Molly McCann,Ariane Lipski
284,Middleweight,U-DEC,3,5:00,"Greenville, South Carolina, USA",2019-06-22,http://ufcstats.com/fight-details/f81f8cfe30e0a1e9,http://ufcstats.com/event-details/b16a7e6a627e9789,Deron Winn,Eric Spicely
285,Bantamweight,KO/TKO  Punches,3,4:51,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/cf4199c8517bc1fd,http://ufcstats.com/event-details/e31502e3f79d00c5,Henry Cejudo,Marlon Moraes
286,Women's Flyweight,KO/TKO  Kick,2,0:26,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/4127b45c3d546eef,http://ufcstats.com/event-details/e31502e3f79d00c5,Valentina Shevchenko,Jessica Eye
287,Lightweight,KO/TKO,2,5:00,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/323dc938d93a849b,http://ufcstats.com/event-details/e31502e3f79d00c5,Tony Ferguson,Donald Cerrone
288,Bantamweight,U-DEC,3,5:00,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/fe0c844a671dd6d8,http://ufcstats.com/event-details/e31502e3f79d00c5,Petr Yan,Jimmie Rivera
289,Heavyweight,U-DEC,3,5:00,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/cd2ceb5530529c9f,http://ufcstats.com/event-details/e31502e3f79d00c5,Blagoy Ivanov,Tai Tuivasa
290,Women's Strawweight,U-DEC,3,5:00,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/56403d0fd259c5d9,http://ufcstats.com/event-details/e31502e3f79d00c5,Tatiana Suarez,Nina Ansaroff
291,Bantamweight,U-DEC,3,5:00,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/17753b728e5404aa,http://ufcstats.com/event-details/e31502e3f79d00c5,Aljamain Sterling,Pedro Munhoz
292,Women's Strawweight,U-DEC,3,5:00,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/a4446299c1f85d74,http://ufcstats.com/event-details/e31502e3f79d00c5,Alexa Grasso,Karolina Kowalkiewicz
293,Featherweight,KO/TKO  Punch,1,4:06,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/bf2a9732af50c84c,http://ufcstats.com/event-details/e31502e3f79d00c5,Calvin Kattar,Ricardo Lamas
294,Women's Strawweight,U-DEC,3,5:00,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/97c76d44699f7c93,http://ufcstats.com/event-details/e31502e3f79d00c5,Xiaonan Yan,Angela Hill
295,Middleweight,U-DEC,3,5:00,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/a255ed658a2ac9bb,http://ufcstats.com/event-details/e31502e3f79d00c5,Darren Stewart,Bevon Lewis
296,Bantamweight,KO/TKO  Punch,2,4:47,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/aa430402314b4459,http://ufcstats.com/event-details/e31502e3f79d00c5,Eddie Wineland,Grigorii Popov
297,Women's Flyweight,U-DEC,3,5:00,"Chicago, Illinois, USA",2019-06-08,http://ufcstats.com/fight-details/82eb6fa58ae52428,http://ufcstats.com/event-details/e31502e3f79d00c5,Katlyn Chookagian,Joanne Calderwood
298,Light Heavyweight,SUB  Rear Naked Choke,4,2:38,"Stockholm, Sweden",2019-06-01,http://ufcstats.com/fight-details/4f9939af9a1d40a3,http://ufcstats.com/event-details/cbc071cb20ea59c7,Anthony Smith,Alexander Gustafsson
299,Light Heavyweight,KO/TKO  Kick,1,0:47,"Stockholm, Sweden",2019-06-01,http://ufcstats.com/fight-details/138c8807fef52564,http://ufcstats.com/event-details/cbc071cb20ea59c7,Aleksandar Rakic,Jimi Manuwa
300,Featherweight,SUB  Anaconda Choke,2,4:25,"Stockholm, Sweden",2019-06-01,http://ufcstats.com/fight-details/2ca4a039c07acd38,http://ufcstats.com/event-details/cbc071cb20ea59c7,Makwan Amirkhani,Chris Fishgold
301,Lightweight,U-DEC,3,5:00,"Stockholm, Sweden",2019-06-01,http://ufcstats.com/fight-details/a5acaa5f693529dd,http://ufcstats.com/event-details/cbc071cb20ea59c7,Christos Giagos,Damir Hadzovic
302,Featherweight,U-DEC,3,5:00,"Stockholm, Sweden",2019-06-01,http://ufcstats.com/fight-details/c53cb796b4a4cdb8,http://ufcstats.com/event-details/cbc071cb20ea59c7,Daniel Teymur,Sung Bin Jo
303,Welterweight,U-DEC,3,5:00,"Stockholm, Sweden",2019-06-01,http://ufcstats.com/fight-details/93330422e1f2e0be,http://ufcstats.com/event-details/cbc071cb20ea59c7,Sergey Khandozhko,Rostem Akman
304,Women's Bantamweight,U-DEC,3,5:00,"Stockholm, Sweden",2019-06-01,http://ufcstats.com/fight-details/f993be991eea6016,http://ufcstats.com/event-details/cbc071cb20ea59c7,Lina Lansberg,Tonya Evinger
305,Lightweight,KO/TKO  Punch,1,2:17,"Stockholm, Sweden",2019-06-01,http://ufcstats.com/fight-details/e1bd72aba46f46a1,http://ufcstats.com/event-details/cbc071cb20ea59c7,Leonardo Santos,Stevie Ray
306,Lightweight,KO/TKO  Punches,2,4:56,"Stockholm, Sweden",2019-06-01,http://ufcstats.com/fight-details/fedb6a1b15b05694,http://ufcstats.com/event-details/cbc071cb20ea59c7,Frank Camacho,Nick Hein
307,Women's Bantamweight,SUB  Rear Naked Choke,2,1:59,"Stockholm, Sweden",2019-06-01,http://ufcstats.com/fight-details/b58972ad7dcf65e6,http://ufcstats.com/event-details/cbc071cb20ea59c7,Bea Malecki,Duda Santana
308,Light Heavyweight,U-DEC,3,5:00,"Stockholm, Sweden",2019-06-01,http://ufcstats.com/fight-details/a072481f307dc8aa,http://ufcstats.com/event-details/cbc071cb20ea59c7,Devin Clark,Darko Stosic
309,Lightweight,KO/TKO  Punches,2,2:22,"Stockholm, Sweden",2019-06-01,http://ufcstats.com/fight-details/a4e210bcdcc1bf5b,http://ufcstats.com/event-details/cbc071cb20ea59c7,Joel Alvarez,Danilo Belluardo
310,Welterweight,SUB  Arm Triangle,4,3:47,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/d401522de73b7bee,http://ufcstats.com/event-details/6b8f28da9a483049,Rafael Dos Anjos,Kevin Lee
311,Middleweight,U-DEC,3,5:00,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/9fb9af6599d67b1d,http://ufcstats.com/event-details/6b8f28da9a483049,Ian Heinisch,Antonio Carlos Junior
312,Women's Featherweight,SUB  Rear Naked Choke,1,3:24,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/4fe799b4fa1afb76,http://ufcstats.com/event-details/6b8f28da9a483049,Felicia Spencer,Megan Anderson
313,Welterweight,KO/TKO  Punch,1,3:52,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/083a6edd8bb21bc8,http://ufcstats.com/event-details/6b8f28da9a483049,Vicente Luque,Derrick Krantz
314,Lightweight,KO/TKO  Punch,2,2:11,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/5782666ca117fa5b,http://ufcstats.com/event-details/6b8f28da9a483049,Charles Oliveira,Nik Lentz
315,Lightweight,U-DEC,3,5:00,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/65c1ca715dfdbe05,http://ufcstats.com/event-details/6b8f28da9a483049,Davi Ramos,Austin Hubbard
316,Women's Bantamweight,U-DEC,3,5:00,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/1f5178fe56c5423f,http://ufcstats.com/event-details/6b8f28da9a483049,Aspen Ladd,Sijara Eubanks
317,Lightweight,U-DEC,3,5:00,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/031647c36d12788f,http://ufcstats.com/event-details/6b8f28da9a483049,Desmond Green,Charles Jourdain
318,Welterweight,KO/TKO  Flying Knee,1,1:47,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/04c9ebe419195f8b,http://ufcstats.com/event-details/6b8f28da9a483049,Michel Pereira,Danny Roberts
319,Featherweight,SUB  Rear Naked Choke,2,2:27,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/476a6245b43f3119,http://ufcstats.com/event-details/6b8f28da9a483049,Grant Dawson,Michael Trizano
320,Light Heavyweight,KO/TKO  Knee,1,3:39,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/f27e8d63f526d326,http://ufcstats.com/event-details/6b8f28da9a483049,Ed Herman,Patrick Cummins
321,Middleweight,SUB  Guillotine Choke,3,4:01,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/35f80e003d16a439,http://ufcstats.com/event-details/6b8f28da9a483049,Zak Cummings,Trevin Giles
322,Featherweight,KO/TKO  Kick,3,1:49,"Rochester, New York, USA",2019-05-18,http://ufcstats.com/fight-details/115fa6f5f3e51bbb,http://ufcstats.com/event-details/6b8f28da9a483049,Julio Arce,Julian Erosa
323,Women's Strawweight,KO/TKO  Slam,2,2:58,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11,http://ufcstats.com/fight-details/07c00213ec388e07,http://ufcstats.com/event-details/9de7c97e1c0d7927,Jessica Andrade,Rose Namajunas
324,Middleweight,KO/TKO  Kick,1,4:47,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11,http://ufcstats.com/fight-details/a08dffad240dc3d4,http://ufcstats.com/event-details/9de7c97e1c0d7927,Jared Cannonier,Anderson Silva
325,Featherweight,U-DEC,3,5:00,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11,http://ufcstats.com/fight-details/7b53967f282a0d0a,http://ufcstats.com/event-details/9de7c97e1c0d7927,Alexander Volkanovski,Jose Aldo
326,Welterweight,U-DEC,3,5:00,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11,http://ufcstats.com/fight-details/3d941525f5c623e3,http://ufcstats.com/event-details/9de7c97e1c0d7927,Laureano Staropoli,Thiago Alves
327,Women's Bantamweight,SUB  Armbar,3,3:24,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11,http://ufcstats.com/fight-details/8cf4836e2b43c241,http://ufcstats.com/event-details/9de7c97e1c0d7927,Irene Aldana,Bethe Correia
328,Light Heavyweight,KO/TKO  Punch,1,2:07,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11,http://ufcstats.com/fight-details/413a4c217ee0193f,http://ufcstats.com/event-details/9de7c97e1c0d7927,Ryan Spann,Rogerio Nogueira
329,Lightweight,U-DEC,3,5:00,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11,http://ufcstats.com/fight-details/017c090e9e8d2957,http://ufcstats.com/event-details/9de7c97e1c0d7927,Thiago Moises,Kurt Holobaugh
330,Welterweight,KO/TKO  Punch,3,4:13,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11,http://ufcstats.com/fight-details/2b038a467a89c73c,http://ufcstats.com/event-details/9de7c97e1c0d7927,Warlley Alves,Sergio Moraes
331,Lightweight,U-DEC,3,5:00,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11,http://ufcstats.com/fight-details/0febad4c4a3d69fc,http://ufcstats.com/event-details/9de7c97e1c0d7927,Clay Guida,BJ Penn
332,Women's Flyweight,U-DEC,3,5:00,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11,http://ufcstats.com/fight-details/707cb14717df5960,http://ufcstats.com/event-details/9de7c97e1c0d7927,Luana Carolina,Priscila Cachoeira
333,Bantamweight,KO/TKO  Elbows,2,4:49,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11,http://ufcstats.com/fight-details/1218cba28d4dce94,http://ufcstats.com/event-details/9de7c97e1c0d7927,Raoni Barcelos,Carlos Huachin
334,Women's Bantamweight,KO/TKO  Punch,3,0:48,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11,http://ufcstats.com/fight-details/e4bbec619aa04dea,http://ufcstats.com/event-details/9de7c97e1c0d7927,Viviane Araujo,Talita Bernardo
335,Lightweight,U-DEC,5,5:00,"Ottawa, Ontario, Canada",2019-05-04,http://ufcstats.com/fight-details/73eff675e2aae30c,http://ufcstats.com/event-details/351264d11286d09a,Donald Cerrone,Al Iaquinta
336,Middleweight,U-DEC,3,5:00,"Ottawa, Ontario, Canada",2019-05-04,http://ufcstats.com/fight-details/ad59540382d5b7f6,http://ufcstats.com/event-details/351264d11286d09a,Derek Brunson,Elias Theodorou
337,Featherweight,S-DEC,3,5:00,"Ottawa, Ontario, Canada",2019-05-04,http://ufcstats.com/fight-details/feaf740e3ae53b7c,http://ufcstats.com/event-details/351264d11286d09a,Shane Burgos,Cub Swanson
338,Bantamweight,U-DEC,3,5:00,"Ottawa, Ontario, Canada",2019-05-04,http://ufcstats.com/fight-details/e6b2d6d33968c66c,http://ufcstats.com/event-details/351264d11286d09a,Merab Dvalishvili,Brad Katona
339,Heavyweight,KO/TKO  Knees,1,0:50,"Ottawa, Ontario, Canada",2019-05-04,http://ufcstats.com/fight-details/e939acbd9894c686,http://ufcstats.com/event-details/351264d11286d09a,Walt Harris,Serghei Spivac
