,f1_odds,f2_odds,fight,f1,f2
2,1.89,2.04,Enrique Briones vs Guido Cannetti,Enrique Briones,Guido Cannetti
2,3.33,1.39,Marco Beltran vs Marlon Vera,Marco Beltran,Marlon Vera
2,1.54,2.7,Mauricio Rua vs Ovince St Preux,Mauricio Rua,Ovince St Preux
2,1.45,3.03,Warlley Alves vs Alan Jouban,Warlley Alves,Alan Jouban
2,2.63,1.54,Claudio Silva vs Leon Edwards,Claudio Silva,Leon Edwards
2,1.32,3.7,Dhiego Lima vs Jorge Antonio Cezario de Oliveira,Dhiego Lima,Jorge Antonio Cezario de Oliveira
2,2.38,1.69,Juliana Lima vs Nina Ansaroff,Juliana Lima,Nina Ansaroff
2,1.82,2.0,Diego Rivas vs Rodolfo Rubio Perez,Diego Rivas,Rodolfo Rubio Perez
2,1.47,2.94,Caio Magalhaes vs Trevor Smith,Caio Magalhaes,Trevor Smith
2,1.64,2.5,Leandro Silva vs Charlie Brenneman,Leandro Silva,Charlie Brenneman
2,3.7,1.3,Tim Gorman vs Thomas Almeida,Tim Gorman,Thomas Almeida
2,1.23,4.76,Colby Covington vs Wagner Silva Gomes,Colby Covington,Wagner Silva Gomes
2,4.76,1.23,Michael Bisping vs Luke Rockhold,Michael Bisping,Luke Rockhold
2,1.67,2.5,Ross Pearson vs Al Iaquinta,Ross Pearson,Al Iaquinta
2,1.67,2.44,Soa Palelei vs Walt Harris,Soa Palelei,Walt Harris
2,1.28,4.35,Jake Matthews vs Vagner Rocha,Jake Matthews,Vagner Rocha
2,2.86,1.54,Anthony Perosh vs Guto Inocente,Anthony Perosh,Guto Inocente
2,1.61,2.5,Dylan Andrews vs Sam Alvey,Dylan Andrews,Sam Alvey
2,4.0,1.32,Richie Vaculik vs Louis Smolka,Richie Vaculik,Louis Smolka
2,1.75,2.27,Vik Grujic vs Chris Clements,Vik Grujic,Chris Clements
2,3.57,1.35,Daniel Kelly vs Luke Zachrich,Daniel Kelly,Luke Zachrich
2,5.56,1.2,Jumabieke Tuerxun vs Marcus Brimage,Jumabieke Tuerxun,Marcus Brimage
2,1.07,12.5,Demetrious Johnson vs Chris Cariaso,Demetrious Johnson,Chris Cariaso
2,1.75,2.25,Donald Cerrone vs Eddie Alvarez,Donald Cerrone,Eddie Alvarez
2,1.44,3.4,Conor McGregor vs Dustin Poirier,Conor McGregor,Dustin Poirier
2,2.23,2.01,Yoel Romero vs Tim Kennedy,Yoel Romero,Tim Kennedy
2,1.48,2.97,Cat Zingano vs Amanda Nunes,Cat Zingano,Amanda Nunes
2,1.21,5.75,Dominick Cruz vs Takeya Mizugaki,Dominick Cruz,Takeya Mizugaki
