,f1_odds,f2_odds,fight,f1,f2
2,1.34,3.7,Joanna Jedrzejczyk vs Michelle Waterson,Joanna Jedrzejczyk,Michelle Waterson
2,2.71,1.55,Cub Swanson vs Kron Gracie,Cub Swanson,Kron Gracie
2,2.4,1.71,James Vick vs Niko Price,James Vick,Niko Price
2,1.67,2.45,Mackenzie Dern vs Amanda Ribas,Mackenzie Dern,Amanda Ribas
2,1.71,2.38,Luis Pena vs Matt Frevola,Luis Pena,Matt Frevola
2,1.77,2.2,Eryk Anders vs Gerald Meerschaert,Eryk Anders,Gerald Meerschaert
2,1.62,2.6,Ryan Spann vs Devin Clark,Ryan Spann,Devin Clark
2,1.37,3.68,Mike Davis vs Thomas Gifford,Mike Davis,Thomas Gifford
2,1.81,2.2,Max Griffin vs Alex Morono,Max Griffin,Alex Morono
2,1.59,2.65,Deiveson Figueiredo vs Tim Elliott,Deiveson Figueiredo,Tim Elliott
2,1.77,2.3,Marlon Vera vs Andre Ewell,Marlon Vera,Andre Ewell
2,3.2,1.44,Hector Aldana vs Miguel Baeza,Hector Aldana,Miguel Baeza
2,1.28,4.19,Marvin Vettori vs Andrew Sanchez,Marvin Vettori,Andrew Sanchez
2,1.69,2.5,J.J. Aldrich vs Lauren Mueller,J.J. Aldrich,Lauren Mueller
2,2.13,1.91,Robert Whittaker vs Israel Adesanya,Robert Whittaker,Israel Adesanya
2,1.83,2.25,Daniel Hooker vs Al Iaquinta,Daniel Hooker,Al Iaquinta
2,1.34,3.75,Tai Tuivasa vs Sergey Spivak,Tai Tuivasa,Sergey Spivak
2,2.25,1.74,Luke Jumeau vs Dhiego Lima,Luke Jumeau,Dhiego Lima
2,2.0,1.94,Yorgan De Castro vs Justin Tafa,Yorgan De Castro,Justin Tafa
2,1.28,5.0,Jake Matthews vs Rostem Akman,Jake Matthews,Rostem Akman
2,4.15,1.3,Callan Potter vs Maki Pitolo,Callan Potter,Maki Pitolo
2,1.62,2.5,Brad Riddell vs Jamie Mullarkey,Brad Riddell,Jamie Mullarkey
2,1.24,5.2,Megan Anderson vs Zara Fairn Dos Santos,Megan Anderson,Zara Fairn Dos Santos
2,2.6,1.59,Nadia Kassem vs Ji Yeon Kim,Nadia Kassem,Ji Yeon Kim
2,1.49,2.95,Khalid Taha vs Bruno Silva,Khalid Taha,Bruno Silva
2,1.38,3.5,Jack Hermansson vs Jared Cannonier,Jack Hermansson,Jared Cannonier
2,1.15,7.0,Mark O. Madsen vs Danilo Belluardo,Mark O. Madsen,Danilo Belluardo
2,2.04,1.91,Gunnar Nelson vs Gilbert Burns,Gunnar Nelson,Gilbert Burns
2,2.0,1.95,Ion Cutelaba vs Khalil Rountree,Ion Cutelaba,Khalil Rountree
2,3.48,1.4,Ovince St Preux vs Michal Oleksiejczuk,Ovince St Preux,Michal Oleksiejczuk
2,2.38,1.85,Nicolas Dalby vs Alex Oliveira,Nicolas Dalby,Alex Oliveira
2,1.83,2.15,Alen Amedovski vs John Phillips,Alen Amedovski,John Phillips
2,2.48,1.66,Alessio Di Chirico vs Makhmud Muradov,Alessio Di Chirico,Makhmud Muradov
2,1.5,3.0,Ismail Naurdiev vs Siyar Bahadurzada,Ismail Naurdiev,Siyar Bahadurzada
2,1.66,2.45,Brandon Davis vs Giga Chikadze,Brandon Davis,Giga Chikadze
2,1.25,4.7,Macy Chiasson vs Lina Lansberg,Macy Chiasson,Lina Lansberg
2,2.55,1.65,Lando Vannata vs Marc Diakiese,Lando Vannata,Marc Diakiese
2,1.5,3.05,Jack Shore vs Nohelin Hernandez,Jack Shore,Nohelin Hernandez
2,1.83,2.22,Yair Rodriguez vs Jeremy Stephens,Yair Rodriguez,Jeremy Stephens
2,2.4,1.71,Carla Esparza vs Alexa Grasso,Carla Esparza,Alexa Grasso
2,1.69,2.4,Askar Askarov vs Brandon Moreno,Askar Askarov,Brandon Moreno
2,5.5,1.2,Vanessa Melo vs Irene Aldana,Vanessa Melo,Irene Aldana
2,1.8,2.2,Martin Bravo vs Steven Peterson,Martin Bravo,Steven Peterson
2,1.69,2.51,Jose Quinonez vs Carlos Huachin,Jose Quinonez,Carlos Huachin
2,2.0,1.96,Marco Polo Reyes vs Kyle Nelson,Marco Polo Reyes,Kyle Nelson
2,2.02,2.0,Angela Hill vs Ariane Carnelossi,Angela Hill,Ariane Carnelossi
2,1.37,3.75,Sergio Pettis vs Tyson Nam,Sergio Pettis,Tyson Nam
2,2.03,2.0,Vinicius Moreira vs Paul Craig,Vinicius Moreira,Paul Craig
2,3.79,2.0,Bethe Correia vs Sijara Eubanks,Bethe Correia,Sijara Eubanks
2,1.33,4.28,Claudio Puelles vs Marcos Mariano,Claudio Puelles,Marcos Mariano
2,2.65,1.59,Donald Cerrone vs Justin Gaethje,Donald Cerrone,Justin Gaethje
2,2.0,1.93,Glover Teixeira vs Nikita Krylov,Glover Teixeira,Nikita Krylov
2,2.15,1.83,Todd Duffee vs Jeff Hughes,Todd Duffee,Jeff Hughes
2,1.23,5.0,Michel Pereira vs Tristan Connelly,Michel Pereira,Tristan Connelly
2,3.36,1.45,Urijah Hall vs Antonio Carlos Junior,Urijah Hall,Antonio Carlos Junior
2,2.0,1.91,Misha Cirkunov vs Jim Crute,Misha Cirkunov,Jim Crute
2,2.2,1.87,Marcin Tybura vs Augusto Sakai,Marcin Tybura,Augusto Sakai
2,2.25,1.77,Cole Smith vs Miles Johns,Cole Smith,Miles Johns
2,1.87,2.2,Brad Katona vs Hunter Azure,Brad Katona,Hunter Azure
2,2.45,1.67,Chas Skelly vs Jordan Griffin,Chas Skelly,Jordan Griffin
2,1.48,3.0,Louis Smolka vs Ryan MacDonald,Louis Smolka,Ryan MacDonald
2,1.77,2.29,Austin Hubbard vs Kyle Prepolec,Austin Hubbard,Kyle Prepolec
2,1.27,4.55,Khabib Nurmagomedov vs Dustin Poirier,Khabib Nurmagomedov,Dustin Poirier
2,1.87,2.2,Edson Barboza vs Paul Felder,Edson Barboza,Paul Felder
2,1.28,4.25,Islam Makhachev vs Davi Ramos,Islam Makhachev,Davi Ramos
2,1.22,5.4,Curtis Blaydes vs Shamil Abdurakhimov,Curtis Blaydes,Shamil Abdurakhimov
2,1.37,3.48,Mairbek Taisumov vs Carlos Diego Ferreira,Mairbek Taisumov,Carlos Diego Ferreira
2,3.1,1.45,Joanne Calderwood vs Andrea Lee,Joanne Calderwood,Andrea Lee
2,1.37,3.7,Zubaira Tukhugov vs Lerone Murphy,Zubaira Tukhugov,Lerone Murphy
2,2.45,1.68,Sarah Moras vs Liana Jojua,Sarah Moras,Liana Jojua
2,2.9,1.54,Teemu Packalen vs Ottman Azaitar,Teemu Packalen,Ottman Azaitar
2,1.27,4.35,Belal Muhammad vs Takashi Sato,Belal Muhammad,Takashi Sato
2,1.83,2.15,Nordine Taleb vs Muslim Salikhov,Nordine Taleb,Muslim Salikhov
2,2.1,1.9,Zak Cummings vs Omari Akhmedov,Zak Cummings,Omari Akhmedov
2,2.69,1.58,Fares Ziam vs Don Madge,Fares Ziam,Don Madge
2,1.62,2.85,Jessica Andrade vs Weili Zhang,Jessica Andrade,Weili Zhang
2,1.39,3.45,Elizeu Zaleski dos Santos vs Li Jingliang,Elizeu Zaleski dos Santos,Li Jingliang
2,2.87,1.57,Mark Delarosa vs Kai Kara-France,Mark Delarosa,Kai Kara-France
2,2.0,1.95,Kenan Song vs Derrick Krantz,Kenan Song,Derrick Krantz
2,0.0,0.0,Yanan Wu vs Mizuki Inoue,Yanan Wu,Mizuki Inoue
2,1.71,2.35,Anthony Hernandez vs Jun Yong Park,Anthony Hernandez,Jun Yong Park
2,1.65,2.45,Andre Soukhamthath vs Su Mudaerji,Andre Soukhamthath,Su Mudaerji
2,1.4,3.48,Khadis Ibragimov vs Da Un Jung,Khadis Ibragimov,Da Un Jung
2,1.51,2.86,Damir Ismagulov vs Thiago Moises,Damir Ismagulov,Thiago Moises
2,2.05,1.87,Danaa Batgerel vs Heili Alateng,Danaa Batgerel,Heili Alateng
2,1.91,2.0,Karolline Rosa Cavedo vs Lara Fritzen Procopio,Karolline Rosa Cavedo,Lara Fritzen Procopio
2,1.75,2.39,Daniel Cormier vs Stipe Miocic,Daniel Cormier,Stipe Miocic
2,2.12,1.87,Nate Diaz vs Anthony Pettis,Nate Diaz,Anthony Pettis
2,1.73,2.45,Yoel Romero vs Paulo Costa,Yoel Romero,Paulo Costa
2,3.45,1.39,Gabriel Benitez vs Sodiq Yusuff,Gabriel Benitez,Sodiq Yusuff
2,2.4,1.69,Derek Brunson vs Ian Heinisch,Derek Brunson,Ian Heinisch
2,1.12,8.75,Devonte Smith vs Khama Worthy,Devonte Smith,Khama Worthy
2,1.44,3.25,Cory Sandhagen vs Raphael Assuncao,Cory Sandhagen,Raphael Assuncao
2,2.7,1.59,Christos Giagos vs Drakkar Klose,Christos Giagos,Drakkar Klose
2,2.5,1.63,Casey Kenney vs Manny Bermudez,Casey Kenney,Manny Bermudez
2,1.36,3.55,Hannah Cifers vs Jodie Esquibel,Hannah Cifers,Jodie Esquibel
2,2.75,1.55,Brandon Davis vs Kyung Ho Kang,Brandon Davis,Kyung Ho Kang
2,1.87,2.31,Sabina Mazo vs Shana Dobson,Sabina Mazo,Shana Dobson
2,1.11,9.75,Valentina Shevchenko vs Liz Carmouche,Valentina Shevchenko,Liz Carmouche
2,1.45,3.05,Vicente Luque vs Mike Perry,Vicente Luque,Mike Perry
2,2.27,1.8,Humberto Bandenay vs Luiz Garagorri,Humberto Bandenay,Luiz Garagorri
2,1.67,2.6,Volkan Oezdemir vs Ilir Latifi,Volkan Oezdemir,Ilir Latifi
2,2.9,1.53,Oskar Piechota vs Rodolfo Vieira,Oskar Piechota,Rodolfo Vieira
2,1.71,2.41,Enrique Barzola vs Bobby Moffett,Enrique Barzola,Bobby Moffett
2,1.76,2.25,Alexey Kunchenko vs Gilbert Burns,Alexey Kunchenko,Gilbert Burns
2,5.05,1.23,Raphael Pessoa vs Ciryl Gane,Raphael Pessoa,Ciryl Gane
2,1.67,2.49,Tecia Torres vs Marina Alcalde Rodriguez,Tecia Torres,Marina Alcalde Rodriguez
2,1.93,2.0,Raulian Paiva vs Rogerio Bontorin,Raulian Paiva,Rogerio Bontorin
2,1.69,2.46,Geraldo De Freitas Jr. vs Chris Gutierrez,Geraldo De Freitas Jr.,Chris Gutierrez
2,3.84,2.35,Rodrigo Vargas vs Alex da SilvaResult: Alex da Silva won by decision Picking Vargas straight up iakamber 1u lost -1u @3.20 Dog Catcher 1u lost -1u @3.25 BMMA User 0.5u lost -0.5u @3.50 BMMA User 2u lost -2u @3.25 Bet Winner 5u lost -5u @3.79Picking Vargas as part of a parlay Mike Alexander Over 0.5 rounds @4.90 Predictions UFC straight pick @3.25 Picking da Silva straight up KnockOut 5u won 2.2u @1.44 MMAPREDICTIONGURU 5u won 2.0u @1.39 Jake Thomas 2.5u won 1.0u @1.40 QueensDaughter 6u won 2.3u @1.38 MikesMMApicks 1.5u won 0.6u @1.38 KOP KingOfParlays 2u won 0.7u @1.37 MattyNice 1u won 0.4u @1.38 CoolHandJack17 1u won 0.4u @1.36 Lucky Guy 2u won 0.7u @1.35 Txrunning 1u won 0.7u @1.71 The Storm 3u won 1.4u @1.45 GorillaPix 1u won 0.4u @1.38 Bennosuke the MF man 3u won 1.0u @1.34 Ex user 3u won 0.9u @1.30 Alexander Melchiott 1u won 0.3u @1.28 BIGS TIPS 10u won 3.6u @1.36 Grapple Boxing 1u won 0.3u @1.33Picking da Silva as part of a parlay KnockOut straight pick @1.44 DIRTYMITTENMMA straight pick @1.43 P J Jones straight pick @1.42 phillip53 straight pick @1.38 MikesMMApicks straight pick @1.38 MMA Selector straight pick @1.37 bwol MMA straight pick @1.36 JoanCombatPicks wins by TKO/KO @4.15 a wins by TKO/KO @4.15 KOP KingOfParlays straight pick @1.38 Anthony Venutolo wins inside distance @2.62 MagicM wins inside distance @2.56 ARM N HAMMER wins inside distance @2.56 ARM N HAMMER straight pick @1.36 TMM wins inside distance @2.40 Sleaze Nation straight pick @1.36 JoanCombatPicks straight pick @1.35 KOP KingOfParlays straight pick @1.38 KingPIcksMMA straight pick @1.32 MMA Prophit straight pick @1.40 Quinn straight pick @1.33 Pumba MMA straight pick @1.36 Ya Boi Picks straight pick @1.36 P J Jones straight pick @1.35 Danny Sanchez wins inside distance @2.05 WarriorBet MMA straight pick @1.39 P J Jones wins by KO/TKO or Sub @2.40 vegeta straight pick @1.36 GorillaPix Under 2.5 rounds @1.76 DarkHorse MMAus straight pick @1.36 BMMA User straight pick @1.36 Wellstack MMA straight pick @1.36 James Higgins straight pick @1.36 Alexander Melchiott straight pick @1.34 RoganMMA straight pick @1.40 The Enfuego straight pick @1.30 _ wins inside distance @2.20 Marlo Stanfield TBE straight pick @1.44 Marlo Stanfield TBE wins in round 3/Dec @2.10  Parlays with no winner selected Gugabe Picks Fight doesn't go to decision @2.30 gem779 Fight doesn't go to decision @2.30 JoanCombatPicks Fight doesn't go to decision @1.91 MagicM Fight doesn't go to decision @1.61 TMM Fight doesn't go to decision @1.61 Anthony Venutolo Fight doesn't go to decision @1.56 Gugabe Picks Fight ends by (T)KO @2.80 do-jinmono Fight doesn't go to decision @1.73 BenlikesfoodMMA Under 2.5 rounds @1.69 GorillaPix Fight doesn't go to decision @1.61 MattyNice Fight doesn't go to decision @1.61 ncow Fight doesn't go to decision @1.68 Alexander Melchiott Fight doesn't go to decision @1.61 BMMA User Fight doesn't go to decision @2.05 The Enfuego Fight doesn't go to decision @1.61,Rodrigo Vargas,Alex da SilvaResult: Alex da Silva won by decision Picking Vargas straight up iakamber 1u lost -1u @3.20 Dog Catcher 1u lost -1u @3.25 BMMA User 0.5u lost -0.5u @3.50 BMMA User 2u lost -2u @3.25 Bet Winner 5u lost -5u @3.79Picking Vargas as part of a parlay Mike Alexander Over 0.5 rounds @4.90 Predictions UFC straight pick @3.25 Picking da Silva straight up KnockOut 5u won 2.2u @1.44 MMAPREDICTIONGURU 5u won 2.0u @1.39 Jake Thomas 2.5u won 1.0u @1.40 QueensDaughter 6u won 2.3u @1.38 MikesMMApicks 1.5u won 0.6u @1.38 KOP KingOfParlays 2u won 0.7u @1.37 MattyNice 1u won 0.4u @1.38 CoolHandJack17 1u won 0.4u @1.36 Lucky Guy 2u won 0.7u @1.35 Txrunning 1u won 0.7u @1.71 The Storm 3u won 1.4u @1.45 GorillaPix 1u won 0.4u @1.38 Bennosuke the MF man 3u won 1.0u @1.34 Ex user 3u won 0.9u @1.30 Alexander Melchiott 1u won 0.3u @1.28 BIGS TIPS 10u won 3.6u @1.36 Grapple Boxing 1u won 0.3u @1.33Picking da Silva as part of a parlay KnockOut straight pick @1.44 DIRTYMITTENMMA straight pick @1.43 P J Jones straight pick @1.42 phillip53 straight pick @1.38 MikesMMApicks straight pick @1.38 MMA Selector straight pick @1.37 bwol MMA straight pick @1.36 JoanCombatPicks wins by TKO/KO @4.15 a wins by TKO/KO @4.15 KOP KingOfParlays straight pick @1.38 Anthony Venutolo wins inside distance @2.62 MagicM wins inside distance @2.56 ARM N HAMMER wins inside distance @2.56 ARM N HAMMER straight pick @1.36 TMM wins inside distance @2.40 Sleaze Nation straight pick @1.36 JoanCombatPicks straight pick @1.35 KOP KingOfParlays straight pick @1.38 KingPIcksMMA straight pick @1.32 MMA Prophit straight pick @1.40 Quinn straight pick @1.33 Pumba MMA straight pick @1.36 Ya Boi Picks straight pick @1.36 P J Jones straight pick @1.35 Danny Sanchez wins inside distance @2.05 WarriorBet MMA straight pick @1.39 P J Jones wins by KO/TKO or Sub @2.40 vegeta straight pick @1.36 GorillaPix Under 2.5 rounds @1.76 DarkHorse MMAus straight pick @1.36 BMMA User straight pick @1.36 Wellstack MMA straight pick @1.36 James Higgins straight pick @1.36 Alexander Melchiott straight pick @1.34 RoganMMA straight pick @1.40 The Enfuego straight pick @1.30 _ wins inside distance @2.20 Marlo Stanfield TBE straight pick @1.44 Marlo Stanfield TBE wins in round 3/Dec @2.10  Parlays with no winner selected Gugabe Picks Fight doesn't go to decision @2.30 gem779 Fight doesn't go to decision @2.30 JoanCombatPicks Fight doesn't go to decision @1.91 MagicM Fight doesn't go to decision @1.61 TMM Fight doesn't go to decision @1.61 Anthony Venutolo Fight doesn't go to decision @1.56 Gugabe Picks Fight ends by (T)KO @2.80 do-jinmono Fight doesn't go to decision @1.73 BenlikesfoodMMA Under 2.5 rounds @1.69 GorillaPix Fight doesn't go to decision @1.61 MattyNice Fight doesn't go to decision @1.61 ncow Fight doesn't go to decision @1.68 Alexander Melchiott Fight doesn't go to decision @1.61 BMMA User Fight doesn't go to decision @2.05 The Enfuego Fight doesn't go to decision @1.61
2,1.74,2.3,Veronica Macedo vs Polyana Viana,Veronica Macedo,Polyana Viana
2,1.44,3.78,Colby Covington vs Robbie Lawler,Colby Covington,Robbie Lawler
2,2.35,1.69,Clay Guida vs Jim Miller,Clay Guida,Jim Miller
2,4.3,1.36,Joaquim Silva vs Nasrat Haqparast,Joaquim Silva,Nasrat Haqparast
2,2.55,1.61,Gerald Meerschaert vs Trevin Giles,Gerald Meerschaert,Trevin Giles
2,1.27,4.5,Scott Holtzman vs Dong Hyun Ma,Scott Holtzman,Dong Hyun Ma
2,1.91,2.1,Darko Stosic vs Kennedy Nzechukwu,Darko Stosic,Kennedy Nzechukwu
2,2.1,1.89,Mickey Gall vs Salim Touahri,Mickey Gall,Salim Touahri
2,1.71,2.36,Antonina Shevchenko vs Lucie Pudilova,Antonina Shevchenko,Lucie Pudilova
2,2.45,1.77,Matt Schnell vs Jordan Espinosa,Matt Schnell,Jordan Espinosa
2,1.5,2.85,Mara Romero Borella vs Lauren Murphy,Mara Romero Borella,Lauren Murphy
2,1.2,5.4,Claudio Silva vs Cole Williams,Claudio Silva,Cole Williams
2,1.91,2.1,Hannah Goldy vs Miranda Granger,Hannah Goldy,Miranda Granger
2,2.04,1.93,Rafael dos Anjos vs Leon Edwards,Rafael dos Anjos,Leon Edwards
2,1.71,2.4,Walt Harris vs Aleksei Oleinik,Walt Harris,Aleksei Oleinik
2,2.16,1.94,Greg Hardy vs Juan Adams,Greg Hardy,Juan Adams
2,2.23,1.83,James Vick vs Daniel Hooker,James Vick,Daniel Hooker
2,1.5,2.95,Alexander Hernandez vs Francisco Trinaldo,Alexander Hernandez,Francisco Trinaldo
2,2.65,1.58,Andrei Arlovski vs Ben Rothwell,Andrei Arlovski,Ben Rothwell
2,1.97,2.0,Alex Caceres vs Steven Peterson,Alex Caceres,Steven Peterson
2,1.76,2.32,Irene Aldana vs Raquel Pennington,Irene Aldana,Raquel Pennington
2,2.71,1.62,Sam Alvey vs Klidson Farias de Abreu,Sam Alvey,Klidson Farias de Abreu
2,1.79,2.28,Jennifer Maia vs Roxanne Modafferi,Jennifer Maia,Roxanne Modafferi
2,1.62,2.6,Ray Borg vs Gabriel Silva,Ray Borg,Gabriel Silva
2,2.6,2.45,Mario Bautista vs Jin Soo Son,Mario Bautista,Jin Soo Son
2,4.05,1.3,Felipe Colares vs Domingo Pilarte,Felipe Colares,Domingo Pilarte
2,2.2,1.89,Germaine de Randamie vs Aspen Ladd,Germaine de Randamie,Aspen Ladd
2,4.2,1.4,Urijah Faber vs Ricky Simon,Urijah Faber,Ricky Simon
2,2.5,1.62,Josh Emmett vs Mirsad Bektic,Josh Emmett,Mirsad Bektic
2,1.54,2.9,Karl Roberson vs Wellington Turman,Karl Roberson,Wellington Turman
2,2.9,1.62,Cezar Ferreira vs Marvin Vettori,Cezar Ferreira,Marvin Vettori
2,4.6,1.26,John Allan vs Mike Rodriguez,John Allan,Mike Rodriguez
2,1.72,2.45,Andre Fili vs Sheymon da Silva Moraes,Andre Fili,Sheymon da Silva Moraes
2,1.53,3.07,Julianna Pena vs Nicco Montano,Julianna Pena,Nicco Montano
2,2.03,1.95,Ryan Hall vs Darren Elkins,Ryan Hall,Darren Elkins
2,2.64,1.61,Jonathan Martinez vs Pingyuan Liu,Jonathan Martinez,Pingyuan Liu
2,2.01,2.0,Brianna Van Buren vs Livia Renata Souza,Brianna Van Buren,Livia Renata Souza
2,2.05,1.99,Benito Lopez vs Vincent Morales,Benito Lopez,Vincent Morales
2,1.19,6.13,Jon Jones vs Thiago Santos,Jon Jones,Thiago Santos
2,1.34,4.63,Amanda Nunes vs Holly Holm,Amanda Nunes,Holly Holm
2,1.51,2.9,Ben Askren vs Jorge Masvidal,Ben Askren,Jorge Masvidal
2,1.43,3.25,Luke Rockhold vs Jan Blachowicz,Luke Rockhold,Jan Blachowicz
2,1.31,4.5,Michael Chiesa vs Diego Sanchez,Michael Chiesa,Diego Sanchez
2,1.33,3.81,Arnold Allen vs Gilbert Melendez,Arnold Allen,Gilbert Melendez
2,4.9,1.23,Nohelin Hernandez vs Marlon Vera,Nohelin Hernandez,Marlon Vera
2,1.54,2.9,Claudia Gadelha vs Randa Markos,Claudia Gadelha,Randa Markos
2,2.76,1.53,Alejandro Perez vs Yadong Song,Alejandro Perez,Yadong Song
2,6.5,1.21,Jack Marshman vs Edmen Shahbazyan,Jack Marshman,Edmen Shahbazyan
2,1.18,5.92,Ismail Naurdiev vs Chance Rencountre,Ismail Naurdiev,Chance Rencountre
2,3.2,1.44,Pannie Kianzad vs Julia Avila,Pannie Kianzad,Julia Avila
2,2.9,1.5,Junior dos Santos vs Francis Ngannou,Junior dos Santos,Francis Ngannou
2,1.87,2.2,Joseph Benavidez vs Jussier Formiga,Joseph Benavidez,Jussier Formiga
2,1.57,2.69,Demian Maia vs Tony Martin,Demian Maia,Tony Martin
2,1.4,3.3,Roosevelt Roberts vs Vinc Pichel,Roosevelt Roberts,Vinc Pichel
2,1.29,4.65,Drew Dober vs Marco Polo Reyes,Drew Dober,Marco Polo Reyes
2,1.36,3.72,Alonzo Menifield vs Paul Craig,Alonzo Menifield,Paul Craig
2,4.4,1.3,Journey Newson vs Ricardo Ramos,Journey Newson,Ricardo Ramos
2,1.35,3.75,Eryk Anders vs Vinicius Moreira,Eryk Anders,Vinicius Moreira
2,1.31,3.95,Jared Gordon vs Dan Moret,Jared Gordon,Dan Moret
2,4.55,1.3,Dequan Townsend vs Dalcha Lungiambula,Dequan Townsend,Dalcha Lungiambula
2,1.59,2.7,Emily Whitmire vs Amanda Ribas,Emily Whitmire,Amanda Ribas
2,1.91,2.02,Maurice Greene vs Junior Albini,Maurice Greene,Junior Albini
2,1.54,2.81,Renato Moicano vs Chan Sung Jung,Renato Moicano,Chan Sung Jung
2,1.45,3.25,Bryan Barberena vs Randy Brown,Bryan Barberena,Randy Brown
2,2.23,1.91,Anderson dos Santos vs Andre Ewell,Anderson dos Santos,Andre Ewell
2,1.61,2.65,Andrea Lee vs Montana De La Rosa,Andrea Lee,Montana De La Rosa
2,3.0,1.51,Alessio Di Chirico vs Kevin Holland,Alessio Di Chirico,Kevin Holland
2,2.33,1.74,Dan Ige vs Kevin Aguilar,Dan Ige,Kevin Aguilar
2,1.8,2.15,Ashley Yoder vs Syuri Kondo,Ashley Yoder,Syuri Kondo
2,1.28,4.28,Luis Pena vs Matt Wiman,Luis Pena,Matt Wiman
2,2.99,1.5,Allen Crowder vs Jairzinho Rozenstruik,Allen Crowder,Jairzinho Rozenstruik
2,1.43,3.34,Ariane Lipski vs Molly McCann,Ariane Lipski,Molly McCann
2,1.36,4.09,Deron Winn vs Eric Spicely,Deron Winn,Eric Spicely
2,1.81,2.5,Marlon Moraes vs Henry Cejudo,Marlon Moraes,Henry Cejudo
2,1.1,9.3,Valentina Shevchenko vs Jessica Eye,Valentina Shevchenko,Jessica Eye
2,1.53,2.93,Tony Ferguson vs Donald Cerrone,Tony Ferguson,Donald Cerrone
2,1.34,4.15,Petr Yan vs Jimmie Rivera,Petr Yan,Jimmie Rivera
2,1.71,2.45,Tai Tuivasa vs Blagoy Ivanov,Tai Tuivasa,Blagoy Ivanov
2,1.17,6.75,Tatiana Suarez vs Nina Ansaroff,Tatiana Suarez,Nina Ansaroff
2,1.73,2.5,Aljamain Sterling vs Pedro Munhoz,Aljamain Sterling,Pedro Munhoz
2,2.08,2.0,Karolina Kowalkiewicz vs Alexa Grasso,Karolina Kowalkiewicz,Alexa Grasso
2,2.62,1.67,Ricardo Lamas vs Calvin Kattar,Ricardo Lamas,Calvin Kattar
2,3.15,1.53,Angela Hill vs Yan Xiaonan,Angela Hill,Yan Xiaonan
2,1.63,2.6,Bevon Lewis vs Darren Stewart,Bevon Lewis,Darren Stewart
2,1.73,2.41,Eddie Wineland vs Grigory Popov,Eddie Wineland,Grigory Popov
2,1.98,1.98,Joanne Calderwood vs Katlyn Chookagian,Joanne Calderwood,Katlyn Chookagian
2,1.34,3.85,Alexander Gustafsson vs Anthony Smith,Alexander Gustafsson,Anthony Smith
2,3.25,1.44,Jimi Manuwa vs Aleksandar Rakic,Jimi Manuwa,Aleksandar Rakic
2,1.91,2.13,Makwan Amirkhani vs Chris Fishgold,Makwan Amirkhani,Chris Fishgold
2,2.45,1.65,Christos Giagos vs Damir Hadzovic,Christos Giagos,Damir Hadzovic
2,2.3,1.77,Daniel Teymur vs Sung Bin Jo,Daniel Teymur,Sung Bin Jo
2,2.45,1.69,Rostem Akman vs Sergey Khandozhko,Rostem Akman,Sergey Khandozhko
2,1.33,4.15,Tonya Evinger vs Lina Lansberg,Tonya Evinger,Lina Lansberg
2,1.67,2.5,Leonardo Santos vs Stevie Ray,Leonardo Santos,Stevie Ray
2,2.21,1.8,Nick Hein vs Frank Camacho,Nick Hein,Frank Camacho
2,2.1,1.88,Duda Santana vs Bea Malecki,Duda Santana,Bea Malecki
2,2.05,2.04,Devin Clark vs Darko Stosic,Devin Clark,Darko Stosic
2,2.0,1.93,Joel Alvarez vs Danilo Belluardo,Joel Alvarez,Danilo Belluardo
2,1.74,2.35,Kevin Lee vs Rafael dos Anjos,Kevin Lee,Rafael dos Anjos
2,2.5,1.62,Ian Heinisch vs Antonio Carlos Junior,Ian Heinisch,Antonio Carlos Junior
2,1.49,2.9,Megan Anderson vs Felicia Spencer,Megan Anderson,Felicia Spencer
2,1.1,9.25,Vicente Luque vs Derrick Krantz,Vicente Luque,Derrick Krantz
2,1.29,4.28,Charles Oliveira vs Nik Lentz,Charles Oliveira,Nik Lentz
2,1.21,5.35,Davi Ramos vs Austin Hubbard,Davi Ramos,Austin Hubbard
2,1.4,3.5,Aspen Ladd vs Sijara Eubanks,Aspen Ladd,Sijara Eubanks
2,1.17,7.6,Desmond Green vs Charles Jourdain,Desmond Green,Charles Jourdain
2,3.2,1.42,Michel Pereira vs Danny Roberts,Michel Pereira,Danny Roberts
2,1.73,2.45,Grant Dawson vs Mike Trizano,Grant Dawson,Mike Trizano
2,1.43,3.15,Patrick Cummins vs Ed Herman,Patrick Cummins,Ed Herman
2,2.74,1.62,Zak Cummings vs Trevin Giles,Zak Cummings,Trevin Giles
2,1.14,7.0,Julio Arce vs Julian Erosa,Julio Arce,Julian Erosa
2,2.38,1.87,Rose Namajunas vs Jessica Andrade,Rose Namajunas,Jessica Andrade
2,2.05,1.9,Anderson Silva vs Jared Cannonier,Anderson Silva,Jared Cannonier
2,1.83,2.35,Jose Aldo vs Alex Volkanovski,Jose Aldo,Alex Volkanovski
2,2.1,1.91,Laureano Staropoli vs Thiago Alves,Laureano Staropoli,Thiago Alves
2,1.3,4.36,Irene Aldana vs Bethe Correia,Irene Aldana,Bethe Correia
2,2.2,1.83,Rogerio Nogueira vs Ryan Spann,Rogerio Nogueira,Ryan Spann
2,2.11,1.87,Kurt Holobaugh vs Thiago Moises,Kurt Holobaugh,Thiago Moises
2,2.25,1.77,Sergio Moraes vs Warlley Alves,Sergio Moraes,Warlley Alves
2,6.7,1.18,B.J. Penn vs Clay Guida,B.J. Penn,Clay Guida
