,Fighter,W_L_FIGHTERS,KD_Win,KD_lose,Sig_str_land_win,Sig_str_att_win,Sig_str_land_lose,Sig_str_att_lose,Sig_str_%_win,Sig_str_%_lose,Tot_str_land_win,Tot_str_att_win,Tot_str_land_lose,Tot_str_att_lose,Td_land_win,Td_att_win,Td_land_lose,Td_att_lose,Td_%_win,Td_%_lose,Sub_att_win,Sub_att_lose,Pass_win,Pass_lose,Rev_win,Rev_lose,Head_land_win,Head_att_win,Head_land_lose,Head_att_lose,Body_land_win,Body_att_win,Body_land_lose,Body_att_lose,Leg_land_win,Leg_att_win,Leg_land_lose,Leg_att_lose,Dist_land_win,Dist_att_win,Dist_land_lose,Dist_att_lose,Clinch_land_win,Clinch_att_win,Clinch_land_lose,Clinch_att_lose,Ground_land_win,Ground_att_win,Ground_land_lose,Ground_att_lose
1521,HenriquedaSilvaJoachimChristensen,HenriquedaSilvaJoachimChristensen,0, 1,44,76,50,124,57%, 40%,53,85,96,177,0,0,0,0,0%, 0%,1, 0,3, 1,1, 0,17,44,42,114,23,27,4,6,4,5,4,4,25,49,27,88,16,20,11,18,3,7,12,18
1522,HacranDiasAndreFili,AndreFiliHacranDias, 1,0,45,124,25,69, 36%,36%,72,151,46,91,1,2,4,13, 50%,30%, 0,1, 3,3, 1,0,34,107,20,60,3,6,2,6,8,11,3,3,24,83,20,60,1,4,1,2,20,37,4,7
1523,ShamilAbdurakhimovWaltHarris,ShamilAbdurakhimovWaltHarris,0, 0,47,128,33,98,36%, 33%,52,135,36,101,1,8,0,0,12%, 0%,0, 1,1, 0,0, 0,21,91,21,79,6,10,7,12,20,27,5,7,39,108,24,83,7,16,9,15,1,4,0,0
1524,KeitaNakamuraElizeuZaleskidosSantos,ElizeuZaleskidosSantosKeitaNakamura, 0,0,34,120,24,58, 28%,41%,45,131,64,113,1,1,5,6, 100%,83%, 2,0, 2,5, 0,0,24,105,21,53,6,10,3,5,4,5,0,0,25,101,16,46,5,12,3,5,4,7,5,7
1525,NateMarquardtTamdanMcCrory,NateMarquardtTamdanMcCrory,1, 0,24,39,16,52,61%, 30%,48,65,19,55,2,2,0,0,100%, 0%,0, 0,0, 0,0, 0,11,22,5,38,9,11,4,6,4,6,7,8,19,33,16,51,1,2,0,1,4,4,0,0
1526,JonathanWilsonIonCutelaba,IonCutelabaJonathanWilson, 0,0,89,283,30,78, 31%,38%,92,286,32,80,0,1,0,0, 0%,0%, 0,0, 0,0, 0,0,59,246,21,69,20,27,6,6,10,10,3,3,68,240,30,74,21,43,0,4,0,0,0,0
1527,CodyEastCurtisBlaydes,CurtisBlaydesCodyEast, 0,0,52,81,21,47, 64%,44%,109,149,40,68,5,6,3,3, 83%,100%, 0,0, 3,0, 0,0,41,69,17,43,7,8,0,0,4,4,4,4,10,21,15,38,6,12,4,5,36,48,2,4
1528,KellyFaszholzKetlenVieira,KetlenVieiraKellyFaszholz, 0,0,13,57,44,104, 22%,42%,67,120,113,178,4,6,0,1, 66%,0%, 0,0, 3,0, 0,0,11,55,26,79,0,0,14,21,2,2,4,4,12,50,30,79,0,4,11,18,1,3,3,7
1529,CrisCyborgLinaLansberg,CrisCyborgLinaLansberg,0, 0,84,127,14,23,66%, 60%,100,144,24,35,2,2,0,1,100%, 0%,0, 0,4, 0,0, 0,49,85,2,8,32,39,11,14,3,3,1,1,26,46,1,4,31,38,13,16,27,43,0,3
1530,RenanBaraoPhillipeNover,RenanBaraoPhillipeNover,0, 0,64,151,39,141,42%, 27%,64,152,54,157,3,3,0,0,100%, 0%,0, 0,0, 0,0, 0,27,98,25,119,14,22,10,17,23,31,4,5,58,142,32,133,6,9,6,7,0,0,1,1
