,Fighter,W_L_FIGHTERS,KD_Win,KD_lose,Sig_str_land_win,Sig_str_att_win,Sig_str_land_lose,Sig_str_att_lose,Sig_str_%_win,Sig_str_%_lose,Tot_str_land_win,Tot_str_att_win,Tot_str_land_lose,Tot_str_att_lose,Td_land_win,Td_att_win,Td_land_lose,Td_att_lose,Td_%_win,Td_%_lose,Sub_att_win,Sub_att_lose,Pass_win,Pass_lose,Rev_win,Rev_lose,Head_land_win,Head_att_win,Head_land_lose,Head_att_lose,Body_land_win,Body_att_win,Body_land_lose,Body_att_lose,Leg_land_win,Leg_att_win,Leg_land_lose,Leg_att_lose,Dist_land_win,Dist_att_win,Dist_land_lose,Dist_att_lose,Clinch_land_win,Clinch_att_win,Clinch_land_lose,Clinch_att_lose,Ground_land_win,Ground_att_win,Ground_land_lose,Ground_att_lose
0,JanBlachowiczJacareSouza,JanBlachowiczJacareSouza,0, 0,71,170,20,48,41%, 41%,105,205,56,88,0,0,0,5,0%, 0%,0, 0,0, 0,0, 0,38,121,8,28,13,20,3,10,20,29,9,10,59,154,18,45,12,16,2,3,0,0,0,0
1,CharlesOliveiraJaredGordon,CharlesOliveiraJaredGordon,1, 0,10,16,7,18,62%, 38%,10,16,7,18,0,1,0,0,0%, 0%,0, 0,0, 0,0, 0,5,9,7,16,1,3,0,2,4,4,0,0,8,14,7,18,0,0,0,0,2,2,0,0
2,AntonioArroyoAndreMuniz,AndreMunizAntonioArroyo, 0,0,22,42,29,47, 52%,61%,85,128,47,67,3,7,1,1, 42%,100%, 2,0, 2,0, 0,1,12,30,20,35,8,10,5,7,2,2,4,5,20,40,21,36,1,1,0,0,1,1,8,11
3,MarkusPerezWellingtonTurman,WellingtonTurmanMarkusPerez, 0,0,48,120,49,96, 40%,51%,59,132,56,103,2,9,0,1, 22%,0%, 0,0, 1,0, 0,0,35,103,33,72,8,12,13,21,5,5,3,3,23,91,26,67,19,21,21,26,6,8,2,3
4,SergioMoraesJamesKrause,JamesKrauseSergioMoraes, 3,0,102,174,41,99, 58%,41%,125,200,42,100,0,0,1,4, 0%,25%, 0,0, 1,1, 1,0,79,148,36,91,7,10,3,6,16,16,2,2,97,166,41,99,0,0,0,0,5,8,0,0
5,RicardoRamosEduardoGaragorri,RicardoRamosEduardoGaragorri,0, 0,10,34,6,16,29%, 37%,12,36,6,16,2,3,0,0,66%, 0%,1, 0,1, 0,0, 0,3,23,3,11,3,4,3,4,4,7,0,1,9,33,6,16,0,0,0,0,1,1,0,0
6,FranciscoTrinaldoBobbyGreen,FranciscoTrinaldoBobbyGreen,0, 0,31,122,50,115,25%, 43%,36,127,67,135,1,2,2,2,50%, 100%,1, 0,0, 4,0, 0,20,100,27,77,5,14,13,24,6,8,10,14,26,109,43,106,5,13,1,2,0,0,6,7
7,WarlleyAlvesRandyBrown,RandyBrownWarlleyAlves, 0,0,16,30,3,11, 53%,27%,24,38,8,18,1,1,3,3, 100%,100%, 1,2, 1,3, 1,0,11,23,1,8,3,4,0,0,2,3,2,3,9,18,1,9,3,5,0,0,4,7,2,2
8,DouglasSilvadeAndradeRenanBarao,DouglasSilvadeAndradeRenanBarao,0, 0,74,163,58,158,45%, 36%,100,190,140,241,0,0,2,9,0%, 22%,0, 0,0, 1,0, 0,51,127,31,115,15,27,14,25,8,9,13,18,68,156,49,147,4,4,7,8,2,3,2,3
9,ArianeLipskiIsabeladePadua,ArianeLipskiIsabeladePadua,1, 0,31,63,15,42,49%, 35%,175,224,90,128,0,0,2,3,0%, 66%,1, 1,2, 0,1, 0,27,58,15,42,4,4,0,0,0,1,0,0,18,45,6,26,0,0,0,0,13,18,9,16
10,VanessaMeloTracyCortez,TracyCortezVanessaMelo, 0,0,79,140,40,125, 56%,32%,155,224,76,161,2,9,0,0, 22%,0%, 0,0, 1,0, 0,0,53,109,32,116,16,18,7,7,10,13,1,2,46,103,32,117,12,12,6,6,21,25,2,2
11,ZabitMagomedsharipovCalvinKattar,ZabitMagomedsharipovCalvinKattar,0, 0,96,250,80,213,38%, 37%,100,255,127,260,1,4,0,0,25%, 0%,0, 0,0, 0,0, 0,46,181,61,184,14,33,11,21,36,36,8,8,95,249,71,204,0,0,0,0,1,1,9,9
12,AlexanderVolkovGregHardy,AlexanderVolkovGregHardy,0, 0,86,152,46,135,56%, 34%,86,152,51,140,0,0,0,2,0%, 0%,0, 0,0, 0,0, 0,44,101,23,92,26,32,13,29,16,19,10,14,86,152,46,135,0,0,0,0,0,0,0,0
13,ZelimImadaevDannyRoberts,DannyRobertsZelimImadaev, 1,0,37,61,28,71, 60%,39%,42,68,38,84,1,8,1,1, 12%,100%, 0,0, 0,1, 0,0,10,34,15,54,17,17,10,12,10,10,3,5,18,40,19,58,19,21,9,11,0,0,0,2
14,KhadisIbragimovEdHerman,EdHermanKhadisIbragimov, 0,0,81,140,53,102, 57%,51%,121,183,70,124,0,4,2,4, 0%,50%, 0,0, 0,1, 0,0,49,103,48,95,17,19,4,6,15,18,1,1,36,79,43,91,43,59,10,11,2,2,0,0
15,RamazanEmeevAnthonyRoccoMartin,AnthonyRoccoMartinRamazanEmeev, 0,0,41,140,30,92, 29%,32%,48,148,43,105,0,0,0,9, 0%,0%, 2,0, 0,0, 0,0,22,119,26,84,0,0,2,4,19,21,2,4,41,140,24,86,0,0,6,6,0,0,0,0
16,ShamilGamzatovKlidsonAbreu,ShamilGamzatovKlidsonAbreu,0, 0,64,138,32,78,46%, 41%,82,158,47,95,0,1,1,2,0%, 50%,0, 0,0, 0,0, 0,10,59,11,48,23,34,7,15,31,45,14,15,64,138,31,76,0,0,1,1,0,0,0,1
17,MagomedAnkalaevDalchaLungiambula,MagomedAnkalaevDalchaLungiambula,1, 0,44,67,6,26,65%, 23%,91,123,13,33,1,3,0,2,33%, 0%,0, 0,1, 0,0, 0,28,45,4,23,12,16,2,3,4,6,0,0,23,44,5,25,4,5,1,1,17,18,0,0
18,RustamKhabilovSergeyKhandozhko,RustamKhabilovSergeyKhandozhko,0, 0,12,28,25,51,42%, 49%,56,79,188,219,4,12,0,0,33%, 0%,0, 0,1, 0,0, 0,6,21,12,33,3,4,0,3,3,3,13,15,8,23,23,49,0,0,2,2,4,5,0,0
19,RomanKopylovKarlRoberson,KarlRobersonRomanKopylov, 0,0,43,117,37,95, 36%,38%,43,117,38,96,1,3,0,1, 33%,0%, 1,0, 1,0, 0,0,14,77,19,72,3,10,15,20,26,30,3,3,41,115,37,95,2,2,0,0,0,0,0,0
20,AbubakarNurmagomedovDavidZawada,DavidZawadaAbubakarNurmagomedov, 0,0,2,11,4,9, 18%,44%,25,34,22,34,0,0,1,1, 0%,100%, 2,0, 0,1, 0,0,0,7,3,8,1,3,0,0,1,1,1,1,2,11,4,9,0,0,0,0,0,0,0,0
21,AlexanderYakovlevRooseveltRoberts,RooseveltRobertsAlexanderYakovlev, 0,0,28,98,20,49, 28%,40%,56,128,38,71,0,0,3,8, 0%,37%, 0,0, 3,1, 0,0,22,90,8,34,2,4,6,9,4,4,6,6,27,96,12,38,1,2,1,1,0,0,7,10
22,Jessica-RoseClarkPannieKianzad,PannieKianzadJessica-RoseClark, 0,0,98,238,65,157, 41%,41%,103,243,71,163,0,1,0,2, 0%,0%, 0,0, 0,0, 0,0,71,194,37,117,14,30,6,16,13,14,22,24,93,229,65,157,5,9,0,0,0,0,0,0
23,GrigoriiPopovDaveyGrant,DaveyGrantGrigoriiPopov, 0,0,30,63,35,88, 47%,39%,34,70,57,111,6,9,0,0, 66%,0%, 0,0, 2,1, 1,2,8,32,16,57,12,19,14,22,10,12,5,9,27,52,25,65,0,2,4,5,3,9,6,18
24,JorgeMasvidalNateDiaz,JorgeMasvidalNateDiaz,2, 0,112,179,43,104,62%, 41%,114,184,125,194,1,1,0,2,100%, 0%,0, 0,0, 0,0, 0,78,136,23,74,27,35,12,21,7,8,8,9,52,92,33,91,20,25,10,13,40,62,0,0
25,KelvinGastelumDarrenTill,DarrenTillKelvinGastelum, 0,0,36,67,40,81, 53%,49%,37,69,50,96,1,2,1,4, 50%,25%, 0,0, 0,0, 0,0,19,48,8,41,2,2,11,14,15,17,21,26,34,61,26,63,2,6,14,18,0,0,0,0
26,StephenThompsonVicenteLuque,StephenThompsonVicenteLuque,1, 0,138,242,77,175,57%, 44%,138,242,77,175,0,0,0,0,0%, 0%,0, 0,0, 0,0, 0,111,212,26,107,21,23,9,18,6,7,42,50,126,227,76,172,3,3,1,3,9,12,0,0
27,DerrickLewisBlagoyIvanov,DerrickLewisBlagoyIvanov,0, 0,31,68,20,38,45%, 52%,32,69,61,83,1,3,3,6,33%, 50%,0, 1,1, 3,0, 0,21,54,12,27,8,11,7,10,2,3,1,1,9,27,12,24,22,41,8,14,0,0,0,0
28,KevinLeeGregorGillespie,KevinLeeGregorGillespie,1, 0,21,59,9,46,35%, 19%,21,59,9,46,0,0,0,1,0%, 0%,0, 0,0, 0,0, 0,19,55,8,45,2,4,0,0,0,0,1,1,20,56,9,46,0,2,0,0,1,1,0,0
29,CoreyAndersonJohnnyWalker,CoreyAndersonJohnnyWalker,1, 0,22,39,1,3,56%, 33%,26,43,1,3,1,2,0,0,50%, 0%,0, 0,0, 0,0, 0,21,38,0,2,1,1,0,0,0,0,1,1,5,15,1,3,10,13,0,0,7,11,0,0
30,ShaneBurgosMakwanAmirkhani,ShaneBurgosMakwanAmirkhani,1, 0,105,155,22,48,67%, 45%,161,217,23,49,0,0,3,19,0%, 15%,0, 1,1, 0,0, 0,61,108,21,46,41,43,1,2,3,4,0,0,39,78,21,47,15,17,0,0,51,60,1,1
31,BradTavaresEdmenShahbazyan,EdmenShahbazyanBradTavares, 2,0,14,38,3,23, 36%,13%,14,38,3,23,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,12,36,1,19,2,2,1,1,0,0,1,3,10,32,3,22,2,4,0,1,2,2,0,0
32,AndreiArlovskiJairzinhoRozenstruik,JairzinhoRozenstruikAndreiArlovski, 1,0,5,9,4,9, 55%,44%,5,9,4,9,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,4,8,1,6,0,0,0,0,1,1,3,3,5,9,4,9,0,0,0,0,0,0,0,0
33,KatlynChookagianJenniferMaia,KatlynChookagianJenniferMaia,0, 0,73,180,58,231,40%, 25%,109,217,74,248,0,1,1,2,0%, 50%,0, 0,0, 1,0, 0,45,142,31,193,15,21,5,13,13,17,22,25,73,180,57,228,0,0,1,2,0,0,0,1
34,LymanGoodChanceRencountre,LymanGoodChanceRencountre,1, 0,68,134,23,83,50%, 27%,73,142,23,85,0,0,0,1,0%, 0%,0, 0,0, 0,0, 0,52,113,6,54,6,10,14,26,10,11,3,3,59,124,20,80,8,9,3,3,1,1,0,0
35,JulioArceHakeemDawodu,HakeemDawoduJulioArce, 0,0,55,139,32,124, 39%,25%,83,170,64,162,0,0,1,3, 0%,33%, 0,0, 0,2, 1,0,15,79,21,101,25,42,11,22,15,18,0,1,40,121,28,116,11,14,4,8,4,4,0,0
36,DemianMaiaBenAskren,DemianMaiaBenAskren,0, 0,69,122,63,127,56%, 49%,84,137,102,168,0,0,4,7,0%, 57%,1, 0,4, 1,2, 1,44,88,54,116,25,34,4,6,0,0,5,5,49,99,46,108,17,20,11,13,3,3,6,6
37,MichaelJohnsonStevieRay,StevieRayMichaelJohnson, 0,0,85,188,78,173, 45%,45%,104,207,81,176,1,4,0,0, 25%,0%, 0,0, 1,0, 0,0,59,156,46,134,4,4,19,26,22,28,13,13,57,142,77,172,0,0,1,1,28,46,0,0
38,FrankCamachoBeneilDariush,BeneilDariushFrankCamacho, 0,0,13,18,3,9, 72%,33%,14,19,3,9,2,2,0,0, 100%,0%, 1,0, 1,0, 0,0,8,13,1,7,3,3,2,2,2,2,0,0,11,16,2,8,2,2,1,1,0,0,0,0
39,CirylGaneDon'TaleMayes,CirylGaneDon'TaleMayes,1, 0,94,168,32,121,55%, 26%,99,173,40,132,3,3,0,0,100%, 0%,1, 0,1, 0,0, 0,50,112,14,90,30,40,5,9,14,16,13,22,68,128,30,118,22,29,2,3,4,11,0,0
40,MuslimSalikhovLaureanoStaropoli,MuslimSalikhovLaureanoStaropoli,0, 0,63,132,42,138,47%, 30%,64,133,48,144,3,5,0,3,60%, 0%,0, 0,0, 0,0, 0,41,105,26,110,15,20,13,25,7,7,3,3,49,109,40,135,11,18,2,3,3,5,0,0
41,RandaMarkosAshleyYoder,RandaMarkosAshleyYoder,0, 0,78,140,44,107,55%, 41%,94,158,82,148,0,1,2,6,0%, 33%,0, 0,1, 3,1, 1,58,116,30,84,10,13,11,16,10,11,3,7,42,93,24,80,26,33,5,10,10,14,15,17
42,AlexWhiteRafaelFiziev,RafaelFizievAlexWhite, 0,0,66,131,55,133, 50%,41%,73,138,66,146,1,1,0,11, 100%,0%, 0,0, 0,0, 0,0,40,86,37,102,12,26,15,27,14,19,3,4,52,109,36,107,14,22,18,25,0,0,1,1
43,EnriqueBarzolaMovsarEvloev,MovsarEvloevEnriqueBarzola, 0,0,71,233,78,234, 30%,33%,78,244,83,239,4,11,1,5, 36%,20%, 0,0, 0,1, 0,0,63,220,48,189,3,5,21,31,5,8,9,14,66,221,64,212,4,10,6,7,1,2,8,15
44,MauriceGreeneSergeiPavlovich,SergeiPavlovichMauriceGreene, 1,0,20,37,8,22, 54%,36%,21,38,8,22,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,20,36,1,11,0,1,1,2,0,0,6,9,7,17,8,22,5,8,0,0,8,12,0,0
45,LomaLookboonmeeAlexandraAlbu,LomaLookboonmeeAlexandraAlbu,0, 0,99,151,65,157,65%, 41%,112,164,77,171,1,6,1,3,16%, 33%,0, 0,0, 0,0, 0,31,66,42,128,54,71,21,25,14,14,2,4,38,74,34,114,61,77,29,39,0,0,2,4
46,RaphaelPessoaJeffHughes,RaphaelPessoaJeffHughes,1, 0,39,138,34,77,28%, 44%,43,143,48,93,0,0,0,0,0%, 0%,0, 0,0, 0,0, 1,22,112,10,46,3,8,6,9,14,18,18,22,32,125,28,68,7,13,3,4,0,0,3,5
47,DominickReyesChrisWeidman,DominickReyesChrisWeidman,1, 0,8,11,3,6,72%, 50%,9,12,10,13,0,0,1,4,0%, 25%,0, 0,0, 0,0, 0,7,10,1,4,0,0,2,2,1,1,0,0,2,4,1,3,2,2,1,1,4,5,1,2
48,YairRodriguezJeremyStephens,YairRodriguezJeremyStephens,0, 0,96,170,50,95,56%, 52%,136,213,99,156,0,3,3,4,0%, 75%,0, 0,0, 1,0, 0,65,127,35,76,14,23,10,10,17,20,5,9,54,100,19,51,6,10,6,11,36,60,25,33
49,JoeLauzonJonathanPearce,JoeLauzonJonathanPearce,0, 0,25,36,8,19,69%, 42%,28,39,8,19,1,2,0,0,50%, 0%,0, 0,2, 0,0, 0,24,35,4,14,1,1,2,3,0,0,2,2,9,19,8,18,1,1,0,1,15,16,0,0
50,MayceeBarberGillianRobertson,MayceeBarberGillianRobertson,0, 0,34,68,12,28,50%, 42%,40,74,15,31,0,0,0,2,0%, 0%,0, 0,0, 0,0, 0,31,65,8,21,3,3,2,3,0,0,2,4,15,46,11,27,16,19,1,1,3,3,0,0
51,DeronWinnDarrenStewart,DarrenStewartDeronWinn, 0,0,57,119,29,53, 47%,54%,77,140,66,98,1,1,6,15, 100%,40%, 0,0, 0,1, 0,1,54,115,25,49,3,4,1,1,0,0,3,3,31,88,11,31,14,17,7,11,12,14,11,11
52,CharlesRosaMannyBermudez,CharlesRosaMannyBermudez,0, 0,6,8,27,38,75%, 71%,8,11,37,49,0,0,1,1,0%, 100%,1, 0,0, 1,0, 0,1,3,25,36,2,2,2,2,3,3,0,0,6,8,1,5,0,0,0,1,0,0,26,32
53,MollyMcCannDianaBelbita,MollyMcCannDianaBelbita,0, 0,113,238,98,252,47%, 38%,126,252,104,260,5,14,1,1,35%, 100%,1, 0,5, 0,0, 0,86,199,58,201,17,24,23,31,10,15,17,20,73,177,76,219,8,14,18,29,32,47,4,4
54,KyleBochniakSeanWoodson,SeanWoodsonKyleBochniak, 0,0,111,251,42,151, 44%,27%,150,290,52,161,0,0,1,15, 0%,6%, 0,0, 0,0, 0,0,93,231,17,113,8,10,15,26,10,10,10,12,104,243,32,137,7,8,10,14,0,0,0,0
55,RandyCostaBostonSalmon,RandyCostaBostonSalmon,2, 0,22,44,12,22,50%, 54%,23,45,16,26,0,0,0,1,0%, 0%,0, 0,0, 0,0, 0,21,41,4,13,1,3,7,8,0,0,1,1,19,36,11,21,0,1,1,1,3,7,0,0
56,CourtMcGeeSeanBrady,SeanBradyCourtMcGee, 1,0,119,210,107,291, 56%,36%,148,240,128,313,2,3,0,6, 66%,0%, 0,0, 0,0, 0,0,85,168,71,236,8,13,12,29,26,29,24,26,116,203,101,282,3,6,6,9,0,1,0,0
57,BrendanAllenKevinHolland,BrendanAllenKevinHolland,0, 0,10,22,22,38,45%, 57%,23,41,37,55,2,3,1,1,66%, 100%,4, 1,5, 2,2, 1,7,19,14,27,1,1,5,6,2,2,3,5,5,14,12,26,1,1,0,0,4,7,10,12
58,DanielSpitzTannerBoser,TannerBoserDanielSpitz, 0,0,93,151,32,108, 61%,29%,93,151,32,108,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,33,86,20,83,25,27,6,16,35,38,6,9,93,151,32,108,0,0,0,0,0,0,0,0
59,JoannaJedrzejczykMichelleWaterson,JoannaJedrzejczykMichelleWaterson,0, 0,180,300,58,160,60%, 36%,226,347,71,174,3,5,1,9,60%, 11%,1, 1,0, 1,0, 0,48,136,25,84,54,74,12,40,78,90,21,36,132,246,44,141,48,54,14,19,0,0,0,0
60,CubSwansonKronGracie,CubSwansonKronGracie,0, 0,135,288,86,200,46%, 43%,143,296,109,225,0,0,0,2,0%, 0%,0, 0,0, 0,0, 0,84,215,73,177,40,58,4,8,11,15,9,15,110,252,74,182,24,34,11,16,1,2,1,2
61,NikoPriceJamesVick,NikoPriceJamesVick,1, 0,11,22,9,18,50%, 50%,15,28,10,19,0,1,0,0,0%, 0%,0, 0,1, 0,0, 0,10,21,6,15,0,0,1,1,1,1,2,2,2,9,5,11,0,0,0,0,9,13,4,7
62,MackenzieDernAmandaRibas,AmandaRibasMackenzieDern, 0,0,74,206,20,145, 35%,13%,84,216,50,175,2,2,0,6, 100%,0%, 0,0, 0,0, 0,0,40,163,16,135,21,28,3,8,13,15,1,2,72,203,19,144,0,0,0,0,2,3,1,1
63,MattFrevolaLuisPena,MattFrevolaLuisPena,0, 0,48,110,51,120,43%, 42%,51,115,60,129,4,7,1,2,57%, 50%,0, 2,1, 1,0, 3,27,82,43,104,10,17,7,15,11,11,1,1,46,105,37,101,2,5,8,10,0,0,6,9
64,ErykAndersGeraldMeerschaert,ErykAndersGeraldMeerschaert,0, 0,64,178,72,202,35%, 35%,64,178,72,202,0,0,0,1,0%, 0%,0, 0,0, 0,0, 0,31,132,56,185,14,22,13,14,19,24,3,3,61,173,71,201,2,2,1,1,1,3,0,0
65,RyanSpannDevinClark,RyanSpannDevinClark,0, 0,17,48,17,37,35%, 45%,17,48,22,42,0,1,2,3,0%, 66%,1, 0,0, 0,0, 0,14,44,8,27,3,4,7,8,0,0,2,2,8,36,11,29,9,12,6,8,0,0,0,0
66,MikeDavisThomasGifford,MikeDavisThomasGifford,2, 0,139,222,88,242,62%, 36%,141,224,89,243,2,2,0,2,100%, 0%,0, 0,1, 0,0, 0,96,166,45,189,32,40,18,23,11,16,25,30,98,173,80,229,17,18,8,11,24,31,0,2
67,MaxGriffinAlexMorono,AlexMoronoMaxGriffin, 1,0,81,255,75,166, 31%,45%,87,261,94,189,0,1,4,5, 0%,80%, 0,0, 0,1, 0,0,60,229,37,115,11,15,33,45,10,11,5,6,68,237,69,156,12,16,5,9,1,2,1,1
68,DeivesonFigueiredoTimElliott,DeivesonFigueiredoTimElliott,0, 0,8,13,26,38,61%, 68%,8,13,33,45,0,1,1,3,0%, 33%,1, 0,0, 0,0, 0,8,13,10,16,0,0,1,5,0,0,15,17,6,10,20,28,2,3,6,10,0,0,0,0
69,MarlonVeraAndreEwell,MarlonVeraAndreEwell,0, 0,80,133,50,131,60%, 38%,87,140,67,148,0,1,0,1,0%, 0%,2, 0,0, 0,0, 0,41,83,38,112,19,26,11,18,20,24,1,1,51,95,49,124,15,21,1,6,14,17,0,1
70,MiguelBaezaHectorAldana,MiguelBaezaHectorAldana,1, 0,35,61,8,42,57%, 19%,35,61,8,42,1,1,0,0,100%, 0%,0, 0,0, 0,0, 0,16,38,2,30,3,7,0,4,16,16,6,8,29,51,8,42,0,0,0,0,6,10,0,0
71,MarvinVettoriAndrewSanchez,MarvinVettoriAndrewSanchez,0, 0,85,205,39,185,41%, 21%,86,206,39,185,0,0,0,2,0%, 0%,0, 0,0, 0,0, 0,72,187,21,146,10,14,6,17,3,4,12,22,74,188,38,183,11,17,1,2,0,0,0,0
72,JJAldrichLaurenMueller,JJAldrichLaurenMueller,0, 0,74,160,54,147,46%, 36%,78,164,60,153,1,2,1,1,50%, 100%,0, 0,1, 0,0, 0,59,142,34,117,10,11,10,20,5,7,10,10,70,151,52,145,4,9,2,2,0,0,0,0
73,RobertWhittakerIsraelAdesanya,IsraelAdesanyaRobertWhittaker, 2,0,40,95,32,116, 42%,27%,40,95,32,116,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,27,80,20,97,6,8,3,5,7,7,9,14,37,91,32,116,0,0,0,0,3,4,0,0
74,AlIaquintaDanHooker,DanHookerAlIaquinta, 1,0,98,207,37,116, 47%,31%,104,213,38,117,0,1,0,3, 0%,0%, 0,0, 2,0, 0,0,68,168,21,93,7,13,7,11,23,26,9,12,76,182,37,116,0,0,0,0,22,25,0,0
75,TaiTuivasaSergheiSpivac,SergheiSpivacTaiTuivasa, 0,0,23,42,21,50, 54%,42%,40,60,22,51,6,8,0,0, 75%,0%, 1,0, 6,0, 0,0,22,41,8,32,1,1,4,8,0,0,9,10,8,27,17,39,1,1,4,9,14,14,0,2
76,LukeJumeauDhiegoLima,DhiegoLimaLukeJumeau, 0,0,32,105,24,95, 30%,25%,49,124,24,95,2,6,0,0, 33%,0%, 0,0, 0,0, 0,0,15,72,17,85,2,12,1,4,15,21,6,6,30,99,24,95,0,0,0,0,2,6,0,0
77,JustinTafaYorganDeCastro,YorganDeCastroJustinTafa, 1,0,4,12,6,9, 33%,66%,6,14,17,20,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,2,10,5,8,2,2,1,1,0,0,0,0,4,8,2,3,0,4,4,6,0,0,0,0
78,JakeMatthewsRostemAkman,JakeMatthewsRostemAkman,0, 0,59,133,15,110,44%, 13%,61,136,15,110,0,2,0,0,0%, 0%,0, 0,0, 0,0, 0,19,76,8,94,20,35,6,15,20,22,1,1,53,127,11,104,6,6,4,6,0,0,0,0
79,CallanPotterMakiPitolo,CallanPotterMakiPitolo,0, 0,48,96,60,155,50%, 38%,127,198,103,198,3,4,0,2,75%, 0%,0, 1,4, 1,1, 1,44,91,49,142,2,3,9,11,2,2,2,2,41,89,60,155,4,4,0,0,3,3,0,0
80,BradRiddellJamieMullarkey,BradRiddellJamieMullarkey,0, 0,91,153,36,95,59%, 37%,104,167,41,100,1,1,3,15,100%, 20%,0, 1,5, 2,1, 1,70,129,25,83,14,16,4,4,7,8,7,8,63,121,35,93,3,3,0,0,25,29,1,2
81,MeganAndersonZarahFairn,MeganAndersonZarahFairn,0, 0,10,18,2,5,55%, 40%,22,33,32,45,1,2,0,0,50%, 0%,1, 0,2, 0,0, 1,10,17,2,5,0,1,0,0,0,0,0,0,0,4,2,5,0,1,0,0,10,13,0,0
82,NadiaKassemJiYeonKim,JiYeonKimNadiaKassem, 1,0,80,179,45,131, 44%,34%,83,185,53,139,0,0,1,2, 0%,50%, 0,0, 0,0, 0,0,64,151,9,67,12,19,31,56,4,9,5,8,74,167,40,119,5,8,4,8,1,4,1,4
83,KhalidTahaBrunoSilva,KhalidTahaBrunoSilva,1, 0,38,88,20,50,43%, 40%,74,127,51,88,0,1,2,11,0%, 18%,1, 0,1, 1,0, 0,29,69,9,33,4,11,8,11,5,8,3,6,19,62,10,31,6,7,1,1,13,19,9,18
84,JackHermanssonJaredCannonier,JaredCannonierJackHermansson, 1,0,28,53,20,42, 52%,47%,29,54,22,45,0,0,1,6, 0%,16%, 0,0, 1,1, 0,0,21,43,5,21,2,3,2,5,5,7,13,16,10,34,19,41,1,2,1,1,17,17,0,0
85,MarkMadsenDaniloBelluardo,MarkMadsenDaniloBelluardo,0, 0,22,29,0,1,75%, 0%,24,31,0,1,1,2,0,0,50%, 0%,0, 0,1, 0,0, 0,22,29,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,21,26,0,0
86,GunnarNelsonGilbertBurns,GilbertBurnsGunnarNelson, 0,0,30,76,20,36, 39%,55%,46,99,26,45,1,3,0,2, 33%,0%, 1,0, 1,0, 0,0,8,47,9,23,8,11,4,5,14,18,7,8,19,55,18,32,10,18,2,3,1,3,0,1
87,IonCutelabaKhalilRountreeJr.,IonCutelabaKhalilRountreeJr.,0, 0,15,26,5,12,57%, 41%,16,27,5,12,4,5,0,0,80%, 0%,0, 0,1, 0,0, 0,14,25,4,11,1,1,1,1,0,0,0,0,1,5,3,7,1,2,2,5,13,19,0,0
88,MichalOleksiejczukOvinceSaintPreux,OvinceSaintPreuxMichalOleksiejczuk, 0,0,14,48,37,78, 29%,47%,20,54,39,80,1,2,0,0, 50%,0%, 1,0, 2,0, 0,0,5,36,23,59,9,12,13,18,0,0,1,1,11,45,32,71,3,3,2,2,0,0,3,5
89,NicolasDalbyAlexOliveira,NicolasDalbyAlexOliveira,0, 0,31,84,18,47,36%, 38%,64,122,31,65,1,4,3,4,25%, 75%,0, 0,4, 1,1, 0,19,64,14,40,5,12,0,2,7,8,4,5,9,45,13,36,11,18,1,3,11,21,4,8
90,AlenAmedovskiJohnPhillips,JohnPhillipsAlenAmedovski, 1,0,5,8,2,11, 62%,18%,5,8,2,11,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,4,7,2,11,1,1,0,0,0,0,0,0,3,6,2,11,0,0,0,0,2,2,0,0
91,AlessioDiChiricoMakhmudMuradov,MakhmudMuradovAlessioDiChirico, 0,0,54,169,36,113, 31%,31%,56,171,37,114,0,3,0,2, 0%,0%, 0,0, 0,0, 0,0,32,133,31,100,19,32,0,4,3,4,5,9,49,160,30,104,5,9,6,9,0,0,0,0
92,SiyarBahadurzadaIsmailNaurdiev,IsmailNaurdievSiyarBahadurzada, 0,0,69,126,12,96, 54%,12%,149,218,14,98,3,3,0,0, 100%,0%, 0,0, 3,0, 0,0,30,71,10,89,15,24,2,5,24,31,0,2,63,113,12,95,0,0,0,1,6,13,0,0
93,BrandonDavisGigaChikadze,GigaChikadzeBrandonDavis, 0,0,59,119,34,99, 49%,34%,71,133,36,103,1,2,3,7, 50%,42%, 0,0, 1,4, 1,0,44,91,20,77,8,16,5,9,7,12,9,13,43,99,26,91,0,0,3,3,16,20,5,5
94,MacyChiassonLinaLansberg,LinaLansbergMacyChiasson, 0,0,21,39,26,47, 53%,55%,49,91,58,94,2,4,0,4, 50%,0%, 0,0, 3,0, 0,0,18,36,4,22,2,2,21,23,1,1,1,2,2,8,4,18,8,15,22,29,11,16,0,0
95,MarcDiakieseLandoVannata,MarcDiakieseLandoVannata,0, 0,40,99,25,70,40%, 35%,45,111,51,108,4,7,0,1,57%, 0%,0, 0,1, 0,0, 0,16,52,4,36,10,25,8,12,14,22,13,22,31,84,24,66,2,3,1,4,7,12,0,0
